aave,,,,
Date, Full Time, Part Time, One Time, Total
12.02.2019,0,0,1,1
13.02.2019,0,1,0,1
14.02.2019,0,1,0,1
15.02.2019,0,1,1,2
16.02.2019,0,2,0,2
17.02.2019,0,2,0,2
18.02.2019,0,2,0,2
19.02.2019,0,2,0,2
20.02.2019,0,2,1,3
21.02.2019,0,3,0,3
22.02.2019,0,3,0,3
23.02.2019,0,3,0,3
24.02.2019,0,3,0,3
25.02.2019,0,3,0,3
26.02.2019,0,3,0,3
27.02.2019,0,3,0,3
28.02.2019,0,3,0,3
01.03.2019,0,3,0,3
02.03.2019,0,3,0,3
03.03.2019,0,3,0,3
04.03.2019,0,3,0,3
05.03.2019,0,3,0,3
06.03.2019,0,3,0,3
07.03.2019,0,3,0,3
08.03.2019,0,3,0,3
09.03.2019,0,3,0,3
10.03.2019,0,3,0,3
11.03.2019,0,3,0,3
12.03.2019,0,3,0,3
13.03.2019,0,3,0,3
14.03.2019,0,3,0,3
15.03.2019,0,3,0,3
16.03.2019,0,3,0,3
17.03.2019,0,3,0,3
18.03.2019,0,3,0,3
19.03.2019,0,3,0,3
20.03.2019,0,3,0,3
21.03.2019,0,3,0,3
22.03.2019,0,3,0,3
23.03.2019,0,3,0,3
24.03.2019,0,3,0,3
25.03.2019,0,3,0,3
26.03.2019,0,3,0,3
27.03.2019,0,3,0,3
28.03.2019,0,3,0,3
29.03.2019,0,3,0,3
30.03.2019,0,3,0,3
31.03.2019,0,3,0,3
01.04.2019,0,3,0,3
02.04.2019,0,3,0,3
03.04.2019,0,2,0,2
04.04.2019,0,2,0,2
05.04.2019,0,1,0,1
18.04.2019,0,1,0,1
19.04.2019,0,1,0,1
20.04.2019,0,1,0,1
21.04.2019,0,1,0,1
22.04.2019,0,1,0,1
23.04.2019,0,2,1,3
24.04.2019,0,3,0,3
25.04.2019,0,3,0,3
26.04.2019,0,3,0,3
27.04.2019,0,3,0,3
28.04.2019,0,3,0,3
29.04.2019,0,3,0,3
30.04.2019,0,3,0,3
01.05.2019,0,3,0,3
02.05.2019,0,3,0,3
03.05.2019,0,3,0,3
04.05.2019,0,3,0,3
05.05.2019,0,3,0,3
06.05.2019,0,3,0,3
07.05.2019,0,3,0,3
08.05.2019,0,3,0,3
09.05.2019,0,3,0,3
10.05.2019,0,3,0,3
11.05.2019,0,3,0,3
12.05.2019,0,3,0,3
13.05.2019,0,3,0,3
14.05.2019,0,3,0,3
15.05.2019,0,3,0,3
16.05.2019,0,3,0,3
17.05.2019,0,3,0,3
18.05.2019,0,3,0,3
19.05.2019,0,3,0,3
20.05.2019,0,3,0,3
21.05.2019,0,3,0,3
22.05.2019,0,3,0,3
04.06.2019,0,0,1,1
05.06.2019,0,1,1,2
06.06.2019,0,1,1,2
07.06.2019,0,1,1,2
08.06.2019,0,1,1,2
09.06.2019,0,1,1,2
10.06.2019,0,1,1,2
11.06.2019,0,1,1,2
12.06.2019,0,1,1,2
13.06.2019,0,1,1,2
14.06.2019,0,1,1,2
15.06.2019,0,1,1,2
16.06.2019,0,1,1,2
17.06.2019,0,1,1,2
18.06.2019,0,1,1,2
19.06.2019,0,1,1,2
20.06.2019,0,1,1,2
21.06.2019,0,1,1,2
22.06.2019,0,1,1,2
23.06.2019,0,1,1,2
24.06.2019,0,1,1,2
25.06.2019,0,1,1,2
26.06.2019,0,1,1,2
27.06.2019,0,1,1,2
28.06.2019,0,1,1,2
29.06.2019,0,1,1,2
30.06.2019,0,1,1,2
