algorand,,,,
Date, Full Time, Part Time, One Time, Total
23.01.2015,0,1,0,1
24.01.2015,0,1,0,1
25.01.2015,0,1,0,1
26.01.2015,0,1,0,1
27.01.2015,0,1,0,1
28.01.2015,0,1,0,1
29.01.2015,0,1,0,1
30.01.2015,0,1,0,1
31.01.2015,0,1,0,1
01.02.2015,0,1,0,1
02.02.2015,0,1,0,1
03.02.2015,0,1,0,1
04.02.2015,0,1,0,1
05.02.2015,0,1,0,1
06.02.2015,0,1,0,1
07.02.2015,0,1,0,1
08.02.2015,0,1,0,1
09.02.2015,0,1,0,1
10.02.2015,0,1,0,1
11.02.2015,0,1,0,1
12.02.2015,0,1,0,1
13.02.2015,0,1,0,1
14.02.2015,0,1,0,1
15.02.2015,0,1,0,1
16.02.2015,0,1,0,1
17.02.2015,0,1,0,1
18.02.2015,0,1,0,1
19.02.2015,0,1,0,1
10.03.2015,0,0,1,1
11.03.2015,0,0,2,2
12.03.2015,0,0,2,2
13.03.2015,0,0,2,2
14.03.2015,0,0,2,2
15.03.2015,0,0,2,2
16.03.2015,0,1,1,2
17.03.2015,0,1,1,2
18.03.2015,0,1,1,2
19.03.2015,0,1,1,2
20.03.2015,0,1,1,2
21.03.2015,0,1,1,2
22.03.2015,0,1,1,2
23.03.2015,0,1,1,2
24.03.2015,0,1,1,2
25.03.2015,0,1,1,2
26.03.2015,0,1,1,2
27.03.2015,0,1,1,2
28.03.2015,0,1,1,2
29.03.2015,0,1,1,2
30.03.2015,0,1,1,2
31.03.2015,0,1,1,2
01.04.2015,0,1,1,2
02.04.2015,0,1,1,2
03.04.2015,0,1,1,2
04.04.2015,0,1,1,2
05.04.2015,0,1,2,3
06.04.2015,0,1,2,3
07.04.2015,0,2,0,2
08.04.2015,0,2,0,2
09.04.2015,0,2,0,2
10.04.2015,0,2,0,2
11.04.2015,0,2,0,2
12.04.2015,0,2,0,2
13.04.2015,0,2,0,2
14.04.2015,0,2,0,2
15.04.2015,0,2,0,2
16.04.2015,0,2,1,3
17.04.2015,0,2,1,3
18.04.2015,0,2,1,3
19.04.2015,0,2,1,3
20.04.2015,0,2,1,3
21.04.2015,0,2,1,3
22.04.2015,0,2,1,3
23.04.2015,0,2,1,3
24.04.2015,0,2,1,3
25.04.2015,0,2,1,3
26.04.2015,0,2,1,3
27.04.2015,0,2,1,3
28.04.2015,0,2,1,3
29.04.2015,0,1,1,2
30.04.2015,0,1,1,2
