api3,,,,
Date, Full Time, Part Time, One Time, Total
08.06.2020,0,0,1,1
09.06.2020,0,1,0,1
10.06.2020,0,1,0,1
11.06.2020,0,1,0,1
12.06.2020,0,1,0,1
13.06.2020,0,1,0,1
14.06.2020,0,1,0,1
15.06.2020,0,1,0,1
16.06.2020,0,1,1,2
17.06.2020,0,2,0,2
18.06.2020,0,2,0,2
19.06.2020,0,2,0,2
20.06.2020,0,2,0,2
21.06.2020,0,2,0,2
22.06.2020,0,2,0,2
23.06.2020,0,2,0,2
24.06.2020,0,2,0,2
25.06.2020,0,2,0,2
26.06.2020,0,2,0,2
27.06.2020,0,2,0,2
28.06.2020,0,2,0,2
29.06.2020,0,2,0,2
30.06.2020,0,2,0,2
01.07.2020,0,2,0,2
02.07.2020,0,2,0,2
03.07.2020,0,2,0,2
04.07.2020,0,2,0,2
05.07.2020,0,2,0,2
06.07.2020,0,2,0,2
07.07.2020,1,1,0,2
08.07.2020,1,1,0,2
09.07.2020,1,1,0,2
10.07.2020,1,1,0,2
11.07.2020,1,1,0,2
12.07.2020,1,1,0,2
13.07.2020,1,1,0,2
14.07.2020,1,1,1,3
15.07.2020,2,0,1,3
16.07.2020,2,0,1,3
17.07.2020,1,1,1,3
18.07.2020,1,1,1,3
19.07.2020,1,2,0,3
20.07.2020,1,2,0,3
21.07.2020,1,2,0,3
22.07.2020,1,2,0,3
23.07.2020,1,2,0,3
24.07.2020,1,2,0,3
25.07.2020,2,1,0,3
26.07.2020,2,1,0,3
27.07.2020,2,1,0,3
28.07.2020,2,1,0,3
29.07.2020,1,2,0,3
30.07.2020,1,2,0,3
31.07.2020,1,2,0,3
01.08.2020,1,2,0,3
02.08.2020,1,2,0,3
03.08.2020,1,2,0,3
04.08.2020,1,2,0,3
05.08.2020,2,1,0,3
06.08.2020,2,1,0,3
07.08.2020,2,1,0,3
08.08.2020,2,1,0,3
09.08.2020,2,1,0,3
10.08.2020,2,1,0,3
11.08.2020,2,1,0,3
12.08.2020,2,1,0,3
13.08.2020,2,1,0,3
14.08.2020,1,2,0,3
15.08.2020,1,2,0,3
16.08.2020,1,2,0,3
17.08.2020,1,2,0,3
18.08.2020,1,2,0,3
19.08.2020,1,2,0,3
20.08.2020,1,2,1,4
21.08.2020,1,2,1,4
22.08.2020,2,1,1,4
23.08.2020,2,1,1,4
24.08.2020,2,1,1,4
25.08.2020,2,1,1,4
26.08.2020,2,1,1,4
27.08.2020,2,1,1,4
28.08.2020,1,2,1,4
29.08.2020,1,2,1,4
30.08.2020,1,2,1,4
31.08.2020,1,2,1,4
01.09.2020,1,2,1,4
02.09.2020,2,1,1,4
03.09.2020,2,1,1,4
04.09.2020,2,1,1,4
05.09.2020,2,1,1,4
06.09.2020,2,1,1,4
07.09.2020,2,1,1,4
08.09.2020,2,1,1,4
09.09.2020,2,1,1,4
10.09.2020,2,1,1,4
11.09.2020,1,2,1,4
12.09.2020,1,2,1,4
13.09.2020,1,2,1,4
14.09.2020,1,2,1,4
15.09.2020,1,2,1,4
16.09.2020,2,1,1,4
17.09.2020,2,1,0,3
18.09.2020,2,1,0,3
19.09.2020,2,1,0,3
20.09.2020,2,1,0,3
21.09.2020,2,1,0,3
22.09.2020,2,1,0,3
23.09.2020,2,1,0,3
24.09.2020,2,1,0,3
25.09.2020,2,1,0,3
26.09.2020,2,1,0,3
27.09.2020,2,1,0,3
28.09.2020,2,1,0,3
29.09.2020,2,1,0,3
30.09.2020,2,1,0,3
01.10.2020,2,1,0,3
02.10.2020,2,1,0,3
03.10.2020,2,1,0,3
04.10.2020,2,1,0,3
05.10.2020,2,1,0,3
06.10.2020,2,1,0,3
07.10.2020,2,1,0,3
08.10.2020,2,1,0,3
09.10.2020,2,1,1,4
10.10.2020,2,1,1,4
11.10.2020,2,2,0,4
12.10.2020,2,2,0,4
13.10.2020,2,2,0,4
14.10.2020,2,2,1,5
15.10.2020,2,2,1,5
16.10.2020,2,2,1,5
17.10.2020,2,2,1,5
18.10.2020,2,2,1,5
19.10.2020,2,2,1,5
20.10.2020,2,2,1,5
21.10.2020,2,2,1,5
22.10.2020,2,2,1,5
23.10.2020,2,2,1,5
24.10.2020,2,2,1,5
25.10.2020,2,2,1,5
26.10.2020,2,2,1,5
27.10.2020,2,2,1,5
28.10.2020,2,2,1,5
29.10.2020,2,2,1,5
30.10.2020,2,2,1,5
31.10.2020,2,2,1,5
01.11.2020,2,2,1,5
02.11.2020,2,2,1,5
03.11.2020,2,2,1,5
04.11.2020,2,2,1,5
05.11.2020,2,2,1,5
06.11.2020,2,2,1,5
07.11.2020,2,2,1,5
08.11.2020,2,2,1,5
09.11.2020,2,2,1,5
10.11.2020,2,2,1,5
11.11.2020,2,1,0,3
12.11.2020,2,1,0,3
13.11.2020,2,1,0,3
14.11.2020,2,1,0,3
15.11.2020,2,1,0,3
16.11.2020,2,1,0,3
17.11.2020,2,1,0,3
18.11.2020,2,1,0,3
19.11.2020,2,1,0,3
20.11.2020,2,1,0,3
21.11.2020,2,1,0,3
22.11.2020,2,1,1,4
23.11.2020,2,1,1,4
24.11.2020,2,1,2,5
25.11.2020,2,1,3,6
26.11.2020,2,2,3,7
27.11.2020,2,2,3,7
28.11.2020,2,2,3,7
29.11.2020,2,2,3,7
30.11.2020,2,3,3,8
01.12.2020,2,3,3,8
02.12.2020,2,3,3,8
03.12.2020,2,3,3,8
04.12.2020,2,3,3,8
05.12.2020,2,3,3,8
06.12.2020,2,3,3,8
07.12.2020,2,3,3,8
08.12.2020,2,3,3,8
09.12.2020,2,3,3,8
10.12.2020,2,4,2,8
11.12.2020,2,4,2,8
12.12.2020,2,4,2,8
13.12.2020,2,4,2,8
