astar,,,,
Date, Full Time, Part Time, One Time, Total
14.05.2017,0,0,1,1
15.05.2017,0,0,1,1
16.05.2017,0,0,1,1
17.05.2017,0,0,1,1
18.05.2017,0,0,1,1
19.05.2017,0,0,1,1
20.05.2017,0,0,1,1
21.05.2017,0,0,1,1
22.05.2017,0,0,1,1
23.05.2017,0,0,1,1
24.05.2017,0,0,1,1
25.05.2017,0,0,1,1
26.05.2017,0,0,1,1
27.05.2017,0,0,1,1
28.05.2017,0,0,1,1
29.05.2017,0,0,1,1
30.05.2017,0,0,1,1
31.05.2017,0,1,1,2
01.06.2017,0,1,1,2
02.06.2017,0,2,0,2
03.06.2017,0,2,0,2
04.06.2017,0,2,0,2
05.06.2017,0,2,0,2
06.06.2017,0,2,0,2
07.06.2017,0,2,0,2
08.06.2017,0,2,1,3
09.06.2017,0,2,1,3
10.06.2017,0,2,1,3
11.06.2017,0,2,1,3
12.06.2017,0,2,1,3
13.06.2017,0,2,1,3
14.06.2017,0,2,1,3
15.06.2017,0,2,1,3
16.06.2017,0,2,1,3
17.06.2017,0,2,1,3
18.06.2017,0,2,1,3
19.06.2017,0,2,1,3
20.06.2017,0,2,1,3
21.06.2017,0,2,1,3
22.06.2017,0,2,1,3
23.06.2017,0,2,1,3
24.06.2017,0,2,1,3
25.06.2017,0,2,1,3
26.06.2017,0,2,2,4
27.06.2017,0,3,1,4
28.06.2017,0,3,1,4
29.06.2017,0,3,1,4
30.06.2017,0,3,2,5
01.07.2017,0,3,2,5
02.07.2017,0,3,2,5
03.07.2017,0,3,2,5
04.07.2017,0,2,2,4
05.07.2017,0,3,2,5
06.07.2017,0,3,1,4
07.07.2017,0,3,1,4
08.07.2017,0,3,1,4
09.07.2017,0,3,1,4
10.07.2017,0,3,1,4
11.07.2017,0,3,2,5
12.07.2017,0,4,2,6
13.07.2017,0,4,2,6
14.07.2017,0,4,2,6
15.07.2017,0,4,2,6
16.07.2017,0,4,4,8
17.07.2017,0,6,3,9
18.07.2017,0,7,2,9
19.07.2017,0,7,2,9
20.07.2017,0,7,2,9
21.07.2017,1,6,2,9
22.07.2017,1,6,2,9
23.07.2017,1,6,2,9
24.07.2017,1,6,3,10
25.07.2017,1,7,2,10
26.07.2017,1,7,2,10
27.07.2017,1,7,2,10
28.07.2017,1,7,1,9
29.07.2017,1,7,1,9
30.07.2017,1,7,1,9
31.07.2017,1,7,3,11
01.08.2017,1,8,3,12
02.08.2017,1,9,2,12
03.08.2017,1,9,2,12
04.08.2017,1,9,2,12
05.08.2017,1,8,2,11
06.08.2017,1,8,2,11
07.08.2017,1,8,2,11
08.08.2017,1,8,2,11
09.08.2017,1,8,2,11
10.08.2017,1,9,1,11
11.08.2017,1,9,1,11
12.08.2017,1,9,1,11
13.08.2017,1,9,1,11
14.08.2017,3,7,1,11
15.08.2017,2,8,1,11
16.08.2017,1,9,3,13
17.08.2017,1,11,1,13
18.08.2017,2,10,1,13
19.08.2017,2,10,1,13
20.08.2017,2,10,2,14
21.08.2017,2,11,1,14
22.08.2017,2,11,2,15
23.08.2017,2,11,2,15
24.08.2017,2,11,2,15
25.08.2017,2,11,2,15
26.08.2017,2,11,2,15
27.08.2017,2,11,2,15
28.08.2017,2,11,2,15
29.08.2017,2,11,2,15
30.08.2017,2,11,2,15
31.08.2017,2,10,2,14
01.09.2017,2,9,2,13
02.09.2017,3,8,2,13
03.09.2017,3,8,2,13
04.09.2017,2,9,2,13
05.09.2017,2,8,2,12
06.09.2017,3,7,2,12
07.09.2017,3,6,2,11
08.09.2017,3,5,2,10
09.09.2017,3,5,2,10
10.09.2017,3,5,2,10
11.09.2017,3,6,2,11
12.09.2017,2,7,2,11
13.09.2017,2,7,1,10
14.09.2017,3,4,0,7
15.09.2017,4,3,0,7
16.09.2017,4,3,0,7
17.09.2017,4,3,0,7
18.09.2017,4,3,0,7
19.09.2017,4,3,0,7
20.09.2017,4,3,1,8
21.09.2017,4,3,1,8
22.09.2017,4,3,1,8
23.09.2017,4,3,1,8
24.09.2017,4,3,1,8
25.09.2017,4,3,1,8
26.09.2017,4,3,1,8
27.09.2017,4,3,1,8
28.09.2017,4,3,1,8
29.09.2017,4,3,1,8
30.09.2017,4,3,1,8
01.10.2017,4,3,1,8
02.10.2017,4,3,1,8
03.10.2017,4,3,1,8
04.10.2017,4,3,1,8
05.10.2017,4,3,1,8
06.10.2017,4,3,1,8
07.10.2017,4,3,1,8
08.10.2017,4,3,1,8
09.10.2017,4,2,1,7
10.10.2017,3,3,1,7
11.10.2017,3,3,1,7
12.10.2017,3,3,1,7
13.10.2017,3,3,1,7
14.10.2017,3,3,1,7
