audius,,,,
Date, Full Time, Part Time, One Time, Total
05.02.2015,0,0,1,1
06.02.2015,0,0,1,1
07.02.2015,0,0,1,1
08.02.2015,0,0,1,1
09.02.2015,0,0,1,1
10.02.2015,0,0,1,1
11.02.2015,0,0,1,1
12.02.2015,0,0,1,1
13.02.2015,0,0,1,1
14.02.2015,0,0,1,1
15.02.2015,0,0,1,1
16.02.2015,0,0,1,1
17.02.2015,0,0,1,1
18.02.2015,0,0,1,1
19.02.2015,0,0,1,1
20.02.2015,0,0,1,1
21.02.2015,0,0,1,1
22.02.2015,0,0,1,1
23.02.2015,0,0,1,1
24.02.2015,0,0,1,1
25.02.2015,0,0,1,1
26.02.2015,0,0,1,1
27.02.2015,0,0,1,1
28.02.2015,0,1,0,1
01.03.2015,0,1,0,1
02.03.2015,0,1,0,1
03.03.2015,0,1,0,1
04.03.2015,0,1,0,1
05.03.2015,0,1,0,1
06.03.2015,0,1,0,1
07.03.2015,0,1,0,1
08.03.2015,0,1,0,1
09.03.2015,0,1,0,1
10.03.2015,0,1,0,1
11.03.2015,0,1,0,1
12.03.2015,0,1,0,1
13.03.2015,0,1,0,1
14.03.2015,0,1,0,1
15.03.2015,0,1,0,1
16.03.2015,0,1,0,1
17.03.2015,0,1,0,1
18.03.2015,0,1,0,1
19.03.2015,0,1,0,1
20.03.2015,0,1,0,1
21.03.2015,0,1,0,1
22.03.2015,0,1,0,1
23.03.2015,0,1,0,1
24.03.2015,0,1,0,1
25.03.2015,0,1,0,1
26.03.2015,0,1,0,1
27.03.2015,0,1,0,1
10.11.2016,0,0,1,1
11.11.2016,0,0,1,1
12.11.2016,0,0,1,1
13.11.2016,0,0,1,1
14.11.2016,0,0,1,1
15.11.2016,0,0,1,1
16.11.2016,0,0,1,1
17.11.2016,0,0,1,1
18.11.2016,0,0,1,1
19.11.2016,0,0,1,1
20.11.2016,0,0,1,1
21.11.2016,0,0,1,1
22.11.2016,0,0,1,1
23.11.2016,0,0,1,1
24.11.2016,0,0,1,1
25.11.2016,0,0,1,1
26.11.2016,0,0,1,1
27.11.2016,0,0,1,1
28.11.2016,0,0,1,1
29.11.2016,0,0,1,1
30.11.2016,0,0,1,1
01.12.2016,0,0,1,1
02.12.2016,0,0,1,1
03.12.2016,0,0,1,1
04.12.2016,0,0,1,1
05.12.2016,0,0,1,1
06.12.2016,0,0,1,1
07.12.2016,0,0,1,1
28.05.2017,0,0,1,1
29.05.2017,0,0,1,1
30.05.2017,0,0,1,1
31.05.2017,0,0,1,1
01.06.2017,0,0,1,1
02.06.2017,0,0,1,1
03.06.2017,0,0,1,1
04.06.2017,0,0,1,1
05.06.2017,0,0,1,1
06.06.2017,0,0,1,1
07.06.2017,0,0,1,1
08.06.2017,0,0,1,1
09.06.2017,0,0,1,1
10.06.2017,0,0,1,1
11.06.2017,0,0,1,1
12.06.2017,0,0,1,1
13.06.2017,0,0,1,1
14.06.2017,0,0,1,1
15.06.2017,0,0,1,1
16.06.2017,0,0,1,1
17.06.2017,0,0,1,1
18.06.2017,0,0,1,1
19.06.2017,0,0,1,1
20.06.2017,0,0,1,1
21.06.2017,0,0,1,1
22.06.2017,0,0,1,1
23.06.2017,0,0,1,1
24.06.2017,0,0,1,1
26.02.2018,0,0,1,1
27.02.2018,0,1,0,1
28.02.2018,0,1,0,1
01.03.2018,0,1,0,1
02.03.2018,0,1,0,1
03.03.2018,0,1,0,1
04.03.2018,0,1,0,1
05.03.2018,0,1,0,1
06.03.2018,0,1,0,1
07.03.2018,0,1,0,1
08.03.2018,0,1,0,1
09.03.2018,0,1,0,1
10.03.2018,0,1,1,2
11.03.2018,0,1,1,2
12.03.2018,0,1,1,2
13.03.2018,0,1,1,2
14.03.2018,0,1,1,2
15.03.2018,0,1,1,2
16.03.2018,0,1,1,2
17.03.2018,0,1,1,2
18.03.2018,0,1,1,2
19.03.2018,0,1,1,2
20.03.2018,0,1,1,2
21.03.2018,0,1,1,2
22.03.2018,0,1,1,2
23.03.2018,0,1,1,2
24.03.2018,0,1,1,2
25.03.2018,0,1,1,2
26.03.2018,0,1,1,2
27.03.2018,0,0,1,1
28.03.2018,0,0,1,1
29.03.2018,0,0,2,2
30.03.2018,0,0,2,2
31.03.2018,0,0,2,2
01.04.2018,0,0,2,2
02.04.2018,0,0,2,2
03.04.2018,0,0,2,2
04.04.2018,0,0,2,2
05.04.2018,0,0,2,2
06.04.2018,0,1,1,2
07.04.2018,0,1,1,2
08.04.2018,0,1,1,2
09.04.2018,0,1,1,2
10.04.2018,0,1,1,2
11.04.2018,0,1,1,2
12.04.2018,0,1,1,2
13.04.2018,0,1,2,3
14.04.2018,0,1,2,3
15.04.2018,0,1,2,3
16.04.2018,0,1,2,3
17.04.2018,0,1,2,3
18.04.2018,0,1,2,3
19.04.2018,0,1,2,3
20.04.2018,0,2,1,3
21.04.2018,0,2,1,3
22.04.2018,0,2,1,3
23.04.2018,0,2,1,3
24.04.2018,0,2,1,3
25.04.2018,0,2,1,3
26.04.2018,0,2,1,3
27.04.2018,0,2,1,3
28.04.2018,0,2,1,3
29.04.2018,0,3,0,3
30.04.2018,0,3,0,3
01.05.2018,0,3,0,3
02.05.2018,0,3,0,3
03.05.2018,0,3,0,3
04.05.2018,0,2,0,2
05.05.2018,0,2,0,2
06.05.2018,0,2,0,2
07.05.2018,0,2,0,2
08.05.2018,0,2,0,2
09.05.2018,0,2,0,2
10.05.2018,0,2,1,3
11.05.2018,0,3,1,4
12.05.2018,0,3,1,4
13.05.2018,0,3,1,4
14.05.2018,0,3,1,4
15.05.2018,0,3,1,4
16.05.2018,0,3,1,4
17.05.2018,0,3,1,4
18.05.2018,0,3,1,4
19.05.2018,0,3,1,4
20.05.2018,0,3,1,4
21.05.2018,0,3,1,4
22.05.2018,0,3,1,4
23.05.2018,0,3,1,4
24.05.2018,0,3,1,4
25.05.2018,0,3,1,4
26.05.2018,0,3,1,4
27.05.2018,0,3,1,4
28.05.2018,0,3,1,4
29.05.2018,0,3,1,4
30.05.2018,0,2,1,3
31.05.2018,0,2,1,3
01.06.2018,0,2,1,3
02.06.2018,0,2,1,3
03.06.2018,0,2,1,3
04.06.2018,0,2,1,3
05.06.2018,0,2,1,3
06.06.2018,0,2,1,3
07.06.2018,0,2,0,2
08.06.2018,0,2,0,2
09.06.2018,0,2,0,2
10.06.2018,0,2,0,2
11.06.2018,0,2,0,2
12.06.2018,0,2,0,2
13.06.2018,0,2,0,2
14.06.2018,0,2,0,2
15.06.2018,0,2,0,2
16.06.2018,0,2,0,2
17.06.2018,0,2,0,2
18.06.2018,0,2,0,2
19.06.2018,0,2,0,2
20.06.2018,0,2,1,3
21.06.2018,0,2,2,4
22.06.2018,0,1,3,4
23.06.2018,0,1,3,4
24.06.2018,0,1,3,4
25.06.2018,0,1,3,4
26.06.2018,0,1,3,4
27.06.2018,0,1,3,4
28.06.2018,0,1,3,4
29.06.2018,0,2,3,5
30.06.2018,0,2,3,5
01.07.2018,0,2,3,5
02.07.2018,0,2,3,5
03.07.2018,0,2,3,5
04.07.2018,0,2,4,6
05.07.2018,0,3,3,6
06.07.2018,0,3,3,6
07.07.2018,0,3,4,7
08.07.2018,0,3,4,7
09.07.2018,0,3,5,8
10.07.2018,0,3,5,8
11.07.2018,0,3,5,8
12.07.2018,0,3,5,8
13.07.2018,0,3,5,8
14.07.2018,0,3,5,8
15.07.2018,0,3,5,8
16.07.2018,0,3,6,9
17.07.2018,0,5,4,9
18.07.2018,0,5,3,8
19.07.2018,0,5,2,7
20.07.2018,0,6,2,8
21.07.2018,0,6,3,9
22.07.2018,0,6,3,9
23.07.2018,0,6,3,9
24.07.2018,0,6,3,9
25.07.2018,0,6,3,9
26.07.2018,0,6,3,9
27.07.2018,0,6,3,9
