avalanche,,,,
Date, Full Time, Part Time, One Time, Total
16.02.2015,0,0,1,1
17.02.2015,0,0,1,1
18.02.2015,0,1,0,1
19.02.2015,0,1,0,1
20.02.2015,0,1,0,1
21.02.2015,0,1,0,1
22.02.2015,0,1,0,1
23.02.2015,0,1,0,1
24.02.2015,0,1,0,1
25.02.2015,0,1,0,1
26.02.2015,0,1,0,1
27.02.2015,0,1,0,1
28.02.2015,0,1,0,1
01.03.2015,0,1,0,1
02.03.2015,0,1,1,2
03.03.2015,0,1,2,3
04.03.2015,0,1,2,3
05.03.2015,0,1,2,3
06.03.2015,0,1,2,3
07.03.2015,0,1,2,3
08.03.2015,0,1,2,3
09.03.2015,0,1,2,3
10.03.2015,0,1,2,3
11.03.2015,0,1,2,3
12.03.2015,0,1,2,3
13.03.2015,0,1,2,3
14.03.2015,0,1,2,3
15.03.2015,0,1,2,3
16.03.2015,0,1,2,3
17.03.2015,0,1,3,4
18.03.2015,0,1,3,4
19.03.2015,0,1,3,4
20.03.2015,0,1,4,5
21.03.2015,0,1,4,5
22.03.2015,0,1,4,5
23.03.2015,0,1,4,5
24.03.2015,0,1,4,5
25.03.2015,0,1,4,5
26.03.2015,0,2,3,5
27.03.2015,0,2,3,5
28.03.2015,0,2,3,5
29.03.2015,0,2,3,5
30.03.2015,0,2,2,4
31.03.2015,0,2,1,3
01.04.2015,0,2,1,3
02.04.2015,0,2,1,3
03.04.2015,0,1,1,2
04.04.2015,0,1,1,2
05.04.2015,0,1,1,2
06.04.2015,0,1,1,2
07.04.2015,0,1,1,2
08.04.2015,0,1,2,3
09.04.2015,0,1,2,3
10.04.2015,0,1,3,4
11.04.2015,0,1,3,4
12.04.2015,0,1,3,4
13.04.2015,0,1,3,4
14.04.2015,0,1,2,3
15.04.2015,0,1,2,3
16.04.2015,0,1,2,3
17.04.2015,0,1,3,4
18.04.2015,0,1,3,4
19.04.2015,0,2,2,4
20.04.2015,0,2,2,4
21.04.2015,0,2,2,4
22.04.2015,0,2,2,4
23.04.2015,0,1,2,3
24.04.2015,0,2,2,4
25.04.2015,0,2,2,4
26.04.2015,0,2,2,4
27.04.2015,0,2,2,4
28.04.2015,0,2,2,4
29.04.2015,0,2,2,4
30.04.2015,0,2,2,4
01.05.2015,0,2,2,4
02.05.2015,0,2,2,4
03.05.2015,0,2,2,4
04.05.2015,0,2,2,4
05.05.2015,0,2,2,4
06.05.2015,0,2,1,3
07.05.2015,0,2,1,3
08.05.2015,0,2,1,3
09.05.2015,0,2,1,3
10.05.2015,0,2,1,3
11.05.2015,0,2,1,3
12.05.2015,0,2,1,3
13.05.2015,0,2,1,3
14.05.2015,0,2,1,3
15.05.2015,0,2,1,3
16.05.2015,0,2,1,3
17.05.2015,0,1,1,2
18.05.2015,0,1,1,2
19.05.2015,0,1,1,2
20.05.2015,0,1,1,2
21.05.2015,0,1,1,2
22.05.2015,0,1,0,1
23.05.2015,0,1,0,1
24.05.2015,0,1,0,1
25.05.2015,0,2,0,2
26.05.2015,0,2,0,2
27.05.2015,0,1,0,1
28.05.2015,0,1,0,1
29.05.2015,0,1,0,1
30.05.2015,0,1,0,1
31.05.2015,0,1,0,1
01.06.2015,0,1,0,1
02.06.2015,0,1,0,1
03.06.2015,0,1,0,1
04.06.2015,0,1,0,1
05.06.2015,0,1,0,1
06.06.2015,0,1,0,1
07.06.2015,0,1,0,1
08.06.2015,0,1,0,1
09.06.2015,0,1,0,1
10.06.2015,0,2,0,2
11.06.2015,0,2,0,2
12.06.2015,0,2,0,2
13.06.2015,0,2,0,2
14.06.2015,0,2,0,2
15.06.2015,0,2,1,3
16.06.2015,0,2,1,3
17.06.2015,0,2,1,3
18.06.2015,0,2,1,3
19.06.2015,0,3,1,4
20.06.2015,0,3,1,4
21.06.2015,0,3,1,4
22.06.2015,0,2,1,3
23.06.2015,0,2,1,3
24.06.2015,0,3,1,4
25.06.2015,0,4,0,4
26.06.2015,0,4,0,4
27.06.2015,0,4,1,5
28.06.2015,0,4,1,5
29.06.2015,0,4,1,5
30.06.2015,0,5,0,5
01.07.2015,0,5,0,5
02.07.2015,0,5,0,5
03.07.2015,0,5,1,6
04.07.2015,0,5,1,6
05.07.2015,0,5,1,6
06.07.2015,0,5,1,6
07.07.2015,0,5,1,6
08.07.2015,0,5,1,6
09.07.2015,0,4,1,5
10.07.2015,0,5,1,6
11.07.2015,0,5,1,6
12.07.2015,0,5,1,6
13.07.2015,0,5,1,6
