aztec-protocol,,,,
Date, Full Time, Part Time, One Time, Total
19.04.2018,0,0,1,1
20.04.2018,0,0,1,1
21.04.2018,0,0,1,1
22.04.2018,0,0,1,1
23.04.2018,0,0,1,1
24.04.2018,0,0,1,1
25.04.2018,0,0,1,1
26.04.2018,0,0,1,1
27.04.2018,0,0,1,1
28.04.2018,0,0,1,1
29.04.2018,0,0,1,1
30.04.2018,0,0,1,1
01.05.2018,0,0,1,1
02.05.2018,0,0,1,1
03.05.2018,0,0,1,1
04.05.2018,0,0,1,1
05.05.2018,0,0,1,1
06.05.2018,0,0,1,1
07.05.2018,0,0,1,1
08.05.2018,0,0,1,1
09.05.2018,0,0,1,1
10.05.2018,0,0,1,1
11.05.2018,0,0,1,1
12.05.2018,0,0,1,1
13.05.2018,0,0,1,1
14.05.2018,0,0,1,1
15.05.2018,0,0,1,1
16.05.2018,0,0,1,1
29.08.2018,0,0,1,1
30.08.2018,0,1,0,1
31.08.2018,0,1,0,1
01.09.2018,0,1,0,1
02.09.2018,0,1,0,1
03.09.2018,0,1,1,2
04.09.2018,0,2,0,2
05.09.2018,0,2,0,2
06.09.2018,0,2,0,2
07.09.2018,0,2,0,2
08.09.2018,0,2,0,2
09.09.2018,0,2,0,2
10.09.2018,0,2,0,2
11.09.2018,0,2,0,2
12.09.2018,0,2,0,2
13.09.2018,0,2,0,2
14.09.2018,0,2,0,2
15.09.2018,0,2,0,2
16.09.2018,0,2,0,2
17.09.2018,0,2,0,2
18.09.2018,0,2,0,2
19.09.2018,0,2,0,2
20.09.2018,0,2,0,2
21.09.2018,0,2,0,2
22.09.2018,0,2,0,2
23.09.2018,0,2,0,2
24.09.2018,0,2,0,2
25.09.2018,0,2,0,2
26.09.2018,0,2,0,2
27.09.2018,0,2,0,2
28.09.2018,0,2,0,2
29.09.2018,0,2,0,2
30.09.2018,0,2,0,2
01.10.2018,0,2,0,2
02.10.2018,0,2,0,2
03.10.2018,0,2,0,2
04.10.2018,0,2,0,2
05.10.2018,0,2,0,2
06.10.2018,0,2,0,2
07.10.2018,0,2,0,2
08.10.2018,0,2,0,2
09.10.2018,0,2,0,2
10.10.2018,0,2,0,2
11.10.2018,1,1,0,2
12.10.2018,0,1,0,1
13.10.2018,1,0,0,1
14.10.2018,1,0,0,1
15.10.2018,1,0,0,1
16.10.2018,1,0,0,1
17.10.2018,0,1,0,1
18.10.2018,0,1,0,1
19.10.2018,1,0,0,1
20.10.2018,1,0,0,1
21.10.2018,0,1,0,1
22.10.2018,1,0,0,1
23.10.2018,1,0,0,1
24.10.2018,1,0,0,1
25.10.2018,1,0,0,1
26.10.2018,1,0,0,1
27.10.2018,1,0,0,1
28.10.2018,1,0,0,1
29.10.2018,0,1,0,1
30.10.2018,0,1,0,1
31.10.2018,1,0,0,1
01.11.2018,1,0,0,1
02.11.2018,1,0,0,1
03.11.2018,1,0,0,1
04.11.2018,1,0,0,1
05.11.2018,1,0,0,1
06.11.2018,1,0,0,1
07.11.2018,1,0,0,1
08.11.2018,1,0,0,1
09.11.2018,0,1,0,1
10.11.2018,1,0,0,1
11.11.2018,1,0,0,1
12.11.2018,1,0,0,1
13.11.2018,1,0,1,2
14.11.2018,1,0,1,2
15.11.2018,1,1,0,2
16.11.2018,1,1,0,2
17.11.2018,1,1,0,2
18.11.2018,1,1,0,2
19.11.2018,1,1,2,4
20.11.2018,1,2,1,4
21.11.2018,1,2,1,4
22.11.2018,1,2,1,4
23.11.2018,1,2,1,4
24.11.2018,1,2,1,4
25.11.2018,1,2,1,4
26.11.2018,0,3,1,4
27.11.2018,0,3,1,4
28.11.2018,1,2,1,4
29.11.2018,1,2,1,4
30.11.2018,1,2,2,5
01.12.2018,1,2,2,5
02.12.2018,1,2,2,5
03.12.2018,1,2,2,5
04.12.2018,1,2,2,5
05.12.2018,1,2,2,5
06.12.2018,1,2,2,5
07.12.2018,1,2,2,5
08.12.2018,1,2,2,5
09.12.2018,1,2,2,5
10.12.2018,1,2,2,5
11.12.2018,1,2,2,5
12.12.2018,1,2,2,5
13.12.2018,1,2,2,5
14.12.2018,1,2,2,5
15.12.2018,1,2,2,5
16.12.2018,1,2,2,5
17.12.2018,1,2,1,4
18.12.2018,2,1,1,4
19.12.2018,2,1,1,4
20.12.2018,2,1,1,4
21.12.2018,2,1,1,4
22.12.2018,2,1,1,4
23.12.2018,2,1,1,4
24.12.2018,2,1,1,4
25.12.2018,2,1,1,4
26.12.2018,2,1,1,4
27.12.2018,2,1,1,4
28.12.2018,2,1,0,3
29.12.2018,2,1,0,3
30.12.2018,2,0,0,2
31.12.2018,2,0,0,2
01.01.2019,1,1,0,2
02.01.2019,1,1,0,2
03.01.2019,1,1,0,2
04.01.2019,1,1,0,2
05.01.2019,1,1,0,2
06.01.2019,1,1,0,2
07.01.2019,2,0,0,2
08.01.2019,2,1,1,4
09.01.2019,2,1,1,4
10.01.2019,2,1,2,5
11.01.2019,2,1,2,5
12.01.2019,2,1,2,5
13.01.2019,2,1,2,5
14.01.2019,2,1,2,5
15.01.2019,2,2,1,5
16.01.2019,2,2,1,5
17.01.2019,2,2,1,5
18.01.2019,2,2,1,5
19.01.2019,2,2,1,5
20.01.2019,2,2,1,5
21.01.2019,2,2,1,5
22.01.2019,2,2,1,5
23.01.2019,2,2,1,5
24.01.2019,2,2,1,5
25.01.2019,2,2,1,5
26.01.2019,2,2,1,5
27.01.2019,2,2,1,5
28.01.2019,2,2,1,5
29.01.2019,2,2,1,5
30.01.2019,2,2,1,5
31.01.2019,2,2,1,5
01.02.2019,2,2,1,5
02.02.2019,2,2,1,5
03.02.2019,2,2,1,5
04.02.2019,2,2,1,5
05.02.2019,2,2,0,4
06.02.2019,2,2,0,4
07.02.2019,2,2,0,4
08.02.2019,2,2,0,4
09.02.2019,2,2,0,4
10.02.2019,2,2,0,4
11.02.2019,2,2,0,4
12.02.2019,3,1,0,4
13.02.2019,3,1,0,4
14.02.2019,3,1,0,4
15.02.2019,3,1,0,4
16.02.2019,3,1,0,4
17.02.2019,3,1,0,4
18.02.2019,3,1,0,4
19.02.2019,3,1,0,4
20.02.2019,3,1,0,4
21.02.2019,3,1,0,4
22.02.2019,3,1,0,4
23.02.2019,3,1,0,4
