balancer,,,,
Date, Full Time, Part Time, One Time, Total
21.07.2019,0,0,1,1
22.07.2019,0,0,1,1
23.07.2019,0,1,1,2
24.07.2019,0,2,0,2
25.07.2019,0,2,0,2
26.07.2019,0,2,0,2
27.07.2019,0,2,0,2
28.07.2019,0,2,0,2
29.07.2019,0,2,0,2
30.07.2019,0,2,0,2
31.07.2019,0,2,0,2
01.08.2019,0,2,1,3
02.08.2019,0,2,1,3
03.08.2019,0,2,1,3
04.08.2019,0,2,1,3
05.08.2019,0,2,1,3
06.08.2019,0,2,1,3
07.08.2019,0,2,1,3
08.08.2019,0,3,0,3
09.08.2019,0,3,1,4
10.08.2019,0,3,3,6
11.08.2019,0,4,2,6
12.08.2019,0,4,2,6
13.08.2019,0,4,2,6
14.08.2019,0,5,1,6
15.08.2019,0,5,1,6
16.08.2019,0,5,1,6
17.08.2019,0,5,1,6
18.08.2019,0,5,1,6
19.08.2019,0,5,1,6
20.08.2019,1,4,1,6
21.08.2019,1,4,1,6
22.08.2019,1,3,1,5
23.08.2019,1,3,1,5
24.08.2019,1,3,1,5
25.08.2019,1,3,1,5
26.08.2019,1,3,1,5
27.08.2019,1,3,1,5
28.08.2019,1,3,1,5
29.08.2019,1,3,1,5
30.08.2019,1,3,1,5
31.08.2019,1,3,1,5
01.09.2019,1,3,1,5
02.09.2019,1,3,1,5
03.09.2019,1,3,1,5
04.09.2019,1,3,1,5
05.09.2019,1,3,1,5
06.09.2019,1,2,1,4
07.09.2019,1,2,0,3
08.09.2019,1,2,0,3
09.09.2019,1,2,0,3
10.09.2019,1,2,0,3
11.09.2019,1,0,0,1
12.09.2019,1,0,0,1
13.09.2019,1,0,0,1
14.09.2019,1,0,0,1
15.09.2019,1,0,0,1
16.09.2019,1,0,0,1
17.09.2019,1,0,0,1
18.09.2019,1,0,0,1
19.09.2019,1,0,0,1
20.09.2019,1,0,0,1
21.09.2019,1,0,2,3
22.09.2019,1,1,1,3
23.09.2019,1,1,1,3
24.09.2019,1,1,1,3
25.09.2019,1,1,1,3
26.09.2019,1,1,2,4
27.09.2019,1,2,1,4
28.09.2019,1,2,2,5
29.09.2019,1,2,2,5
30.09.2019,1,3,1,5
01.10.2019,1,3,1,5
02.10.2019,1,3,1,5
03.10.2019,1,3,1,5
04.10.2019,1,3,1,5
05.10.2019,1,3,1,5
06.10.2019,1,3,1,5
07.10.2019,1,3,1,5
08.10.2019,1,3,1,5
09.10.2019,1,3,1,5
10.10.2019,1,3,1,5
11.10.2019,1,3,1,5
12.10.2019,1,3,1,5
13.10.2019,1,3,1,5
14.10.2019,1,3,1,5
15.10.2019,1,3,1,5
16.10.2019,1,3,2,6
17.10.2019,1,4,1,6
18.10.2019,1,4,1,6
19.10.2019,1,5,0,6
