basic-attention-token,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,0,4,6,10
02.01.2015,0,4,5,9
03.01.2015,0,4,5,9
04.01.2015,0,4,5,9
05.01.2015,1,3,6,10
06.01.2015,1,3,6,10
07.01.2015,0,4,6,10
08.01.2015,1,4,5,10
09.01.2015,1,4,5,10
10.01.2015,1,4,5,10
11.01.2015,1,4,5,10
12.01.2015,1,4,6,11
13.01.2015,1,4,5,10
14.01.2015,1,4,4,9
15.01.2015,0,5,4,9
16.01.2015,1,4,4,9
17.01.2015,1,5,3,9
18.01.2015,1,6,1,8
19.01.2015,1,6,1,8
20.01.2015,1,6,1,8
21.01.2015,1,6,1,8
22.01.2015,2,5,1,8
23.01.2015,2,5,1,8
24.01.2015,2,5,1,8
25.01.2015,2,5,1,8
26.01.2015,2,5,1,8
27.01.2015,2,5,1,8
28.01.2015,2,5,2,9
29.01.2015,2,5,3,10
30.01.2015,2,5,4,11
31.01.2015,2,5,4,11
01.02.2015,2,5,4,11
02.02.2015,2,5,3,10
03.02.2015,2,6,2,10
04.02.2015,2,6,3,11
05.02.2015,2,5,3,10
06.02.2015,2,6,2,10
07.02.2015,3,5,2,10
08.02.2015,3,5,2,10
09.02.2015,3,5,2,10
10.02.2015,3,5,2,10
11.02.2015,3,5,2,10
12.02.2015,3,5,2,10
13.02.2015,3,5,3,11
14.02.2015,3,5,3,11
15.02.2015,3,4,3,10
16.02.2015,3,4,3,10
17.02.2015,3,4,3,10
18.02.2015,3,4,3,10
19.02.2015,3,4,4,11
20.02.2015,3,4,6,13
21.02.2015,3,4,6,13
22.02.2015,3,4,6,13
23.02.2015,3,4,6,13
24.02.2015,3,5,5,13
25.02.2015,3,6,5,14
26.02.2015,3,6,6,15
27.02.2015,3,6,6,15
28.02.2015,3,7,5,15
01.03.2015,3,7,5,15
02.03.2015,3,7,6,16
03.03.2015,4,6,6,16
04.03.2015,4,6,5,15
05.03.2015,4,6,5,15
06.03.2015,5,5,5,15
07.03.2015,5,5,5,15
08.03.2015,5,5,5,15
09.03.2015,5,4,5,14
10.03.2015,5,5,5,15
11.03.2015,5,5,6,16
12.03.2015,5,5,6,16
13.03.2015,5,5,5,15
14.03.2015,5,5,5,15
15.03.2015,5,4,7,16
16.03.2015,5,4,8,17
17.03.2015,4,5,8,17
18.03.2015,4,6,7,17
19.03.2015,4,6,7,17
20.03.2015,5,5,6,16
21.03.2015,6,4,6,16
22.03.2015,6,4,6,16
23.03.2015,6,4,7,17
24.03.2015,6,5,7,18
25.03.2015,6,6,4,16
26.03.2015,6,6,4,16
27.03.2015,6,6,4,16
28.03.2015,6,6,4,16
29.03.2015,6,6,4,16
30.03.2015,6,6,5,17
31.03.2015,6,6,5,17
01.04.2015,6,6,5,17
02.04.2015,6,8,3,17
03.04.2015,6,8,3,17
04.04.2015,6,8,3,17
05.04.2015,6,8,3,17
06.04.2015,6,8,3,17
07.04.2015,6,8,3,17
08.04.2015,6,8,2,16
09.04.2015,6,8,2,16
10.04.2015,5,8,2,15
11.04.2015,5,8,2,15
12.04.2015,5,8,2,15
13.04.2015,5,8,2,15
14.04.2015,5,8,2,15
15.04.2015,5,7,3,15
16.04.2015,5,7,3,15
17.04.2015,5,7,3,15
18.04.2015,5,7,3,15
19.04.2015,5,7,3,15
20.04.2015,5,7,3,15
21.04.2015,5,8,4,17
22.04.2015,6,7,4,17
23.04.2015,6,7,4,17
24.04.2015,6,7,4,17
25.04.2015,6,7,4,17
26.04.2015,6,7,4,17
27.04.2015,5,8,3,16
28.04.2015,5,8,3,16
29.04.2015,6,7,3,16
30.04.2015,6,7,4,17
01.05.2015,6,7,4,17
02.05.2015,7,6,4,17
03.05.2015,7,6,4,17
04.05.2015,7,5,4,16
05.05.2015,7,5,4,16
06.05.2015,7,5,4,16
07.05.2015,7,5,4,16
08.05.2015,7,5,4,16
09.05.2015,7,5,4,16
10.05.2015,7,5,4,16
11.05.2015,7,5,4,16
12.05.2015,6,6,4,16
13.05.2015,6,7,3,16
14.05.2015,6,7,3,16
