beldex,,,,
Date, Full Time, Part Time, One Time, Total
26.11.2018,0,0,1,1
27.11.2018,0,0,1,1
28.11.2018,0,0,1,1
29.11.2018,0,0,1,1
30.11.2018,0,0,1,1
01.12.2018,0,0,1,1
02.12.2018,0,0,1,1
03.12.2018,0,0,1,1
04.12.2018,0,0,1,1
05.12.2018,0,0,1,1
06.12.2018,0,0,1,1
07.12.2018,0,0,1,1
08.12.2018,0,0,1,1
09.12.2018,0,0,1,1
10.12.2018,0,0,1,1
11.12.2018,0,0,1,1
12.12.2018,0,0,1,1
13.12.2018,0,0,1,1
14.12.2018,0,0,1,1
15.12.2018,0,0,1,1
16.12.2018,0,0,1,1
17.12.2018,0,0,1,1
18.12.2018,0,0,1,1
19.12.2018,0,0,1,1
20.12.2018,0,0,1,1
21.12.2018,0,0,1,1
22.12.2018,0,0,1,1
23.12.2018,0,0,1,1
04.01.2019,0,1,0,1
05.01.2019,0,1,0,1
06.01.2019,0,1,0,1
07.01.2019,0,1,0,1
08.01.2019,0,1,0,1
09.01.2019,0,1,0,1
10.01.2019,0,1,0,1
11.01.2019,0,1,0,1
12.01.2019,0,1,0,1
13.01.2019,0,1,0,1
14.01.2019,0,1,0,1
15.01.2019,0,1,0,1
16.01.2019,0,1,0,1
17.01.2019,0,1,0,1
18.01.2019,0,1,0,1
19.01.2019,0,1,0,1
20.01.2019,0,1,0,1
21.01.2019,0,1,0,1
22.01.2019,0,1,0,1
23.01.2019,0,1,0,1
24.01.2019,0,1,0,1
25.01.2019,0,1,0,1
26.01.2019,0,1,0,1
27.01.2019,0,1,0,1
28.01.2019,0,1,0,1
29.01.2019,0,1,1,2
30.01.2019,0,2,0,2
31.01.2019,0,2,0,2
01.02.2019,0,2,2,4
02.02.2019,0,2,2,4
03.02.2019,0,2,2,4
04.02.2019,0,2,2,4
05.02.2019,0,2,2,4
06.02.2019,0,2,2,4
07.02.2019,0,2,2,4
08.02.2019,0,2,2,4
09.02.2019,0,2,2,4
10.02.2019,0,2,2,4
11.02.2019,0,2,2,4
12.02.2019,0,2,2,4
13.02.2019,0,2,2,4
14.02.2019,0,2,3,5
15.02.2019,0,2,3,5
16.02.2019,0,2,3,5
17.02.2019,0,2,3,5
18.02.2019,0,2,3,5
19.02.2019,0,2,3,5
20.02.2019,0,2,3,5
21.02.2019,0,2,3,5
22.02.2019,0,2,3,5
23.02.2019,0,2,3,5
24.02.2019,0,2,3,5
25.02.2019,0,2,3,5
26.02.2019,0,2,3,5
27.02.2019,0,2,3,5
28.02.2019,0,2,3,5
01.03.2019,0,2,1,3
02.03.2019,0,2,1,3
03.03.2019,0,2,1,3
04.03.2019,0,2,1,3
05.03.2019,0,2,1,3
06.03.2019,0,2,1,3
07.03.2019,0,2,1,3
08.03.2019,0,2,1,3
09.03.2019,0,2,1,3
10.03.2019,0,2,1,3
11.03.2019,0,2,1,3
12.03.2019,0,2,1,3
13.03.2019,0,2,1,3
14.03.2019,0,2,0,2
15.03.2019,0,1,0,1
16.03.2019,0,1,0,1
17.03.2019,0,1,0,1
18.03.2019,0,1,0,1
19.03.2019,0,1,0,1
20.03.2019,0,0,1,1
21.03.2019,0,0,1,1
22.03.2019,0,1,0,1
23.03.2019,0,1,0,1
24.03.2019,0,1,0,1
25.03.2019,0,1,0,1
26.03.2019,0,1,0,1
27.03.2019,0,1,0,1
28.03.2019,0,1,0,1
29.03.2019,0,1,0,1
30.03.2019,0,1,0,1
31.03.2019,0,1,0,1
01.04.2019,0,1,0,1
02.04.2019,0,1,1,2
03.04.2019,0,4,0,4
04.04.2019,0,4,0,4
05.04.2019,0,5,0,5
06.04.2019,0,5,0,5
07.04.2019,0,5,0,5
08.04.2019,0,5,0,5
09.04.2019,0,5,0,5
10.04.2019,0,6,0,6
11.04.2019,0,6,0,6
12.04.2019,0,6,0,6
13.04.2019,0,6,0,6
14.04.2019,0,6,0,6
15.04.2019,0,6,0,6
16.04.2019,0,6,0,6
17.04.2019,0,6,0,6
18.04.2019,0,6,0,6
19.04.2019,1,5,0,6
20.04.2019,1,5,0,6
21.04.2019,1,5,0,6
22.04.2019,1,5,0,6
23.04.2019,1,5,0,6
24.04.2019,1,5,0,6
25.04.2019,1,5,0,6
26.04.2019,1,5,0,6
27.04.2019,1,5,0,6
28.04.2019,1,5,0,6
29.04.2019,1,5,1,7
30.04.2019,1,5,1,7
01.05.2019,1,4,1,6
02.05.2019,1,4,1,6
03.05.2019,1,4,1,6
04.05.2019,1,4,1,6
05.05.2019,1,4,1,6
06.05.2019,1,4,1,6
07.05.2019,1,4,1,6
08.05.2019,1,4,1,6
09.05.2019,1,4,1,6
10.05.2019,1,4,1,6
11.05.2019,1,4,1,6
12.05.2019,1,4,1,6
13.05.2019,1,4,1,6
14.05.2019,1,4,1,6
15.05.2019,1,4,1,6
16.05.2019,1,4,1,6
17.05.2019,1,4,1,6
18.05.2019,1,4,1,6
19.05.2019,1,4,1,6
20.05.2019,1,4,1,6
21.05.2019,1,4,1,6
22.05.2019,1,4,1,6
23.05.2019,1,4,1,6
24.05.2019,1,4,1,6
25.05.2019,0,3,1,4
26.05.2019,0,3,1,4
27.05.2019,0,3,0,3
28.05.2019,0,1,0,1
29.05.2019,0,1,0,1
30.05.2019,0,1,0,1
31.05.2019,0,1,0,1
01.06.2019,0,1,0,1
02.06.2019,0,1,0,1
03.06.2019,0,1,0,1
04.06.2019,0,1,0,1
05.06.2019,0,1,0,1
06.06.2019,0,2,1,3
07.06.2019,0,3,0,3
08.06.2019,0,3,0,3
09.06.2019,0,3,0,3
10.06.2019,0,3,0,3
11.06.2019,0,3,0,3
12.06.2019,0,3,0,3
13.06.2019,0,3,0,3
14.06.2019,0,3,0,3
15.06.2019,0,3,0,3
16.06.2019,0,3,0,3
17.06.2019,0,3,0,3
18.06.2019,0,3,0,3
19.06.2019,0,3,0,3
20.06.2019,0,3,0,3
21.06.2019,0,3,0,3
22.06.2019,0,3,0,3
23.06.2019,0,3,0,3
24.06.2019,0,3,0,3
25.06.2019,1,2,0,3
26.06.2019,1,2,0,3
27.06.2019,1,2,0,3
28.06.2019,0,3,0,3
29.06.2019,0,3,0,3
30.06.2019,0,3,0,3
01.07.2019,0,3,0,3
02.07.2019,0,3,0,3
03.07.2019,0,3,0,3
04.07.2019,0,2,0,2
05.07.2019,0,1,0,1
06.07.2019,0,1,0,1
07.07.2019,0,1,0,1
08.07.2019,0,1,0,1
09.07.2019,0,1,0,1
10.07.2019,0,1,0,1
11.07.2019,0,1,0,1
12.07.2019,0,1,0,1
13.07.2019,0,1,0,1
14.07.2019,0,1,0,1
15.07.2019,0,1,0,1
16.07.2019,0,1,0,1
