bitcoin,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,38,69,41,148
02.01.2015,40,69,43,152
03.01.2015,42,68,42,152
04.01.2015,42,69,37,148
05.01.2015,45,70,36,151
06.01.2015,44,73,34,151
07.01.2015,44,75,36,155
08.01.2015,44,74,34,152
09.01.2015,46,71,34,151
10.01.2015,47,69,34,150
11.01.2015,47,70,38,155
12.01.2015,48,72,40,160
13.01.2015,49,73,40,162
14.01.2015,49,73,38,160
15.01.2015,46,78,36,160
16.01.2015,48,74,34,156
17.01.2015,48,74,36,158
18.01.2015,49,77,34,160
19.01.2015,49,77,34,160
20.01.2015,49,78,34,161
21.01.2015,48,78,35,161
22.01.2015,46,81,33,160
23.01.2015,45,81,38,164
24.01.2015,45,81,41,167
25.01.2015,43,83,39,165
26.01.2015,43,82,40,165
27.01.2015,44,83,41,168
28.01.2015,43,84,38,165
29.01.2015,44,84,37,165
30.01.2015,43,84,35,162
31.01.2015,44,84,38,166
01.02.2015,44,85,40,169
02.02.2015,46,84,42,172
03.02.2015,47,83,41,171
04.02.2015,46,86,38,170
05.02.2015,43,88,36,167
06.02.2015,43,88,36,167
07.02.2015,41,91,39,171
08.02.2015,41,91,39,171
09.02.2015,40,93,41,174
10.02.2015,42,87,39,168
11.02.2015,42,86,36,164
12.02.2015,41,84,36,161
13.02.2015,42,80,37,159
14.02.2015,44,83,37,164
15.02.2015,45,80,35,160
16.02.2015,45,80,36,161
17.02.2015,45,83,35,163
18.02.2015,45,83,38,166
19.02.2015,42,88,38,168
20.02.2015,41,89,38,168
21.02.2015,44,86,40,170
22.02.2015,43,85,38,166
23.02.2015,43,86,36,165
24.02.2015,43,85,38,166
25.02.2015,45,85,38,168
26.02.2015,46,83,37,166
27.02.2015,44,85,37,166
28.02.2015,44,85,36,165
01.03.2015,45,84,38,167
02.03.2015,46,82,37,165
03.03.2015,46,81,40,167
04.03.2015,45,83,36,164
05.03.2015,43,86,37,166
06.03.2015,44,86,36,166
07.03.2015,44,85,35,164
08.03.2015,45,85,33,163
09.03.2015,45,86,29,160
10.03.2015,44,85,30,159
11.03.2015,44,87,32,163
12.03.2015,46,89,33,168
13.03.2015,47,87,34,168
14.03.2015,46,79,36,161
15.03.2015,47,78,35,160
16.03.2015,45,79,34,158
17.03.2015,46,76,35,157
18.03.2015,47,76,34,157
19.03.2015,47,73,38,158
20.03.2015,47,72,35,154
21.03.2015,47,73,32,152
22.03.2015,47,76,30,153
23.03.2015,47,75,29,151
24.03.2015,48,75,27,150
25.03.2015,48,77,26,151
26.03.2015,49,76,27,152
27.03.2015,46,78,29,153
28.03.2015,46,78,30,154
29.03.2015,46,78,33,157
30.03.2015,46,82,31,159
31.03.2015,46,82,30,158
01.04.2015,45,83,30,158
02.04.2015,43,83,34,160
03.04.2015,42,79,36,157
04.04.2015,42,79,37,158
05.04.2015,42,77,42,161
06.04.2015,40,76,43,159
07.04.2015,40,74,43,157
08.04.2015,40,74,44,158
09.04.2015,42,73,44,159
10.04.2015,42,73,46,161
11.04.2015,43,75,45,163
12.04.2015,41,77,45,163
13.04.2015,40,79,44,163
14.04.2015,40,78,43,161
15.04.2015,40,77,41,158
16.04.2015,39,76,38,153
17.04.2015,39,75,39,153
18.04.2015,40,74,40,154
19.04.2015,40,72,40,152
20.04.2015,40,72,43,155
21.04.2015,40,68,44,152
22.04.2015,42,68,45,155
23.04.2015,42,69,44,155
24.04.2015,42,68,43,153
25.04.2015,43,69,43,155
26.04.2015,44,69,41,154
27.04.2015,43,67,42,152
28.04.2015,44,67,45,156
29.04.2015,44,71,46,161
30.04.2015,43,74,45,162
01.05.2015,42,75,45,162
02.05.2015,40,77,44,161
03.05.2015,40,80,44,164
04.05.2015,41,81,43,165
05.05.2015,42,79,43,164
06.05.2015,42,76,44,162
07.05.2015,41,77,45,163
08.05.2015,39,78,43,160
09.05.2015,41,73,43,157
10.05.2015,40,75,45,160
11.05.2015,40,75,45,160
12.05.2015,38,75,45,158
13.05.2015,38,74,50,162
14.05.2015,39,75,50,164
15.05.2015,39,77,48,164
16.05.2015,40,77,46,163
17.05.2015,40,78,45,163
18.05.2015,40,80,42,162
19.05.2015,40,79,41,160
20.05.2015,41,76,43,160
21.05.2015,40,75,41,156
22.05.2015,40,77,42,159
23.05.2015,39,76,40,155
24.05.2015,40,76,39,155
25.05.2015,39,76,39,154
26.05.2015,39,77,37,153
27.05.2015,39,76,34,149
28.05.2015,38,80,30,148
29.05.2015,36,80,32,148
30.05.2015,36,81,32,149
31.05.2015,36,80,27,143
01.06.2015,38,76,29,143
02.06.2015,39,77,30,146
03.06.2015,39,78,28,145
04.06.2015,38,79,31,148
05.06.2015,38,80,30,148
06.06.2015,38,79,30,147
07.06.2015,38,81,32,151
08.06.2015,37,87,28,152
09.06.2015,38,86,33,157
10.06.2015,38,86,35,159
11.06.2015,38,87,36,161
12.06.2015,41,87,43,171
13.06.2015,39,86,44,169
14.06.2015,39,87,42,168
15.06.2015,39,89,42,170
16.06.2015,38,88,45,171
17.06.2015,39,88,48,175
18.06.2015,38,90,50,178
19.06.2015,38,92,47,177
20.06.2015,38,92,46,176
21.06.2015,38,90,47,175
22.06.2015,38,92,48,178
23.06.2015,37,96,44,177
24.06.2015,37,96,45,178
25.06.2015,37,95,45,177
26.06.2015,36,95,43,174
27.06.2015,36,94,44,174
28.06.2015,37,94,43,174
29.06.2015,37,96,44,177
30.06.2015,38,96,45,179
01.07.2015,37,100,44,181
02.07.2015,35,103,39,177
03.07.2015,36,101,40,177
04.07.2015,37,102,39,178
05.07.2015,36,105,37,178
06.07.2015,38,103,39,180
07.07.2015,40,98,36,174
08.07.2015,40,97,42,179
09.07.2015,39,97,37,173
10.07.2015,39,96,34,169
11.07.2015,40,97,36,173
12.07.2015,39,97,37,173
13.07.2015,39,97,36,172
14.07.2015,36,102,38,176
15.07.2015,35,110,34,179
16.07.2015,35,107,30,172
17.07.2015,35,109,32,176
18.07.2015,34,108,36,178
19.07.2015,36,107,38,181
20.07.2015,35,108,40,183
21.07.2015,36,102,43,181
22.07.2015,35,103,43,181
23.07.2015,36,104,44,184
24.07.2015,34,105,46,185
25.07.2015,34,103,44,181
26.07.2015,33,104,45,182
27.07.2015,36,103,44,183
28.07.2015,37,101,41,179
29.07.2015,37,100,42,179
30.07.2015,36,102,42,180
31.07.2015,37,101,43,181
01.08.2015,38,102,42,182
02.08.2015,38,101,46,185
03.08.2015,37,98,46,181
04.08.2015,39,95,48,182
05.08.2015,39,95,42,176
06.08.2015,40,92,44,176
07.08.2015,38,96,39,173
08.08.2015,41,93,37,171
09.08.2015,39,92,38,169
10.08.2015,38,90,40,168
11.08.2015,37,90,41,168
12.08.2015,38,89,42,169
13.08.2015,40,87,41,168
14.08.2015,40,89,40,169
15.08.2015,40,90,40,170
16.08.2015,41,90,38,169
17.08.2015,41,87,38,166
18.08.2015,44,87,34,165
19.08.2015,41,89,34,164
20.08.2015,42,88,31,161
21.08.2015,41,89,31,161
22.08.2015,41,88,31,160
23.08.2015,40,88,31,159
24.08.2015,42,84,33,159
25.08.2015,43,81,34,158
26.08.2015,42,84,37,163
27.08.2015,41,85,34,160
28.08.2015,40,84,37,161
29.08.2015,41,83,36,160
30.08.2015,39,84,33,156
31.08.2015,41,82,31,154
01.09.2015,43,80,34,157
02.09.2015,41,83,32,156
03.09.2015,43,80,34,157
04.09.2015,42,82,36,160
05.09.2015,42,81,35,158
06.09.2015,42,79,35,156
07.09.2015,41,80,38,159
08.09.2015,41,80,36,157
09.09.2015,41,81,36,158
10.09.2015,42,79,35,156
11.09.2015,41,79,35,155
12.09.2015,41,77,37,155
13.09.2015,41,77,39,157
14.09.2015,41,77,40,158
15.09.2015,42,76,40,158
16.09.2015,40,76,39,155
17.09.2015,40,81,38,159
18.09.2015,40,82,39,161
19.09.2015,41,81,41,163
20.09.2015,42,79,44,165
21.09.2015,44,77,43,164
22.09.2015,43,81,44,168
23.09.2015,41,81,43,165
24.09.2015,40,81,46,167
25.09.2015,38,82,43,163
26.09.2015,39,81,42,162
27.09.2015,40,81,41,162
28.09.2015,39,81,43,163
29.09.2015,38,79,44,161
30.09.2015,39,79,47,165
01.10.2015,39,74,47,160
02.10.2015,39,71,48,158
03.10.2015,40,71,47,158
04.10.2015,40,71,48,159
05.10.2015,36,77,45,158
06.10.2015,36,74,45,155
07.10.2015,35,76,46,157
08.10.2015,36,73,45,154
09.10.2015,37,71,47,155
10.10.2015,36,73,45,154
11.10.2015,38,73,43,154
12.10.2015,38,76,45,159
13.10.2015,38,79,44,161
14.10.2015,38,80,43,161
15.10.2015,38,80,44,162
16.10.2015,38,81,43,162
17.10.2015,38,80,43,161
18.10.2015,38,79,45,162
19.10.2015,39,80,44,163
20.10.2015,38,81,40,159
21.10.2015,37,83,41,161
22.10.2015,39,82,44,165
23.10.2015,38,87,41,166
24.10.2015,39,85,45,169
25.10.2015,39,85,45,169
26.10.2015,40,81,44,165
27.10.2015,39,83,44,166
28.10.2015,38,84,39,161
29.10.2015,38,83,41,162
30.10.2015,36,85,36,157
31.10.2015,35,84,37,156
01.11.2015,35,83,38,156
02.11.2015,33,85,36,154
03.11.2015,36,84,36,156
04.11.2015,37,84,38,159
05.11.2015,38,85,42,165
06.11.2015,36,86,43,165
07.11.2015,37,86,44,167
08.11.2015,36,86,42,164
09.11.2015,36,86,45,167
10.11.2015,36,84,48,168
11.11.2015,36,90,49,175
12.11.2015,36,90,47,173
13.11.2015,36,92,50,178
14.11.2015,36,91,48,175
15.11.2015,37,92,49,178
16.11.2015,36,94,50,180
17.11.2015,36,94,52,182
18.11.2015,36,95,49,180
19.11.2015,38,91,49,178
20.11.2015,38,88,52,178
21.11.2015,38,87,50,175
22.11.2015,39,86,53,178
23.11.2015,37,88,54,179
24.11.2015,37,85,52,174
25.11.2015,37,85,53,175
26.11.2015,37,83,50,170
27.11.2015,37,82,51,170
28.11.2015,38,82,51,171
29.11.2015,39,81,50,170
30.11.2015,36,82,51,169
01.12.2015,36,84,47,167
02.12.2015,36,82,44,162
03.12.2015,35,85,39,159
04.12.2015,32,86,44,162
05.12.2015,36,85,45,166
06.12.2015,35,83,48,166
07.12.2015,36,83,45,164
08.12.2015,35,85,43,163
09.12.2015,33,86,42,161
10.12.2015,34,82,46,162
11.12.2015,35,77,44,156
12.12.2015,34,76,46,156
13.12.2015,35,77,44,156
14.12.2015,32,77,48,157
15.12.2015,33,69,57,159
16.12.2015,33,67,58,158
17.12.2015,31,67,57,155
18.12.2015,31,71,58,160
19.12.2015,31,72,57,160
20.12.2015,34,67,56,157
21.12.2015,33,69,53,155
22.12.2015,34,67,54,155
23.12.2015,35,65,55,155
24.12.2015,34,67,56,157
25.12.2015,35,68,55,158
26.12.2015,35,68,53,156
27.12.2015,35,69,53,157
28.12.2015,35,71,53,159
29.12.2015,38,68,56,162
30.12.2015,38,74,55,167
31.12.2015,38,74,54,166
01.01.2016,39,73,50,162
02.01.2016,35,75,48,158
