bnb,,,,
Date, Full Time, Part Time, One Time, Total
06.01.2015,0,1,0,1
07.01.2015,0,0,1,1
08.01.2015,0,0,1,1
09.01.2015,0,0,1,1
10.01.2015,0,0,1,1
11.01.2015,0,0,1,1
12.01.2015,0,0,1,1
13.01.2015,0,0,1,1
14.01.2015,0,0,1,1
15.01.2015,0,0,1,1
16.01.2015,0,0,1,1
17.01.2015,0,0,1,1
18.01.2015,0,1,0,1
19.01.2015,0,1,0,1
20.01.2015,0,1,0,1
21.01.2015,0,1,0,1
22.01.2015,0,1,0,1
23.01.2015,0,1,0,1
24.01.2015,0,1,0,1
25.01.2015,0,1,0,1
26.01.2015,0,1,1,2
27.01.2015,0,2,0,2
28.01.2015,0,2,0,2
29.01.2015,0,2,0,2
30.01.2015,0,2,0,2
31.01.2015,0,2,0,2
01.02.2015,0,2,0,2
02.02.2015,0,2,0,2
03.02.2015,0,2,0,2
04.02.2015,0,2,0,2
05.02.2015,0,2,0,2
06.02.2015,0,2,0,2
07.02.2015,0,2,0,2
08.02.2015,0,2,0,2
09.02.2015,0,2,0,2
10.02.2015,0,2,0,2
11.02.2015,0,2,0,2
12.02.2015,0,2,0,2
13.02.2015,0,2,0,2
14.02.2015,0,2,0,2
15.02.2015,0,1,0,1
16.02.2015,0,1,0,1
17.02.2015,0,1,0,1
18.02.2015,0,1,0,1
19.02.2015,0,1,0,1
20.02.2015,0,1,0,1
21.02.2015,0,1,0,1
22.02.2015,0,1,0,1
23.02.2015,0,1,0,1
17.04.2015,0,0,1,1
18.04.2015,0,0,1,1
19.04.2015,0,0,1,1
20.04.2015,0,0,1,1
21.04.2015,0,0,1,1
22.04.2015,0,0,2,2
23.04.2015,0,0,2,2
24.04.2015,0,0,2,2
25.04.2015,0,0,2,2
26.04.2015,0,0,2,2
27.04.2015,0,0,2,2
28.04.2015,0,0,2,2
29.04.2015,0,0,2,2
30.04.2015,0,0,2,2
01.05.2015,0,0,2,2
02.05.2015,0,0,2,2
03.05.2015,0,0,2,2
04.05.2015,0,1,1,2
05.05.2015,0,1,1,2
06.05.2015,0,1,1,2
07.05.2015,0,1,1,2
08.05.2015,0,1,1,2
09.05.2015,0,1,1,2
10.05.2015,0,1,1,2
11.05.2015,0,1,1,2
12.05.2015,0,1,1,2
13.05.2015,0,1,1,2
14.05.2015,0,1,1,2
15.05.2015,0,1,0,1
16.05.2015,0,1,0,1
17.05.2015,0,1,0,1
18.05.2015,0,1,0,1
19.05.2015,0,1,2,3
20.05.2015,0,2,1,3
21.05.2015,0,2,1,3
22.05.2015,0,2,1,3
23.05.2015,0,2,1,3
24.05.2015,0,3,0,3
25.05.2015,0,3,0,3
26.05.2015,0,3,0,3
27.05.2015,0,3,0,3
28.05.2015,0,3,0,3
29.05.2015,0,3,0,3
30.05.2015,0,3,0,3
31.05.2015,0,3,0,3
01.06.2015,0,2,0,2
02.06.2015,0,2,0,2
03.06.2015,0,2,2,4
04.06.2015,0,2,2,4
05.06.2015,0,2,2,4
06.06.2015,0,2,2,4
07.06.2015,0,2,2,4
08.06.2015,0,2,2,4
09.06.2015,0,2,2,4
10.06.2015,0,2,2,4
11.06.2015,0,2,2,4
12.06.2015,0,2,2,4
13.06.2015,0,2,2,4
14.06.2015,0,2,2,4
15.06.2015,0,2,2,4
16.06.2015,0,2,2,4
17.06.2015,0,3,1,4
18.06.2015,0,3,1,4
19.06.2015,0,3,1,4
20.06.2015,0,3,1,4
21.06.2015,1,2,1,4
22.06.2015,1,2,1,4
23.06.2015,0,3,1,4
24.06.2015,0,3,1,4
25.06.2015,0,3,1,4
26.06.2015,0,3,1,4
27.06.2015,0,3,1,4
28.06.2015,0,3,1,4
29.06.2015,0,3,1,4
30.06.2015,0,3,1,4
01.07.2015,1,2,0,3
02.07.2015,1,2,0,3
03.07.2015,1,1,1,3
04.07.2015,1,1,1,3
05.07.2015,1,1,1,3
06.07.2015,0,3,0,3
07.07.2015,1,2,0,3
08.07.2015,1,2,0,3
09.07.2015,1,2,0,3
10.07.2015,1,3,0,4
11.07.2015,1,3,0,4
12.07.2015,1,3,0,4
13.07.2015,1,3,0,4
14.07.2015,1,3,0,4
15.07.2015,1,3,0,4
16.07.2015,1,3,0,4
17.07.2015,1,3,0,4
18.07.2015,1,3,0,4
19.07.2015,1,3,0,4
20.07.2015,1,3,0,4
21.07.2015,0,4,0,4
22.07.2015,0,4,0,4
23.07.2015,0,4,0,4
24.07.2015,0,4,0,4
25.07.2015,0,4,0,4
26.07.2015,0,4,0,4
27.07.2015,0,4,0,4
28.07.2015,0,4,1,5
29.07.2015,1,3,1,5
30.07.2015,1,3,1,5
31.07.2015,1,3,1,5
01.08.2015,1,3,1,5
02.08.2015,1,3,1,5
03.08.2015,2,2,1,5
04.08.2015,2,2,1,5
05.08.2015,2,2,1,5
06.08.2015,2,2,2,6
07.08.2015,2,1,2,5
08.08.2015,2,1,3,6
09.08.2015,2,1,3,6
10.08.2015,2,1,3,6
11.08.2015,2,1,3,6
12.08.2015,2,1,3,6
13.08.2015,2,1,3,6
14.08.2015,2,1,3,6
15.08.2015,2,1,3,6
16.08.2015,2,1,3,6
17.08.2015,2,1,3,6
18.08.2015,1,2,3,6
19.08.2015,1,3,2,6
20.08.2015,1,3,3,7
21.08.2015,1,3,3,7
22.08.2015,2,2,3,7
23.08.2015,2,2,3,7
24.08.2015,2,2,3,7
25.08.2015,2,2,2,6
26.08.2015,2,2,2,6
27.08.2015,2,2,2,6
28.08.2015,2,2,2,6
29.08.2015,2,2,2,6
30.08.2015,2,2,2,6
31.08.2015,2,1,2,5
01.09.2015,2,1,2,5
02.09.2015,2,1,2,5
03.09.2015,2,1,1,4
04.09.2015,2,1,1,4
05.09.2015,2,1,1,4
06.09.2015,2,1,1,4
07.09.2015,2,1,1,4
08.09.2015,2,1,1,4
09.09.2015,2,1,1,4
10.09.2015,2,1,1,4
11.09.2015,2,1,1,4
12.09.2015,2,1,1,4
13.09.2015,2,1,1,4
14.09.2015,2,1,1,4
15.09.2015,2,1,1,4
16.09.2015,1,2,2,5
17.09.2015,1,2,2,5
18.09.2015,1,2,1,4
19.09.2015,2,1,1,4
20.09.2015,2,1,1,4
21.09.2015,2,3,0,5
22.09.2015,2,3,0,5
23.09.2015,2,3,0,5
24.09.2015,2,3,0,5
25.09.2015,2,3,0,5
26.09.2015,2,3,0,5
27.09.2015,2,4,0,6
28.09.2015,2,4,0,6
29.09.2015,2,4,0,6
30.09.2015,2,4,0,6
01.10.2015,2,4,0,6
02.10.2015,2,3,1,6
