boba,,,,
Date, Full Time, Part Time, One Time, Total
06.09.2017,0,0,1,1
07.09.2017,0,0,1,1
08.09.2017,0,0,1,1
09.09.2017,0,0,1,1
10.09.2017,0,0,1,1
11.09.2017,0,0,1,1
12.09.2017,0,0,1,1
13.09.2017,0,1,0,1
14.09.2017,0,1,0,1
15.09.2017,0,1,0,1
16.09.2017,0,1,0,1
17.09.2017,0,1,0,1
18.09.2017,0,1,0,1
19.09.2017,0,1,0,1
20.09.2017,0,1,0,1
21.09.2017,0,1,0,1
22.09.2017,0,1,0,1
23.09.2017,0,1,0,1
24.09.2017,0,1,0,1
25.09.2017,0,1,0,1
26.09.2017,0,1,0,1
27.09.2017,0,1,0,1
28.09.2017,0,1,0,1
29.09.2017,0,1,0,1
30.09.2017,0,1,0,1
01.10.2017,0,1,1,2
02.10.2017,0,2,0,2
03.10.2017,0,2,0,2
04.10.2017,0,2,0,2
05.10.2017,0,2,1,3
06.10.2017,0,2,1,3
07.10.2017,0,2,1,3
08.10.2017,0,2,1,3
09.10.2017,0,2,3,5
10.10.2017,0,3,3,6
11.10.2017,1,2,3,6
12.10.2017,1,4,1,6
13.10.2017,1,4,1,6
14.10.2017,1,4,1,6
15.10.2017,1,4,1,6
16.10.2017,1,4,1,6
17.10.2017,1,4,1,6
18.10.2017,1,4,1,6
19.10.2017,1,4,1,6
20.10.2017,1,4,1,6
21.10.2017,1,4,1,6
22.10.2017,1,4,1,6
23.10.2017,1,4,1,6
24.10.2017,1,4,1,6
25.10.2017,1,4,2,7
26.10.2017,1,4,2,7
27.10.2017,1,4,2,7
28.10.2017,1,4,2,7
29.10.2017,1,4,2,7
30.10.2017,2,4,1,7
31.10.2017,2,4,1,7
01.11.2017,2,4,1,7
02.11.2017,2,4,1,7
03.11.2017,1,5,2,8
04.11.2017,1,5,2,8
05.11.2017,1,5,2,8
06.11.2017,1,6,1,8
07.11.2017,2,5,1,8
08.11.2017,2,5,1,8
09.11.2017,2,5,1,8
10.11.2017,2,5,1,8
11.11.2017,2,5,1,8
12.11.2017,2,5,1,8
13.11.2017,2,5,1,8
14.11.2017,2,5,1,8
15.11.2017,2,5,1,8
16.11.2017,3,4,1,8
17.11.2017,3,4,1,8
18.11.2017,3,4,1,8
19.11.2017,3,4,1,8
20.11.2017,4,3,1,8
21.11.2017,4,3,1,8
22.11.2017,4,3,0,7
23.11.2017,4,3,0,7
24.11.2017,4,3,0,7
25.11.2017,4,3,0,7
26.11.2017,4,3,0,7
27.11.2017,5,2,0,7
28.11.2017,5,2,0,7
29.11.2017,5,2,0,7
30.11.2017,5,2,0,7
01.12.2017,4,3,0,7
02.12.2017,4,3,0,7
03.12.2017,4,3,0,7
04.12.2017,5,2,0,7
05.12.2017,5,2,0,7
06.12.2017,5,2,1,8
07.12.2017,5,2,1,8
08.12.2017,5,1,1,7
09.12.2017,5,1,1,7
10.12.2017,5,1,1,7
11.12.2017,5,1,1,7
12.12.2017,5,1,1,7
13.12.2017,5,1,2,8
14.12.2017,5,2,1,8
15.12.2017,5,2,1,8
16.12.2017,5,2,1,8
17.12.2017,5,2,1,8
18.12.2017,5,2,1,8
19.12.2017,5,2,1,8
20.12.2017,5,2,1,8
21.12.2017,5,2,1,8
22.12.2017,5,2,1,8
23.12.2017,5,2,1,8
24.12.2017,5,2,1,8
25.12.2017,5,2,1,8
26.12.2017,5,2,1,8
27.12.2017,5,2,1,8
28.12.2017,5,2,1,8
29.12.2017,5,2,1,8
30.12.2017,5,2,1,8
31.12.2017,5,2,2,9
01.01.2018,5,2,2,9
02.01.2018,5,2,2,9
03.01.2018,5,3,0,8
04.01.2018,5,3,1,9
05.01.2018,5,3,1,9
06.01.2018,5,3,1,9
07.01.2018,5,3,1,9
08.01.2018,5,4,0,9
09.01.2018,5,4,0,9
10.01.2018,5,4,2,11
11.01.2018,5,5,0,10
12.01.2018,5,5,0,10
