cardano,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,0,2,1,3
02.01.2015,0,2,1,3
03.01.2015,0,2,1,3
04.01.2015,0,2,1,3
05.01.2015,0,2,1,3
06.01.2015,0,2,1,3
07.01.2015,0,2,1,3
08.01.2015,0,2,1,3
09.01.2015,0,2,1,3
10.01.2015,0,2,1,3
11.01.2015,0,2,0,2
12.01.2015,0,2,0,2
13.01.2015,0,2,0,2
14.01.2015,0,2,0,2
15.01.2015,0,2,0,2
16.01.2015,0,2,0,2
17.01.2015,0,2,0,2
18.01.2015,0,2,2,4
19.01.2015,0,2,2,4
20.01.2015,0,2,2,4
21.01.2015,0,2,2,4
22.01.2015,0,2,2,4
23.01.2015,0,2,4,6
24.01.2015,0,3,3,6
25.01.2015,0,3,3,6
26.01.2015,0,3,3,6
27.01.2015,0,3,3,6
28.01.2015,0,4,2,6
29.01.2015,0,4,2,6
30.01.2015,0,4,2,6
31.01.2015,0,4,2,6
01.02.2015,0,4,2,6
02.02.2015,0,4,2,6
03.02.2015,0,4,2,6
04.02.2015,0,4,2,6
05.02.2015,0,4,2,6
06.02.2015,0,4,2,6
07.02.2015,0,4,2,6
08.02.2015,0,6,0,6
09.02.2015,0,6,0,6
10.02.2015,0,6,1,7
11.02.2015,0,6,1,7
12.02.2015,0,6,2,8
13.02.2015,0,6,2,8
14.02.2015,0,6,2,8
15.02.2015,0,6,2,8
16.02.2015,0,6,2,8
17.02.2015,0,6,2,8
18.02.2015,0,6,2,8
19.02.2015,0,6,2,8
20.02.2015,0,6,3,9
21.02.2015,0,6,3,9
22.02.2015,0,6,3,9
23.02.2015,0,6,3,9
24.02.2015,0,6,3,9
25.02.2015,0,6,3,9
26.02.2015,0,6,3,9
27.02.2015,0,6,3,9
28.02.2015,0,6,3,9
01.03.2015,0,6,3,9
02.03.2015,0,6,3,9
03.03.2015,0,6,3,9
04.03.2015,0,6,3,9
05.03.2015,0,6,3,9
06.03.2015,0,6,3,9
07.03.2015,0,6,4,10
08.03.2015,0,5,4,9
09.03.2015,0,5,4,9
10.03.2015,1,2,3,6
11.03.2015,1,2,3,6
12.03.2015,1,2,2,5
13.03.2015,1,2,2,5
14.03.2015,1,2,2,5
15.03.2015,1,2,2,5
16.03.2015,1,1,2,4
17.03.2015,1,3,2,6
18.03.2015,1,3,2,6
19.03.2015,1,4,2,7
20.03.2015,0,5,1,6
21.03.2015,0,7,1,8
22.03.2015,1,6,1,8
23.03.2015,1,6,1,8
24.03.2015,1,6,1,8
25.03.2015,1,6,1,8
26.03.2015,1,6,1,8
27.03.2015,1,6,1,8
28.03.2015,1,6,1,8
29.03.2015,1,6,1,8
30.03.2015,1,6,1,8
31.03.2015,1,6,1,8
01.04.2015,1,6,1,8
02.04.2015,1,6,1,8
03.04.2015,0,8,0,8
04.04.2015,1,7,0,8
05.04.2015,1,7,0,8
06.04.2015,1,7,0,8
07.04.2015,1,7,0,8
08.04.2015,1,7,0,8
09.04.2015,1,7,1,9
10.04.2015,1,7,1,9
11.04.2015,1,7,1,9
12.04.2015,1,7,1,9
13.04.2015,1,7,1,9
14.04.2015,1,6,1,8
15.04.2015,1,6,1,8
16.04.2015,1,6,1,8
17.04.2015,1,6,1,8
18.04.2015,1,5,1,7
19.04.2015,1,5,1,7
20.04.2015,1,5,1,7
21.04.2015,1,5,1,7
22.04.2015,1,5,1,7
23.04.2015,1,5,1,7
24.04.2015,1,5,2,8
25.04.2015,1,5,2,8
26.04.2015,1,5,2,8
27.04.2015,1,5,2,8
28.04.2015,1,5,3,9
29.04.2015,1,5,2,8
30.04.2015,1,4,2,7
01.05.2015,1,3,2,6
02.05.2015,1,3,2,6
03.05.2015,1,4,2,7
04.05.2015,1,6,1,8
05.05.2015,1,6,1,8
06.05.2015,1,6,1,8
07.05.2015,1,6,0,7
08.05.2015,1,6,0,7
09.05.2015,1,6,0,7
10.05.2015,1,6,0,7
11.05.2015,1,6,0,7
12.05.2015,1,6,0,7
13.05.2015,1,6,0,7
14.05.2015,1,6,0,7
15.05.2015,1,6,0,7
16.05.2015,1,7,0,8
17.05.2015,1,7,0,8
18.05.2015,1,7,0,8
19.05.2015,1,6,0,7
20.05.2015,1,6,0,7
21.05.2015,1,6,0,7
22.05.2015,1,6,0,7
23.05.2015,1,6,0,7
24.05.2015,1,6,0,7
25.05.2015,1,6,0,7
26.05.2015,1,6,0,7
27.05.2015,1,6,0,7
28.05.2015,1,6,0,7
29.05.2015,1,6,0,7
30.05.2015,1,6,0,7
31.05.2015,1,5,0,6
01.06.2015,1,4,0,5
02.06.2015,1,3,0,4
03.06.2015,1,3,0,4
04.06.2015,1,3,0,4
05.06.2015,1,3,0,4
06.06.2015,1,3,0,4
07.06.2015,1,3,0,4
08.06.2015,1,3,0,4
09.06.2015,1,3,0,4
10.06.2015,1,3,0,4
11.06.2015,1,3,0,4
12.06.2015,1,3,0,4
13.06.2015,1,2,0,3
14.06.2015,1,2,0,3
15.06.2015,1,3,0,4
16.06.2015,1,3,0,4
17.06.2015,1,3,0,4
18.06.2015,1,3,0,4
19.06.2015,1,3,0,4
20.06.2015,1,3,0,4
21.06.2015,1,3,0,4
22.06.2015,1,3,0,4
23.06.2015,1,3,0,4
24.06.2015,1,2,0,3
25.06.2015,1,2,0,3
26.06.2015,1,2,1,4
27.06.2015,1,2,1,4
28.06.2015,1,2,1,4
29.06.2015,1,2,1,4
30.06.2015,1,3,1,5
01.07.2015,1,3,1,5
02.07.2015,1,3,1,5
03.07.2015,1,4,0,5
04.07.2015,1,4,0,5
05.07.2015,1,4,0,5
06.07.2015,1,4,1,6
07.07.2015,1,4,1,6
08.07.2015,1,4,1,6
09.07.2015,1,4,1,6
10.07.2015,1,4,1,6
11.07.2015,1,4,2,7
12.07.2015,1,4,2,7
13.07.2015,1,5,1,7
14.07.2015,1,5,1,7
15.07.2015,1,5,1,7
16.07.2015,1,5,1,7
17.07.2015,1,5,1,7
18.07.2015,1,5,1,7
19.07.2015,1,5,1,7
20.07.2015,1,5,1,7
21.07.2015,1,5,1,7
22.07.2015,1,5,1,7
23.07.2015,1,5,1,7
24.07.2015,1,5,1,7
25.07.2015,1,5,1,7
26.07.2015,1,5,1,7
27.07.2015,1,5,1,7
28.07.2015,1,5,1,7
29.07.2015,1,5,1,7
30.07.2015,1,5,2,8
31.07.2015,1,5,1,7
01.08.2015,1,5,1,7
02.08.2015,1,5,1,7
03.08.2015,1,3,1,5
04.08.2015,1,3,1,5
