celestia,,,,
Date, Full Time, Part Time, One Time, Total
26.03.2018,0,0,1,1
27.03.2018,0,0,1,1
28.03.2018,0,0,1,1
29.03.2018,0,0,1,1
30.03.2018,0,0,1,1
31.03.2018,0,0,1,1
01.04.2018,0,0,1,1
02.04.2018,0,0,1,1
03.04.2018,0,1,0,1
04.04.2018,0,1,0,1
05.04.2018,0,1,0,1
06.04.2018,0,1,0,1
07.04.2018,0,1,0,1
08.04.2018,0,1,0,1
09.04.2018,0,1,0,1
10.04.2018,0,1,0,1
11.04.2018,0,1,0,1
12.04.2018,0,1,0,1
13.04.2018,0,1,0,1
14.04.2018,0,1,0,1
15.04.2018,0,1,0,1
16.04.2018,0,1,0,1
17.04.2018,0,1,0,1
18.04.2018,0,1,0,1
19.04.2018,0,1,0,1
20.04.2018,0,1,0,1
21.04.2018,0,1,0,1
22.04.2018,0,1,0,1
23.04.2018,0,1,0,1
24.04.2018,0,1,0,1
25.04.2018,0,1,0,1
26.04.2018,0,1,0,1
27.04.2018,0,1,0,1
28.04.2018,0,1,0,1
29.04.2018,0,1,0,1
30.04.2018,0,1,0,1
01.05.2018,0,1,0,1
02.05.2018,0,1,0,1
03.05.2018,0,1,0,1
04.05.2018,0,1,0,1
05.05.2018,0,1,0,1
06.05.2018,0,1,0,1
07.05.2018,0,1,0,1
08.05.2018,0,1,0,1
09.05.2018,0,1,0,1
10.05.2018,0,1,0,1
11.05.2018,0,1,0,1
12.05.2018,0,1,0,1
22.07.2018,0,0,1,1
23.07.2018,0,0,1,1
24.07.2018,0,0,1,1
25.07.2018,0,0,1,1
26.07.2018,0,0,1,1
27.07.2018,0,0,1,1
28.07.2018,0,0,1,1
29.07.2018,0,0,1,1
30.07.2018,0,0,1,1
31.07.2018,0,1,0,1
01.08.2018,0,1,0,1
02.08.2018,0,1,0,1
03.08.2018,0,1,0,1
04.08.2018,0,1,0,1
05.08.2018,0,1,0,1
06.08.2018,0,1,0,1
07.08.2018,0,1,0,1
08.08.2018,0,1,0,1
09.08.2018,0,1,0,1
10.08.2018,0,1,0,1
11.08.2018,0,1,0,1
12.08.2018,0,1,0,1
13.08.2018,0,1,0,1
14.08.2018,0,1,0,1
15.08.2018,0,1,0,1
16.08.2018,0,1,0,1
17.08.2018,0,1,0,1
18.08.2018,0,1,1,2
19.08.2018,0,1,1,2
20.08.2018,0,1,1,2
21.08.2018,0,1,1,2
22.08.2018,0,1,1,2
23.08.2018,0,1,1,2
24.08.2018,0,1,1,2
25.08.2018,0,1,1,2
26.08.2018,0,1,1,2
27.08.2018,0,1,1,2
28.08.2018,0,1,1,2
29.08.2018,0,1,1,2
30.08.2018,0,1,1,2
31.08.2018,0,1,1,2
01.09.2018,0,1,1,2
02.09.2018,0,1,1,2
03.09.2018,0,1,1,2
04.09.2018,0,1,1,2
05.09.2018,0,1,1,2
06.09.2018,0,1,1,2
07.09.2018,0,1,1,2
08.09.2018,0,1,1,2
09.09.2018,0,1,1,2
10.09.2018,0,1,1,2
11.09.2018,0,1,1,2
12.09.2018,0,1,1,2
13.09.2018,0,1,1,2
14.09.2018,0,2,0,2
15.09.2018,0,2,0,2
16.09.2018,0,2,0,2
17.09.2018,0,2,0,2
18.09.2018,0,2,0,2
19.09.2018,0,2,0,2
20.09.2018,0,2,0,2
21.09.2018,0,2,0,2
22.09.2018,0,2,0,2
23.09.2018,0,2,0,2
24.09.2018,0,2,0,2
25.09.2018,0,2,0,2
26.09.2018,0,2,0,2
27.09.2018,0,2,0,2
28.09.2018,0,2,0,2
29.09.2018,0,2,0,2
30.09.2018,0,2,0,2
01.10.2018,0,2,0,2
02.10.2018,0,2,0,2
03.10.2018,0,2,0,2
04.10.2018,0,2,0,2
05.10.2018,0,2,0,2
06.10.2018,0,2,0,2
07.10.2018,0,2,0,2
08.10.2018,0,2,0,2
09.10.2018,0,2,0,2
10.10.2018,0,2,0,2
11.10.2018,0,2,0,2
12.10.2018,0,1,0,1
13.10.2018,0,1,0,1
14.10.2018,0,1,0,1
15.10.2018,0,1,0,1
16.10.2018,0,1,0,1
17.10.2018,0,1,0,1
18.10.2018,0,1,0,1
19.10.2018,0,1,0,1
20.10.2018,0,1,0,1
21.10.2018,0,1,0,1
22.10.2018,0,1,0,1
23.10.2018,0,1,0,1
24.10.2018,0,1,0,1
25.10.2018,0,1,0,1
26.10.2018,0,1,0,1
27.10.2018,0,1,0,1
28.10.2018,0,1,0,1
29.10.2018,0,1,0,1
30.10.2018,0,1,1,2
31.10.2018,0,1,1,2
01.11.2018,0,1,1,2
02.11.2018,0,1,1,2
03.11.2018,0,1,1,2
04.11.2018,0,1,1,2
05.11.2018,0,1,1,2
06.11.2018,0,1,1,2
07.11.2018,0,1,1,2
08.11.2018,0,1,1,2
09.11.2018,0,1,1,2
10.11.2018,0,1,1,2
11.11.2018,0,1,1,2
12.11.2018,0,1,1,2
13.11.2018,0,1,1,2
14.11.2018,0,1,1,2
15.11.2018,0,1,1,2
16.11.2018,0,1,1,2
17.11.2018,0,1,1,2
18.11.2018,0,1,1,2
19.11.2018,0,1,1,2
20.11.2018,0,1,1,2
21.11.2018,0,1,1,2
22.11.2018,0,1,1,2
23.11.2018,0,1,1,2
24.11.2018,0,1,1,2
25.11.2018,0,1,1,2
26.11.2018,0,1,1,2
27.11.2018,0,2,0,2
28.11.2018,0,2,0,2
29.11.2018,0,2,0,2
30.11.2018,0,2,1,3
01.12.2018,0,2,1,3
02.12.2018,0,2,1,3
03.12.2018,0,2,1,3
04.12.2018,0,2,1,3
05.12.2018,0,2,1,3
06.12.2018,0,2,1,3
07.12.2018,0,2,1,3
08.12.2018,0,2,1,3
09.12.2018,0,2,1,3
10.12.2018,0,2,1,3
11.12.2018,0,2,1,3
12.12.2018,0,2,1,3
13.12.2018,0,2,1,3
14.12.2018,0,2,1,3
15.12.2018,0,2,1,3
16.12.2018,0,2,1,3
17.12.2018,0,2,1,3
18.12.2018,0,2,1,3
19.12.2018,0,2,1,3
20.12.2018,0,2,1,3
21.12.2018,0,2,1,3
22.12.2018,0,2,1,3
23.12.2018,0,2,1,3
24.12.2018,0,2,1,3
25.12.2018,0,2,1,3
26.12.2018,0,2,1,3
27.12.2018,0,2,1,3
28.12.2018,0,2,0,2
29.12.2018,0,2,0,2
30.12.2018,0,2,0,2
31.12.2018,0,2,0,2
01.01.2019,0,2,0,2
02.01.2019,0,2,0,2
03.01.2019,0,2,0,2
04.01.2019,0,2,0,2
05.01.2019,0,2,0,2
06.01.2019,0,2,0,2
07.01.2019,0,2,0,2
08.01.2019,0,2,0,2
09.01.2019,0,1,0,1
25.01.2019,0,1,0,1
26.01.2019,0,1,0,1
27.01.2019,0,1,0,1
28.01.2019,0,1,0,1
29.01.2019,0,1,0,1
30.01.2019,0,1,0,1
31.01.2019,0,1,0,1
01.02.2019,0,1,0,1
02.02.2019,0,1,0,1
03.02.2019,0,1,0,1
04.02.2019,0,1,0,1
05.02.2019,0,1,0,1
06.02.2019,0,1,0,1
07.02.2019,0,2,0,2
08.02.2019,0,2,0,2
09.02.2019,0,2,0,2
10.02.2019,0,2,0,2
