celo,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,4,89,77,170
02.01.2015,5,88,78,171
03.01.2015,5,88,76,169
04.01.2015,6,87,76,169
05.01.2015,1,91,79,171
06.01.2015,2,89,79,170
07.01.2015,4,80,79,163
08.01.2015,4,83,84,171
09.01.2015,4,83,84,171
10.01.2015,4,82,84,170
11.01.2015,4,83,84,171
12.01.2015,4,82,87,173
13.01.2015,3,83,86,172
14.01.2015,3,83,88,174
15.01.2015,4,82,88,174
16.01.2015,3,90,86,179
17.01.2015,3,90,83,176
18.01.2015,3,90,84,177
19.01.2015,2,97,84,183
20.01.2015,2,95,86,183
21.01.2015,2,94,82,178
22.01.2015,2,96,87,185
23.01.2015,2,98,92,192
24.01.2015,2,97,92,191
25.01.2015,2,98,94,194
26.01.2015,2,103,89,194
27.01.2015,1,105,89,195
28.01.2015,2,101,96,199
29.01.2015,4,99,102,205
30.01.2015,4,101,107,212
31.01.2015,4,100,109,213
01.02.2015,4,100,107,211
02.02.2015,2,100,105,207
03.02.2015,4,94,102,200
04.02.2015,3,93,100,196
05.02.2015,3,90,95,188
06.02.2015,2,89,93,184
07.02.2015,2,89,94,185
08.02.2015,2,88,94,184
09.02.2015,2,86,94,182
10.02.2015,2,90,92,184
11.02.2015,2,90,93,185
12.02.2015,2,91,89,182
13.02.2015,2,90,90,182
14.02.2015,2,90,89,181
15.02.2015,2,89,87,178
16.02.2015,1,88,81,170
17.02.2015,1,90,77,168
18.02.2015,1,89,84,174
19.02.2015,1,87,82,170
20.02.2015,1,85,79,165
21.02.2015,1,85,81,167
22.02.2015,1,85,79,165
23.02.2015,1,84,80,165
24.02.2015,1,84,78,163
25.02.2015,2,78,75,155
26.02.2015,3,79,73,155
27.02.2015,3,85,67,155
28.02.2015,4,85,66,155
01.03.2015,4,88,67,159
02.03.2015,2,90,70,162
03.03.2015,3,89,77,169
04.03.2015,2,92,79,173
05.03.2015,2,93,79,174
06.03.2015,1,92,81,174
07.03.2015,1,94,82,177
08.03.2015,1,95,81,177
09.03.2015,1,97,81,179
10.03.2015,1,92,81,174
11.03.2015,1,89,78,168
12.03.2015,1,92,79,172
13.03.2015,1,93,73,167
14.03.2015,1,93,72,166
15.03.2015,1,93,72,166
16.03.2015,1,93,75,169
17.03.2015,1,93,77,171
18.03.2015,1,92,78,171
19.03.2015,1,91,82,174
20.03.2015,1,94,84,179
21.03.2015,1,94,83,178
22.03.2015,1,94,84,179
23.03.2015,1,98,81,180
24.03.2015,1,99,83,183
25.03.2015,3,97,91,191
26.03.2015,4,93,89,186
27.03.2015,4,92,91,187
28.03.2015,5,90,93,188
29.03.2015,4,91,92,187
30.03.2015,3,91,92,186
31.03.2015,4,91,86,181
01.04.2015,2,96,84,182
02.04.2015,2,91,88,181
03.04.2015,1,95,89,185
04.04.2015,1,95,86,182
05.04.2015,1,94,86,181
06.04.2015,1,93,87,181
07.04.2015,1,95,86,182
08.04.2015,2,95,86,183
09.04.2015,2,94,84,180
10.04.2015,2,92,84,178
11.04.2015,2,93,88,183
12.04.2015,2,94,91,187
13.04.2015,2,92,96,190
14.04.2015,2,92,102,196
15.04.2015,1,94,101,196
16.04.2015,0,102,101,203
17.04.2015,0,100,101,201
18.04.2015,0,98,101,199
19.04.2015,0,97,102,199
20.04.2015,0,91,108,199
21.04.2015,0,91,105,196
22.04.2015,1,86,102,189
23.04.2015,1,90,103,194
24.04.2015,1,88,103,192
25.04.2015,1,88,102,191
26.04.2015,1,86,102,189
27.04.2015,1,90,103,194
28.04.2015,1,88,102,191
29.04.2015,0,91,99,190
30.04.2015,0,92,98,190
01.05.2015,0,90,99,189
02.05.2015,0,90,101,191
03.05.2015,0,91,104,195
04.05.2015,0,93,100,193
05.05.2015,0,97,104,201
06.05.2015,2,94,106,202
07.05.2015,2,92,107,201
08.05.2015,2,97,110,209
09.05.2015,2,96,107,205
10.05.2015,2,97,108,207
11.05.2015,2,100,109,211
12.05.2015,2,99,104,205
13.05.2015,1,101,102,204
14.05.2015,1,105,100,206
15.05.2015,0,107,102,209
16.05.2015,0,107,102,209
17.05.2015,0,108,100,208
18.05.2015,0,114,96,210
19.05.2015,0,112,100,212
20.05.2015,1,115,104,220
21.05.2015,1,112,105,218
22.05.2015,1,107,110,218
23.05.2015,1,104,112,217
24.05.2015,1,104,112,217
25.05.2015,1,104,114,219
26.05.2015,1,104,115,220
27.05.2015,0,103,115,218
28.05.2015,1,102,122,225
29.05.2015,1,109,119,229
30.05.2015,1,109,117,227
31.05.2015,1,111,114,226
01.06.2015,0,116,117,233
02.06.2015,0,113,111,224
03.06.2015,2,113,112,227
04.06.2015,3,116,111,230
05.06.2015,3,116,111,230
06.06.2015,3,119,114,236
07.06.2015,3,119,113,235
08.06.2015,3,117,108,228
09.06.2015,3,118,110,231
10.06.2015,3,120,112,235
11.06.2015,4,124,111,239
12.06.2015,2,125,113,240
13.06.2015,2,126,112,240
14.06.2015,2,127,115,244
15.06.2015,2,125,123,250
16.06.2015,2,121,123,246
17.06.2015,2,123,117,242
18.06.2015,3,128,116,247
19.06.2015,3,130,112,245
20.06.2015,3,130,114,247
21.06.2015,3,130,117,250
22.06.2015,3,135,114,252
23.06.2015,3,129,112,244
24.06.2015,0,139,114,253
25.06.2015,1,136,117,254
26.06.2015,1,131,119,251
27.06.2015,1,132,119,252
28.06.2015,1,132,118,251
29.06.2015,0,136,117,253
30.06.2015,1,138,119,258
01.07.2015,1,140,119,260
02.07.2015,2,132,125,259
03.07.2015,3,128,122,253
04.07.2015,2,133,119,254
05.07.2015,2,132,120,254
06.07.2015,2,131,127,260
07.07.2015,2,133,130,265
08.07.2015,3,136,125,264
09.07.2015,4,131,126,261
10.07.2015,2,136,121,259
11.07.2015,2,134,121,257
12.07.2015,2,133,120,255
13.07.2015,2,135,117,254
14.07.2015,2,139,119,260
15.07.2015,2,140,116,258
16.07.2015,2,138,115,255
17.07.2015,2,140,115,257
18.07.2015,2,140,112,254
19.07.2015,2,137,112,251
20.07.2015,2,138,115,255
21.07.2015,2,140,123,265
22.07.2015,0,139,122,261
23.07.2015,1,137,116,254
24.07.2015,1,135,112,248
25.07.2015,1,135,113,249
26.07.2015,1,137,114,252
27.07.2015,0,137,111,248
28.07.2015,1,135,111,247
29.07.2015,0,132,106,238
30.07.2015,1,135,101,237
31.07.2015,2,134,100,236
01.08.2015,1,133,100,234
02.08.2015,1,132,101,234
03.08.2015,1,134,100,235
04.08.2015,1,132,100,233
05.08.2015,3,126,106,235
06.08.2015,4,125,112,241
07.08.2015,3,126,113,242
08.08.2015,3,127,114,244
09.08.2015,3,128,114,245
10.08.2015,3,126,110,239
11.08.2015,2,122,106,230
12.08.2015,2,122,105,229
13.08.2015,3,117,102,222
14.08.2015,3,115,106,224
15.08.2015,3,116,107,226
16.08.2015,3,117,105,225
17.08.2015,3,117,101,221
18.08.2015,4,116,95,215
19.08.2015,2,118,92,212
20.08.2015,2,117,94,213
21.08.2015,2,119,94,215
22.08.2015,2,120,92,214
23.08.2015,2,119,93,214
24.08.2015,2,116,97,215
25.08.2015,2,119,96,217
26.08.2015,2,120,98,220
27.08.2015,2,119,93,214
28.08.2015,3,117,93,213
29.08.2015,2,117,93,212
30.08.2015,2,115,91,208
31.08.2015,2,115,91,208
01.09.2015,3,112,90,205
02.09.2015,4,111,87,202
03.09.2015,4,109,79,192
04.09.2015,3,109,76,188
05.09.2015,3,108,77,188
06.09.2015,3,104,78,185
07.09.2015,4,103,75,182
08.09.2015,3,102,78,183
09.09.2015,3,104,79,186
10.09.2015,3,102,80,185
11.09.2015,3,97,76,176
12.09.2015,3,95,76,174
13.09.2015,3,94,76,173
14.09.2015,3,97,77,177
15.09.2015,3,100,76,179
16.09.2015,3,96,80,179
17.09.2015,3,95,79,177
18.09.2015,3,97,78,178
19.09.2015,3,98,78,179
20.09.2015,3,99,76,178
21.09.2015,3,102,72,177
22.09.2015,3,103,75,181
23.09.2015,3,103,75,181
24.09.2015,3,105,77,185
25.09.2015,3,107,78,188
26.09.2015,3,108,80,191
27.09.2015,3,108,81,192
28.09.2015,3,103,83,189
29.09.2015,4,101,81,186
30.09.2015,5,100,86,191
01.10.2015,5,100,91,196
02.10.2015,4,103,97,204
03.10.2015,4,104,95,203
04.10.2015,4,105,95,204
05.10.2015,4,105,96,205
06.10.2015,3,103,95,201
07.10.2015,3,102,92,197
08.10.2015,3,97,93,193
09.10.2015,3,93,97,193
10.10.2015,3,95,96,194
11.10.2015,3,96,97,196
12.10.2015,3,96,98,197
13.10.2015,4,94,99,197
14.10.2015,4,92,99,195
15.10.2015,4,89,103,196
16.10.2015,4,91,101,196
17.10.2015,4,90,102,196
18.10.2015,4,89,105,198
19.10.2015,3,89,104,196
20.10.2015,3,86,100,189
21.10.2015,3,83,99,185
22.10.2015,3,85,97,185
23.10.2015,3,86,93,182
24.10.2015,3,86,92,181
25.10.2015,3,90,91,184
26.10.2015,3,93,87,183
27.10.2015,4,91,89,184
28.10.2015,4,90,87,181
29.10.2015,4,87,83,174
30.10.2015,3,90,80,173
31.10.2015,3,89,80,172
01.11.2015,3,88,80,171
02.11.2015,3,89,83,175
03.11.2015,3,89,88,180
04.11.2015,3,93,87,183
05.11.2015,3,98,85,186
06.11.2015,3,97,89,189
07.11.2015,3,97,93,193
08.11.2015,3,96,93,192
09.11.2015,3,93,87,183
10.11.2015,3,94,85,182
11.11.2015,3,93,87,183
12.11.2015,2,94,81,177
13.11.2015,2,89,79,170
14.11.2015,2,91,78,171
15.11.2015,2,90,75,167
16.11.2015,1,91,80,172
17.11.2015,1,90,76,167
18.11.2015,1,91,81,173
19.11.2015,1,91,79,171
20.11.2015,1,88,87,176
21.11.2015,1,89,87,177
22.11.2015,1,88,86,175
23.11.2015,1,88,86,175
24.11.2015,1,87,87,175
25.11.2015,1,82,88,171
26.11.2015,1,84,87,172
27.11.2015,1,84,83,168
28.11.2015,1,83,84,168
29.11.2015,1,82,84,167
30.11.2015,0,84,86,170
01.12.2015,0,85,88,173
02.12.2015,0,85,88,173
03.12.2015,0,86,91,177
04.12.2015,0,82,92,174
05.12.2015,0,83,90,173
