chainlink,,,,
Date, Full Time, Part Time, One Time, Total
09.05.2016,0,0,1,1
10.05.2016,0,1,0,1
11.05.2016,0,1,0,1
12.05.2016,0,1,0,1
13.05.2016,0,1,0,1
14.05.2016,0,1,0,1
15.05.2016,0,1,0,1
16.05.2016,0,1,0,1
17.05.2016,0,1,0,1
18.05.2016,0,1,0,1
19.05.2016,0,1,0,1
20.05.2016,0,1,0,1
21.05.2016,0,1,0,1
22.05.2016,0,1,0,1
23.05.2016,0,1,0,1
24.05.2016,0,1,0,1
25.05.2016,0,1,0,1
26.05.2016,0,1,0,1
27.05.2016,0,1,0,1
28.05.2016,0,1,0,1
29.05.2016,0,1,0,1
30.05.2016,0,1,0,1
31.05.2016,0,1,0,1
01.06.2016,0,1,0,1
02.06.2016,0,1,0,1
03.06.2016,0,1,0,1
04.06.2016,0,1,0,1
05.06.2016,0,1,0,1
06.06.2016,0,1,0,1
07.06.2016,0,1,0,1
08.06.2016,0,1,0,1
09.06.2016,0,1,0,1
10.06.2016,0,1,0,1
11.06.2016,0,1,0,1
12.06.2016,0,1,0,1
13.06.2016,0,1,0,1
14.06.2016,0,1,0,1
15.06.2016,0,1,0,1
16.06.2016,0,1,0,1
17.06.2016,0,1,0,1
18.06.2016,0,1,0,1
19.06.2016,0,1,0,1
20.06.2016,0,1,0,1
21.06.2016,0,1,0,1
22.06.2016,0,1,0,1
23.06.2016,0,1,0,1
24.06.2016,0,1,0,1
25.06.2016,0,1,0,1
26.06.2016,0,1,0,1
27.06.2016,0,1,0,1
28.06.2016,0,1,0,1
29.06.2016,1,0,0,1
30.06.2016,1,0,0,1
01.07.2016,1,0,0,1
02.07.2016,1,0,0,1
03.07.2016,1,0,0,1
04.07.2016,0,1,0,1
05.07.2016,0,1,0,1
06.07.2016,0,1,0,1
07.07.2016,0,1,0,1
08.07.2016,0,1,0,1
09.07.2016,0,1,0,1
10.07.2016,0,1,0,1
11.07.2016,0,1,0,1
12.07.2016,0,1,0,1
13.07.2016,0,1,0,1
14.07.2016,0,1,0,1
15.07.2016,0,1,0,1
16.07.2016,0,1,0,1
17.07.2016,0,1,0,1
18.07.2016,0,1,0,1
19.07.2016,0,1,0,1
20.07.2016,0,1,0,1
21.07.2016,0,1,0,1
22.07.2016,0,1,0,1
23.07.2016,0,1,0,1
24.07.2016,0,1,0,1
25.07.2016,0,1,0,1
26.07.2016,0,1,0,1
27.07.2016,1,0,0,1
28.07.2016,1,0,0,1
29.07.2016,1,0,0,1
30.07.2016,1,0,0,1
31.07.2016,1,0,0,1
01.08.2016,0,1,0,1
02.08.2016,0,1,0,1
03.08.2016,0,1,0,1
04.08.2016,0,1,0,1
05.08.2016,0,1,0,1
06.08.2016,0,1,0,1
07.08.2016,0,1,0,1
08.08.2016,0,1,0,1
09.08.2016,0,1,0,1
10.08.2016,0,1,0,1
26.08.2016,0,1,0,1
27.08.2016,0,1,0,1
28.08.2016,0,1,0,1
29.08.2016,0,1,0,1
30.08.2016,0,1,0,1
31.08.2016,0,1,0,1
01.09.2016,0,1,0,1
02.09.2016,0,1,0,1
03.09.2016,0,1,0,1
04.09.2016,0,1,0,1
05.09.2016,0,1,0,1
06.09.2016,0,1,0,1
07.09.2016,0,1,0,1
08.09.2016,0,1,0,1
09.09.2016,0,1,0,1
