chia,,,,
Date, Full Time, Part Time, One Time, Total
28.11.2017,0,0,1,1
29.11.2017,0,0,2,2
30.11.2017,0,1,1,2
01.12.2017,0,2,0,2
02.12.2017,0,2,0,2
03.12.2017,0,2,0,2
04.12.2017,0,2,0,2
05.12.2017,0,2,0,2
06.12.2017,0,2,0,2
07.12.2017,0,2,0,2
08.12.2017,0,2,1,3
09.12.2017,0,2,1,3
10.12.2017,0,2,1,3
11.12.2017,0,2,1,3
12.12.2017,0,2,1,3
13.12.2017,0,2,1,3
14.12.2017,0,2,1,3
15.12.2017,0,2,1,3
16.12.2017,0,2,1,3
17.12.2017,0,2,1,3
18.12.2017,0,2,1,3
19.12.2017,0,2,1,3
20.12.2017,0,2,1,3
21.12.2017,0,2,4,6
22.12.2017,0,3,4,7
23.12.2017,0,4,4,8
24.12.2017,0,4,4,8
25.12.2017,0,4,4,8
26.12.2017,0,4,4,8
27.12.2017,0,4,4,8
28.12.2017,0,4,4,8
29.12.2017,0,4,5,9
30.12.2017,0,5,4,9
31.12.2017,0,5,5,10
01.01.2018,0,4,7,11
02.01.2018,0,5,6,11
03.01.2018,0,5,7,12
04.01.2018,0,6,10,16
05.01.2018,0,8,7,15
06.01.2018,0,8,7,15
07.01.2018,0,8,7,15
08.01.2018,0,8,7,15
09.01.2018,0,8,7,15
10.01.2018,0,8,7,15
11.01.2018,0,8,7,15
12.01.2018,0,8,7,15
13.01.2018,0,8,7,15
14.01.2018,0,8,8,16
15.01.2018,0,8,8,16
16.01.2018,0,8,9,17
17.01.2018,0,8,10,18
18.01.2018,0,8,9,17
19.01.2018,0,8,9,17
20.01.2018,0,8,8,16
21.01.2018,0,8,8,16
22.01.2018,0,8,9,17
23.01.2018,0,8,9,17
24.01.2018,0,8,10,18
25.01.2018,0,8,10,18
26.01.2018,0,8,10,18
27.01.2018,0,7,10,17
28.01.2018,0,8,8,16
29.01.2018,0,8,8,16
30.01.2018,0,9,8,17
31.01.2018,0,9,9,18
01.02.2018,0,9,7,16
02.02.2018,1,7,7,15
03.02.2018,2,6,8,16
04.02.2018,2,5,8,15
05.02.2018,2,5,8,15
06.02.2018,2,5,8,15
07.02.2018,2,5,8,15
08.02.2018,2,6,7,15
09.02.2018,2,6,7,15
10.02.2018,2,6,8,16
11.02.2018,2,6,8,16
12.02.2018,2,7,7,16
13.02.2018,2,8,6,16
14.02.2018,2,8,6,16
15.02.2018,2,8,6,16
16.02.2018,1,9,6,16
17.02.2018,1,9,5,15
18.02.2018,1,9,5,15
19.02.2018,1,9,4,14
20.02.2018,1,9,4,14
21.02.2018,1,9,3,13
22.02.2018,1,9,3,13
23.02.2018,1,9,3,13
24.02.2018,1,9,3,13
25.02.2018,1,8,3,12
26.02.2018,1,8,3,12
27.02.2018,1,8,3,12
28.02.2018,1,8,2,11
01.03.2018,1,8,2,11
02.03.2018,1,8,2,11
03.03.2018,2,7,1,10
04.03.2018,2,7,1,10
05.03.2018,2,7,1,10
06.03.2018,2,7,1,10
07.03.2018,2,6,1,9
08.03.2018,2,6,1,9
09.03.2018,2,7,1,10
10.03.2018,2,6,1,9
11.03.2018,2,6,1,9
12.03.2018,2,5,1,8
13.03.2018,2,4,1,7
14.03.2018,2,4,0,6
15.03.2018,2,3,0,5
16.03.2018,1,4,0,5
17.03.2018,1,3,0,4
18.03.2018,1,3,0,4
19.03.2018,1,3,0,4
20.03.2018,1,3,1,5
21.03.2018,1,3,1,5
22.03.2018,1,3,1,5
23.03.2018,1,3,2,6
24.03.2018,1,3,2,6
25.03.2018,1,3,3,7
26.03.2018,1,3,3,7
27.03.2018,1,4,3,8
28.03.2018,1,4,3,8
29.03.2018,1,3,4,8
30.03.2018,1,3,5,9
31.03.2018,1,3,5,9
01.04.2018,1,3,6,10
02.04.2018,1,3,6,10
03.04.2018,1,3,6,10
04.04.2018,1,3,6,10
05.04.2018,1,3,5,9
