compound,,,,
Date, Full Time, Part Time, One Time, Total
19.10.2017,0,0,1,1
20.10.2017,0,0,1,1
21.10.2017,0,0,1,1
22.10.2017,0,0,1,1
23.10.2017,0,0,1,1
24.10.2017,0,1,0,1
25.10.2017,0,1,0,1
26.10.2017,0,1,0,1
27.10.2017,0,1,0,1
28.10.2017,0,1,0,1
29.10.2017,0,1,0,1
30.10.2017,0,1,0,1
31.10.2017,0,1,0,1
01.11.2017,0,1,0,1
02.11.2017,0,1,0,1
03.11.2017,0,1,0,1
04.11.2017,0,1,0,1
05.11.2017,0,1,0,1
06.11.2017,0,1,0,1
07.11.2017,0,1,0,1
08.11.2017,0,1,0,1
09.11.2017,0,1,0,1
10.11.2017,0,1,1,2
11.11.2017,0,2,0,2
12.11.2017,0,2,0,2
13.11.2017,0,2,0,2
14.11.2017,0,2,0,2
15.11.2017,0,2,0,2
16.11.2017,0,2,0,2
17.11.2017,0,2,0,2
18.11.2017,0,2,0,2
19.11.2017,0,2,0,2
20.11.2017,0,2,0,2
21.11.2017,1,1,0,2
22.11.2017,0,2,0,2
23.11.2017,0,2,0,2
24.11.2017,0,2,0,2
25.11.2017,0,2,0,2
26.11.2017,0,2,0,2
27.11.2017,0,2,0,2
28.11.2017,0,2,0,2
29.11.2017,0,2,0,2
30.11.2017,0,2,0,2
01.12.2017,1,1,0,2
02.12.2017,1,1,0,2
03.12.2017,1,1,0,2
04.12.2017,1,1,0,2
05.12.2017,1,1,0,2
06.12.2017,1,1,0,2
07.12.2017,1,1,0,2
08.12.2017,1,1,0,2
09.12.2017,2,0,0,2
10.12.2017,2,0,0,2
11.12.2017,2,0,0,2
12.12.2017,2,0,0,2
13.12.2017,2,0,0,2
14.12.2017,2,0,0,2
15.12.2017,2,0,0,2
16.12.2017,2,0,0,2
17.12.2017,2,0,0,2
18.12.2017,2,0,0,2
19.12.2017,2,0,0,2
20.12.2017,2,0,0,2
21.12.2017,2,0,0,2
22.12.2017,2,0,0,2
23.12.2017,2,0,0,2
24.12.2017,2,0,0,2
25.12.2017,2,0,0,2
26.12.2017,2,0,0,2
27.12.2017,2,0,0,2
28.12.2017,2,0,0,2
29.12.2017,2,0,0,2
30.12.2017,2,0,0,2
31.12.2017,2,0,0,2
01.01.2018,2,0,0,2
02.01.2018,2,0,0,2
03.01.2018,2,0,0,2
04.01.2018,2,0,0,2
05.01.2018,2,0,0,2
06.01.2018,2,0,0,2
07.01.2018,2,0,0,2
08.01.2018,2,0,0,2
09.01.2018,2,0,0,2
10.01.2018,2,0,0,2
11.01.2018,2,0,0,2
12.01.2018,2,0,1,3
13.01.2018,2,0,1,3
14.01.2018,2,0,1,3
15.01.2018,2,0,1,3
16.01.2018,2,0,1,3
17.01.2018,2,1,0,3
18.01.2018,1,1,0,2
19.01.2018,1,1,0,2
20.01.2018,1,1,0,2
21.01.2018,1,1,0,2
22.01.2018,1,1,0,2
23.01.2018,1,1,0,2
24.01.2018,1,1,0,2
25.01.2018,1,1,0,2
26.01.2018,1,1,0,2
27.01.2018,1,1,0,2
28.01.2018,1,1,0,2
29.01.2018,1,1,0,2
30.01.2018,1,1,0,2
31.01.2018,1,1,0,2
01.02.2018,1,1,0,2
02.02.2018,1,1,0,2
03.02.2018,1,1,0,2
04.02.2018,1,1,0,2
05.02.2018,1,1,0,2
06.02.2018,1,1,0,2
07.02.2018,1,1,0,2
08.02.2018,1,1,0,2
09.02.2018,1,1,0,2
10.02.2018,1,1,0,2
11.02.2018,1,1,0,2
12.02.2018,1,1,0,2
13.02.2018,1,1,0,2
14.02.2018,1,1,0,2
15.02.2018,1,1,0,2
16.02.2018,1,1,1,3
17.02.2018,1,1,1,3
18.02.2018,1,1,1,3
19.02.2018,1,1,1,3
20.02.2018,1,1,1,3
21.02.2018,1,1,1,3
22.02.2018,1,1,1,3
23.02.2018,1,1,1,3
24.02.2018,1,1,1,3
25.02.2018,1,1,1,3
26.02.2018,1,1,1,3
27.02.2018,2,0,1,3
28.02.2018,2,0,1,3
01.03.2018,2,0,1,3
02.03.2018,2,0,1,3
03.03.2018,2,0,1,3
04.03.2018,2,0,1,3
05.03.2018,2,0,1,3
06.03.2018,2,0,1,3
07.03.2018,2,0,1,3
08.03.2018,2,0,1,3
09.03.2018,2,0,1,3
10.03.2018,2,0,1,3
11.03.2018,2,0,1,3
12.03.2018,2,0,1,3
13.03.2018,2,0,1,3
14.03.2018,2,0,1,3
15.03.2018,2,0,1,3
16.03.2018,1,1,0,2
17.03.2018,1,1,0,2
18.03.2018,1,1,0,2
19.03.2018,1,1,0,2
20.03.2018,1,1,0,2
21.03.2018,1,1,0,2
22.03.2018,1,1,0,2
23.03.2018,0,1,0,1
24.03.2018,0,1,0,1
25.03.2018,0,1,0,1
26.03.2018,0,1,0,1
27.03.2018,1,0,0,1
28.03.2018,2,0,0,2
29.03.2018,2,0,0,2
30.03.2018,2,0,0,2
31.03.2018,2,0,0,2
01.04.2018,2,0,0,2
02.04.2018,2,0,0,2
03.04.2018,2,0,0,2
04.04.2018,2,0,0,2
05.04.2018,2,0,0,2
06.04.2018,2,0,0,2
07.04.2018,2,0,0,2
08.04.2018,2,0,0,2
09.04.2018,2,0,0,2
