cosmos,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,3,7,3,13
02.01.2015,3,7,3,13
03.01.2015,3,7,3,13
04.01.2015,3,7,3,13
05.01.2015,3,8,2,13
06.01.2015,3,8,2,13
07.01.2015,3,8,2,13
08.01.2015,3,8,3,14
09.01.2015,3,8,3,14
10.01.2015,3,7,3,13
11.01.2015,3,7,4,14
12.01.2015,3,7,4,14
13.01.2015,3,7,4,14
14.01.2015,3,7,4,14
15.01.2015,3,7,5,15
16.01.2015,3,6,5,14
17.01.2015,3,5,4,12
18.01.2015,3,5,4,12
19.01.2015,2,6,4,12
20.01.2015,2,6,4,12
21.01.2015,2,6,5,13
22.01.2015,2,6,5,13
23.01.2015,3,6,3,12
24.01.2015,4,6,2,12
25.01.2015,4,6,2,12
26.01.2015,4,6,2,12
27.01.2015,4,6,3,13
28.01.2015,4,6,3,13
29.01.2015,4,5,3,12
30.01.2015,4,6,3,13
31.01.2015,4,6,3,13
01.02.2015,4,7,2,13
02.02.2015,4,5,2,11
03.02.2015,4,5,2,11
04.02.2015,4,5,2,11
05.02.2015,4,6,1,11
06.02.2015,4,6,1,11
07.02.2015,4,6,1,11
08.02.2015,4,6,1,11
09.02.2015,4,6,1,11
10.02.2015,4,6,1,11
11.02.2015,4,6,2,12
12.02.2015,3,7,2,12
13.02.2015,3,6,2,11
14.02.2015,3,6,2,11
15.02.2015,3,6,2,11
16.02.2015,3,6,2,11
17.02.2015,3,7,2,12
18.02.2015,2,8,1,11
19.02.2015,2,9,2,13
20.02.2015,2,9,2,13
21.02.2015,3,8,2,13
22.02.2015,3,9,1,13
23.02.2015,3,9,1,13
24.02.2015,3,9,1,13
25.02.2015,3,10,1,14
26.02.2015,3,10,1,14
27.02.2015,3,10,1,14
28.02.2015,3,10,2,15
01.03.2015,3,9,2,14
02.03.2015,3,9,2,14
03.03.2015,3,9,2,14
04.03.2015,2,10,2,14
05.03.2015,2,10,2,14
06.03.2015,2,7,2,11
07.03.2015,2,7,2,11
08.03.2015,2,7,2,11
