cronos,,,,
Date, Full Time, Part Time, One Time, Total
01.09.2020,0,0,2,2
02.09.2020,0,0,2,2
03.09.2020,0,1,2,3
04.09.2020,0,1,3,4
05.09.2020,0,1,3,4
06.09.2020,0,1,3,4
07.09.2020,0,2,2,4
08.09.2020,0,2,2,4
09.09.2020,0,2,4,6
10.09.2020,0,3,3,6
11.09.2020,0,3,3,6
12.09.2020,0,3,3,6
13.09.2020,0,3,3,6
14.09.2020,0,3,3,6
15.09.2020,0,4,2,6
16.09.2020,0,4,2,6
17.09.2020,0,4,3,7
18.09.2020,0,4,3,7
19.09.2020,0,4,3,7
20.09.2020,0,4,3,7
21.09.2020,0,4,3,7
22.09.2020,0,6,1,7
23.09.2020,0,6,2,8
24.09.2020,0,7,1,8
25.09.2020,0,7,1,8
26.09.2020,0,7,1,8
27.09.2020,0,7,1,8
28.09.2020,0,7,1,8
29.09.2020,0,7,0,7
30.09.2020,0,7,0,7
01.10.2020,0,7,0,7
02.10.2020,0,7,0,7
03.10.2020,0,7,0,7
04.10.2020,0,7,0,7
05.10.2020,1,6,2,9
06.10.2020,0,7,2,9
07.10.2020,0,7,2,9
08.10.2020,0,7,3,10
09.10.2020,0,8,2,10
10.10.2020,0,8,2,10
11.10.2020,0,8,2,10
12.10.2020,0,8,3,11
13.10.2020,0,9,2,11
14.10.2020,0,9,2,11
15.10.2020,0,9,3,12
16.10.2020,0,9,3,12
17.10.2020,0,9,3,12
18.10.2020,0,9,3,12
19.10.2020,1,9,2,12
20.10.2020,2,7,1,10
21.10.2020,2,7,1,10
22.10.2020,2,7,2,11
23.10.2020,2,7,2,11
24.10.2020,2,7,2,11
25.10.2020,2,7,2,11
26.10.2020,2,7,3,12
27.10.2020,3,8,2,13
28.10.2020,3,9,1,13
29.10.2020,3,9,1,13
30.10.2020,3,9,1,13
31.10.2020,3,9,1,13
01.11.2020,3,9,1,13
02.11.2020,3,10,0,13
03.11.2020,2,11,0,13
04.11.2020,2,11,0,13
05.11.2020,2,11,0,13
06.11.2020,2,11,0,13
07.11.2020,2,11,0,13
08.11.2020,2,11,0,13
09.11.2020,2,11,0,13
10.11.2020,2,11,0,13
11.11.2020,2,11,0,13
12.11.2020,2,11,0,13
13.11.2020,2,12,0,14
14.11.2020,2,12,0,14
15.11.2020,2,12,0,14
16.11.2020,3,11,0,14
17.11.2020,3,11,0,14
18.11.2020,3,11,0,14
19.11.2020,4,9,0,13
20.11.2020,4,9,1,14
21.11.2020,4,9,1,14
22.11.2020,4,9,1,14
23.11.2020,4,10,0,14
24.11.2020,4,9,1,14
25.11.2020,5,8,1,14
26.11.2020,6,8,0,14
27.11.2020,6,8,0,14
28.11.2020,6,8,0,14
29.11.2020,6,8,0,14
30.11.2020,7,7,1,15
01.12.2020,6,9,0,15
02.12.2020,5,10,0,15
03.12.2020,4,11,0,15
04.12.2020,4,11,0,15
05.12.2020,4,11,0,15
06.12.2020,4,11,0,15
07.12.2020,4,11,0,15
08.12.2020,3,11,0,14
09.12.2020,3,11,0,14
10.12.2020,3,11,0,14
11.12.2020,3,10,0,13
12.12.2020,3,10,0,13
13.12.2020,3,10,0,13
14.12.2020,3,11,1,15
15.12.2020,5,10,0,15
16.12.2020,4,11,0,15
17.12.2020,5,9,1,15
18.12.2020,5,9,2,16
19.12.2020,5,9,2,16
20.12.2020,5,9,2,16
21.12.2020,6,8,3,17
22.12.2020,6,7,3,16
23.12.2020,6,7,3,16
24.12.2020,8,7,3,18
25.12.2020,8,7,3,18
26.12.2020,8,7,3,18
27.12.2020,8,7,3,18
28.12.2020,8,7,4,19
29.12.2020,8,6,4,18
30.12.2020,7,8,3,18
31.12.2020,7,8,3,18
01.01.2021,7,8,3,18
02.01.2021,7,8,3,18
03.01.2021,7,8,3,18
04.01.2021,8,8,3,19
05.01.2021,7,9,3,19
06.01.2021,7,9,3,19
07.01.2021,6,10,3,19
08.01.2021,6,10,3,19
09.01.2021,6,10,3,19
10.01.2021,6,9,3,18
11.01.2021,6,9,3,18
12.01.2021,6,8,3,17
13.01.2021,6,8,3,17
14.01.2021,6,8,3,17
15.01.2021,7,7,3,17
16.01.2021,7,7,3,17
17.01.2021,7,7,3,17
18.01.2021,7,7,2,16
19.01.2021,7,8,3,18
20.01.2021,7,8,3,18
21.01.2021,7,9,2,18
22.01.2021,8,8,2,18
23.01.2021,8,8,2,18
24.01.2021,8,8,2,18
25.01.2021,7,9,1,17
26.01.2021,7,9,1,17
27.01.2021,7,9,2,18
28.01.2021,8,8,2,18
29.01.2021,8,8,2,18
30.01.2021,8,8,2,18
31.01.2021,8,8,2,18
01.02.2021,7,9,2,18
02.02.2021,7,9,2,18
03.02.2021,7,9,3,19
04.02.2021,7,8,3,18
05.02.2021,7,8,3,18
06.02.2021,7,8,3,18
07.02.2021,7,8,3,18
08.02.2021,7,8,3,18
09.02.2021,7,7,3,17
10.02.2021,7,7,3,17
11.02.2021,7,6,3,16
12.02.2021,7,6,3,16
13.02.2021,7,6,3,16
14.02.2021,7,6,3,16
15.02.2021,7,6,3,16
16.02.2021,7,4,3,14
17.02.2021,7,4,3,14
18.02.2021,6,5,2,13
19.02.2021,7,3,2,12
20.02.2021,7,3,2,12
21.02.2021,7,3,2,12
22.02.2021,7,4,2,13
23.02.2021,7,4,3,14
24.02.2021,7,4,2,13
25.02.2021,8,4,2,14
26.02.2021,8,4,2,14
27.02.2021,8,4,2,14
28.02.2021,8,4,2,14
01.03.2021,7,5,2,14
02.03.2021,7,5,2,14
03.03.2021,7,5,2,14
04.03.2021,7,5,2,14
05.03.2021,7,5,4,16
06.03.2021,7,5,4,16
07.03.2021,7,5,4,16
08.03.2021,7,5,5,17
09.03.2021,8,5,4,17
10.03.2021,8,5,4,17
11.03.2021,8,5,4,17
12.03.2021,8,6,3,17
13.03.2021,8,6,3,17
14.03.2021,8,6,3,17
15.03.2021,8,7,3,18
16.03.2021,7,8,3,18
17.03.2021,7,8,3,18
18.03.2021,7,8,3,18
19.03.2021,7,8,3,18
20.03.2021,7,8,3,18
21.03.2021,7,8,4,19
22.03.2021,7,8,4,19
23.03.2021,7,8,3,18
24.03.2021,7,8,4,19
25.03.2021,7,8,4,19
26.03.2021,7,8,6,21
27.03.2021,7,8,6,21
28.03.2021,7,8,6,21
29.03.2021,6,9,6,21
30.03.2021,6,9,6,21
31.03.2021,7,8,6,21
01.04.2021,7,8,7,22
02.04.2021,7,8,6,21
03.04.2021,7,8,6,21
04.04.2021,7,8,6,21
05.04.2021,6,8,5,19
06.04.2021,6,8,5,19
07.04.2021,6,9,4,19
08.04.2021,6,9,4,19
09.04.2021,6,10,5,21
10.04.2021,6,10,5,21
11.04.2021,6,10,5,21
12.04.2021,6,11,5,22
13.04.2021,6,11,5,22
14.04.2021,6,11,7,24
15.04.2021,6,11,8,25
16.04.2021,6,12,7,25
17.04.2021,6,12,7,25
18.04.2021,6,12,6,24
19.04.2021,7,11,8,26
20.04.2021,7,11,9,27
21.04.2021,7,12,8,27
22.04.2021,7,12,8,27
23.04.2021,7,13,7,27
24.04.2021,7,13,7,27
25.04.2021,7,13,7,27
26.04.2021,7,13,8,28
27.04.2021,7,14,8,29
28.04.2021,7,13,8,28
29.04.2021,7,13,7,27
30.04.2021,7,13,7,27
01.05.2021,7,13,7,27
02.05.2021,7,13,7,27
03.05.2021,5,17,6,28
04.05.2021,5,17,6,28
05.05.2021,5,17,6,28
06.05.2021,5,17,6,28
07.05.2021,5,16,5,26
08.05.2021,5,16,5,26
09.05.2021,5,16,5,26
10.05.2021,6,15,4,25
11.05.2021,6,15,4,25
12.05.2021,6,14,3,23
13.05.2021,6,14,2,22
14.05.2021,7,13,3,23
15.05.2021,7,13,3,23
16.05.2021,7,13,3,23
17.05.2021,8,12,0,20
18.05.2021,8,12,0,20
19.05.2021,9,11,0,20
20.05.2021,9,11,0,20
21.05.2021,8,12,0,20
22.05.2021,8,12,0,20
23.05.2021,8,12,0,20
24.05.2021,8,13,0,21
25.05.2021,7,12,0,19
26.05.2021,7,13,0,20
27.05.2021,7,14,0,21
28.05.2021,7,11,1,19
29.05.2021,7,11,1,19
30.05.2021,7,11,1,19
31.05.2021,6,11,1,18
01.06.2021,7,10,1,18
02.06.2021,8,9,2,19
03.06.2021,7,10,2,19
04.06.2021,8,10,2,20
05.06.2021,8,10,2,20
06.06.2021,8,10,2,20
07.06.2021,8,10,2,20
08.06.2021,8,10,2,20
09.06.2021,7,10,2,19
10.06.2021,7,10,2,19
11.06.2021,7,10,2,19
12.06.2021,7,10,3,20
13.06.2021,7,10,3,20
14.06.2021,8,10,2,20
15.06.2021,7,11,2,20
16.06.2021,8,10,2,20
17.06.2021,7,10,2,19
18.06.2021,6,10,3,19
19.06.2021,6,11,2,19
20.06.2021,6,11,3,20
21.06.2021,6,12,2,20
22.06.2021,6,14,4,24
23.06.2021,6,16,1,23
24.06.2021,6,14,1,21
25.06.2021,6,14,1,21
26.06.2021,6,14,1,21
27.06.2021,6,14,1,21
28.06.2021,6,14,1,21
29.06.2021,8,12,2,22
30.06.2021,8,12,1,21
01.07.2021,7,13,2,22
02.07.2021,7,13,3,23
03.07.2021,7,13,3,23
04.07.2021,7,13,3,23
05.07.2021,7,13,4,24
06.07.2021,7,13,4,24
07.07.2021,7,13,4,24
08.07.2021,7,13,5,25
09.07.2021,7,14,4,25
10.07.2021,7,14,4,25
11.07.2021,7,14,4,25
12.07.2021,8,13,5,26
13.07.2021,8,13,7,28
14.07.2021,8,15,8,31
15.07.2021,8,16,8,32
16.07.2021,7,18,7,32
17.07.2021,7,18,7,32
18.07.2021,7,18,7,32
19.07.2021,8,17,7,32
20.07.2021,9,16,9,34
21.07.2021,11,14,10,35
22.07.2021,11,15,12,38
23.07.2021,11,16,12,39
24.07.2021,11,16,12,39
25.07.2021,11,16,12,39
26.07.2021,11,18,11,40
27.07.2021,13,15,10,38
28.07.2021,12,16,10,38
29.07.2021,11,17,10,38
30.07.2021,11,17,10,38
31.07.2021,11,18,9,38
01.08.2021,11,18,9,38
02.08.2021,11,19,8,38
03.08.2021,11,19,8,38
04.08.2021,11,21,7,39
05.08.2021,11,22,5,38
06.08.2021,11,23,5,39
07.08.2021,11,23,5,39
08.08.2021,11,23,5,39
09.08.2021,11,23,5,39
10.08.2021,11,22,4,37
11.08.2021,11,21,4,36
12.08.2021,10,21,5,36
13.08.2021,10,20,5,35
14.08.2021,10,20,5,35
15.08.2021,10,20,5,35
16.08.2021,10,19,5,34
17.08.2021,10,18,5,33
18.08.2021,9,17,5,31
19.08.2021,10,16,3,29
20.08.2021,10,14,2,26
21.08.2021,10,14,2,26
22.08.2021,10,14,2,26
23.08.2021,10,14,1,25
24.08.2021,11,13,1,25
25.08.2021,10,15,1,26
26.08.2021,10,15,1,26
27.08.2021,10,16,2,28
28.08.2021,10,15,3,28
29.08.2021,10,15,3,28
30.08.2021,10,16,2,28
31.08.2021,10,17,1,28
01.09.2021,11,17,1,29
02.09.2021,13,15,1,29
03.09.2021,12,16,0,28
04.09.2021,12,16,0,28
05.09.2021,12,16,0,28
06.09.2021,12,16,0,28
07.09.2021,12,16,0,28
08.09.2021,12,16,0,28
09.09.2021,11,16,0,27
10.09.2021,11,16,0,27
11.09.2021,11,17,0,28
12.09.2021,11,17,1,29
13.09.2021,11,18,2,31
14.09.2021,11,18,3,32
15.09.2021,11,19,2,32
16.09.2021,11,19,2,32
17.09.2021,11,19,3,33
18.09.2021,11,20,2,33
19.09.2021,11,20,4,35
20.09.2021,10,21,5,36
21.09.2021,11,23,3,37
22.09.2021,11,23,3,37
23.09.2021,11,23,3,37
24.09.2021,11,21,3,35
25.09.2021,11,21,3,35
26.09.2021,11,21,3,35
27.09.2021,12,19,3,34
28.09.2021,12,18,3,33
29.09.2021,12,21,3,36
30.09.2021,13,21,4,38
01.10.2021,13,21,4,38
02.10.2021,13,21,4,38
03.10.2021,13,21,4,38
04.10.2021,13,20,4,37
05.10.2021,13,19,5,37
06.10.2021,13,19,7,39
07.10.2021,12,20,7,39
08.10.2021,12,20,8,40
09.10.2021,12,20,8,40
10.10.2021,12,20,8,40
11.10.2021,13,19,8,40
12.10.2021,14,18,8,40
13.10.2021,15,18,9,42
14.10.2021,14,19,9,42
15.10.2021,14,20,8,42
16.10.2021,15,19,8,42
17.10.2021,15,19,7,41
18.10.2021,14,20,6,40
19.10.2021,16,18,6,40
20.10.2021,16,17,6,39
21.10.2021,17,16,7,40
22.10.2021,16,17,7,40
23.10.2021,16,17,7,40
24.10.2021,16,17,8,41
25.10.2021,15,18,9,42
26.10.2021,15,19,7,41
27.10.2021,16,18,6,40
28.10.2021,19,15,6,40
29.10.2021,18,17,5,40
30.10.2021,18,17,5,40
31.10.2021,18,17,6,41
01.11.2021,19,16,6,41
02.11.2021,19,17,5,41
03.11.2021,19,18,5,42
04.11.2021,17,20,5,42
05.11.2021,16,20,5,41
06.11.2021,16,21,4,41
07.11.2021,16,21,4,41
08.11.2021,16,22,4,42
09.11.2021,17,21,4,42
10.11.2021,18,21,3,42
11.11.2021,18,21,4,43
12.11.2021,18,19,4,41
13.11.2021,18,19,5,42
14.11.2021,18,19,5,42
15.11.2021,19,18,5,42
16.11.2021,19,18,6,43
17.11.2021,19,18,6,43
18.11.2021,19,18,6,43
19.11.2021,19,18,6,43
20.11.2021,19,18,6,43
21.11.2021,19,18,5,42
22.11.2021,19,18,5,42
23.11.2021,19,18,6,43
24.11.2021,19,19,5,43
25.11.2021,19,17,7,43
26.11.2021,20,16,7,43
27.11.2021,20,17,7,44
28.11.2021,20,17,7,44
