curve,,,,
Date, Full Time, Part Time, One Time, Total
15.09.2019,0,0,1,1
16.09.2019,0,1,0,1
17.09.2019,0,1,0,1
18.09.2019,0,1,0,1
19.09.2019,0,1,0,1
20.09.2019,0,1,0,1
21.09.2019,0,1,0,1
22.09.2019,0,1,0,1
23.09.2019,0,1,0,1
24.09.2019,0,1,0,1
25.09.2019,0,1,0,1
26.09.2019,0,1,0,1
27.09.2019,0,1,0,1
28.09.2019,0,1,0,1
29.09.2019,0,1,0,1
30.09.2019,0,1,0,1
01.10.2019,0,1,0,1
02.10.2019,0,1,0,1
03.10.2019,0,1,0,1
04.10.2019,0,1,0,1
05.10.2019,0,1,0,1
06.10.2019,0,1,0,1
07.10.2019,0,1,0,1
08.10.2019,0,1,0,1
09.10.2019,0,1,0,1
10.10.2019,0,1,0,1
11.10.2019,0,1,0,1
12.10.2019,0,1,0,1
13.10.2019,0,1,0,1
14.10.2019,1,0,0,1
15.10.2019,1,0,0,1
16.10.2019,1,0,0,1
17.10.2019,1,0,0,1
18.10.2019,1,0,0,1
19.10.2019,1,0,0,1
20.10.2019,1,0,0,1
21.10.2019,1,0,0,1
22.10.2019,1,0,0,1
23.10.2019,1,0,0,1
24.10.2019,1,0,0,1
25.10.2019,1,0,0,1
26.10.2019,1,0,0,1
27.10.2019,1,0,0,1
28.10.2019,1,0,0,1
29.10.2019,1,0,0,1
30.10.2019,1,0,0,1
31.10.2019,1,0,0,1
01.11.2019,1,0,0,1
02.11.2019,1,0,0,1
03.11.2019,1,0,0,1
04.11.2019,1,0,0,1
05.11.2019,1,0,0,1
06.11.2019,1,0,0,1
07.11.2019,1,0,0,1
08.11.2019,1,0,0,1
09.11.2019,1,0,0,1
10.11.2019,1,0,0,1
11.11.2019,1,0,0,1
12.11.2019,1,0,0,1
13.11.2019,1,0,0,1
14.11.2019,1,0,0,1
15.11.2019,1,0,0,1
16.11.2019,1,0,0,1
17.11.2019,1,0,0,1
18.11.2019,1,0,0,1
19.11.2019,1,0,0,1
20.11.2019,1,0,0,1
21.11.2019,1,0,0,1
22.11.2019,1,0,0,1
23.11.2019,1,0,0,1
24.11.2019,1,0,0,1
25.11.2019,1,0,0,1
26.11.2019,1,0,0,1
27.11.2019,1,0,0,1
28.11.2019,1,0,0,1
29.11.2019,1,0,0,1
30.11.2019,1,0,0,1
01.12.2019,1,0,0,1
02.12.2019,1,0,0,1
03.12.2019,1,0,0,1
04.12.2019,1,0,0,1
05.12.2019,1,0,0,1
06.12.2019,1,0,0,1
07.12.2019,1,0,0,1
08.12.2019,1,0,0,1
09.12.2019,1,0,0,1
10.12.2019,1,0,0,1
11.12.2019,1,0,0,1
12.12.2019,1,0,0,1
13.12.2019,1,0,0,1
14.12.2019,1,0,0,1
15.12.2019,1,0,0,1
16.12.2019,1,0,0,1
17.12.2019,1,0,0,1
18.12.2019,1,0,0,1
19.12.2019,1,0,0,1
20.12.2019,1,0,0,1
21.12.2019,1,0,0,1
22.12.2019,1,0,0,1
23.12.2019,1,0,0,1
24.12.2019,1,0,0,1
25.12.2019,1,0,0,1
26.12.2019,1,0,0,1
27.12.2019,1,0,0,1
28.12.2019,1,0,0,1
29.12.2019,1,0,0,1
30.12.2019,1,0,0,1
31.12.2019,1,0,0,1
01.01.2020,1,0,0,1
02.01.2020,1,0,0,1
03.01.2020,1,0,0,1
04.01.2020,1,0,0,1
05.01.2020,1,0,0,1
06.01.2020,1,0,0,1
07.01.2020,1,0,0,1
08.01.2020,1,0,0,1
09.01.2020,1,0,0,1
10.01.2020,1,0,0,1
11.01.2020,1,0,0,1
12.01.2020,1,0,1,2
13.01.2020,1,0,1,2
14.01.2020,1,0,1,2
15.01.2020,1,0,1,2
16.01.2020,1,0,1,2
17.01.2020,1,0,1,2
18.01.2020,1,0,2,3
19.01.2020,1,1,1,3
20.01.2020,1,1,1,3
21.01.2020,1,1,1,3
22.01.2020,1,1,1,3
23.01.2020,1,1,2,4
24.01.2020,1,1,2,4
25.01.2020,1,1,2,4
26.01.2020,1,1,2,4
27.01.2020,1,1,2,4
28.01.2020,1,1,2,4
29.01.2020,1,1,2,4
30.01.2020,1,1,2,4
31.01.2020,1,1,2,4
01.02.2020,1,1,2,4
02.02.2020,1,1,2,4
03.02.2020,1,1,2,4
04.02.2020,1,1,2,4
05.02.2020,1,1,2,4
06.02.2020,1,1,2,4
07.02.2020,1,1,2,4
08.02.2020,1,1,2,4
09.02.2020,1,1,1,3
10.02.2020,1,1,2,4
11.02.2020,1,1,2,4
12.02.2020,1,1,3,5
13.02.2020,1,2,2,5
14.02.2020,1,2,2,5
15.02.2020,1,2,2,5
16.02.2020,1,1,2,4
17.02.2020,1,1,2,4
18.02.2020,1,1,2,4
19.02.2020,1,1,2,4
20.02.2020,1,1,1,3
21.02.2020,1,1,1,3
22.02.2020,1,1,1,3
23.02.2020,1,1,1,3
24.02.2020,1,1,2,4
25.02.2020,1,2,1,4
26.02.2020,1,2,1,4
27.02.2020,1,2,1,4
28.02.2020,1,2,1,4
29.02.2020,1,2,2,5
01.03.2020,1,2,2,5
02.03.2020,1,2,2,5
03.03.2020,1,2,2,5
04.03.2020,1,2,2,5
05.03.2020,1,2,2,5
06.03.2020,1,2,2,5
07.03.2020,1,2,2,5
08.03.2020,1,2,2,5
09.03.2020,1,2,1,4
10.03.2020,1,2,1,4
11.03.2020,1,2,1,4
12.03.2020,1,2,1,4
13.03.2020,1,2,1,4
14.03.2020,1,2,1,4
15.03.2020,1,2,1,4
16.03.2020,1,2,1,4
17.03.2020,1,2,1,4
18.03.2020,1,2,1,4
19.03.2020,1,2,1,4
20.03.2020,1,2,1,4
21.03.2020,1,2,1,4
22.03.2020,1,2,1,4
23.03.2020,1,2,1,4
24.03.2020,2,1,1,4
25.03.2020,2,1,1,4
26.03.2020,2,1,1,4
27.03.2020,2,1,1,4
28.03.2020,2,1,0,3
29.03.2020,2,1,0,3
30.03.2020,2,1,0,3
31.03.2020,2,1,0,3
01.04.2020,2,1,0,3
02.04.2020,2,1,0,3
03.04.2020,2,1,0,3
04.04.2020,2,0,0,2
05.04.2020,2,0,0,2
06.04.2020,2,0,0,2
07.04.2020,2,0,0,2
08.04.2020,2,0,0,2
09.04.2020,2,0,0,2
10.04.2020,2,0,0,2
11.04.2020,2,0,0,2
12.04.2020,2,0,0,2
13.04.2020,2,0,0,2
14.04.2020,2,0,0,2
15.04.2020,2,0,0,2
16.04.2020,2,0,0,2
17.04.2020,2,0,0,2
18.04.2020,2,0,0,2
19.04.2020,2,0,0,2
20.04.2020,2,0,0,2
21.04.2020,2,0,0,2
22.04.2020,2,0,0,2
23.04.2020,2,0,0,2
24.04.2020,2,0,0,2
25.04.2020,2,0,0,2
26.04.2020,2,0,0,2
27.04.2020,2,0,0,2
28.04.2020,2,0,0,2
29.04.2020,2,0,0,2
30.04.2020,2,0,0,2
01.05.2020,2,0,0,2
02.05.2020,2,0,0,2
03.05.2020,2,0,0,2
04.05.2020,2,0,0,2
05.05.2020,2,0,0,2
06.05.2020,2,0,0,2
07.05.2020,2,0,0,2
08.05.2020,1,0,1,2
09.05.2020,1,1,0,2
10.05.2020,1,1,0,2
11.05.2020,1,1,0,2
12.05.2020,1,1,0,2
13.05.2020,1,1,0,2
14.05.2020,1,1,0,2
15.05.2020,1,1,0,2
16.05.2020,1,1,0,2
17.05.2020,1,1,0,2
18.05.2020,1,1,0,2
19.05.2020,1,1,0,2
20.05.2020,1,1,0,2
21.05.2020,1,1,0,2
22.05.2020,1,1,0,2
23.05.2020,1,1,0,2
24.05.2020,1,1,0,2
