dash,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,2,7,4,13
02.01.2015,2,7,3,12
03.01.2015,2,7,3,12
04.01.2015,2,7,3,12
05.01.2015,2,7,3,12
06.01.2015,2,7,3,12
07.01.2015,2,7,3,12
08.01.2015,2,7,2,11
09.01.2015,2,7,2,11
10.01.2015,2,7,2,11
11.01.2015,2,7,2,11
12.01.2015,2,7,2,11
13.01.2015,2,7,2,11
14.01.2015,2,7,2,11
15.01.2015,2,8,2,12
16.01.2015,4,6,1,11
17.01.2015,4,6,1,11
18.01.2015,4,6,1,11
19.01.2015,4,6,2,12
20.01.2015,4,6,2,12
21.01.2015,4,5,2,11
22.01.2015,4,5,2,11
23.01.2015,3,6,3,12
24.01.2015,3,6,4,13
25.01.2015,3,7,3,13
26.01.2015,3,7,4,14
27.01.2015,3,7,4,14
28.01.2015,3,7,3,13
29.01.2015,3,7,3,13
30.01.2015,3,7,3,13
31.01.2015,3,7,3,13
01.02.2015,3,7,3,13
02.02.2015,4,6,3,13
03.02.2015,4,6,3,13
04.02.2015,4,6,3,13
05.02.2015,4,6,3,13
06.02.2015,3,7,3,13
07.02.2015,3,7,3,13
08.02.2015,3,7,3,13
09.02.2015,3,7,3,13
10.02.2015,3,7,3,13
11.02.2015,3,7,3,13
12.02.2015,3,6,3,12
13.02.2015,4,5,3,12
14.02.2015,4,5,3,12
15.02.2015,4,4,3,11
16.02.2015,4,4,3,11
17.02.2015,4,4,3,11
18.02.2015,4,5,2,11
19.02.2015,3,5,2,10
20.02.2015,3,5,1,9
21.02.2015,3,5,1,9
22.02.2015,3,4,3,10
23.02.2015,3,5,2,10
24.02.2015,3,6,1,10
25.02.2015,3,6,2,11
26.02.2015,3,6,2,11
27.02.2015,3,6,2,11
28.02.2015,3,6,2,11
01.03.2015,3,6,3,12
02.03.2015,3,6,3,12
03.03.2015,3,6,3,12
04.03.2015,3,6,3,12
05.03.2015,3,6,4,13
06.03.2015,3,7,3,13
07.03.2015,3,7,3,13
08.03.2015,3,7,3,13
09.03.2015,3,7,3,13
10.03.2015,3,7,3,13
11.03.2015,3,7,3,13
12.03.2015,3,7,3,13
13.03.2015,3,7,4,14
14.03.2015,3,7,5,15
15.03.2015,3,7,5,15
16.03.2015,3,7,5,15
17.03.2015,4,6,5,15
18.03.2015,5,5,5,15
19.03.2015,5,5,5,15
20.03.2015,5,5,5,15
21.03.2015,5,5,5,15
22.03.2015,5,6,3,14
23.03.2015,5,6,3,14
24.03.2015,5,7,3,15
25.03.2015,5,7,2,14
26.03.2015,5,7,2,14
27.03.2015,5,7,2,14
28.03.2015,5,7,2,14
29.03.2015,5,7,3,15
30.03.2015,5,7,3,15
31.03.2015,5,7,3,15
01.04.2015,5,8,4,17
02.04.2015,6,7,4,17
03.04.2015,6,5,4,15
04.04.2015,6,5,6,17
05.04.2015,6,5,7,18
06.04.2015,5,7,7,19
07.04.2015,5,6,7,18
08.04.2015,5,6,8,19
09.04.2015,5,5,9,19
10.04.2015,5,5,8,18
11.04.2015,5,5,8,18
12.04.2015,5,6,7,18
13.04.2015,5,7,7,19
14.04.2015,6,6,7,19
15.04.2015,6,6,7,19
16.04.2015,6,6,7,19
17.04.2015,6,6,7,19
18.04.2015,6,6,7,19
19.04.2015,6,6,7,19
20.04.2015,5,7,7,19
21.04.2015,4,8,6,18
22.04.2015,4,8,6,18
23.04.2015,4,8,6,18
24.04.2015,4,8,6,18
25.04.2015,4,8,7,19
26.04.2015,4,8,6,18
27.04.2015,4,8,6,18
28.04.2015,4,8,6,18
29.04.2015,4,8,5,17
30.04.2015,5,7,5,17
01.05.2015,5,7,5,17
02.05.2015,5,7,4,16
03.05.2015,5,7,3,15
04.05.2015,5,7,3,15
05.05.2015,5,7,3,15
06.05.2015,5,7,2,14
07.05.2015,5,6,2,13
08.05.2015,5,6,2,13
09.05.2015,5,6,2,13
10.05.2015,5,5,3,13
11.05.2015,5,5,2,12
12.05.2015,5,3,2,10
13.05.2015,5,4,3,12
14.05.2015,5,4,3,12
15.05.2015,5,4,4,13
16.05.2015,5,4,4,13
17.05.2015,5,4,4,13
18.05.2015,4,7,3,14
19.05.2015,3,8,3,14
20.05.2015,3,8,3,14
21.05.2015,3,7,4,14
22.05.2015,3,7,5,15
23.05.2015,3,7,4,14
24.05.2015,3,7,5,15
25.05.2015,3,7,5,15
26.05.2015,3,7,5,15
27.05.2015,3,8,4,15
28.05.2015,4,7,4,15
29.05.2015,4,7,4,15
30.05.2015,4,7,4,15
31.05.2015,4,7,5,16
01.06.2015,4,7,5,16
02.06.2015,4,7,5,16
03.06.2015,4,7,5,16
04.06.2015,4,8,5,17
05.06.2015,4,7,6,17
06.06.2015,4,8,5,17
07.06.2015,4,8,4,16
08.06.2015,4,8,4,16
09.06.2015,3,10,5,18
10.06.2015,3,10,4,17
11.06.2015,4,9,4,17
