decentraland,,,,
Date, Full Time, Part Time, One Time, Total
18.05.2015,0,0,1,1
19.05.2015,0,0,1,1
20.05.2015,0,1,1,2
21.05.2015,0,1,1,2
22.05.2015,0,2,0,2
23.05.2015,0,2,0,2
24.05.2015,0,2,0,2
25.05.2015,0,2,0,2
26.05.2015,0,2,0,2
27.05.2015,0,2,0,2
28.05.2015,0,2,0,2
29.05.2015,0,2,0,2
30.05.2015,0,2,0,2
31.05.2015,0,2,0,2
01.06.2015,0,2,0,2
02.06.2015,0,2,0,2
03.06.2015,0,2,0,2
04.06.2015,0,2,0,2
05.06.2015,0,2,0,2
06.06.2015,0,2,0,2
07.06.2015,0,2,0,2
08.06.2015,0,2,0,2
09.06.2015,0,2,0,2
10.06.2015,0,2,0,2
11.06.2015,0,2,0,2
12.06.2015,0,2,0,2
13.06.2015,0,2,0,2
14.06.2015,0,2,0,2
15.06.2015,0,2,0,2
16.06.2015,0,2,0,2
17.06.2015,1,1,0,2
18.06.2015,1,1,0,2
19.06.2015,2,0,0,2
20.06.2015,2,0,0,2
21.06.2015,2,0,0,2
22.06.2015,2,0,0,2
23.06.2015,1,1,0,2
24.06.2015,1,1,0,2
25.06.2015,0,2,0,2
26.06.2015,1,1,0,2
27.06.2015,1,1,0,2
28.06.2015,1,1,0,2
29.06.2015,2,0,0,2
30.06.2015,2,0,0,2
01.07.2015,2,0,0,2
02.07.2015,2,0,0,2
03.07.2015,2,0,0,2
04.07.2015,2,0,0,2
05.07.2015,2,0,0,2
06.07.2015,0,2,0,2
07.09.2015,0,0,1,1
08.09.2015,0,1,1,2
09.09.2015,0,1,1,2
10.09.2015,0,1,1,2
11.09.2015,0,1,1,2
12.09.2015,0,1,1,2
13.09.2015,0,1,1,2
14.09.2015,0,1,1,2
15.09.2015,0,1,1,2
16.09.2015,0,1,1,2
17.09.2015,0,1,1,2
18.09.2015,0,1,1,2
19.09.2015,0,1,1,2
20.09.2015,0,1,1,2
21.09.2015,0,1,1,2
22.09.2015,0,1,1,2
23.09.2015,0,1,1,2
24.09.2015,0,1,1,2
25.09.2015,0,1,1,2
26.09.2015,0,1,1,2
27.09.2015,0,1,1,2
28.09.2015,0,1,1,2
29.09.2015,0,1,1,2
30.09.2015,0,1,1,2
01.10.2015,0,1,1,2
02.10.2015,0,1,1,2
03.10.2015,0,1,1,2
04.10.2015,0,1,1,2
05.10.2015,0,1,1,2
03.03.2016,0,0,2,2
04.03.2016,0,0,2,2
05.03.2016,0,0,2,2
06.03.2016,0,0,2,2
07.03.2016,0,0,3,3
08.03.2016,0,0,3,3
09.03.2016,0,0,3,3
10.03.2016,0,0,3,3
11.03.2016,0,0,3,3
12.03.2016,0,0,3,3
13.03.2016,0,0,3,3
14.03.2016,0,0,3,3
15.03.2016,0,0,3,3
16.03.2016,0,1,2,3
17.03.2016,0,1,2,3
18.03.2016,0,1,2,3
19.03.2016,0,1,2,3
20.03.2016,0,1,2,3
21.03.2016,0,1,2,3
22.03.2016,0,1,2,3
23.03.2016,0,1,2,3
24.03.2016,0,1,2,3
25.03.2016,0,1,2,3
26.03.2016,0,1,2,3
27.03.2016,0,1,2,3
28.03.2016,0,1,2,3
29.03.2016,0,1,2,3
30.03.2016,0,1,2,3
31.03.2016,0,1,1,2
01.04.2016,0,1,1,2
02.04.2016,0,1,1,2
03.04.2016,0,1,1,2
04.04.2016,0,1,0,1
05.04.2016,0,1,0,1
06.04.2016,0,1,0,1
07.04.2016,0,1,0,1
08.04.2016,0,1,0,1
09.04.2016,0,1,0,1
10.04.2016,0,1,0,1
11.04.2016,0,1,0,1
12.04.2016,0,1,0,1
03.05.2016,0,0,1,1
04.05.2016,0,0,1,1
05.05.2016,0,0,1,1
06.05.2016,0,2,0,2
07.05.2016,0,2,0,2
08.05.2016,0,2,0,2
09.05.2016,0,2,0,2
10.05.2016,0,2,0,2
11.05.2016,0,2,0,2
12.05.2016,0,2,0,2
13.05.2016,0,2,0,2
14.05.2016,0,2,0,2
15.05.2016,0,2,0,2
16.05.2016,0,2,0,2
17.05.2016,0,2,0,2
18.05.2016,0,2,0,2
19.05.2016,0,2,0,2
20.05.2016,0,2,0,2
21.05.2016,0,2,0,2
22.05.2016,0,2,0,2
23.05.2016,0,2,0,2
24.05.2016,0,2,0,2
25.05.2016,0,2,0,2
26.05.2016,0,2,0,2
27.05.2016,0,2,0,2
28.05.2016,0,2,0,2
29.05.2016,0,2,0,2
30.05.2016,0,2,0,2
