defichain,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,5,14,11,30
02.01.2015,4,15,11,30
03.01.2015,4,14,11,29
04.01.2015,4,14,10,28
05.01.2015,5,12,11,28
06.01.2015,5,12,11,28
07.01.2015,6,12,11,29
08.01.2015,6,13,10,29
09.01.2015,6,13,10,29
10.01.2015,6,13,10,29
11.01.2015,6,13,10,29
12.01.2015,6,13,10,29
13.01.2015,6,12,9,27
14.01.2015,6,12,9,27
15.01.2015,6,12,8,26
16.01.2015,5,11,9,25
17.01.2015,5,11,9,25
18.01.2015,5,11,7,23
19.01.2015,5,11,7,23
20.01.2015,4,12,6,22
21.01.2015,5,10,6,21
22.01.2015,4,11,6,21
23.01.2015,4,11,8,23
24.01.2015,4,12,9,25
25.01.2015,4,13,7,24
26.01.2015,4,12,6,22
27.01.2015,4,12,6,22
28.01.2015,4,11,6,21
29.01.2015,4,11,6,21
30.01.2015,4,11,6,21
31.01.2015,4,11,8,23
01.02.2015,4,11,8,23
02.02.2015,4,12,8,24
03.02.2015,4,13,8,25
04.02.2015,6,12,9,27
05.02.2015,4,12,9,25
06.02.2015,5,10,9,24
07.02.2015,5,10,9,24
08.02.2015,5,10,10,25
09.02.2015,4,11,10,25
10.02.2015,4,11,10,25
11.02.2015,4,11,9,24
12.02.2015,4,10,10,24
13.02.2015,4,10,9,23
14.02.2015,4,10,10,24
15.02.2015,4,10,10,24
16.02.2015,3,10,10,23
17.02.2015,3,11,8,22
18.02.2015,3,11,8,22
19.02.2015,3,11,8,22
20.02.2015,3,11,8,22
21.02.2015,3,11,8,22
22.02.2015,3,11,7,21
23.02.2015,2,13,7,22
24.02.2015,2,13,8,23
25.02.2015,2,14,7,23
26.02.2015,2,14,8,24
27.02.2015,2,14,8,24
28.02.2015,2,14,6,22
01.03.2015,2,14,6,22
02.03.2015,2,13,6,21
03.03.2015,2,12,9,23
04.03.2015,4,10,8,22
05.03.2015,2,14,7,23
06.03.2015,3,13,7,23
07.03.2015,3,13,7,23
08.03.2015,3,12,6,21
09.03.2015,3,13,6,22
10.03.2015,3,12,7,22
11.03.2015,3,13,9,25
12.03.2015,3,14,9,26
13.03.2015,4,12,11,27
14.03.2015,3,13,10,26
15.03.2015,3,13,9,25
16.03.2015,3,13,9,25
17.03.2015,3,13,9,25
18.03.2015,4,12,9,25
19.03.2015,3,13,9,25
20.03.2015,3,13,8,24
21.03.2015,3,13,7,23
22.03.2015,3,15,6,24
23.03.2015,3,15,5,23
24.03.2015,3,15,6,24
25.03.2015,3,14,6,23
26.03.2015,3,14,6,23
27.03.2015,3,14,6,23
28.03.2015,3,14,6,23
29.03.2015,3,14,6,23
30.03.2015,3,15,6,24
31.03.2015,3,15,5,23
01.04.2015,3,16,5,24
02.04.2015,2,15,6,23
03.04.2015,2,15,7,24
04.04.2015,2,15,7,24
05.04.2015,1,16,9,26
06.04.2015,1,15,9,25
07.04.2015,2,14,8,24
08.04.2015,2,14,8,24
09.04.2015,2,15,8,25
10.04.2015,2,15,8,25
11.04.2015,2,15,9,26
12.04.2015,2,14,10,26
13.04.2015,2,16,9,27
14.04.2015,1,16,9,26
15.04.2015,2,14,9,25
16.04.2015,2,14,9,25
17.04.2015,2,14,9,25
18.04.2015,2,14,9,25
19.04.2015,2,15,8,25
20.04.2015,2,15,10,27
21.04.2015,2,14,9,25
22.04.2015,2,14,10,26
23.04.2015,2,14,10,26
24.04.2015,2,14,10,26
25.04.2015,2,15,9,26
26.04.2015,2,14,9,25
27.04.2015,3,13,9,25
28.04.2015,3,13,12,28
29.04.2015,3,13,12,28
30.04.2015,3,13,12,28
01.05.2015,3,13,11,27
02.05.2015,3,13,11,27
03.05.2015,2,14,9,25
04.05.2015,2,14,9,25
05.05.2015,3,13,9,25
06.05.2015,3,14,8,25
07.05.2015,3,13,9,25
08.05.2015,3,13,8,24
09.05.2015,3,13,8,24
10.05.2015,3,13,7,23
11.05.2015,3,13,7,23
12.05.2015,2,14,7,23
13.05.2015,3,13,7,23
14.05.2015,3,13,7,23
15.05.2015,3,13,8,24
16.05.2015,3,14,7,24
17.05.2015,3,14,7,24
18.05.2015,3,16,5,24
19.05.2015,3,16,5,24
