dfinity,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,0,2,0,2
02.01.2015,0,2,0,2
03.01.2015,0,2,0,2
04.01.2015,0,2,0,2
05.01.2015,0,2,0,2
06.01.2015,0,1,0,1
07.01.2015,0,1,0,1
08.01.2015,0,1,0,1
09.01.2015,0,1,0,1
10.01.2015,0,1,0,1
11.01.2015,0,1,0,1
12.01.2015,0,1,0,1
13.01.2015,0,1,0,1
14.01.2015,0,1,0,1
15.01.2015,0,1,0,1
16.01.2015,0,1,0,1
17.01.2015,0,1,0,1
18.01.2015,0,1,0,1
19.01.2015,0,1,0,1
20.01.2015,0,1,0,1
21.01.2015,0,1,0,1
22.01.2015,0,1,0,1
23.01.2015,0,1,0,1
24.01.2015,0,1,0,1
25.01.2015,0,1,0,1
26.01.2015,0,1,0,1
27.01.2015,0,1,0,1
28.01.2015,0,1,0,1
29.01.2015,0,1,0,1
30.01.2015,0,1,0,1
31.01.2015,0,1,0,1
01.02.2015,0,1,0,1
02.02.2015,0,1,0,1
03.02.2015,0,1,0,1
04.02.2015,0,1,0,1
05.02.2015,0,1,0,1
06.02.2015,0,1,0,1
07.02.2015,0,1,0,1
08.02.2015,0,1,0,1
09.02.2015,0,1,0,1
10.02.2015,0,1,0,1
11.02.2015,0,1,0,1
12.02.2015,0,1,0,1
13.02.2015,0,1,0,1
14.02.2015,0,1,0,1
15.02.2015,0,1,0,1
16.02.2015,0,1,0,1
17.02.2015,0,1,0,1
18.02.2015,0,1,0,1
19.02.2015,0,1,0,1
20.02.2015,0,1,0,1
21.02.2015,0,1,0,1
22.02.2015,0,1,0,1
23.02.2015,0,1,0,1
24.02.2015,0,1,0,1
25.02.2015,0,1,0,1
26.02.2015,0,1,0,1
27.02.2015,0,1,0,1
28.02.2015,0,1,0,1
01.03.2015,0,1,0,1
02.03.2015,0,1,0,1
03.03.2015,0,1,0,1
04.03.2015,0,1,0,1
05.03.2015,0,1,0,1
06.03.2015,0,1,0,1
07.03.2015,0,1,1,2
08.03.2015,0,1,1,2
09.03.2015,0,1,1,2
10.03.2015,0,1,1,2
11.03.2015,0,1,1,2
12.03.2015,0,1,1,2
13.03.2015,0,1,1,2
14.03.2015,0,1,1,2
15.03.2015,0,1,1,2
16.03.2015,0,1,1,2
17.03.2015,0,1,1,2
18.03.2015,0,1,1,2
19.03.2015,0,1,1,2
20.03.2015,0,1,1,2
21.03.2015,0,1,1,2
22.03.2015,0,1,1,2
23.03.2015,0,1,1,2
24.03.2015,0,1,1,2
