elrond,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,2,2,0,4
02.01.2015,2,2,0,4
03.01.2015,2,2,0,4
04.01.2015,2,2,0,4
05.01.2015,2,2,0,4
06.01.2015,2,2,0,4
07.01.2015,2,2,0,4
08.01.2015,2,2,0,4
09.01.2015,2,2,0,4
10.01.2015,2,2,0,4
11.01.2015,2,2,0,4
12.01.2015,2,2,0,4
13.01.2015,2,3,0,5
14.01.2015,2,3,0,5
15.01.2015,2,3,0,5
16.01.2015,2,3,0,5
17.01.2015,2,3,0,5
18.01.2015,2,2,1,5
19.01.2015,2,2,1,5
20.01.2015,2,2,1,5
21.01.2015,2,2,1,5
22.01.2015,2,2,1,5
23.01.2015,2,1,0,3
24.01.2015,2,1,0,3
25.01.2015,2,1,0,3
26.01.2015,2,1,0,3
27.01.2015,2,1,0,3
28.01.2015,2,1,0,3
29.01.2015,2,1,0,3
30.01.2015,2,1,0,3
31.01.2015,2,1,0,3
01.02.2015,2,1,0,3
02.02.2015,2,1,0,3
03.02.2015,2,1,0,3
04.02.2015,2,1,0,3
05.02.2015,2,1,0,3
06.02.2015,2,1,0,3
07.02.2015,2,1,0,3
08.02.2015,2,1,0,3
09.02.2015,2,1,0,3
10.02.2015,2,1,0,3
11.02.2015,2,1,0,3
12.02.2015,2,0,0,2
13.02.2015,2,0,0,2
14.02.2015,2,0,0,2
15.02.2015,2,0,0,2
16.02.2015,2,0,0,2
17.02.2015,2,0,0,2
18.02.2015,2,0,0,2
19.02.2015,2,0,0,2
20.02.2015,2,0,0,2
21.02.2015,2,0,0,2
22.02.2015,2,0,0,2
23.02.2015,2,0,0,2
24.02.2015,2,0,0,2
25.02.2015,2,0,0,2
26.02.2015,2,0,0,2
27.02.2015,2,1,0,3
28.02.2015,2,1,0,3
01.03.2015,2,1,0,3
02.03.2015,2,1,0,3
03.03.2015,2,1,0,3
04.03.2015,2,1,0,3
05.03.2015,2,1,1,4
06.03.2015,2,1,1,4
07.03.2015,2,1,1,4
08.03.2015,2,1,1,4
09.03.2015,2,1,1,4
10.03.2015,2,1,1,4
11.03.2015,2,1,1,4
12.03.2015,2,1,1,4
13.03.2015,2,1,2,5
14.03.2015,2,1,2,5
15.03.2015,2,1,2,5
16.03.2015,2,1,2,5
17.03.2015,2,1,2,5
18.03.2015,2,1,2,5
19.03.2015,2,2,1,5
20.03.2015,2,1,2,5
21.03.2015,2,1,2,5
22.03.2015,2,1,2,5
23.03.2015,2,2,1,5
24.03.2015,2,2,1,5
25.03.2015,2,2,1,5
26.03.2015,2,2,1,5
27.03.2015,2,2,1,5
28.03.2015,2,2,1,5
29.03.2015,2,2,1,5
30.03.2015,2,2,1,5
31.03.2015,2,2,1,5
01.04.2015,2,2,1,5
02.04.2015,2,2,1,5
03.04.2015,2,2,1,5
04.04.2015,2,2,1,5
05.04.2015,2,2,2,6
06.04.2015,2,2,2,6
07.04.2015,2,2,2,6
08.04.2015,2,2,2,6
09.04.2015,2,2,2,6
10.04.2015,2,2,1,5
11.04.2015,2,2,1,5
12.04.2015,2,2,1,5
13.04.2015,2,2,1,5
14.04.2015,2,2,1,5
15.04.2015,2,2,1,5
