energy-web,,,,
Date, Full Time, Part Time, One Time, Total
05.09.2017,0,0,1,1
06.09.2017,0,0,1,1
07.09.2017,0,0,1,1
08.09.2017,0,0,1,1
09.09.2017,0,0,1,1
10.09.2017,0,0,1,1
11.09.2017,0,1,0,1
12.09.2017,0,1,0,1
13.09.2017,0,1,0,1
14.09.2017,0,1,3,4
15.09.2017,0,1,3,4
16.09.2017,0,3,1,4
17.09.2017,0,3,1,4
18.09.2017,0,3,1,4
19.09.2017,0,3,1,4
20.09.2017,0,3,1,4
21.09.2017,0,3,1,4
22.09.2017,0,3,1,4
23.09.2017,0,3,1,4
24.09.2017,0,3,1,4
25.09.2017,0,3,1,4
26.09.2017,0,3,1,4
27.09.2017,0,3,1,4
28.09.2017,0,3,1,4
29.09.2017,0,3,1,4
30.09.2017,0,3,1,4
01.10.2017,0,3,1,4
02.10.2017,0,3,1,4
03.10.2017,0,3,1,4
04.10.2017,0,3,1,4
05.10.2017,0,3,1,4
06.10.2017,0,3,1,4
07.10.2017,0,3,1,4
08.10.2017,0,3,1,4
09.10.2017,0,3,1,4
10.10.2017,0,3,1,4
11.10.2017,0,3,1,4
12.10.2017,0,3,0,3
13.10.2017,0,3,0,3
14.10.2017,0,3,0,3
15.10.2017,0,3,0,3
16.10.2017,0,3,0,3
17.10.2017,0,2,0,2
18.10.2017,0,2,0,2
19.10.2017,0,2,0,2
20.10.2017,0,2,0,2
21.10.2017,0,2,0,2
22.10.2017,0,2,0,2
23.10.2017,0,1,0,1
24.10.2017,0,1,0,1
25.10.2017,0,1,0,1
26.10.2017,1,0,0,1
27.10.2017,1,0,0,1
28.10.2017,1,0,0,1
29.10.2017,1,0,0,1
30.10.2017,1,0,0,1
31.10.2017,0,3,0,3
01.11.2017,1,2,0,3
02.11.2017,1,2,0,3
03.11.2017,1,2,0,3
04.11.2017,1,2,0,3
05.11.2017,1,2,0,3
06.11.2017,0,3,0,3
07.11.2017,0,3,0,3
08.11.2017,0,3,0,3
09.11.2017,0,3,0,3
10.11.2017,0,3,0,3
11.11.2017,0,3,0,3
12.11.2017,0,3,0,3
13.11.2017,0,3,0,3
14.11.2017,0,3,0,3
15.11.2017,0,3,0,3
16.11.2017,0,3,0,3
17.11.2017,0,3,0,3
18.11.2017,0,3,0,3
19.11.2017,0,3,0,3
20.11.2017,0,3,0,3
21.11.2017,0,3,0,3
22.11.2017,0,3,0,3
23.11.2017,1,2,0,3
24.11.2017,1,2,0,3
25.11.2017,1,2,0,3
26.11.2017,1,2,0,3
27.11.2017,1,2,0,3
28.11.2017,0,2,0,2
29.11.2017,0,1,0,1
30.11.2017,0,1,0,1
01.12.2017,0,1,0,1
02.12.2017,0,1,0,1
03.12.2017,0,1,0,1
04.12.2017,0,1,0,1
05.12.2017,0,2,0,2
06.12.2017,0,2,0,2
07.12.2017,0,2,0,2
08.12.2017,0,2,0,2
09.12.2017,0,2,0,2
10.12.2017,0,2,0,2
11.12.2017,0,2,0,2
12.12.2017,0,2,0,2
13.12.2017,0,3,0,3
14.12.2017,0,3,0,3
15.12.2017,0,3,1,4
16.12.2017,0,3,1,4
17.12.2017,0,3,1,4
18.12.2017,0,3,1,4
19.12.2017,0,3,1,4
20.12.2017,0,3,1,4
21.12.2017,0,3,1,4
22.12.2017,0,3,1,4
23.12.2017,0,3,1,4
24.12.2017,0,3,1,4
25.12.2017,0,3,1,4
26.12.2017,0,3,1,4
27.12.2017,0,3,1,4
28.12.2017,0,3,1,4
29.12.2017,0,3,1,4
30.12.2017,0,3,1,4
31.12.2017,0,3,1,4
01.01.2018,0,3,1,4
02.01.2018,0,2,1,3
03.01.2018,0,2,1,3
04.01.2018,0,2,1,3
05.01.2018,0,2,1,3
06.01.2018,0,2,1,3
07.01.2018,0,2,1,3
08.01.2018,0,2,1,3
09.01.2018,0,2,1,3
10.01.2018,0,2,1,3
11.01.2018,0,2,1,3
12.01.2018,0,1,0,1
13.01.2018,0,1,0,1
14.01.2018,0,1,0,1
15.01.2018,0,1,0,1
16.01.2018,0,1,0,1
17.01.2018,0,1,0,1
18.01.2018,0,1,0,1
19.01.2018,0,1,0,1
20.01.2018,0,1,0,1
21.01.2018,0,2,0,2
22.01.2018,0,2,0,2
23.01.2018,0,2,0,2
24.01.2018,0,2,0,2
25.01.2018,0,2,0,2
26.01.2018,0,2,0,2
27.01.2018,0,2,0,2
28.01.2018,0,2,0,2
29.01.2018,0,2,0,2
30.01.2018,0,2,0,2
31.01.2018,0,2,0,2
01.02.2018,0,2,0,2
02.02.2018,0,2,0,2
03.02.2018,0,2,0,2
04.02.2018,0,2,0,2
05.02.2018,0,2,0,2
06.02.2018,0,2,0,2
07.02.2018,0,2,0,2
08.02.2018,0,2,0,2
09.02.2018,0,2,0,2
10.02.2018,0,2,0,2
11.02.2018,0,2,0,2
12.02.2018,0,2,0,2
13.02.2018,0,3,0,3
14.02.2018,0,3,0,3
15.02.2018,0,3,0,3
16.02.2018,0,3,0,3
17.02.2018,0,3,0,3
18.02.2018,0,2,0,2
19.02.2018,0,3,0,3
20.02.2018,0,3,0,3
21.02.2018,0,3,0,3
22.02.2018,0,3,0,3
23.02.2018,0,3,0,3
24.02.2018,0,3,0,3
25.02.2018,0,3,0,3
26.02.2018,0,3,0,3
27.02.2018,0,2,1,3
28.02.2018,0,2,1,3
01.03.2018,0,2,1,3
02.03.2018,0,2,1,3
03.03.2018,0,2,1,3
04.03.2018,0,2,1,3
05.03.2018,0,2,1,3
06.03.2018,0,2,1,3
07.03.2018,0,2,1,3
08.03.2018,0,2,1,3
09.03.2018,0,2,1,3
10.03.2018,0,2,1,3
11.03.2018,0,2,1,3
12.03.2018,0,2,1,3
13.03.2018,0,2,0,2
14.03.2018,0,2,0,2
15.03.2018,0,2,0,2
16.03.2018,0,2,0,2
17.03.2018,0,2,0,2
18.03.2018,0,2,0,2
19.03.2018,0,2,0,2
20.03.2018,0,2,0,2
21.03.2018,0,2,0,2
22.03.2018,0,2,1,3
23.03.2018,1,1,1,3
24.03.2018,1,1,1,3
25.03.2018,1,1,1,3
26.03.2018,1,1,1,3
27.03.2018,1,1,1,3
28.03.2018,1,1,1,3
29.03.2018,1,2,0,3
30.03.2018,1,2,0,3
31.03.2018,1,2,0,3
01.04.2018,1,2,0,3
02.04.2018,1,2,0,3
03.04.2018,1,2,0,3
04.04.2018,1,2,0,3
05.04.2018,1,2,0,3
06.04.2018,1,2,0,3
07.04.2018,1,2,0,3
08.04.2018,1,2,0,3
09.04.2018,1,2,0,3
10.04.2018,1,2,1,4
11.04.2018,1,2,1,4
12.04.2018,1,2,2,5
13.04.2018,1,2,2,5
14.04.2018,1,2,2,5
15.04.2018,1,2,2,5
16.04.2018,1,2,2,5
17.04.2018,1,2,2,5
18.04.2018,1,2,2,5
19.04.2018,1,2,2,5
20.04.2018,1,2,2,5
21.04.2018,1,2,2,5
22.04.2018,1,2,2,5
23.04.2018,1,2,2,5
24.04.2018,1,2,2,5
25.04.2018,1,2,2,5
26.04.2018,1,2,2,5
27.04.2018,1,2,2,5
28.04.2018,1,2,2,5
29.04.2018,1,2,2,5
30.04.2018,1,2,2,5
01.05.2018,1,2,2,5
02.05.2018,1,2,2,5
03.05.2018,1,1,2,4
04.05.2018,1,1,2,4
05.05.2018,1,1,2,4
06.05.2018,1,1,2,4
07.05.2018,1,1,2,4
08.05.2018,1,1,1,3
09.05.2018,1,1,1,3
10.05.2018,1,1,0,2
11.05.2018,1,1,0,2
12.05.2018,1,1,0,2
13.05.2018,1,1,0,2
14.05.2018,1,1,0,2
15.05.2018,1,1,0,2
16.05.2018,1,1,0,2
17.05.2018,1,1,0,2
18.05.2018,1,1,0,2
19.05.2018,1,1,0,2
20.05.2018,1,1,0,2
21.05.2018,1,1,0,2
22.05.2018,1,1,0,2
23.05.2018,1,1,0,2
24.05.2018,1,1,0,2
25.05.2018,1,1,0,2
26.05.2018,1,1,0,2
27.05.2018,1,1,0,2
28.05.2018,1,1,0,2
29.05.2018,1,1,0,2
30.05.2018,2,0,0,2
31.05.2018,2,1,0,3
01.06.2018,2,1,0,3
02.06.2018,2,1,0,3
03.06.2018,2,1,0,3
04.06.2018,2,1,0,3
05.06.2018,2,1,0,3
06.06.2018,2,1,0,3
07.06.2018,2,1,0,3
08.06.2018,2,1,0,3
09.06.2018,2,1,0,3
10.06.2018,2,1,0,3
11.06.2018,2,1,0,3
12.06.2018,2,1,0,3
13.06.2018,2,1,0,3
14.06.2018,2,1,0,3
15.06.2018,2,1,0,3
16.06.2018,2,1,0,3
17.06.2018,2,1,0,3
18.06.2018,1,2,0,3
19.06.2018,0,3,0,3
20.06.2018,0,3,0,3
21.06.2018,0,3,0,3
22.06.2018,0,3,0,3
23.06.2018,0,3,0,3
24.06.2018,0,3,0,3
25.06.2018,0,3,0,3
26.06.2018,0,3,0,3
27.06.2018,1,2,0,3
28.06.2018,1,1,1,3
29.06.2018,1,1,1,3
30.06.2018,1,1,1,3
01.07.2018,1,1,1,3
02.07.2018,1,0,1,2
03.07.2018,1,0,1,2
04.07.2018,1,1,1,3
05.07.2018,1,1,1,3
06.07.2018,1,2,0,3
07.07.2018,1,2,0,3
08.07.2018,1,2,0,3
09.07.2018,1,2,0,3
10.07.2018,1,2,0,3
11.07.2018,1,2,0,3
12.07.2018,1,2,0,3
13.07.2018,1,2,0,3
14.07.2018,1,2,0,3
15.07.2018,1,2,0,3
16.07.2018,1,2,0,3
17.07.2018,0,3,0,3
18.07.2018,0,3,0,3
19.07.2018,0,3,0,3
20.07.2018,0,3,1,4
21.07.2018,0,3,1,4
22.07.2018,0,3,1,4
23.07.2018,0,3,1,4
24.07.2018,0,3,2,5
25.07.2018,1,2,2,5
26.07.2018,1,2,2,5
27.07.2018,1,2,2,5
28.07.2018,1,2,2,5
29.07.2018,1,2,2,5
30.07.2018,1,2,3,6
31.07.2018,1,2,3,6
01.08.2018,1,2,3,6
02.08.2018,1,2,4,7
03.08.2018,1,2,4,7
04.08.2018,1,2,4,7
05.08.2018,1,2,4,7
06.08.2018,0,3,4,7
07.08.2018,0,3,4,7
08.08.2018,1,2,4,7
09.08.2018,1,2,4,7
10.08.2018,1,2,4,7
11.08.2018,1,2,4,7
12.08.2018,1,2,4,7
13.08.2018,1,2,4,7
14.08.2018,0,3,5,8
15.08.2018,0,3,5,8
16.08.2018,0,3,5,8
17.08.2018,0,4,4,8
18.08.2018,0,4,4,8
19.08.2018,0,4,4,8
20.08.2018,0,4,4,8
21.08.2018,0,5,2,7
22.08.2018,0,5,2,7
23.08.2018,0,5,2,7
24.08.2018,0,5,2,7
25.08.2018,0,5,2,7
26.08.2018,0,5,2,7
27.08.2018,0,5,1,6
28.08.2018,0,5,3,8
29.08.2018,0,7,1,8
30.08.2018,0,7,0,7
31.08.2018,0,7,0,7
01.09.2018,0,7,0,7
02.09.2018,0,7,0,7
03.09.2018,0,7,0,7
04.09.2018,0,7,1,8
05.09.2018,0,7,1,8
06.09.2018,0,7,2,9
07.09.2018,0,7,2,9
