eos,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,0,5,1,6
02.01.2015,0,5,1,6
03.01.2015,0,5,2,7
04.01.2015,0,5,2,7
05.01.2015,0,6,1,7
06.01.2015,0,6,0,6
07.01.2015,0,6,1,7
08.01.2015,0,6,1,7
09.01.2015,0,6,1,7
10.01.2015,0,6,1,7
11.01.2015,0,6,1,7
12.01.2015,0,7,1,8
13.01.2015,0,7,1,8
14.01.2015,0,7,1,8
15.01.2015,0,7,1,8
16.01.2015,0,7,1,8
17.01.2015,0,6,1,7
18.01.2015,0,6,1,7
19.01.2015,0,8,1,9
20.01.2015,0,8,1,9
21.01.2015,0,8,1,9
22.01.2015,0,8,1,9
23.01.2015,0,8,1,9
24.01.2015,0,8,1,9
25.01.2015,0,8,1,9
26.01.2015,0,7,1,8
27.01.2015,0,7,1,8
28.01.2015,0,7,1,8
29.01.2015,0,7,1,8
30.01.2015,0,7,1,8
31.01.2015,0,7,1,8
01.02.2015,0,7,1,8
02.02.2015,1,6,1,8
03.02.2015,1,6,1,8
04.02.2015,1,5,1,7
05.02.2015,1,5,0,6
06.02.2015,1,5,0,6
07.02.2015,1,5,0,6
08.02.2015,1,5,0,6
09.02.2015,1,5,0,6
10.02.2015,1,4,1,6
11.02.2015,0,5,1,6
12.02.2015,0,5,1,6
13.02.2015,0,5,1,6
14.02.2015,0,5,1,6
15.02.2015,0,5,1,6
16.02.2015,0,5,0,5
17.02.2015,0,5,0,5
18.02.2015,0,6,0,6
19.02.2015,0,6,0,6
20.02.2015,1,5,0,6
21.02.2015,1,5,1,7
22.02.2015,1,5,1,7
23.02.2015,0,6,1,7
24.02.2015,0,6,1,7
25.02.2015,0,5,1,6
26.02.2015,0,6,1,7
27.02.2015,0,6,1,7
28.02.2015,0,6,1,7
01.03.2015,0,6,1,7
02.03.2015,0,6,1,7
03.03.2015,0,6,1,7
04.03.2015,0,6,1,7
05.03.2015,0,4,1,5
06.03.2015,0,4,1,5
07.03.2015,0,4,1,5
08.03.2015,0,4,1,5
09.03.2015,0,4,1,5
10.03.2015,0,4,1,5
11.03.2015,0,4,1,5
12.03.2015,0,4,1,5
13.03.2015,0,4,1,5
14.03.2015,0,4,1,5
15.03.2015,0,3,1,4
16.03.2015,0,3,1,4
17.03.2015,0,3,1,4
18.03.2015,0,3,1,4
19.03.2015,0,3,1,4
20.03.2015,0,3,1,4
21.03.2015,0,4,0,4
22.03.2015,0,4,0,4
23.03.2015,0,4,0,4
24.03.2015,0,4,0,4
