ethereum,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,35,55,20,110
02.01.2015,33,55,19,107
03.01.2015,33,55,19,107
04.01.2015,32,56,19,107
05.01.2015,32,57,21,110
06.01.2015,32,59,24,115
07.01.2015,30,62,24,116
08.01.2015,33,58,24,115
09.01.2015,33,56,23,112
10.01.2015,33,57,23,113
11.01.2015,34,55,22,111
12.01.2015,35,55,18,108
13.01.2015,36,55,21,112
14.01.2015,36,58,20,114
15.01.2015,36,58,23,117
16.01.2015,36,59,23,118
17.01.2015,35,59,24,118
18.01.2015,34,59,23,116
19.01.2015,34,63,25,122
20.01.2015,37,61,27,125
21.01.2015,37,63,25,125
22.01.2015,36,67,23,126
23.01.2015,37,66,23,126
24.01.2015,37,65,25,127
25.01.2015,37,66,25,128
26.01.2015,38,69,23,130
27.01.2015,38,70,23,131
28.01.2015,39,69,25,133
29.01.2015,39,70,24,133
30.01.2015,39,70,26,135
31.01.2015,40,69,28,137
01.02.2015,38,71,28,137
02.02.2015,40,70,29,139
03.02.2015,40,72,26,138
04.02.2015,39,71,27,137
05.02.2015,39,73,27,139
06.02.2015,38,73,29,140
07.02.2015,38,71,32,141
08.02.2015,38,70,35,143
09.02.2015,38,70,37,145
10.02.2015,39,69,39,147
11.02.2015,43,66,39,148
12.02.2015,44,63,38,145
13.02.2015,43,63,38,144
14.02.2015,43,64,39,146
15.02.2015,44,64,40,148
16.02.2015,44,62,39,145
17.02.2015,46,63,36,145
18.02.2015,47,62,36,145
19.02.2015,47,62,37,146
20.02.2015,47,65,37,149
21.02.2015,45,67,36,148
22.02.2015,45,67,38,150
23.02.2015,45,71,34,150
24.02.2015,46,69,38,153
25.02.2015,47,69,36,152
26.02.2015,47,68,39,154
27.02.2015,46,67,36,149
28.02.2015,46,70,32,148
01.03.2015,46,70,34,150
02.03.2015,46,72,32,150
03.03.2015,49,69,31,149
04.03.2015,49,74,29,152
05.03.2015,51,76,28,155
06.03.2015,51,75,28,154
07.03.2015,52,74,27,153
08.03.2015,51,75,29,155
09.03.2015,52,74,28,154
10.03.2015,51,75,26,152
11.03.2015,53,75,24,152
12.03.2015,52,79,24,155
13.03.2015,49,83,24,156
14.03.2015,49,85,23,157
15.03.2015,49,82,24,155
16.03.2015,46,86,26,158
17.03.2015,50,83,27,160
18.03.2015,51,82,30,163
19.03.2015,52,80,31,163
20.03.2015,51,79,30,160
21.03.2015,52,78,29,159
22.03.2015,51,80,26,157
23.03.2015,52,79,27,158
24.03.2015,53,80,26,159
25.03.2015,53,81,25,159
26.03.2015,50,83,26,159
27.03.2015,51,85,23,159
28.03.2015,50,85,25,160
29.03.2015,49,85,23,157
30.03.2015,50,83,22,155
31.03.2015,51,82,23,156
01.04.2015,49,77,24,150
02.04.2015,50,72,24,146
03.04.2015,49,72,25,146
04.04.2015,50,71,28,149
05.04.2015,48,70,25,143
06.04.2015,47,70,27,144
07.04.2015,47,74,26,147
08.04.2015,47,75,23,145
09.04.2015,47,71,26,144
10.04.2015,48,69,27,144
11.04.2015,48,71,25,144
12.04.2015,48,70,28,146
13.04.2015,49,74,26,149
14.04.2015,50,74,26,150
15.04.2015,50,72,22,144
16.04.2015,50,71,22,143
17.04.2015,49,74,21,144
18.04.2015,49,74,22,145
19.04.2015,49,74,22,145
20.04.2015,49,76,22,147
21.04.2015,50,74,22,146
22.04.2015,49,75,23,147
23.04.2015,47,76,24,147
24.04.2015,46,78,28,152
25.04.2015,46,78,30,154
26.04.2015,46,77,28,151
27.04.2015,45,78,29,152
28.04.2015,47,75,28,150
29.04.2015,47,74,29,150
30.04.2015,49,74,30,153
01.05.2015,48,74,32,154
02.05.2015,48,75,32,155
03.05.2015,49,74,32,155
04.05.2015,48,76,32,156
05.05.2015,49,77,32,158
06.05.2015,49,81,31,161
07.05.2015,47,83,30,160
08.05.2015,47,82,29,158
09.05.2015,47,80,32,159
10.05.2015,47,83,31,161
11.05.2015,45,86,30,161
12.05.2015,48,81,31,160
13.05.2015,48,80,37,165
14.05.2015,47,84,39,170
15.05.2015,47,86,34,167
16.05.2015,49,85,33,167
17.05.2015,49,88,33,170
18.05.2015,48,90,36,174
19.05.2015,49,85,36,170
20.05.2015,50,87,36,173
21.05.2015,48,88,35,171
22.05.2015,46,90,31,167
23.05.2015,46,90,31,167
24.05.2015,46,90,33,169
25.05.2015,44,95,32,171
26.05.2015,44,95,32,171
27.05.2015,42,93,36,171
28.05.2015,44,88,37,169
29.05.2015,44,88,39,171
30.05.2015,45,90,37,172
31.05.2015,46,89,38,173
01.06.2015,46,89,36,171
02.06.2015,46,88,37,171
03.06.2015,46,84,38,168
04.06.2015,45,85,39,169
05.06.2015,46,84,41,171
06.06.2015,47,82,39,168
07.06.2015,48,80,37,165
08.06.2015,49,76,34,159
09.06.2015,48,80,33,161
10.06.2015,48,79,35,162
11.06.2015,47,80,33,160
12.06.2015,46,80,33,159
13.06.2015,45,81,32,158
14.06.2015,45,83,33,161
15.06.2015,45,83,28,156
16.06.2015,47,80,35,162
17.06.2015,49,79,37,165
18.06.2015,48,83,35,166
19.06.2015,49,82,33,164
20.06.2015,49,85,33,167
21.06.2015,50,84,33,167
22.06.2015,52,84,35,171
23.06.2015,49,87,36,172
24.06.2015,53,83,33,169
25.06.2015,52,86,33,171
26.06.2015,54,84,32,170
27.06.2015,54,82,30,166
28.06.2015,55,82,28,165
29.06.2015,54,80,30,164
30.06.2015,54,81,29,164
01.07.2015,52,82,28,162
02.07.2015,53,81,27,161
03.07.2015,53,81,27,161
04.07.2015,54,79,30,163
05.07.2015,54,79,31,164
06.07.2015,53,86,28,167
07.07.2015,52,81,28,161
08.07.2015,50,86,27,163
09.07.2015,50,88,28,166
10.07.2015,51,86,28,165
11.07.2015,51,87,29,167
12.07.2015,51,85,29,165
13.07.2015,51,85,31,167
14.07.2015,51,90,31,172
15.07.2015,53,93,24,170
16.07.2015,53,91,26,170
17.07.2015,52,91,28,171
18.07.2015,52,86,27,165
19.07.2015,52,85,27,164
20.07.2015,52,85,24,161
21.07.2015,53,83,23,159
22.07.2015,55,80,24,159
23.07.2015,55,81,23,159
24.07.2015,53,84,24,161
25.07.2015,53,85,23,161
26.07.2015,53,85,25,163
27.07.2015,55,86,21,162
28.07.2015,55,85,29,169
29.07.2015,52,91,29,172
30.07.2015,51,92,33,176
31.07.2015,53,94,32,179
01.08.2015,52,96,30,178
02.08.2015,52,96,34,182
