evmos,,,,
Date, Full Time, Part Time, One Time, Total
06.01.2020,0,0,1,1
07.01.2020,0,0,1,1
08.01.2020,0,0,1,1
09.01.2020,0,0,1,1
10.01.2020,0,0,1,1
11.01.2020,0,0,1,1
12.01.2020,0,0,1,1
13.01.2020,0,0,1,1
14.01.2020,0,0,1,1
15.01.2020,0,0,1,1
16.01.2020,0,0,1,1
17.01.2020,0,0,1,1
18.01.2020,0,0,1,1
19.01.2020,0,0,1,1
20.01.2020,0,0,1,1
21.01.2020,0,0,1,1
22.01.2020,0,0,1,1
23.01.2020,0,0,1,1
24.01.2020,0,0,1,1
25.01.2020,0,0,1,1
26.01.2020,0,0,1,1
27.01.2020,0,0,1,1
28.01.2020,0,0,1,1
29.01.2020,0,0,1,1
30.01.2020,0,0,1,1
31.01.2020,0,0,1,1
01.02.2020,0,0,1,1
02.02.2020,0,0,1,1
29.03.2020,0,0,1,1
30.03.2020,0,0,1,1
31.03.2020,0,0,1,1
01.04.2020,0,0,1,1
02.04.2020,0,0,1,1
03.04.2020,0,0,1,1
04.04.2020,0,0,1,1
05.04.2020,0,0,1,1
06.04.2020,0,0,1,1
07.04.2020,0,0,1,1
08.04.2020,0,0,1,1
09.04.2020,0,0,1,1
10.04.2020,0,0,1,1
11.04.2020,0,0,1,1
12.04.2020,0,0,1,1
13.04.2020,0,0,1,1
14.04.2020,0,0,1,1
15.04.2020,0,0,1,1
16.04.2020,0,0,1,1
17.04.2020,0,0,1,1
18.04.2020,0,0,1,1
19.04.2020,0,0,1,1
20.04.2020,0,0,1,1
21.04.2020,0,0,1,1
22.04.2020,0,0,1,1
23.04.2020,0,0,1,1
24.04.2020,0,0,1,1
25.04.2020,0,0,1,1
16.06.2020,0,0,1,1
17.06.2020,0,0,1,1
18.06.2020,0,0,1,1
19.06.2020,0,0,1,1
20.06.2020,0,0,1,1
21.06.2020,0,0,1,1
22.06.2020,0,0,1,1
23.06.2020,0,0,1,1
24.06.2020,0,0,1,1
25.06.2020,0,0,1,1
26.06.2020,0,0,1,1
27.06.2020,0,0,1,1
28.06.2020,0,0,1,1
29.06.2020,0,0,2,2
30.06.2020,0,0,2,2
01.07.2020,0,1,1,2
02.07.2020,0,1,1,2
03.07.2020,0,1,1,2
04.07.2020,0,1,2,3
05.07.2020,0,2,1,3
06.07.2020,0,2,1,3
07.07.2020,0,3,0,3
08.07.2020,0,3,0,3
09.07.2020,0,3,0,3
10.07.2020,0,3,0,3
11.07.2020,0,3,0,3
12.07.2020,0,3,0,3
13.07.2020,0,3,0,3
14.07.2020,0,3,0,3
15.07.2020,0,3,0,3
16.07.2020,0,3,0,3
17.07.2020,0,3,1,4
18.07.2020,0,3,1,4
19.07.2020,0,3,1,4
20.07.2020,0,3,1,4
21.07.2020,0,3,1,4
22.07.2020,0,3,1,4
23.07.2020,0,3,1,4
24.07.2020,0,3,1,4
25.07.2020,0,3,1,4
26.07.2020,0,3,1,4
27.07.2020,0,3,1,4
28.07.2020,0,3,1,4
29.07.2020,0,3,1,4
30.07.2020,0,3,1,4
31.07.2020,0,3,1,4
01.08.2020,0,3,1,4
02.08.2020,0,3,1,4
03.08.2020,0,3,2,5
04.08.2020,0,4,1,5
05.08.2020,0,4,1,5
06.08.2020,0,4,1,5
07.08.2020,0,4,1,5
08.08.2020,0,4,1,5
09.08.2020,0,4,1,5
10.08.2020,0,4,1,5
11.08.2020,0,4,1,5
12.08.2020,0,4,1,5
13.08.2020,0,4,2,6
14.08.2020,0,4,2,6
15.08.2020,0,5,1,6
16.08.2020,0,5,1,6
17.08.2020,0,5,1,6
18.08.2020,0,5,1,6
19.08.2020,0,4,1,5
20.08.2020,0,4,1,5
21.08.2020,0,4,1,5
22.08.2020,0,4,2,6
23.08.2020,0,5,1,6
24.08.2020,0,5,1,6
25.08.2020,0,5,1,6
26.08.2020,0,5,1,6
27.08.2020,0,5,1,6
28.08.2020,0,5,1,6
29.08.2020,0,5,1,6
30.08.2020,0,5,1,6
31.08.2020,0,5,0,5
01.09.2020,0,4,0,4
02.09.2020,0,4,0,4
03.09.2020,0,4,0,4
04.09.2020,0,4,0,4
05.09.2020,0,4,0,4
06.09.2020,0,4,0,4
07.09.2020,0,4,0,4
08.09.2020,0,4,0,4
09.09.2020,0,4,0,4
10.09.2020,0,4,0,4
11.09.2020,0,4,0,4
12.09.2020,1,3,0,4
13.09.2020,0,5,0,5
14.09.2020,0,5,0,5
15.09.2020,0,5,0,5
16.09.2020,0,5,0,5
17.09.2020,0,5,0,5
18.09.2020,0,5,0,5
19.09.2020,0,5,1,6
20.09.2020,0,5,1,6
21.09.2020,1,4,1,6
22.09.2020,0,5,1,6
23.09.2020,0,4,1,5
24.09.2020,0,4,1,5
25.09.2020,0,4,1,5
26.09.2020,0,4,1,5
27.09.2020,0,4,1,5
28.09.2020,0,4,1,5
29.09.2020,0,4,1,5
30.09.2020,0,3,1,4
01.10.2020,0,3,1,4
02.10.2020,0,4,1,5
03.10.2020,1,3,1,5
04.10.2020,1,2,1,4
05.10.2020,1,2,1,4
06.10.2020,1,2,1,4
07.10.2020,1,2,1,4
08.10.2020,1,2,1,4
09.10.2020,1,2,1,4
10.10.2020,1,2,2,5
11.10.2020,0,3,2,5
12.10.2020,0,3,2,5
13.10.2020,0,3,2,5
14.10.2020,0,3,2,5
15.10.2020,0,3,2,5
16.10.2020,0,3,2,5
17.10.2020,0,3,1,4
18.10.2020,0,3,1,4
19.10.2020,1,2,1,4
20.10.2020,1,3,0,4
21.10.2020,1,3,0,4
22.10.2020,1,3,0,4
23.10.2020,1,4,1,6
24.10.2020,1,4,1,6
25.10.2020,1,4,1,6
26.10.2020,1,5,0,6
27.10.2020,1,5,0,6
28.10.2020,2,4,0,6
29.10.2020,2,4,0,6
30.10.2020,2,4,0,6
31.10.2020,2,4,0,6
01.11.2020,2,4,0,6
02.11.2020,2,4,0,6
03.11.2020,2,4,0,6
04.11.2020,2,4,0,6
05.11.2020,2,4,1,7
06.11.2020,2,4,1,7
07.11.2020,2,5,1,8
08.11.2020,1,6,1,8
09.11.2020,1,6,1,8
10.11.2020,1,6,1,8
11.11.2020,1,6,1,8
12.11.2020,1,6,1,8
13.11.2020,1,6,1,8
14.11.2020,1,6,1,8
15.11.2020,1,6,1,8
16.11.2020,1,6,1,8
17.11.2020,1,6,1,8
18.11.2020,1,6,1,8
19.11.2020,1,7,0,8
20.11.2020,1,5,0,6
21.11.2020,1,5,0,6
22.11.2020,1,5,0,6
23.11.2020,1,4,0,5
24.11.2020,1,4,0,5
25.11.2020,1,4,0,5
26.11.2020,1,4,0,5
27.11.2020,1,4,0,5
28.11.2020,1,4,0,5
29.11.2020,1,4,0,5
30.11.2020,1,6,0,7
01.12.2020,1,6,0,7
02.12.2020,1,5,0,6
03.12.2020,1,5,0,6
04.12.2020,1,5,0,6
05.12.2020,1,5,0,6
06.12.2020,1,5,0,6
07.12.2020,1,5,0,6
08.12.2020,1,5,0,6
09.12.2020,1,5,0,6
10.12.2020,1,5,0,6
11.12.2020,1,5,1,7
12.12.2020,1,5,1,7
13.12.2020,1,5,1,7
14.12.2020,1,6,0,7
15.12.2020,1,6,0,7
16.12.2020,1,7,0,8
17.12.2020,1,6,0,7
18.12.2020,1,6,0,7
19.12.2020,1,6,0,7
20.12.2020,1,6,0,7
21.12.2020,1,6,0,7
22.12.2020,1,6,0,7
23.12.2020,1,6,0,7
24.12.2020,1,6,0,7
25.12.2020,1,6,0,7
26.12.2020,1,6,0,7
27.12.2020,1,6,0,7
28.12.2020,1,6,0,7
29.12.2020,2,5,0,7
30.12.2020,2,5,0,7
31.12.2020,2,5,0,7
01.01.2021,2,5,0,7
02.01.2021,2,5,0,7
03.01.2021,2,5,0,7
04.01.2021,2,5,0,7
05.01.2021,2,5,0,7
06.01.2021,2,5,0,7
07.01.2021,2,4,0,6
08.01.2021,2,4,0,6
09.01.2021,2,4,0,6
10.01.2021,2,4,0,6
11.01.2021,2,4,0,6
12.01.2021,2,4,1,7
13.01.2021,2,5,0,7
14.01.2021,2,5,0,7
15.01.2021,2,5,0,7
16.01.2021,2,5,0,7
17.01.2021,2,5,0,7
18.01.2021,1,6,0,7
19.01.2021,1,6,0,7
20.01.2021,1,6,1,8
21.01.2021,1,6,1,8
22.01.2021,1,6,1,8
23.01.2021,0,6,1,7
24.01.2021,0,6,1,7
25.01.2021,0,6,1,7
26.01.2021,1,5,1,7
27.01.2021,1,5,1,7
28.01.2021,1,5,1,7
29.01.2021,1,5,1,7
30.01.2021,1,5,1,7
31.01.2021,1,5,1,7
01.02.2021,1,5,1,7
02.02.2021,1,5,2,8
03.02.2021,1,5,2,8
04.02.2021,1,4,2,7
05.02.2021,1,4,2,7
06.02.2021,1,5,1,7
07.02.2021,1,5,1,7
08.02.2021,1,5,1,7
09.02.2021,1,6,1,8
10.02.2021,1,5,1,7
11.02.2021,1,5,1,7
12.02.2021,1,5,1,7
13.02.2021,1,5,1,7
14.02.2021,1,5,1,7
15.02.2021,0,7,0,7
16.02.2021,0,7,0,7
17.02.2021,0,7,0,7
18.02.2021,0,7,0,7
19.02.2021,0,7,0,7
20.02.2021,0,7,0,7
21.02.2021,0,7,0,7
22.02.2021,0,7,0,7
23.02.2021,1,6,0,7
24.02.2021,1,6,0,7
25.02.2021,1,6,0,7
26.02.2021,1,6,0,7
27.02.2021,1,6,0,7
28.02.2021,1,7,0,8
01.03.2021,1,7,0,8
02.03.2021,1,7,1,9
03.03.2021,2,6,1,9
04.03.2021,2,6,1,9
05.03.2021,2,6,1,9
06.03.2021,2,5,1,8
07.03.2021,2,5,1,8
08.03.2021,2,5,1,8
09.03.2021,2,4,1,7
10.03.2021,2,5,0,7
11.03.2021,2,5,0,7
12.03.2021,2,5,0,7
13.03.2021,2,5,0,7
14.03.2021,2,5,0,7
15.03.2021,1,6,0,7
16.03.2021,1,5,0,6
17.03.2021,1,5,0,6
18.03.2021,1,5,0,6
19.03.2021,1,5,0,6
20.03.2021,1,4,1,6
21.03.2021,1,4,1,6
22.03.2021,2,3,1,6
23.03.2021,0,6,0,6
24.03.2021,0,6,0,6
25.03.2021,0,6,0,6
26.03.2021,1,5,0,6
27.03.2021,1,5,0,6
28.03.2021,1,5,0,6
29.03.2021,1,5,0,6
30.03.2021,0,6,0,6
31.03.2021,1,5,0,6
01.04.2021,1,5,0,6
02.04.2021,1,5,0,6
03.04.2021,1,5,0,6
04.04.2021,1,5,0,6
05.04.2021,1,5,0,6
06.04.2021,1,5,0,6
