filecoin,,,,
Date, Full Time, Part Time, One Time, Total
31.08.2015,0,0,1,1
01.09.2015,0,1,0,1
02.09.2015,0,1,0,1
03.09.2015,0,1,0,1
04.09.2015,0,1,2,3
05.09.2015,0,1,2,3
06.09.2015,0,1,2,3
07.09.2015,0,1,2,3
08.09.2015,0,1,3,4
09.09.2015,0,2,2,4
10.09.2015,0,2,2,4
11.09.2015,0,2,3,5
12.09.2015,0,3,2,5
13.09.2015,0,3,2,5
14.09.2015,0,3,2,5
15.09.2015,0,3,2,5
16.09.2015,0,3,2,5
17.09.2015,0,3,2,5
18.09.2015,0,3,3,6
19.09.2015,0,3,3,6
20.09.2015,0,3,3,6
21.09.2015,0,3,4,7
22.09.2015,0,4,3,7
23.09.2015,0,4,4,8
24.09.2015,0,5,3,8
25.09.2015,0,5,3,8
26.09.2015,0,5,3,8
27.09.2015,0,5,3,8
28.09.2015,0,5,4,9
29.09.2015,0,6,3,9
30.09.2015,0,6,3,9
01.10.2015,0,6,3,9
02.10.2015,0,6,1,7
03.10.2015,0,6,1,7
04.10.2015,0,6,1,7
05.10.2015,0,7,0,7
06.10.2015,0,7,0,7
07.10.2015,1,7,0,8
08.10.2015,1,7,0,8
09.10.2015,1,7,0,8
10.10.2015,2,6,0,8
11.10.2015,2,6,0,8
12.10.2015,1,7,1,9
13.10.2015,1,8,0,9
14.10.2015,1,8,0,9
15.10.2015,1,8,0,9
16.10.2015,1,8,0,9
17.10.2015,1,8,0,9
18.10.2015,1,8,0,9
19.10.2015,1,8,0,9
20.10.2015,2,7,0,9
21.10.2015,2,7,0,9
22.10.2015,3,6,0,9
23.10.2015,2,7,0,9
24.10.2015,2,6,0,8
25.10.2015,2,6,0,8
26.10.2015,2,6,0,8
27.10.2015,3,5,0,8
28.10.2015,3,5,0,8
29.10.2015,2,6,0,8
30.10.2015,2,6,0,8
31.10.2015,2,6,0,8
01.11.2015,2,6,0,8
02.11.2015,2,6,0,8
03.11.2015,2,5,0,7
04.11.2015,2,5,1,8
05.11.2015,2,6,0,8
06.11.2015,2,6,0,8
07.11.2015,2,6,0,8
08.11.2015,2,6,0,8
09.11.2015,3,5,0,8
10.11.2015,4,4,0,8
11.11.2015,4,4,0,8
12.11.2015,4,4,0,8
13.11.2015,4,4,0,8
14.11.2015,4,4,0,8
15.11.2015,4,4,0,8
16.11.2015,4,3,0,7
17.11.2015,3,3,0,6
18.11.2015,3,3,0,6
19.11.2015,3,3,0,6
20.11.2015,3,3,0,6
21.11.2015,3,3,0,6
22.11.2015,3,3,0,6
23.11.2015,3,3,0,6
24.11.2015,3,3,0,6
25.11.2015,3,3,0,6
26.11.2015,2,4,0,6
27.11.2015,2,4,0,6
28.11.2015,2,4,0,6
29.11.2015,3,3,0,6
30.11.2015,3,3,0,6
01.12.2015,3,3,0,6
02.12.2015,3,3,0,6
03.12.2015,3,3,0,6
