flow,,,,
Date, Full Time, Part Time, One Time, Total
09.02.2015,0,0,1,1
10.02.2015,0,0,1,1
11.02.2015,0,1,0,1
12.02.2015,0,1,0,1
13.02.2015,0,1,0,1
14.02.2015,0,1,0,1
15.02.2015,0,1,0,1
16.02.2015,0,1,0,1
17.02.2015,0,1,0,1
18.02.2015,0,1,0,1
19.02.2015,0,1,0,1
20.02.2015,0,1,0,1
21.02.2015,0,1,0,1
22.02.2015,0,1,0,1
23.02.2015,0,1,0,1
24.02.2015,0,1,0,1
25.02.2015,0,1,0,1
26.02.2015,0,1,0,1
27.02.2015,0,1,0,1
28.02.2015,0,1,0,1
01.03.2015,0,1,0,1
02.03.2015,0,1,0,1
03.03.2015,0,1,0,1
04.03.2015,0,1,0,1
05.03.2015,0,1,0,1
06.03.2015,0,1,0,1
07.03.2015,0,1,0,1
08.03.2015,0,1,0,1
09.03.2015,0,1,0,1
10.03.2015,0,1,0,1
06.10.2016,0,0,1,1
07.10.2016,0,0,1,1
08.10.2016,0,0,1,1
09.10.2016,0,0,1,1
10.10.2016,0,0,1,1
11.10.2016,0,0,1,1
12.10.2016,0,0,1,1
13.10.2016,0,0,1,1
14.10.2016,0,0,1,1
15.10.2016,0,0,1,1
16.10.2016,0,0,1,1
17.10.2016,0,0,1,1
18.10.2016,0,0,1,1
19.10.2016,0,0,1,1
20.10.2016,0,0,1,1
21.10.2016,0,0,1,1
22.10.2016,0,0,1,1
23.10.2016,0,0,1,1
24.10.2016,0,0,1,1
25.10.2016,0,0,1,1
26.10.2016,0,0,1,1
27.10.2016,0,0,1,1
28.10.2016,0,0,1,1
29.10.2016,0,0,1,1
30.10.2016,0,0,1,1
31.10.2016,0,0,1,1
01.11.2016,0,0,1,1
02.11.2016,0,0,1,1
05.03.2017,0,0,1,1
06.03.2017,0,0,1,1
07.03.2017,0,0,1,1
08.03.2017,0,0,1,1
09.03.2017,0,0,1,1
10.03.2017,0,0,1,1
11.03.2017,0,0,1,1
