gmx,,,,
Date, Full Time, Part Time, One Time, Total
01.08.2021,0,0,1,1
02.08.2021,0,0,1,1
03.08.2021,0,1,0,1
04.08.2021,0,1,0,1
05.08.2021,0,1,0,1
06.08.2021,0,1,0,1
07.08.2021,0,1,0,1
08.08.2021,0,1,0,1
09.08.2021,0,1,0,1
10.08.2021,0,1,0,1
11.08.2021,0,1,0,1
12.08.2021,0,1,0,1
13.08.2021,0,1,0,1
14.08.2021,0,1,0,1
15.08.2021,0,1,0,1
16.08.2021,0,1,0,1
17.08.2021,0,1,0,1
18.08.2021,0,1,0,1
19.08.2021,0,1,0,1
20.08.2021,0,1,0,1
21.08.2021,0,1,0,1
22.08.2021,0,1,0,1
23.08.2021,0,1,0,1
24.08.2021,0,1,0,1
25.08.2021,0,1,0,1
26.08.2021,0,1,0,1
27.08.2021,0,1,0,1
28.08.2021,0,1,0,1
29.08.2021,0,1,0,1
30.08.2021,0,1,0,1
31.08.2021,0,1,0,1
01.09.2021,0,1,0,1
02.09.2021,0,1,0,1
03.09.2021,0,1,0,1
04.09.2021,0,1,0,1
05.09.2021,0,1,0,1
06.09.2021,0,1,0,1
07.09.2021,0,1,0,1
08.09.2021,0,1,0,1
09.09.2021,0,1,0,1
10.09.2021,0,1,0,1
11.09.2021,0,1,0,1
12.09.2021,0,1,0,1
13.09.2021,0,1,0,1
14.09.2021,0,1,0,1
15.09.2021,1,0,0,1
16.09.2021,1,0,0,1
17.09.2021,1,0,0,1
18.09.2021,1,0,0,1
19.09.2021,1,0,0,1
20.09.2021,1,0,0,1
21.09.2021,1,0,0,1
22.09.2021,1,0,2,3
23.09.2021,1,2,0,3
24.09.2021,1,2,0,3
25.09.2021,1,2,0,3
26.09.2021,1,2,0,3
27.09.2021,1,2,0,3
28.09.2021,1,2,0,3
29.09.2021,1,2,0,3
30.09.2021,1,2,0,3
01.10.2021,1,2,0,3
02.10.2021,1,2,0,3
03.10.2021,1,2,0,3
04.10.2021,1,2,0,3
05.10.2021,1,2,0,3
06.10.2021,1,2,0,3
07.10.2021,1,2,0,3
08.10.2021,1,2,0,3
09.10.2021,1,2,0,3
10.10.2021,1,2,0,3
11.10.2021,1,2,0,3
12.10.2021,1,2,0,3
13.10.2021,1,2,0,3
14.10.2021,1,2,0,3
