gnosis,,,,
Date, Full Time, Part Time, One Time, Total
16.02.2015,0,0,1,1
17.02.2015,0,0,1,1
18.02.2015,0,0,1,1
19.02.2015,0,0,1,1
20.02.2015,0,0,1,1
21.02.2015,0,0,1,1
22.02.2015,0,0,1,1
23.02.2015,0,0,1,1
24.02.2015,0,0,1,1
25.02.2015,0,0,1,1
26.02.2015,0,0,1,1
27.02.2015,0,0,1,1
28.02.2015,0,0,1,1
01.03.2015,0,0,1,1
02.03.2015,0,0,1,1
03.03.2015,0,0,1,1
04.03.2015,0,0,1,1
05.03.2015,0,0,1,1
06.03.2015,0,0,1,1
07.03.2015,0,0,1,1
08.03.2015,0,0,1,1
09.03.2015,0,0,1,1
10.03.2015,0,0,1,1
11.03.2015,0,0,1,1
12.03.2015,0,0,1,1
13.03.2015,0,0,1,1
14.03.2015,0,0,1,1
15.03.2015,0,0,1,1
24.06.2015,0,0,1,1
25.06.2015,0,1,0,1
26.06.2015,0,1,0,1
27.06.2015,0,1,0,1
28.06.2015,0,1,0,1
29.06.2015,0,1,0,1
30.06.2015,0,1,0,1
01.07.2015,0,1,0,1
02.07.2015,0,1,0,1
03.07.2015,0,1,0,1
04.07.2015,0,1,0,1
05.07.2015,0,1,0,1
06.07.2015,0,1,0,1
07.07.2015,0,1,0,1
08.07.2015,0,1,0,1
09.07.2015,0,1,0,1
10.07.2015,0,1,0,1
11.07.2015,0,1,0,1
12.07.2015,0,1,0,1
13.07.2015,0,1,0,1
14.07.2015,0,1,0,1
15.07.2015,0,1,0,1
16.07.2015,0,1,0,1
17.07.2015,0,1,0,1
18.07.2015,0,1,0,1
19.07.2015,0,1,0,1
20.07.2015,0,1,0,1
21.07.2015,0,1,0,1
22.07.2015,0,1,0,1
23.07.2015,0,1,0,1
24.07.2015,0,1,0,1
25.07.2015,0,1,0,1
26.07.2015,0,1,0,1
27.07.2015,0,1,0,1
28.07.2015,0,1,0,1
29.07.2015,0,1,0,1
30.07.2015,0,1,0,1
31.07.2015,0,1,0,1
01.08.2015,0,1,0,1
02.08.2015,0,1,0,1
03.08.2015,0,1,0,1
04.08.2015,0,1,0,1
12.09.2016,0,0,1,1
13.09.2016,0,0,1,1
14.09.2016,0,0,1,1
15.09.2016,0,0,1,1
16.09.2016,0,0,1,1
17.09.2016,0,0,1,1
18.09.2016,0,0,1,1
19.09.2016,0,0,1,1
20.09.2016,0,0,1,1
21.09.2016,0,0,1,1
22.09.2016,0,0,1,1
23.09.2016,0,0,1,1
24.09.2016,0,0,1,1
25.09.2016,0,0,1,1
26.09.2016,0,0,1,1
27.09.2016,0,0,1,1
28.09.2016,0,0,1,1
29.09.2016,0,0,1,1
30.09.2016,0,0,1,1
01.10.2016,0,0,1,1
02.10.2016,0,0,1,1
03.10.2016,0,0,1,1
04.10.2016,0,0,1,1
05.10.2016,0,0,1,1
06.10.2016,0,0,1,1
07.10.2016,0,0,1,1
08.10.2016,0,0,1,1
09.10.2016,0,0,1,1
08.11.2016,0,1,0,1
09.11.2016,0,1,0,1
10.11.2016,0,1,0,1
11.11.2016,0,1,0,1
12.11.2016,0,1,0,1
13.11.2016,0,1,0,1
14.11.2016,0,1,0,1
15.11.2016,0,1,0,1
16.11.2016,0,1,0,1
17.11.2016,0,1,0,1
18.11.2016,0,1,0,1
19.11.2016,0,1,0,1
20.11.2016,0,1,0,1
21.11.2016,0,1,0,1
22.11.2016,0,1,0,1
23.11.2016,0,1,1,2
24.11.2016,0,1,1,2
25.11.2016,0,1,1,2
26.11.2016,0,1,1,2
27.11.2016,0,1,1,2
28.11.2016,0,1,1,2
29.11.2016,0,1,1,2
30.11.2016,0,1,1,2
01.12.2016,0,1,1,2
02.12.2016,0,2,0,2
03.12.2016,0,2,0,2
04.12.2016,0,2,0,2
05.12.2016,0,2,0,2
06.12.2016,0,2,0,2
07.12.2016,0,2,0,2
08.12.2016,0,2,0,2
09.12.2016,0,2,0,2
10.12.2016,0,2,0,2
11.12.2016,0,2,0,2
12.12.2016,0,2,0,2
13.12.2016,0,2,0,2
14.12.2016,0,2,0,2
15.12.2016,0,2,0,2
16.12.2016,0,2,0,2
17.12.2016,0,2,0,2
18.12.2016,0,2,0,2
19.12.2016,0,2,0,2
20.12.2016,0,2,0,2
21.12.2016,0,2,0,2
22.12.2016,0,2,1,3
23.12.2016,0,2,1,3
24.12.2016,0,2,1,3
25.12.2016,0,2,1,3
26.12.2016,0,2,1,3
27.12.2016,0,2,1,3
