harmony,,,,
Date, Full Time, Part Time, One Time, Total
24.10.2016,0,0,1,1
25.10.2016,0,1,0,1
26.10.2016,0,1,0,1
27.10.2016,0,1,0,1
28.10.2016,0,1,0,1
29.10.2016,0,1,0,1
30.10.2016,0,1,0,1
31.10.2016,0,1,0,1
01.11.2016,0,1,0,1
02.11.2016,0,1,0,1
03.11.2016,0,1,0,1
04.11.2016,0,1,0,1
05.11.2016,0,1,0,1
06.11.2016,0,1,0,1
07.11.2016,0,1,0,1
08.11.2016,0,1,0,1
09.11.2016,0,1,0,1
10.11.2016,0,1,0,1
11.11.2016,0,1,0,1
12.11.2016,0,1,0,1
13.11.2016,0,1,0,1
14.11.2016,0,1,0,1
15.11.2016,0,1,0,1
16.11.2016,0,1,0,1
17.11.2016,0,1,0,1
18.11.2016,0,1,0,1
19.11.2016,0,1,0,1
20.11.2016,0,1,0,1
21.11.2016,0,1,0,1
22.11.2016,0,1,0,1
23.11.2016,0,1,0,1
24.11.2016,0,1,0,1
25.11.2016,0,1,0,1
26.11.2016,0,1,0,1
27.11.2016,0,1,0,1
28.11.2016,0,1,0,1
29.11.2016,0,1,0,1
30.11.2016,0,1,0,1
01.12.2016,0,1,0,1
02.12.2016,0,1,0,1
03.12.2016,0,1,0,1
04.12.2016,0,1,0,1
05.12.2016,0,1,0,1
06.12.2016,0,1,0,1
07.12.2016,0,1,0,1
08.12.2016,0,1,0,1
09.12.2016,0,1,0,1
10.12.2016,0,1,0,1
11.12.2016,0,1,0,1
12.12.2016,0,1,0,1
13.12.2016,0,1,0,1
14.12.2016,0,1,0,1
15.12.2016,0,1,0,1
16.12.2016,0,1,0,1
17.12.2016,0,1,0,1
18.12.2016,0,1,0,1
19.12.2016,0,1,0,1
20.12.2016,0,1,0,1
21.12.2016,0,1,0,1
22.12.2016,0,1,0,1
23.12.2016,0,1,0,1
24.12.2016,0,1,0,1
25.12.2016,0,1,0,1
26.12.2016,0,1,0,1
27.12.2016,0,1,0,1
28.12.2016,0,1,0,1
29.12.2016,0,1,0,1
30.12.2016,0,1,0,1
31.12.2016,0,1,0,1
01.01.2017,0,1,0,1
02.01.2017,0,1,0,1
03.01.2017,0,1,0,1
04.01.2017,0,1,1,2
05.01.2017,0,2,0,2
06.01.2017,0,2,0,2
07.01.2017,0,2,0,2
08.01.2017,0,2,0,2
09.01.2017,0,2,0,2
10.01.2017,0,2,0,2
11.01.2017,0,2,0,2
12.01.2017,0,2,0,2
13.01.2017,0,2,0,2
14.01.2017,0,2,0,2
15.01.2017,0,2,0,2
16.01.2017,0,2,0,2
17.01.2017,0,2,0,2
18.01.2017,0,2,0,2
19.01.2017,0,2,0,2
20.01.2017,0,2,0,2
21.01.2017,0,2,0,2
22.01.2017,0,2,0,2
23.01.2017,0,2,0,2
24.01.2017,0,2,0,2
25.01.2017,0,2,0,2
26.01.2017,0,2,0,2
27.01.2017,0,2,0,2
28.01.2017,0,2,0,2
29.01.2017,0,2,0,2
30.01.2017,0,2,0,2
31.01.2017,0,2,0,2
01.02.2017,0,2,0,2
02.02.2017,1,1,0,2
03.02.2017,0,2,0,2
04.02.2017,0,2,0,2
05.02.2017,0,2,0,2
06.02.2017,0,2,0,2
07.02.2017,1,1,0,2
08.02.2017,1,1,0,2
09.02.2017,1,1,0,2
10.02.2017,0,2,0,2
11.02.2017,1,1,0,2
12.02.2017,1,1,0,2
13.02.2017,0,2,0,2
14.02.2017,0,2,0,2
15.02.2017,1,1,0,2
16.02.2017,1,1,0,2
17.02.2017,1,1,0,2
18.02.2017,1,1,0,2
19.02.2017,1,1,0,2
20.02.2017,1,1,0,2
21.02.2017,1,1,0,2
22.02.2017,1,1,0,2
23.02.2017,1,1,0,2
24.02.2017,1,1,0,2
25.02.2017,1,1,0,2
26.02.2017,1,1,0,2
27.02.2017,1,1,0,2
28.02.2017,1,1,0,2
01.03.2017,1,1,0,2
02.03.2017,1,1,0,2
03.03.2017,0,2,0,2
04.03.2017,0,2,0,2
05.03.2017,0,1,0,1
06.03.2017,0,1,0,1
07.03.2017,1,0,0,1
08.03.2017,1,0,0,1
09.03.2017,1,0,0,1
10.03.2017,0,1,0,1
11.03.2017,1,1,0,2
12.03.2017,1,1,0,2
13.03.2017,0,2,0,2
14.03.2017,0,2,0,2
15.03.2017,1,1,0,2
16.03.2017,1,1,0,2
17.03.2017,1,1,0,2
18.03.2017,1,1,0,2
19.03.2017,1,1,0,2
20.03.2017,1,1,0,2
21.03.2017,1,1,0,2
22.03.2017,1,1,0,2
23.03.2017,1,1,0,2
24.03.2017,1,1,0,2
25.03.2017,1,1,0,2
26.03.2017,1,1,0,2
27.03.2017,1,1,0,2
28.03.2017,1,1,0,2
29.03.2017,1,1,0,2
30.03.2017,1,1,0,2
31.03.2017,0,2,0,2
01.04.2017,0,2,0,2
02.04.2017,0,2,0,2
03.04.2017,0,2,0,2
04.04.2017,1,1,0,2
05.04.2017,1,1,0,2
06.04.2017,1,1,0,2
07.04.2017,0,2,0,2
08.04.2017,1,1,0,2
09.04.2017,1,1,0,2
10.04.2017,0,2,0,2
11.04.2017,0,2,0,2
12.04.2017,0,2,0,2
13.04.2017,0,2,0,2
14.04.2017,0,2,0,2
15.04.2017,0,2,0,2
16.04.2017,0,2,0,2
17.04.2017,0,2,0,2
18.04.2017,0,2,0,2
19.04.2017,1,1,0,2
20.04.2017,1,1,0,2
21.04.2017,1,1,1,3
22.04.2017,0,1,1,2
23.04.2017,0,1,1,2
24.04.2017,0,1,1,2
25.04.2017,0,1,1,2
26.04.2017,0,1,1,2
27.04.2017,0,1,1,2
28.04.2017,0,1,1,2
29.04.2017,0,1,1,2
30.04.2017,0,1,1,2
01.05.2017,0,2,0,2
02.05.2017,0,2,0,2
03.05.2017,0,2,0,2
04.05.2017,0,2,0,2
05.05.2017,0,2,0,2
06.05.2017,0,2,0,2
07.05.2017,0,2,0,2
08.05.2017,0,2,0,2
09.05.2017,0,2,0,2
10.05.2017,0,2,0,2
11.05.2017,0,2,0,2
12.05.2017,0,2,0,2
13.05.2017,0,2,0,2
14.05.2017,0,2,0,2
15.05.2017,0,2,0,2
16.05.2017,0,1,0,1
17.05.2017,0,1,0,1
18.05.2017,0,1,0,1
19.05.2017,0,1,0,1
20.05.2017,0,1,0,1
21.05.2017,0,1,0,1
22.05.2017,0,1,0,1
23.05.2017,0,1,0,1
24.05.2017,0,1,0,1
25.05.2017,0,1,0,1
26.05.2017,0,1,0,1
27.05.2017,0,1,0,1
28.05.2017,0,1,0,1
29.05.2017,0,1,0,1
09.06.2017,0,1,0,1
10.06.2017,0,1,0,1
11.06.2017,0,1,0,1
12.06.2017,0,1,0,1
13.06.2017,0,1,0,1
14.06.2017,0,1,0,1
15.06.2017,0,3,1,4
16.06.2017,0,3,1,4
17.06.2017,0,2,2,4
18.06.2017,0,3,1,4
19.06.2017,0,3,1,4
20.06.2017,0,3,1,4
21.06.2017,0,3,1,4
22.06.2017,0,3,1,4
23.06.2017,0,3,1,4
24.06.2017,0,3,1,4
25.06.2017,0,3,1,4
26.06.2017,0,3,1,4
27.06.2017,0,3,1,4
28.06.2017,0,3,1,4
29.06.2017,0,3,1,4
30.06.2017,0,3,1,4
01.07.2017,0,3,1,4
02.07.2017,0,3,1,4
03.07.2017,0,3,1,4
04.07.2017,0,3,1,4
05.07.2017,0,3,1,4
06.07.2017,0,3,1,4
07.07.2017,0,3,1,4
08.07.2017,0,3,1,4
09.07.2017,0,3,1,4
10.07.2017,0,3,1,4
11.07.2017,0,3,1,4
12.07.2017,0,3,1,4
13.07.2017,0,3,0,3
14.07.2017,0,3,0,3
15.07.2017,0,3,0,3
16.07.2017,0,1,0,1
17.07.2017,0,1,0,1
18.07.2017,0,1,0,1
19.07.2017,0,1,0,1
20.07.2017,0,1,0,1
21.07.2017,0,1,1,2
22.07.2017,0,1,1,2
23.07.2017,0,1,2,3
24.07.2017,0,2,1,3
25.07.2017,0,2,1,3
26.07.2017,0,2,1,3
27.07.2017,0,2,1,3
28.07.2017,0,2,1,3
29.07.2017,0,2,1,3
30.07.2017,0,2,1,3
31.07.2017,0,2,1,3
01.08.2017,1,1,1,3
02.08.2017,1,1,1,3
03.08.2017,1,1,1,3
04.08.2017,1,1,1,3
05.08.2017,1,1,1,3
06.08.2017,1,1,1,3
07.08.2017,1,1,1,3
08.08.2017,1,1,1,3
09.08.2017,1,1,1,3
10.08.2017,1,1,1,3
11.08.2017,1,1,1,3
12.08.2017,1,1,1,3
13.08.2017,1,1,1,3
14.08.2017,1,1,1,3
15.08.2017,1,1,1,3
16.08.2017,1,1,1,3
17.08.2017,1,1,1,3
18.08.2017,1,1,0,2
19.08.2017,1,1,0,2
20.08.2017,1,1,0,2
21.08.2017,1,0,0,1
22.08.2017,1,0,0,1
23.08.2017,1,0,0,1
24.08.2017,1,0,0,1
25.08.2017,1,0,0,1
26.08.2017,1,0,0,1
27.08.2017,1,0,0,1
28.08.2017,1,0,0,1
29.08.2017,1,0,0,1
30.08.2017,1,0,0,1
31.08.2017,1,0,0,1
01.09.2017,1,0,0,1
02.09.2017,1,0,0,1
03.09.2017,1,0,0,1
04.09.2017,1,0,0,1
05.09.2017,1,0,0,1
06.09.2017,1,0,0,1
07.09.2017,1,0,0,1
08.09.2017,1,0,0,1
09.09.2017,1,0,0,1
10.09.2017,1,1,0,2
11.09.2017,1,1,0,2
12.09.2017,1,1,0,2
13.09.2017,1,1,0,2
14.09.2017,1,1,0,2
15.09.2017,1,1,0,2
16.09.2017,1,1,0,2
17.09.2017,1,1,0,2
18.09.2017,1,1,0,2
19.09.2017,1,1,0,2
20.09.2017,1,1,0,2
21.09.2017,1,1,1,3
22.09.2017,1,1,1,3
23.09.2017,1,1,1,3
24.09.2017,1,1,1,3
25.09.2017,1,1,1,3
26.09.2017,1,1,1,3
27.09.2017,1,1,1,3
28.09.2017,1,1,1,3
29.09.2017,1,1,1,3
30.09.2017,1,1,1,3
01.10.2017,1,1,1,3
02.10.2017,1,1,1,3
03.10.2017,1,1,1,3
04.10.2017,1,1,1,3
05.10.2017,1,1,1,3
06.10.2017,1,1,1,3
07.10.2017,1,1,1,3
08.10.2017,1,0,1,2
09.10.2017,1,0,1,2
10.10.2017,1,0,1,2
11.10.2017,1,0,1,2
12.10.2017,1,0,1,2
13.10.2017,1,0,1,2
14.10.2017,1,0,1,2
15.10.2017,1,0,1,2
16.10.2017,1,0,1,2
17.10.2017,1,0,1,2
18.10.2017,1,0,1,2
19.10.2017,1,0,0,1
20.10.2017,1,0,0,1
21.10.2017,1,0,0,1
22.10.2017,1,0,0,1
23.10.2017,1,0,0,1
24.10.2017,1,0,0,1
25.10.2017,1,0,0,1
26.10.2017,1,0,0,1
27.10.2017,0,1,0,1
28.10.2017,0,1,0,1
29.10.2017,0,1,0,1
30.10.2017,0,1,0,1
31.10.2017,0,1,0,1
01.11.2017,0,1,0,1
02.11.2017,0,1,0,1
03.11.2017,0,1,0,1
04.11.2017,0,1,0,1
05.11.2017,0,1,0,1
06.11.2017,0,1,0,1
07.11.2017,0,1,0,1
08.11.2017,0,1,0,1
09.11.2017,0,1,0,1
10.11.2017,0,1,0,1
11.11.2017,0,1,0,1
12.11.2017,0,1,0,1
13.11.2017,0,1,0,1
14.11.2017,0,1,0,1
15.11.2017,1,0,0,1
16.11.2017,1,0,0,1
17.11.2017,1,0,0,1
18.11.2017,1,0,0,1
19.11.2017,1,0,0,1
20.11.2017,1,0,0,1
21.11.2017,1,0,0,1
22.11.2017,1,0,0,1
23.11.2017,1,0,0,1
24.11.2017,1,0,0,1
25.11.2017,1,0,0,1
26.11.2017,1,0,0,1
27.11.2017,1,0,0,1
28.11.2017,1,0,0,1
29.11.2017,1,0,1,2
30.11.2017,1,2,0,3
01.12.2017,1,2,0,3
02.12.2017,1,2,0,3
03.12.2017,1,2,0,3
04.12.2017,1,2,0,3
05.12.2017,1,2,0,3
06.12.2017,1,2,0,3
07.12.2017,1,2,0,3
08.12.2017,1,2,0,3
09.12.2017,1,2,0,3
10.12.2017,1,2,0,3
11.12.2017,1,2,0,3
12.12.2017,1,2,0,3
13.12.2017,1,2,0,3
14.12.2017,1,1,1,3
15.12.2017,1,1,1,3
16.12.2017,1,1,1,3
17.12.2017,1,1,1,3
18.12.2017,1,1,1,3
19.12.2017,1,1,1,3
20.12.2017,1,1,1,3
21.12.2017,1,1,1,3
22.12.2017,1,1,1,3
23.12.2017,1,1,1,3
24.12.2017,1,1,1,3
25.12.2017,1,1,1,3
26.12.2017,1,1,1,3
27.12.2017,1,1,1,3
28.12.2017,1,0,0,1
29.12.2017,1,0,0,1
30.12.2017,1,0,0,1
31.12.2017,1,0,0,1
01.01.2018,1,0,0,1
02.01.2018,1,0,0,1
03.01.2018,1,0,0,1
04.01.2018,1,0,0,1
05.01.2018,1,0,0,1
06.01.2018,1,0,0,1
07.01.2018,1,0,0,1
08.01.2018,1,0,0,1
09.01.2018,1,0,0,1
10.01.2018,1,0,0,1
11.01.2018,1,0,0,1
12.01.2018,1,0,0,1
13.01.2018,1,0,0,1
14.01.2018,1,0,0,1
15.01.2018,1,0,0,1
16.01.2018,1,0,0,1
17.01.2018,1,0,0,1
18.01.2018,1,0,0,1
19.01.2018,1,0,0,1
20.01.2018,1,0,0,1
21.01.2018,1,0,0,1
22.01.2018,1,0,0,1
23.01.2018,1,0,0,1
24.01.2018,1,0,0,1
25.01.2018,1,0,0,1
26.01.2018,1,0,0,1
27.01.2018,1,0,0,1
28.01.2018,1,0,0,1
29.01.2018,1,0,0,1
30.01.2018,1,0,0,1
31.01.2018,1,0,0,1
01.02.2018,1,0,0,1
02.02.2018,1,0,0,1
03.02.2018,1,0,0,1
04.02.2018,1,0,0,1
