hedera,,,,
Date, Full Time, Part Time, One Time, Total
20.03.2017,0,0,1,1
21.03.2017,0,1,0,1
22.03.2017,0,1,0,1
23.03.2017,0,1,0,1
24.03.2017,0,1,0,1
25.03.2017,0,1,0,1
26.03.2017,0,1,0,1
27.03.2017,0,1,0,1
28.03.2017,0,1,0,1
29.03.2017,0,1,0,1
30.03.2017,0,1,1,2
31.03.2017,0,1,1,2
01.04.2017,0,1,1,2
02.04.2017,0,1,1,2
03.04.2017,0,1,1,2
04.04.2017,0,1,1,2
05.04.2017,0,1,1,2
06.04.2017,0,1,1,2
07.04.2017,0,1,1,2
08.04.2017,0,1,1,2
09.04.2017,0,1,1,2
10.04.2017,0,1,1,2
11.04.2017,0,1,1,2
12.04.2017,0,1,1,2
13.04.2017,0,1,1,2
14.04.2017,0,1,1,2
15.04.2017,0,1,1,2
16.04.2017,0,1,1,2
17.04.2017,0,1,1,2
18.04.2017,1,0,1,2
19.04.2017,1,0,1,2
20.04.2017,1,0,1,2
21.04.2017,1,0,2,3
22.04.2017,1,1,1,3
23.04.2017,1,1,1,3
24.04.2017,1,1,1,3
25.04.2017,1,1,1,3
26.04.2017,1,1,1,3
27.04.2017,1,1,0,2
28.04.2017,1,1,0,2
29.04.2017,1,1,0,2
30.04.2017,1,1,0,2
01.05.2017,1,1,0,2
02.05.2017,1,1,0,2
03.05.2017,1,1,0,2
04.05.2017,1,1,0,2
05.05.2017,1,1,0,2
06.05.2017,1,1,0,2
07.05.2017,1,1,0,2
08.05.2017,1,1,0,2
09.05.2017,1,1,0,2
10.05.2017,1,1,0,2
11.05.2017,1,1,0,2
12.05.2017,1,1,1,3
13.05.2017,1,2,0,3
14.05.2017,1,2,0,3
15.05.2017,1,2,0,3
16.05.2017,1,2,0,3
17.05.2017,1,2,0,3
18.05.2017,1,2,0,3
19.05.2017,1,2,0,3
20.05.2017,1,2,0,3
21.05.2017,1,2,0,3
22.05.2017,1,2,0,3
23.05.2017,1,2,0,3
24.05.2017,1,2,0,3
25.05.2017,1,2,0,3
26.05.2017,2,1,0,3
27.05.2017,1,2,0,3
28.05.2017,1,2,0,3
29.05.2017,2,1,0,3
30.05.2017,2,1,0,3
31.05.2017,1,2,0,3
01.06.2017,2,1,0,3
02.06.2017,2,1,0,3
03.06.2017,2,1,0,3
04.06.2017,2,1,0,3
05.06.2017,2,1,0,3
06.06.2017,2,1,0,3
07.06.2017,2,1,0,3
08.06.2017,2,1,0,3
09.06.2017,2,1,0,3
10.06.2017,2,1,0,3
11.06.2017,2,1,0,3
12.06.2017,2,1,0,3
13.06.2017,2,1,0,3
14.06.2017,2,1,0,3
15.06.2017,2,1,0,3
16.06.2017,2,1,0,3
17.06.2017,2,1,0,3
18.06.2017,2,1,0,3
19.06.2017,2,1,0,3
20.06.2017,2,1,0,3
21.06.2017,2,1,0,3
22.06.2017,2,1,0,3
23.06.2017,2,1,0,3
24.06.2017,2,1,0,3
25.06.2017,2,1,0,3
26.06.2017,2,1,0,3
27.06.2017,2,1,0,3
28.06.2017,2,1,0,3
29.06.2017,2,1,0,3
30.06.2017,2,1,0,3
01.07.2017,2,1,0,3
02.07.2017,3,0,0,3
03.07.2017,3,0,0,3
04.07.2017,3,0,0,3
05.07.2017,3,0,0,3
06.07.2017,3,0,0,3
07.07.2017,3,0,0,3
08.07.2017,2,1,0,3
09.07.2017,2,1,0,3
10.07.2017,2,1,0,3
11.07.2017,2,1,0,3
12.07.2017,2,1,0,3
13.07.2017,2,1,0,3
14.07.2017,2,1,0,3
15.07.2017,2,1,1,4
16.07.2017,2,1,1,4
17.07.2017,2,1,1,4
18.07.2017,2,1,1,4
19.07.2017,2,1,1,4
20.07.2017,2,1,1,4
21.07.2017,2,1,1,4
22.07.2017,2,1,1,4
23.07.2017,2,1,1,4
24.07.2017,2,1,1,4
25.07.2017,2,1,1,4
26.07.2017,2,1,1,4
27.07.2017,2,1,1,4
28.07.2017,2,1,1,4
29.07.2017,2,1,1,4
30.07.2017,3,0,1,4
31.07.2017,2,0,1,3
01.08.2017,2,0,1,3
02.08.2017,2,0,1,3
03.08.2017,2,0,1,3
04.08.2017,2,0,1,3
05.08.2017,2,0,1,3
06.08.2017,2,0,1,3
07.08.2017,2,0,1,3
08.08.2017,2,1,1,4
09.08.2017,2,1,1,4
10.08.2017,2,1,1,4
11.08.2017,2,1,1,4
12.08.2017,2,1,0,3
13.08.2017,2,1,0,3
14.08.2017,2,1,0,3
15.08.2017,2,1,0,3
16.08.2017,2,1,0,3
