helium,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,2,12,4,18
02.01.2015,2,12,4,18
03.01.2015,2,11,4,17
04.01.2015,2,10,5,17
05.01.2015,2,9,5,16
06.01.2015,2,8,4,14
07.01.2015,1,9,4,14
08.01.2015,1,9,4,14
09.01.2015,1,10,4,15
10.01.2015,1,10,3,14
11.01.2015,1,10,3,14
12.01.2015,1,10,4,15
13.01.2015,1,10,5,16
14.01.2015,1,10,5,16
15.01.2015,1,12,5,18
16.01.2015,1,12,4,17
17.01.2015,1,12,4,17
18.01.2015,1,12,4,17
19.01.2015,1,11,4,16
20.01.2015,1,12,5,18
21.01.2015,1,13,4,18
22.01.2015,1,13,4,18
23.01.2015,1,14,5,20
24.01.2015,1,15,3,19
25.01.2015,1,15,3,19
26.01.2015,1,16,2,19
27.01.2015,1,15,3,19
28.01.2015,1,18,4,23
29.01.2015,1,19,4,24
30.01.2015,1,17,7,25
31.01.2015,1,17,7,25
01.02.2015,1,18,7,26
02.02.2015,1,18,7,26
03.02.2015,1,19,6,26
04.02.2015,1,20,5,26
05.02.2015,1,20,5,26
06.02.2015,1,20,5,26
07.02.2015,1,20,5,26
08.02.2015,1,20,5,26
09.02.2015,1,21,5,27
10.02.2015,1,18,5,24
11.02.2015,1,17,5,23
12.02.2015,1,18,3,22
13.02.2015,1,18,3,22
14.02.2015,1,18,3,22
15.02.2015,1,18,3,22
16.02.2015,1,18,3,22
17.02.2015,1,18,2,21
18.02.2015,1,18,2,21
19.02.2015,1,18,2,21
20.02.2015,1,17,4,22
21.02.2015,2,16,5,23
22.02.2015,2,16,6,24
23.02.2015,2,14,8,24
24.02.2015,2,15,9,26
25.02.2015,2,14,8,24
26.02.2015,2,14,8,24
27.02.2015,2,16,5,23
28.02.2015,2,16,5,23
01.03.2015,2,15,5,22
02.03.2015,2,14,6,22
03.03.2015,2,12,7,21
04.03.2015,2,12,7,21
05.03.2015,2,12,6,20
06.03.2015,2,12,8,22
07.03.2015,2,12,8,22
08.03.2015,2,12,8,22
09.03.2015,2,12,8,22
10.03.2015,2,12,8,22
11.03.2015,2,12,8,22
12.03.2015,2,12,8,22
13.03.2015,2,12,8,22
14.03.2015,2,12,8,22
15.03.2015,2,13,7,22
16.03.2015,2,14,7,23
17.03.2015,2,14,7,23
18.03.2015,1,15,9,25
19.03.2015,1,15,9,25
20.03.2015,2,14,8,24
21.03.2015,2,14,8,24
22.03.2015,2,14,7,23
23.03.2015,2,14,6,22
24.03.2015,1,16,5,22
25.03.2015,1,16,6,23
26.03.2015,1,15,6,22
27.03.2015,1,15,6,22
28.03.2015,1,15,6,22
29.03.2015,1,15,6,22
30.03.2015,1,15,6,22
31.03.2015,1,15,7,23
01.04.2015,1,16,8,25
02.04.2015,1,17,8,26
03.04.2015,1,17,8,26
04.04.2015,1,17,8,26
05.04.2015,1,17,8,26
06.04.2015,1,17,8,26
07.04.2015,1,18,8,27
08.04.2015,1,18,10,29
09.04.2015,1,18,10,29
10.04.2015,1,19,9,29
11.04.2015,1,20,10,31
12.04.2015,1,20,10,31
13.04.2015,1,20,10,31
14.04.2015,1,20,10,31
15.04.2015,2,19,9,30
16.04.2015,2,19,9,30
17.04.2015,2,17,9,28
18.04.2015,2,17,11,30
19.04.2015,2,17,11,30
20.04.2015,2,18,10,30
21.04.2015,2,17,11,30
22.04.2015,2,17,9,28
23.04.2015,2,17,9,28
24.04.2015,2,16,9,27
25.04.2015,2,16,9,27
26.04.2015,2,15,10,27
27.04.2015,2,15,11,28
28.04.2015,2,16,11,29
29.04.2015,2,16,10,28
30.04.2015,2,13,10,25
01.05.2015,2,13,10,25
02.05.2015,2,13,10,25
03.05.2015,2,13,10,25
04.05.2015,2,13,10,25
05.05.2015,2,12,10,24
06.05.2015,2,12,8,22
07.05.2015,2,12,9,23
08.05.2015,2,11,9,22
09.05.2015,1,12,8,21
10.05.2015,1,13,8,22
11.05.2015,1,14,8,23
12.05.2015,1,14,8,23
13.05.2015,1,13,9,23
14.05.2015,1,11,9,21
15.05.2015,1,12,9,22
16.05.2015,1,12,9,22
17.05.2015,1,12,9,22
18.05.2015,1,12,8,21
19.05.2015,1,12,8,21
20.05.2015,1,12,8,21
21.05.2015,1,12,8,21
22.05.2015,1,12,9,22
23.05.2015,1,12,9,22
24.05.2015,1,12,9,22
25.05.2015,1,11,8,20
26.05.2015,1,12,6,19
27.05.2015,1,11,6,18
28.05.2015,1,11,8,20
29.05.2015,1,11,9,21
30.05.2015,1,11,9,21
31.05.2015,1,11,9,21
01.06.2015,1,11,9,21
02.06.2015,1,11,9,21
03.06.2015,1,11,9,21
04.06.2015,1,11,8,20
05.06.2015,1,10,8,19
06.06.2015,1,11,8,20
07.06.2015,1,11,8,20
08.06.2015,1,11,10,22
09.06.2015,1,10,10,21
10.06.2015,1,10,9,20
11.06.2015,1,11,8,20
12.06.2015,1,11,7,19
13.06.2015,1,11,6,18
14.06.2015,1,11,6,18
15.06.2015,1,12,7,20
16.06.2015,1,12,6,19
17.06.2015,1,11,7,19
18.06.2015,1,12,10,23
19.06.2015,1,12,10,23
20.06.2015,1,12,10,23
21.06.2015,1,12,10,23
22.06.2015,1,12,11,24
23.06.2015,1,11,11,23
24.06.2015,1,11,12,24
25.06.2015,1,9,11,21
26.06.2015,1,10,9,20
27.06.2015,1,10,9,20
28.06.2015,1,10,9,20
29.06.2015,1,10,9,20
30.06.2015,1,11,10,22
01.07.2015,1,12,9,22
02.07.2015,1,12,10,23
03.07.2015,1,13,10,24
04.07.2015,1,13,10,24
05.07.2015,1,13,11,25
06.07.2015,1,13,10,24
07.07.2015,1,13,11,25
08.07.2015,1,12,11,24
09.07.2015,1,13,10,24
10.07.2015,1,14,10,25
11.07.2015,1,15,9,25
12.07.2015,1,15,9,25
13.07.2015,1,15,7,23
14.07.2015,1,15,7,23
15.07.2015,1,16,7,24
16.07.2015,1,18,7,26
17.07.2015,1,19,6,26
18.07.2015,1,19,6,26
19.07.2015,1,19,6,26
20.07.2015,1,19,6,26
21.07.2015,1,20,5,26
22.07.2015,1,22,3,26
23.07.2015,0,22,3,25
24.07.2015,0,21,3,24
25.07.2015,1,20,3,24
26.07.2015,1,20,3,24
27.07.2015,1,21,5,27
28.07.2015,1,21,4,26
29.07.2015,1,20,5,26
30.07.2015,1,21,4,26
31.07.2015,1,21,5,27
01.08.2015,1,21,6,28
02.08.2015,1,21,6,28
03.08.2015,1,22,7,30
04.08.2015,0,23,5,28
05.08.2015,0,23,5,28
06.08.2015,0,22,5,27
07.08.2015,0,21,5,26
08.08.2015,0,22,5,27
09.08.2015,0,22,5,27
10.08.2015,0,22,5,27
11.08.2015,0,22,6,28
12.08.2015,0,23,5,28
13.08.2015,0,23,3,26
14.08.2015,0,23,4,27
15.08.2015,0,23,4,27
16.08.2015,0,23,4,27
17.08.2015,0,23,4,27
18.08.2015,0,23,5,28
19.08.2015,0,22,5,27
20.08.2015,0,22,5,27
21.08.2015,1,21,5,27
22.08.2015,2,20,5,27
23.08.2015,2,21,6,29
