horizen,,,,
Date, Full Time, Part Time, One Time, Total
09.02.2016,0,0,1,1
10.02.2016,0,0,1,1
11.02.2016,0,0,1,1
12.02.2016,0,0,1,1
13.02.2016,0,0,1,1
14.02.2016,0,0,1,1
15.02.2016,0,0,1,1
16.02.2016,0,0,1,1
17.02.2016,0,0,1,1
18.02.2016,0,0,1,1
19.02.2016,0,0,1,1
20.02.2016,0,0,1,1
21.02.2016,0,0,1,1
22.02.2016,0,0,1,1
23.02.2016,0,0,1,1
24.02.2016,0,0,1,1
25.02.2016,0,0,1,1
26.02.2016,0,0,1,1
27.02.2016,0,0,1,1
28.02.2016,0,0,1,1
29.02.2016,0,0,1,1
01.03.2016,0,0,1,1
02.03.2016,0,0,1,1
03.03.2016,0,0,1,1
04.03.2016,0,0,1,1
05.03.2016,0,0,2,2
06.03.2016,0,0,2,2
07.03.2016,0,0,2,2
08.03.2016,0,1,0,1
09.03.2016,0,1,0,1
10.03.2016,0,1,0,1
11.03.2016,0,1,0,1
12.03.2016,0,1,0,1
13.03.2016,0,1,0,1
14.03.2016,0,1,0,1
15.03.2016,0,1,0,1
16.03.2016,0,1,0,1
17.03.2016,0,1,0,1
18.03.2016,0,1,0,1
19.03.2016,0,1,0,1
20.03.2016,0,1,0,1
21.03.2016,0,1,0,1
22.03.2016,0,1,0,1
23.03.2016,0,1,0,1
24.03.2016,0,1,0,1
25.03.2016,0,1,0,1
26.03.2016,0,1,0,1
27.03.2016,0,1,0,1
28.03.2016,0,1,0,1
29.03.2016,0,1,0,1
30.03.2016,0,1,0,1
31.03.2016,0,1,0,1
01.04.2016,0,1,0,1
02.04.2016,0,1,0,1
03.04.2016,0,1,0,1
04.04.2016,0,1,0,1
05.04.2016,1,0,0,1
06.04.2016,1,0,0,1
07.04.2016,1,0,0,1
08.04.2016,1,0,0,1
09.04.2016,1,0,0,1
10.04.2016,1,0,0,1
11.04.2016,1,0,0,1
12.04.2016,1,0,0,1
13.04.2016,1,0,0,1
14.04.2016,1,0,0,1
15.04.2016,1,0,0,1
16.04.2016,1,0,0,1
17.04.2016,1,0,0,1
18.04.2016,1,0,0,1
19.04.2016,1,0,0,1
20.04.2016,1,0,0,1
21.04.2016,1,0,0,1
22.04.2016,1,0,0,1
23.04.2016,1,0,0,1
24.04.2016,1,0,0,1
25.04.2016,1,0,0,1
26.04.2016,1,0,0,1
27.04.2016,1,0,0,1
28.04.2016,1,0,0,1
29.04.2016,1,0,0,1
30.04.2016,1,0,0,1
01.05.2016,1,0,0,1
02.05.2016,1,0,0,1
03.05.2016,1,0,0,1
04.05.2016,1,0,0,1
05.05.2016,1,0,0,1
06.05.2016,1,0,0,1
07.05.2016,1,0,0,1
08.05.2016,1,0,0,1
09.05.2016,1,0,0,1
10.05.2016,1,0,0,1
11.05.2016,1,0,0,1
12.05.2016,1,0,0,1
13.05.2016,1,0,0,1
14.05.2016,1,0,0,1
15.05.2016,1,0,0,1
16.05.2016,1,0,0,1
17.05.2016,1,0,0,1
18.05.2016,1,0,0,1
19.05.2016,1,0,0,1
20.05.2016,1,0,0,1
21.05.2016,1,0,0,1
22.05.2016,1,0,0,1
23.05.2016,1,0,0,1
24.05.2016,1,0,0,1
25.05.2016,1,0,1,2
26.05.2016,1,0,1,2
27.05.2016,1,0,1,2
28.05.2016,1,0,1,2
29.05.2016,1,0,1,2
30.05.2016,1,0,1,2
31.05.2016,1,1,0,2
01.06.2016,1,1,0,2
02.06.2016,1,1,0,2
03.06.2016,1,1,0,2
04.06.2016,1,1,0,2
05.06.2016,1,1,0,2
06.06.2016,1,1,0,2
07.06.2016,1,1,0,2
08.06.2016,1,1,0,2
09.06.2016,1,1,0,2
10.06.2016,1,1,0,2
11.06.2016,1,1,0,2
12.06.2016,1,1,0,2
13.06.2016,1,1,0,2
14.06.2016,1,1,0,2
15.06.2016,1,1,0,2
16.06.2016,1,1,0,2
17.06.2016,0,2,0,2
18.06.2016,0,2,0,2
19.06.2016,0,2,0,2
20.06.2016,0,2,0,2
21.06.2016,0,2,0,2
22.06.2016,0,2,0,2
23.06.2016,0,2,0,2
24.06.2016,0,2,0,2
25.06.2016,0,2,0,2
26.06.2016,0,2,0,2
27.06.2016,0,2,0,2
28.06.2016,1,1,1,3
29.06.2016,0,2,1,3
30.06.2016,0,2,2,4
01.07.2016,0,2,2,4
02.07.2016,0,2,2,4
03.07.2016,0,2,2,4
04.07.2016,0,2,2,4
05.07.2016,0,2,2,4
06.07.2016,0,2,2,4
07.07.2016,0,2,2,4
08.07.2016,0,2,2,4
09.07.2016,0,2,2,4
10.07.2016,0,2,2,4
11.07.2016,0,2,2,4
12.07.2016,0,2,2,4
13.07.2016,1,1,2,4
14.07.2016,1,1,2,4
15.07.2016,1,1,2,4
16.07.2016,1,1,2,4
17.07.2016,1,1,2,4
18.07.2016,1,2,1,4
19.07.2016,1,2,1,4
20.07.2016,1,2,1,4
21.07.2016,1,2,1,4
22.07.2016,1,2,1,4
23.07.2016,1,2,1,4
24.07.2016,1,2,1,4
25.07.2016,1,2,1,4
26.07.2016,1,2,0,3
27.07.2016,0,3,0,3
28.07.2016,0,3,0,3
29.07.2016,0,3,0,3
30.07.2016,0,3,0,3
31.07.2016,0,3,0,3
01.08.2016,0,3,0,3
02.08.2016,0,3,0,3
03.08.2016,0,3,0,3
04.08.2016,0,3,0,3
05.08.2016,0,3,0,3
06.08.2016,0,3,0,3
07.08.2016,0,3,0,3
08.08.2016,0,3,0,3
09.08.2016,0,3,0,3
10.08.2016,1,2,0,3
11.08.2016,1,2,0,3
12.08.2016,1,2,0,3
13.08.2016,1,2,0,3
14.08.2016,1,2,0,3
15.08.2016,1,2,0,3
16.08.2016,1,2,0,3
17.08.2016,1,2,0,3
18.08.2016,1,2,0,3
19.08.2016,1,2,0,3
20.08.2016,1,2,0,3
21.08.2016,1,2,0,3
22.08.2016,1,2,0,3
23.08.2016,1,2,0,3
24.08.2016,0,3,0,3
25.08.2016,0,3,0,3
26.08.2016,0,3,0,3
27.08.2016,0,3,0,3
28.08.2016,0,3,1,4
29.08.2016,0,3,1,4
30.08.2016,0,3,1,4
31.08.2016,0,3,1,4
01.09.2016,0,3,1,4
02.09.2016,0,3,1,4
03.09.2016,0,3,1,4
04.09.2016,0,3,1,4
05.09.2016,0,3,1,4
06.09.2016,0,3,1,4
07.09.2016,0,3,1,4
08.09.2016,0,3,1,4
09.09.2016,0,3,1,4
10.09.2016,0,3,1,4
11.09.2016,0,3,1,4
12.09.2016,0,3,1,4
13.09.2016,0,3,1,4
14.09.2016,0,2,1,3
15.09.2016,0,2,1,3
16.09.2016,0,2,1,3
17.09.2016,0,2,1,3
18.09.2016,0,2,1,3
19.09.2016,0,1,2,3
20.09.2016,0,1,2,3
21.09.2016,0,1,2,3
22.09.2016,0,1,2,3
23.09.2016,0,1,2,3
24.09.2016,0,1,2,3
25.09.2016,0,1,1,2
26.09.2016,0,1,1,2
27.09.2016,0,1,1,2
28.09.2016,0,1,1,2
29.09.2016,0,1,1,2
30.09.2016,0,1,1,2
01.10.2016,0,1,1,2
02.10.2016,0,1,1,2
03.10.2016,0,1,1,2
04.10.2016,0,1,1,2
05.10.2016,0,1,1,2
06.10.2016,0,1,1,2
07.10.2016,0,1,1,2
08.10.2016,0,1,1,2
09.10.2016,0,1,1,2
10.10.2016,0,1,1,2
11.10.2016,0,1,1,2
12.10.2016,0,1,1,2
13.10.2016,0,1,1,2
14.10.2016,0,1,1,2
15.10.2016,0,1,1,2
16.10.2016,0,1,1,2
17.10.2016,0,1,0,1
18.10.2016,0,1,0,1
19.10.2016,0,1,0,1
20.10.2016,0,1,0,1
21.10.2016,0,1,0,1
22.10.2016,0,1,0,1
23.10.2016,0,1,0,1
24.10.2016,0,1,0,1
25.10.2016,0,1,0,1
26.10.2016,0,1,0,1
27.10.2016,0,2,0,2
28.10.2016,0,2,0,2
29.10.2016,0,2,0,2
30.10.2016,0,2,0,2
31.10.2016,0,2,0,2
01.11.2016,0,2,0,2
02.11.2016,0,2,0,2
03.11.2016,0,2,0,2
04.11.2016,0,2,0,2
05.11.2016,0,2,0,2
06.11.2016,0,2,0,2
07.11.2016,0,2,0,2
08.11.2016,0,2,0,2
09.11.2016,0,2,0,2
10.11.2016,0,2,0,2
11.11.2016,0,2,0,2
12.11.2016,0,2,0,2
13.11.2016,0,2,1,3
14.11.2016,0,2,1,3
15.11.2016,0,2,1,3
16.11.2016,0,2,1,3
17.11.2016,0,2,2,4
18.11.2016,0,3,1,4
19.11.2016,0,3,1,4
20.11.2016,0,3,1,4
21.11.2016,0,3,1,4
22.11.2016,0,3,1,4
23.11.2016,0,2,1,3
24.11.2016,0,1,1,2
25.11.2016,0,1,1,2
26.11.2016,0,1,1,2
27.11.2016,0,1,1,2
28.11.2016,0,1,1,2
29.11.2016,0,1,1,2
30.11.2016,0,2,1,3
01.12.2016,0,2,1,3
02.12.2016,0,2,1,3
03.12.2016,0,2,1,3
04.12.2016,0,2,1,3
05.12.2016,0,2,1,3
06.12.2016,0,2,1,3
07.12.2016,0,2,1,3
08.12.2016,0,2,1,3
09.12.2016,0,2,1,3
10.12.2016,0,2,1,3
11.12.2016,0,2,0,2
12.12.2016,0,2,0,2
13.12.2016,0,2,0,2
14.12.2016,0,2,0,2
15.12.2016,0,2,0,2
16.12.2016,0,2,0,2
17.12.2016,0,2,0,2
18.12.2016,0,2,0,2
19.12.2016,0,2,0,2
20.12.2016,0,2,0,2
21.12.2016,0,2,0,2
22.12.2016,0,2,0,2
23.12.2016,0,2,0,2
24.12.2016,0,2,0,2
25.12.2016,0,1,0,1
26.12.2016,0,1,0,1
27.12.2016,0,1,0,1
05.03.2017,0,0,2,2
06.03.2017,0,0,2,2
07.03.2017,0,1,1,2
08.03.2017,0,1,1,2
09.03.2017,0,1,1,2
10.03.2017,0,1,1,2
11.03.2017,0,1,1,2
12.03.2017,0,1,1,2
13.03.2017,0,1,1,2
14.03.2017,0,1,1,2
15.03.2017,0,1,1,2
16.03.2017,0,1,1,2
17.03.2017,0,1,1,2
18.03.2017,0,1,1,2
19.03.2017,0,1,1,2
20.03.2017,0,1,1,2
21.03.2017,0,1,1,2
22.03.2017,0,1,1,2
23.03.2017,0,1,1,2
24.03.2017,0,1,1,2
25.03.2017,0,1,1,2
26.03.2017,0,1,1,2
27.03.2017,0,1,1,2
28.03.2017,0,1,1,2
29.03.2017,0,1,1,2
30.03.2017,0,1,1,2
31.03.2017,0,1,2,3
01.04.2017,0,1,2,3
02.04.2017,0,1,1,2
03.04.2017,0,1,1,2
04.04.2017,0,0,1,1
05.04.2017,0,0,1,1
06.04.2017,0,0,1,1
07.04.2017,0,0,1,1
08.04.2017,0,0,1,1
09.04.2017,0,0,1,1
10.04.2017,0,0,1,1
11.04.2017,0,0,1,1
12.04.2017,0,0,1,1
13.04.2017,0,0,1,1
14.04.2017,0,0,1,1
15.04.2017,0,0,1,1
16.04.2017,0,0,2,2
17.04.2017,0,0,2,2
18.04.2017,0,0,2,2
19.04.2017,0,0,2,2
20.04.2017,0,0,2,2
21.04.2017,0,0,2,2
22.04.2017,0,0,2,2
23.04.2017,0,0,3,3
24.04.2017,0,0,3,3
25.04.2017,0,1,3,4
26.04.2017,0,1,3,4
27.04.2017,0,1,3,4
28.04.2017,0,1,2,3
29.04.2017,0,1,2,3
30.04.2017,0,1,2,3
01.05.2017,0,1,2,3
02.05.2017,0,1,2,3
03.05.2017,0,1,3,4
04.05.2017,0,1,3,4
05.05.2017,0,2,2,4
06.05.2017,0,2,2,4
07.05.2017,0,3,3,6
08.05.2017,0,3,3,6
09.05.2017,0,3,3,6
10.05.2017,0,3,4,7
11.05.2017,0,3,4,7
12.05.2017,0,3,4,7
13.05.2017,0,3,4,7
14.05.2017,0,3,3,6
15.05.2017,0,4,3,7
16.05.2017,0,4,4,8
17.05.2017,0,4,4,8
18.05.2017,0,4,4,8
19.05.2017,0,4,4,8
20.05.2017,0,4,4,8
21.05.2017,0,4,3,7
22.05.2017,0,4,3,7
23.05.2017,0,4,4,8
24.05.2017,0,4,4,8
25.05.2017,0,4,4,8
26.05.2017,0,4,4,8
27.05.2017,0,4,4,8
28.05.2017,0,3,5,8
29.05.2017,0,3,5,8
30.05.2017,0,3,5,8
31.05.2017,0,3,5,8
01.06.2017,0,3,5,8
02.06.2017,0,3,5,8
03.06.2017,0,3,5,8
04.06.2017,0,3,3,6
05.06.2017,0,2,3,5
06.06.2017,0,2,3,5
07.06.2017,0,2,2,4
08.06.2017,0,2,2,4
09.06.2017,0,2,4,6
10.06.2017,0,3,4,7
