icon,,,,
Date, Full Time, Part Time, One Time, Total
20.02.2018,0,0,1,1
21.02.2018,0,0,1,1
22.02.2018,0,0,1,1
23.02.2018,0,0,1,1
24.02.2018,0,0,1,1
25.02.2018,0,0,1,1
26.02.2018,0,0,2,2
27.02.2018,0,2,1,3
28.02.2018,0,2,1,3
01.03.2018,0,2,1,3
02.03.2018,0,2,1,3
03.03.2018,0,2,1,3
04.03.2018,0,2,1,3
05.03.2018,0,3,0,3
06.03.2018,0,3,0,3
07.03.2018,0,3,0,3
08.03.2018,0,3,0,3
09.03.2018,0,3,0,3
10.03.2018,0,3,0,3
11.03.2018,0,3,0,3
12.03.2018,0,3,0,3
13.03.2018,0,3,0,3
14.03.2018,0,3,0,3
15.03.2018,0,3,0,3
16.03.2018,0,3,0,3
17.03.2018,0,3,0,3
18.03.2018,0,3,0,3
19.03.2018,0,3,0,3
20.03.2018,0,3,0,3
21.03.2018,0,3,0,3
22.03.2018,0,3,0,3
23.03.2018,0,3,0,3
24.03.2018,0,3,0,3
25.03.2018,0,3,0,3
26.03.2018,0,3,0,3
27.03.2018,1,2,0,3
28.03.2018,1,2,1,4
29.03.2018,1,2,1,4
30.03.2018,1,2,1,4
31.03.2018,1,2,1,4
01.04.2018,1,2,1,4
02.04.2018,0,3,1,4
03.04.2018,0,3,1,4
04.04.2018,0,3,1,4
05.04.2018,0,3,1,4
06.04.2018,1,2,1,4
07.04.2018,1,2,1,4
08.04.2018,1,2,1,4
09.04.2018,1,1,1,3
10.04.2018,1,1,2,4
11.04.2018,1,1,2,4
12.04.2018,1,1,2,4
13.04.2018,1,1,2,4
14.04.2018,1,1,2,4
15.04.2018,1,1,2,4
16.04.2018,1,1,3,5
17.04.2018,1,2,2,5
18.04.2018,1,2,2,5
19.04.2018,1,2,3,6
20.04.2018,1,3,4,8
21.04.2018,1,3,4,8
22.04.2018,1,3,4,8
23.04.2018,1,4,3,8
24.04.2018,1,6,4,11
25.04.2018,1,6,4,11
26.04.2018,1,6,4,11
27.04.2018,1,6,5,12
28.04.2018,1,6,5,12
29.04.2018,1,6,5,12
30.04.2018,0,7,5,12
01.05.2018,0,7,5,12
02.05.2018,0,8,4,12
03.05.2018,0,8,4,12
04.05.2018,2,6,4,12
05.05.2018,2,6,4,12
06.05.2018,2,6,4,12
07.05.2018,2,6,4,12
08.05.2018,2,6,3,11
09.05.2018,2,6,3,11
10.05.2018,2,6,3,11
11.05.2018,2,6,3,11
12.05.2018,2,6,3,11
13.05.2018,2,6,3,11
14.05.2018,2,6,3,11
15.05.2018,3,5,3,11
16.05.2018,3,5,3,11
17.05.2018,3,5,3,11
18.05.2018,3,5,3,11
19.05.2018,3,5,3,11
20.05.2018,3,5,3,11
21.05.2018,3,4,3,10
22.05.2018,4,3,1,8
23.05.2018,4,3,1,8
