immutable,,,,
Date, Full Time, Part Time, One Time, Total
06.11.2017,0,0,1,1
07.11.2017,0,0,1,1
08.11.2017,0,0,1,1
09.11.2017,0,1,0,1
10.11.2017,0,1,0,1
11.11.2017,0,1,1,2
12.11.2017,0,1,1,2
13.11.2017,0,1,1,2
14.11.2017,0,1,1,2
15.11.2017,0,1,2,3
16.11.2017,0,1,2,3
17.11.2017,0,1,2,3
18.11.2017,0,1,3,4
19.11.2017,0,1,3,4
20.11.2017,0,1,3,4
21.11.2017,0,1,3,4
22.11.2017,0,1,3,4
23.11.2017,0,1,3,4
24.11.2017,0,1,3,4
25.11.2017,0,1,3,4
26.11.2017,0,1,4,5
27.11.2017,0,1,4,5
28.11.2017,0,1,4,5
29.11.2017,0,1,4,5
30.11.2017,0,1,4,5
01.12.2017,0,1,4,5
02.12.2017,0,1,4,5
03.12.2017,0,1,4,5
04.12.2017,0,1,4,5
05.12.2017,0,1,4,5
06.12.2017,0,1,4,5
07.12.2017,1,0,4,5
08.12.2017,1,0,4,5
09.12.2017,1,0,3,4
10.12.2017,1,0,3,4
11.12.2017,1,0,3,4
12.12.2017,1,0,3,4
13.12.2017,1,0,2,3
14.12.2017,1,0,2,3
15.12.2017,1,0,2,3
16.12.2017,1,0,2,3
17.12.2017,1,0,2,3
18.12.2017,1,0,2,3
19.12.2017,1,0,2,3
20.12.2017,1,0,3,4
21.12.2017,1,0,3,4
22.12.2017,1,0,3,4
23.12.2017,1,0,3,4
24.12.2017,1,0,2,3
25.12.2017,1,0,2,3
26.12.2017,1,0,2,3
27.12.2017,1,0,2,3
28.12.2017,1,0,2,3
29.12.2017,1,0,2,3
30.12.2017,1,0,2,3
31.12.2017,1,0,2,3
01.01.2018,1,0,2,3
02.01.2018,1,0,2,3
03.01.2018,1,0,2,3
04.01.2018,1,0,2,3
05.01.2018,1,0,2,3
06.01.2018,1,0,2,3
07.01.2018,1,0,2,3
08.01.2018,1,0,2,3
09.01.2018,1,0,2,3
10.01.2018,1,0,2,3
11.01.2018,1,0,2,3
12.01.2018,1,0,2,3
13.01.2018,1,0,1,2
14.01.2018,1,0,1,2
15.01.2018,1,0,1,2
16.01.2018,1,0,1,2
17.01.2018,1,0,0,1
18.01.2018,1,0,1,2
19.01.2018,1,0,1,2
20.01.2018,1,0,1,2
21.01.2018,1,0,1,2
22.01.2018,1,0,1,2
23.01.2018,1,0,1,2
24.01.2018,1,0,1,2
25.01.2018,1,0,1,2
26.01.2018,1,0,1,2
27.01.2018,1,0,1,2
28.01.2018,1,0,1,2
29.01.2018,1,0,1,2
30.01.2018,1,0,1,2
31.01.2018,1,0,1,2
01.02.2018,1,0,1,2
02.02.2018,1,0,1,2
03.02.2018,1,0,1,2
04.02.2018,1,0,1,2
05.02.2018,1,0,1,2
06.02.2018,1,0,2,3
07.02.2018,1,0,2,3
08.02.2018,1,0,2,3
09.02.2018,1,0,2,3
10.02.2018,1,0,2,3
11.02.2018,1,0,2,3
12.02.2018,1,0,2,3
13.02.2018,1,0,2,3
14.02.2018,1,0,2,3
15.02.2018,1,0,1,2
16.02.2018,1,0,1,2
17.02.2018,1,0,1,2
18.02.2018,1,0,1,2
19.02.2018,1,0,1,2
20.02.2018,1,0,1,2
21.02.2018,1,0,1,2
22.02.2018,1,0,1,2
23.02.2018,1,0,1,2
24.02.2018,1,0,1,2
25.02.2018,1,0,1,2
26.02.2018,1,0,1,2
27.02.2018,1,0,1,2
28.02.2018,1,0,1,2
01.03.2018,1,0,1,2
02.03.2018,1,0,1,2
03.03.2018,1,0,1,2
04.03.2018,1,0,1,2
05.03.2018,1,0,2,3
06.03.2018,1,0,1,2
07.03.2018,1,0,1,2
08.03.2018,1,0,2,3
09.03.2018,1,0,2,3
10.03.2018,1,0,3,4
11.03.2018,1,0,3,4
12.03.2018,1,0,3,4
13.03.2018,1,0,4,5
14.03.2018,1,0,4,5
15.03.2018,1,0,5,6
16.03.2018,1,0,5,6
17.03.2018,1,0,5,6
18.03.2018,1,0,5,6
19.03.2018,1,0,5,6
20.03.2018,1,0,5,6
21.03.2018,1,0,5,6
22.03.2018,1,0,5,6
23.03.2018,1,0,5,6
24.03.2018,1,0,5,6
25.03.2018,1,0,5,6
26.03.2018,1,0,5,6
27.03.2018,1,0,5,6
28.03.2018,1,0,5,6
29.03.2018,1,0,5,6
30.03.2018,1,0,5,6
31.03.2018,1,0,5,6
01.04.2018,1,0,5,6
02.04.2018,1,0,5,6
03.04.2018,1,0,5,6
04.04.2018,1,0,5,6
05.04.2018,1,0,4,5
06.04.2018,1,0,4,5
07.04.2018,1,0,3,4
08.04.2018,1,0,3,4
09.04.2018,1,0,3,4
10.04.2018,1,0,2,3
11.04.2018,1,0,2,3
12.04.2018,1,0,1,2
13.04.2018,1,0,1,2
14.04.2018,1,0,1,2
15.04.2018,1,0,1,2
16.04.2018,1,0,1,2
17.04.2018,1,0,1,2
18.04.2018,1,0,1,2
19.04.2018,1,0,1,2
20.04.2018,1,0,1,2
21.04.2018,1,0,1,2
22.04.2018,1,0,1,2
23.04.2018,1,0,1,2
24.04.2018,1,0,1,2
