injective-protocol,,,,
Date, Full Time, Part Time, One Time, Total
29.10.2018,0,0,1,1
30.10.2018,0,0,1,1
31.10.2018,0,0,1,1
01.11.2018,0,0,1,1
02.11.2018,0,0,1,1
03.11.2018,0,0,1,1
04.11.2018,0,0,1,1
05.11.2018,0,0,1,1
06.11.2018,0,0,2,2
07.11.2018,0,0,2,2
08.11.2018,0,0,2,2
09.11.2018,0,1,1,2
10.11.2018,0,1,1,2
11.11.2018,0,1,1,2
12.11.2018,0,1,1,2
13.11.2018,0,1,1,2
14.11.2018,0,1,1,2
15.11.2018,0,1,1,2
16.11.2018,0,1,1,2
17.11.2018,0,1,1,2
18.11.2018,0,1,1,2
19.11.2018,0,1,1,2
20.11.2018,0,1,1,2
21.11.2018,0,1,1,2
22.11.2018,0,1,2,3
23.11.2018,0,2,1,3
24.11.2018,0,3,0,3
25.11.2018,0,3,0,3
26.11.2018,0,3,0,3
27.11.2018,0,3,0,3
28.11.2018,0,3,0,3
29.11.2018,0,3,0,3
30.11.2018,0,3,0,3
01.12.2018,0,3,0,3
02.12.2018,0,3,0,3
03.12.2018,0,3,0,3
04.12.2018,0,3,0,3
05.12.2018,0,3,0,3
06.12.2018,0,3,0,3
07.12.2018,0,2,0,2
08.12.2018,0,2,0,2
09.12.2018,0,2,0,2
10.12.2018,0,2,0,2
11.12.2018,0,2,0,2
12.12.2018,0,2,0,2
13.12.2018,0,2,0,2
14.12.2018,0,2,0,2
15.12.2018,0,2,0,2
16.12.2018,0,2,0,2
17.12.2018,0,2,0,2
18.12.2018,0,2,0,2
19.12.2018,0,2,0,2
20.12.2018,0,2,0,2
21.12.2018,0,2,0,2
22.12.2018,0,2,0,2
23.12.2018,0,2,0,2
24.12.2018,0,2,0,2
25.12.2018,0,2,0,2
26.12.2018,0,2,0,2
27.12.2018,0,2,0,2
27.03.2019,0,0,1,1
28.03.2019,0,0,1,1
29.03.2019,0,0,1,1
30.03.2019,0,1,0,1
31.03.2019,0,1,0,1
01.04.2019,0,1,1,2
02.04.2019,0,1,1,2
03.04.2019,0,1,1,2
04.04.2019,0,1,1,2
05.04.2019,0,1,1,2
06.04.2019,0,1,2,3
07.04.2019,0,1,2,3
08.04.2019,0,2,1,3
09.04.2019,0,2,1,3
10.04.2019,0,2,1,3
11.04.2019,0,2,1,3
12.04.2019,0,2,1,3
13.04.2019,0,2,1,3
14.04.2019,0,2,1,3
15.04.2019,0,2,1,3
16.04.2019,0,2,1,3
17.04.2019,0,2,1,3
18.04.2019,0,2,1,3
19.04.2019,0,2,1,3
20.04.2019,0,2,1,3
21.04.2019,0,2,1,3
22.04.2019,0,2,1,3
23.04.2019,0,2,1,3
24.04.2019,0,2,1,3
25.04.2019,0,2,1,3
26.04.2019,0,2,1,3
27.04.2019,0,1,1,2
28.04.2019,0,1,1,2
29.04.2019,0,1,0,1
30.04.2019,0,1,0,1
01.05.2019,0,1,0,1
02.05.2019,0,1,0,1
03.05.2019,0,1,0,1
04.05.2019,0,1,0,1
05.05.2019,0,1,0,1
14.08.2019,0,0,1,1
15.08.2019,0,1,0,1
16.08.2019,0,1,0,1
17.08.2019,0,1,0,1
18.08.2019,0,1,0,1
19.08.2019,0,1,0,1
20.08.2019,0,1,0,1
21.08.2019,0,1,0,1
22.08.2019,0,1,0,1
23.08.2019,0,1,0,1
24.08.2019,0,1,0,1
25.08.2019,0,1,0,1
26.08.2019,0,1,0,1
27.08.2019,0,1,0,1
