iota,,,,
Date, Full Time, Part Time, One Time, Total
06.07.2015,0,0,1,1
07.07.2015,0,1,0,1
08.07.2015,0,1,0,1
09.07.2015,0,1,0,1
10.07.2015,0,1,0,1
11.07.2015,0,1,0,1
12.07.2015,0,1,0,1
13.07.2015,0,1,0,1
14.07.2015,0,1,0,1
15.07.2015,0,1,0,1
16.07.2015,0,1,0,1
17.07.2015,0,1,0,1
18.07.2015,0,1,0,1
19.07.2015,0,1,0,1
20.07.2015,0,1,0,1
21.07.2015,0,1,0,1
22.07.2015,0,1,0,1
23.07.2015,0,1,0,1
24.07.2015,0,1,0,1
25.07.2015,0,1,0,1
26.07.2015,0,1,0,1
27.07.2015,0,1,0,1
28.07.2015,0,1,0,1
29.07.2015,0,1,0,1
30.07.2015,0,1,0,1
31.07.2015,0,1,0,1
01.08.2015,0,1,0,1
02.08.2015,0,1,0,1
03.08.2015,0,1,0,1
19.10.2015,0,0,1,1
20.10.2015,0,0,1,1
21.10.2015,0,0,1,1
22.10.2015,0,0,1,1
23.10.2015,0,0,1,1
24.10.2015,0,0,1,1
25.10.2015,0,0,1,1
26.10.2015,0,0,1,1
27.10.2015,0,0,1,1
28.10.2015,0,0,1,1
29.10.2015,0,0,1,1
30.10.2015,0,0,1,1
31.10.2015,0,0,1,1
01.11.2015,0,0,1,1
02.11.2015,0,0,1,1
03.11.2015,0,0,1,1
04.11.2015,0,1,0,1
05.11.2015,0,1,0,1
06.11.2015,0,1,0,1
07.11.2015,0,1,0,1
08.11.2015,0,1,0,1
09.11.2015,0,1,0,1
10.11.2015,0,1,0,1
11.11.2015,0,1,0,1
12.11.2015,0,1,0,1
13.11.2015,0,1,0,1
14.11.2015,0,1,0,1
15.11.2015,0,1,0,1
16.11.2015,0,1,0,1
17.11.2015,0,1,0,1
18.11.2015,0,1,0,1
19.11.2015,0,1,0,1
20.11.2015,0,1,0,1
21.11.2015,0,1,0,1
22.11.2015,0,1,0,1
23.11.2015,0,1,0,1
24.11.2015,0,1,0,1
25.11.2015,0,1,0,1
26.11.2015,0,1,0,1
27.11.2015,0,1,0,1
28.11.2015,0,1,0,1
29.11.2015,0,1,0,1
30.11.2015,0,1,0,1
01.12.2015,0,1,1,2
02.12.2015,0,1,1,2
03.12.2015,0,1,1,2
04.12.2015,0,1,1,2
05.12.2015,0,1,1,2
06.12.2015,0,1,1,2
07.12.2015,0,0,1,1
08.12.2015,0,0,1,1
09.12.2015,0,0,1,1
10.12.2015,0,0,1,1
11.12.2015,0,0,1,1
12.12.2015,0,0,1,1
13.12.2015,0,0,1,1
14.12.2015,0,0,1,1
15.12.2015,0,0,1,1
16.12.2015,0,0,1,1
17.12.2015,0,0,1,1
18.12.2015,0,0,1,1
19.12.2015,0,0,1,1
20.12.2015,0,0,1,1
21.12.2015,0,0,1,1
22.12.2015,0,0,1,1
23.12.2015,0,0,1,1
24.12.2015,0,0,1,1
25.12.2015,0,0,1,1
26.12.2015,0,0,1,1
27.12.2015,0,0,1,1
28.12.2015,0,0,1,1
25.04.2016,0,0,2,2
26.04.2016,0,0,2,2
27.04.2016,0,1,1,2
28.04.2016,0,1,1,2
29.04.2016,0,1,1,2
30.04.2016,0,1,1,2
01.05.2016,0,1,1,2
02.05.2016,0,1,1,2
03.05.2016,0,1,1,2
04.05.2016,0,1,1,2
05.05.2016,0,1,1,2
06.05.2016,0,1,1,2
07.05.2016,0,1,1,2
08.05.2016,0,1,1,2
09.05.2016,0,1,1,2
10.05.2016,0,1,1,2
11.05.2016,0,1,1,2
12.05.2016,0,1,1,2
13.05.2016,0,1,1,2
14.05.2016,0,1,1,2
15.05.2016,0,1,1,2
16.05.2016,0,1,1,2
17.05.2016,0,1,1,2
18.05.2016,0,1,1,2
19.05.2016,0,1,1,2
20.05.2016,0,1,1,2
21.05.2016,0,1,1,2
22.05.2016,0,1,1,2
23.05.2016,0,1,0,1
24.05.2016,0,1,0,1
24.06.2016,0,0,1,1
25.06.2016,0,1,1,2
26.06.2016,0,1,1,2
27.06.2016,0,1,1,2
28.06.2016,0,1,1,2
29.06.2016,0,1,1,2
30.06.2016,0,1,1,2
01.07.2016,0,1,1,2
02.07.2016,0,1,1,2
03.07.2016,0,1,1,2
04.07.2016,0,1,1,2
05.07.2016,0,1,1,2
06.07.2016,0,1,1,2
07.07.2016,0,1,1,2
08.07.2016,0,1,1,2
09.07.2016,0,1,1,2
10.07.2016,0,1,1,2
11.07.2016,0,1,1,2
12.07.2016,0,1,1,2
13.07.2016,0,1,1,2
14.07.2016,0,1,1,2
15.07.2016,0,1,1,2
16.07.2016,0,1,1,2
17.07.2016,0,1,1,2
18.07.2016,0,1,1,2
19.07.2016,0,1,1,2
20.07.2016,0,1,1,2
21.07.2016,0,1,1,2
22.07.2016,0,1,1,2
23.07.2016,0,1,0,1
24.07.2016,0,1,0,1
25.07.2016,0,1,0,1
26.07.2016,0,1,0,1
27.07.2016,0,1,0,1
28.07.2016,0,1,0,1
29.07.2016,0,1,0,1
30.07.2016,0,1,0,1
31.07.2016,0,1,0,1
01.08.2016,0,1,0,1
02.08.2016,0,1,1,2
03.08.2016,0,2,0,2
04.08.2016,0,2,0,2
05.08.2016,0,2,0,2
06.08.2016,0,2,0,2
07.08.2016,0,2,0,2
08.08.2016,0,2,0,2
09.08.2016,0,2,0,2
10.08.2016,0,2,0,2
11.08.2016,0,2,0,2
12.08.2016,0,2,0,2
13.08.2016,0,2,0,2
14.08.2016,0,2,0,2
15.08.2016,0,2,0,2
16.08.2016,0,2,0,2
17.08.2016,0,2,0,2
18.08.2016,0,2,0,2
19.08.2016,0,2,0,2
20.08.2016,0,2,0,2
21.08.2016,0,2,0,2
22.08.2016,0,2,0,2
23.08.2016,0,2,0,2
24.08.2016,0,2,0,2
25.08.2016,0,2,0,2
26.08.2016,0,2,0,2
27.08.2016,0,2,0,2
28.08.2016,0,2,0,2
29.08.2016,0,2,0,2
30.08.2016,0,2,0,2
31.08.2016,0,2,0,2
01.09.2016,0,2,0,2
02.09.2016,0,2,0,2
03.09.2016,0,2,0,2
04.09.2016,0,2,0,2
05.09.2016,0,1,0,1
06.09.2016,0,1,0,1
07.09.2016,0,1,0,1
08.09.2016,0,1,0,1
09.09.2016,0,1,0,1
10.09.2016,0,1,0,1
11.09.2016,0,1,0,1
12.09.2016,0,1,0,1
13.09.2016,0,1,0,1
14.09.2016,0,1,0,1
15.09.2016,0,1,0,1
16.09.2016,0,1,0,1
17.09.2016,0,1,0,1
18.09.2016,0,1,0,1
19.09.2016,0,1,0,1
20.09.2016,0,1,0,1
21.09.2016,0,2,0,2
22.09.2016,0,2,0,2
23.09.2016,0,2,0,2
24.09.2016,0,2,0,2
25.09.2016,0,2,0,2
26.09.2016,0,2,0,2
27.09.2016,0,2,0,2
28.09.2016,0,2,0,2
29.09.2016,0,2,0,2
30.09.2016,0,2,0,2
01.10.2016,0,2,0,2
02.10.2016,0,2,0,2
03.10.2016,0,2,0,2
04.10.2016,0,2,0,2
05.10.2016,0,2,0,2
06.10.2016,0,2,1,3
07.10.2016,0,3,0,3
08.10.2016,0,3,0,3
09.10.2016,0,3,0,3
10.10.2016,0,3,0,3
11.10.2016,0,3,0,3
12.10.2016,0,3,0,3
13.10.2016,0,3,0,3
14.10.2016,0,3,0,3
15.10.2016,0,3,0,3
16.10.2016,0,3,0,3
17.10.2016,0,3,0,3
18.10.2016,0,3,0,3
19.10.2016,0,3,0,3
20.10.2016,0,3,0,3
21.10.2016,0,2,0,2
22.10.2016,0,2,0,2
23.10.2016,0,2,0,2
24.10.2016,0,2,1,3
25.10.2016,0,2,1,3
26.10.2016,0,2,1,3
