juno,,,,
Date, Full Time, Part Time, One Time, Total
23.02.2021,0,0,1,1
24.02.2021,0,0,2,2
25.02.2021,0,1,1,2
26.02.2021,0,1,1,2
27.02.2021,0,1,1,2
28.02.2021,0,1,1,2
01.03.2021,0,1,1,2
02.03.2021,0,1,4,5
03.03.2021,0,1,4,5
04.03.2021,0,1,4,5
05.03.2021,0,1,4,5
06.03.2021,0,2,3,5
07.03.2021,0,2,3,5
08.03.2021,0,2,3,5
09.03.2021,0,2,3,5
10.03.2021,0,2,3,5
11.03.2021,0,2,3,5
12.03.2021,0,2,3,5
13.03.2021,0,2,3,5
14.03.2021,0,2,3,5
15.03.2021,0,2,3,5
16.03.2021,0,2,3,5
17.03.2021,0,2,3,5
18.03.2021,0,2,3,5
19.03.2021,0,2,4,6
20.03.2021,0,2,4,6
21.03.2021,0,2,4,6
22.03.2021,0,2,4,6
23.03.2021,0,3,5,8
24.03.2021,0,3,4,7
25.03.2021,0,3,4,7
26.03.2021,0,3,4,7
27.03.2021,0,3,4,7
28.03.2021,0,4,4,8
29.03.2021,0,5,3,8
30.03.2021,0,4,1,5
31.03.2021,0,4,1,5
01.04.2021,0,4,1,5
02.04.2021,0,4,1,5
03.04.2021,0,4,1,5
04.04.2021,0,4,1,5
05.04.2021,0,4,1,5
06.04.2021,0,4,1,5
07.04.2021,0,4,2,6
08.04.2021,0,4,2,6
09.04.2021,0,4,2,6
10.04.2021,0,4,2,6
11.04.2021,0,4,3,7
12.04.2021,0,4,3,7
13.04.2021,0,4,3,7
14.04.2021,0,4,3,7
15.04.2021,0,4,3,7
16.04.2021,0,4,4,8
17.04.2021,0,5,3,8
18.04.2021,0,5,3,8
19.04.2021,0,5,4,9
20.04.2021,0,5,3,8
21.04.2021,0,5,3,8
22.04.2021,0,5,3,8
23.04.2021,0,5,4,9
24.04.2021,0,5,4,9
25.04.2021,0,5,4,9
26.04.2021,0,5,4,9
27.04.2021,0,5,4,9
28.04.2021,0,5,4,9
29.04.2021,0,5,4,9
30.04.2021,0,5,4,9
01.05.2021,0,5,4,9
02.05.2021,0,5,5,10
03.05.2021,0,5,5,10
04.05.2021,0,6,4,10
05.05.2021,0,6,3,9
06.05.2021,0,6,3,9
07.05.2021,0,6,3,9
08.05.2021,0,6,3,9
09.05.2021,0,6,2,8
10.05.2021,0,6,2,8
11.05.2021,0,7,2,9
12.05.2021,0,7,2,9
13.05.2021,0,7,2,9
14.05.2021,0,7,2,9
15.05.2021,0,7,2,9
16.05.2021,0,7,2,9
17.05.2021,0,6,1,7
18.05.2021,0,6,1,7
19.05.2021,0,6,2,8
20.05.2021,0,6,2,8
21.05.2021,0,6,2,8
22.05.2021,0,6,2,8
23.05.2021,0,6,2,8
24.05.2021,0,7,1,8
25.05.2021,0,6,2,8
26.05.2021,0,7,2,9
27.05.2021,0,7,2,9
28.05.2021,0,7,2,9
29.05.2021,0,7,2,9
30.05.2021,0,7,1,8
31.05.2021,0,7,1,8
01.06.2021,0,7,1,8
02.06.2021,0,7,1,8
03.06.2021,0,7,1,8
04.06.2021,0,7,1,8
05.06.2021,0,7,1,8
06.06.2021,0,7,1,8
07.06.2021,0,7,1,8
08.06.2021,0,7,0,7
09.06.2021,0,7,1,8
10.06.2021,1,6,1,8
11.06.2021,1,6,1,8
12.06.2021,1,6,1,8
13.06.2021,1,6,1,8
14.06.2021,1,6,1,8
15.06.2021,1,6,1,8
16.06.2021,1,6,1,8
17.06.2021,1,6,1,8
18.06.2021,1,6,1,8
19.06.2021,1,6,1,8
20.06.2021,1,7,6,14
21.06.2021,1,7,10,18
