kadena,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,0,1,0,1
02.01.2015,1,0,0,1
03.01.2015,1,0,0,1
04.01.2015,1,0,0,1
05.01.2015,1,0,0,1
06.01.2015,1,0,0,1
07.01.2015,1,0,0,1
08.01.2015,0,1,0,1
28.06.2015,0,0,1,1
29.06.2015,0,0,1,1
30.06.2015,0,0,1,1
01.07.2015,0,0,1,1
02.07.2015,0,0,1,1
03.07.2015,0,0,1,1
04.07.2015,0,0,1,1
05.07.2015,0,0,1,1
06.07.2015,0,0,1,1
07.07.2015,0,0,1,1
08.07.2015,0,0,1,1
09.07.2015,0,0,1,1
10.07.2015,0,0,1,1
11.07.2015,0,0,1,1
12.07.2015,0,0,1,1
13.07.2015,0,0,1,1
14.07.2015,0,0,1,1
15.07.2015,0,0,1,1
16.07.2015,0,0,1,1
17.07.2015,0,0,1,1
18.07.2015,0,0,1,1
19.07.2015,0,0,1,1
20.07.2015,0,0,1,1
21.07.2015,0,0,1,1
22.07.2015,0,0,1,1
23.07.2015,0,0,1,1
24.07.2015,0,0,1,1
25.07.2015,0,0,1,1
09.08.2015,0,0,1,1
10.08.2015,0,1,0,1
11.08.2015,0,1,0,1
12.08.2015,0,1,0,1
13.08.2015,0,1,0,1
14.08.2015,0,1,0,1
15.08.2015,0,1,0,1
16.08.2015,0,1,0,1
17.08.2015,0,1,0,1
18.08.2015,0,1,0,1
19.08.2015,0,1,0,1
20.08.2015,0,1,0,1
21.08.2015,0,1,0,1
22.08.2015,0,1,0,1
23.08.2015,0,1,0,1
24.08.2015,0,1,0,1
25.08.2015,0,1,0,1
26.08.2015,0,1,0,1
27.08.2015,0,1,0,1
28.08.2015,0,1,0,1
29.08.2015,0,1,0,1
30.08.2015,0,1,0,1
31.08.2015,0,1,0,1
01.09.2015,0,1,0,1
02.09.2015,0,1,0,1
03.09.2015,0,1,0,1
04.09.2015,0,1,0,1
05.09.2015,0,1,0,1
06.09.2015,0,1,0,1
07.09.2015,1,0,0,1
08.09.2015,1,0,1,2
09.09.2015,1,0,1,2
10.09.2015,1,0,1,2
11.09.2015,1,0,1,2
12.09.2015,1,0,1,2
13.09.2015,1,0,1,2
14.09.2015,1,0,1,2
15.09.2015,0,1,1,2
16.09.2015,0,1,1,2
17.09.2015,0,1,1,2
18.09.2015,0,1,1,2
19.09.2015,0,1,1,2
20.09.2015,0,1,1,2
21.09.2015,0,1,1,2
22.09.2015,0,1,1,2
23.09.2015,0,1,1,2
24.09.2015,0,1,1,2
25.09.2015,0,1,1,2
26.09.2015,0,1,1,2
27.09.2015,0,1,1,2
28.09.2015,0,1,1,2
29.09.2015,0,1,1,2
30.09.2015,1,0,1,2
01.10.2015,1,0,1,2
02.10.2015,1,0,1,2
03.10.2015,1,0,1,2
04.10.2015,1,0,1,2
05.10.2015,1,0,1,2
06.10.2015,1,0,0,1
07.10.2015,1,0,0,1
12.10.2015,1,0,0,1
13.10.2015,0,1,0,1
14.10.2015,0,1,0,1
15.10.2015,0,1,0,1
16.10.2015,0,1,0,1
17.10.2015,0,1,0,1
18.10.2015,0,1,0,1
19.10.2015,0,1,1,2
20.10.2015,0,2,0,2
21.10.2015,0,2,0,2
22.10.2015,0,2,0,2
23.10.2015,0,2,0,2
24.10.2015,0,2,0,2
25.10.2015,0,2,0,2
26.10.2015,0,2,0,2
27.10.2015,0,2,0,2
28.10.2015,1,1,0,2
29.10.2015,1,1,0,2
30.10.2015,1,1,0,2
31.10.2015,1,1,0,2
01.11.2015,1,1,0,2
02.11.2015,1,1,0,2
03.11.2015,1,1,0,2
04.11.2015,1,1,0,2
05.11.2015,1,1,0,2
06.11.2015,1,1,0,2
07.11.2015,1,1,0,2
08.11.2015,1,1,0,2
09.11.2015,1,1,0,2
10.11.2015,0,2,0,2
11.11.2015,0,2,0,2
12.11.2015,0,2,1,3
13.11.2015,0,1,1,2
14.11.2015,0,1,1,2
15.11.2015,0,1,1,2
16.11.2015,0,1,1,2
17.11.2015,0,1,1,2
18.11.2015,0,1,1,2
19.11.2015,0,1,1,2
20.11.2015,0,1,1,2
21.11.2015,0,1,1,2
22.11.2015,0,1,1,2
23.11.2015,0,1,1,2
24.11.2015,0,1,1,2
25.11.2015,0,1,1,2
26.11.2015,0,1,1,2
27.11.2015,0,1,1,2
28.11.2015,0,1,1,2
29.11.2015,0,1,1,2
30.11.2015,0,1,1,2
01.12.2015,0,0,1,1
02.12.2015,0,0,1,1
03.12.2015,0,0,1,1
04.12.2015,0,0,1,1
05.12.2015,0,0,1,1
06.12.2015,0,0,1,1
07.12.2015,0,0,1,1
08.12.2015,0,0,1,1
09.12.2015,0,0,1,1
26.02.2016,0,0,2,2
27.02.2016,0,0,2,2
28.02.2016,0,0,2,2
29.02.2016,0,0,2,2
01.03.2016,0,0,3,3
02.03.2016,0,0,3,3
03.03.2016,0,1,4,5
04.03.2016,0,2,3,5
05.03.2016,0,2,3,5
06.03.2016,0,2,3,5
07.03.2016,0,2,3,5
08.03.2016,0,2,3,5
09.03.2016,0,2,3,5
10.03.2016,0,2,3,5
11.03.2016,0,2,3,5
12.03.2016,0,2,3,5
13.03.2016,0,2,3,5
14.03.2016,0,2,3,5
15.03.2016,0,2,3,5
16.03.2016,0,2,3,5
17.03.2016,0,2,3,5
18.03.2016,0,2,3,5
19.03.2016,0,2,3,5
20.03.2016,0,2,3,5
21.03.2016,0,2,4,6
22.03.2016,0,3,3,6
23.03.2016,0,3,3,6
24.03.2016,0,3,3,6
25.03.2016,0,3,2,5
26.03.2016,0,3,2,5
27.03.2016,0,3,2,5
28.03.2016,0,3,2,5
29.03.2016,0,3,2,5
30.03.2016,0,4,1,5
31.03.2016,1,3,0,4
01.04.2016,1,3,0,4
02.04.2016,1,3,0,4
03.04.2016,1,3,0,4
04.04.2016,1,3,0,4
05.04.2016,1,3,0,4
06.04.2016,1,3,0,4
07.04.2016,1,3,1,5
08.04.2016,1,3,2,6
09.04.2016,1,3,2,6
10.04.2016,1,3,2,6
11.04.2016,1,3,2,6
12.04.2016,2,2,2,6
13.04.2016,2,3,2,7
14.04.2016,2,3,2,7
15.04.2016,2,3,2,7
16.04.2016,2,3,2,7
17.04.2016,2,3,2,7
18.04.2016,2,3,2,7
19.04.2016,2,3,2,7
20.04.2016,2,3,2,7
21.04.2016,2,3,2,7
22.04.2016,2,3,2,7
23.04.2016,2,3,2,7
24.04.2016,2,3,2,7
25.04.2016,2,2,2,6
26.04.2016,2,2,2,6
27.04.2016,2,2,2,6
28.04.2016,2,2,2,6
29.04.2016,2,2,2,6
30.04.2016,2,2,2,6
01.05.2016,2,2,2,6
02.05.2016,2,2,2,6
03.05.2016,2,2,2,6
04.05.2016,2,2,2,6
05.05.2016,2,2,1,5
06.05.2016,2,2,0,4
07.05.2016,2,2,0,4
08.05.2016,2,2,0,4
09.05.2016,2,2,0,4
10.05.2016,2,2,0,4
11.05.2016,2,2,0,4
12.05.2016,2,2,0,4
13.05.2016,2,1,0,3
14.05.2016,2,1,0,3
15.05.2016,2,1,0,3
16.05.2016,2,1,0,3
17.05.2016,2,1,0,3
18.05.2016,2,1,0,3
19.05.2016,2,1,0,3
20.05.2016,2,1,0,3
21.05.2016,2,1,0,3
22.05.2016,2,1,0,3
23.05.2016,2,1,0,3
24.05.2016,2,1,0,3
25.05.2016,2,1,0,3
26.05.2016,2,1,0,3
27.05.2016,2,0,0,2
28.05.2016,2,0,0,2
29.05.2016,2,0,0,2
30.05.2016,2,0,0,2
31.05.2016,2,0,0,2
01.06.2016,2,1,0,3
02.06.2016,1,1,0,2
03.06.2016,1,1,0,2
04.06.2016,1,1,0,2
05.06.2016,1,1,0,2
06.06.2016,1,1,0,2
07.06.2016,1,1,0,2
08.06.2016,1,1,0,2
09.06.2016,1,1,0,2
10.06.2016,1,1,0,2
11.06.2016,1,1,0,2
12.06.2016,1,1,0,2
13.06.2016,1,1,0,2
14.06.2016,1,1,0,2
15.06.2016,1,1,0,2
16.06.2016,1,1,0,2
17.06.2016,1,1,0,2
18.06.2016,1,1,0,2
19.06.2016,1,1,0,2
20.06.2016,1,1,1,3
21.06.2016,1,1,1,3
22.06.2016,1,1,1,3
23.06.2016,1,1,1,3
24.06.2016,1,1,1,3
25.06.2016,1,1,1,3
26.06.2016,1,1,1,3
27.06.2016,1,1,1,3
28.06.2016,1,1,1,3
29.06.2016,1,1,1,3
30.06.2016,1,1,1,3
01.07.2016,1,1,1,3
02.07.2016,1,1,1,3
03.07.2016,1,1,1,3
04.07.2016,1,1,1,3
05.07.2016,1,1,1,3
06.07.2016,1,1,1,3
07.07.2016,1,1,1,3
08.07.2016,1,1,1,3
09.07.2016,1,1,1,3
10.07.2016,1,1,2,4
11.07.2016,1,1,2,4
12.07.2016,1,1,2,4
13.07.2016,1,2,1,4
14.07.2016,1,2,1,4
15.07.2016,1,2,1,4
16.07.2016,1,2,1,4
17.07.2016,1,2,1,4
18.07.2016,1,1,0,2
19.07.2016,1,1,0,2
20.07.2016,1,1,0,2
21.07.2016,1,1,0,2
22.07.2016,1,1,0,2
23.07.2016,1,1,0,2
24.07.2016,1,1,0,2
25.07.2016,1,1,0,2
26.07.2016,1,1,0,2
27.07.2016,1,1,0,2
28.07.2016,1,1,0,2
