klaytn,,,,
Date, Full Time, Part Time, One Time, Total
19.03.2018,0,0,2,2
20.03.2018,0,0,3,3
21.03.2018,0,0,3,3
22.03.2018,0,3,1,4
23.03.2018,0,3,1,4
24.03.2018,0,3,2,5
25.03.2018,0,4,8,12
26.03.2018,0,8,4,12
27.03.2018,0,8,4,12
28.03.2018,0,8,4,12
29.03.2018,0,8,4,12
30.03.2018,0,8,4,12
31.03.2018,0,8,4,12
01.04.2018,0,8,4,12
02.04.2018,0,8,5,13
03.04.2018,0,8,5,13
04.04.2018,0,8,5,13
05.04.2018,0,8,5,13
06.04.2018,0,8,5,13
07.04.2018,0,8,5,13
08.04.2018,0,8,5,13
09.04.2018,0,8,5,13
10.04.2018,0,8,5,13
11.04.2018,0,8,5,13
12.04.2018,0,8,5,13
13.04.2018,0,8,5,13
14.04.2018,0,8,5,13
15.04.2018,0,8,5,13
16.04.2018,0,8,5,13
17.04.2018,0,8,5,13
18.04.2018,0,8,5,13
19.04.2018,1,7,5,13
20.04.2018,1,7,5,13
21.04.2018,1,7,5,13
22.04.2018,1,7,1,9
23.04.2018,1,7,1,9
24.04.2018,1,7,1,9
25.04.2018,2,6,1,9
26.04.2018,1,7,1,9
27.04.2018,1,6,1,8
28.04.2018,1,6,1,8
29.04.2018,1,6,1,8
30.04.2018,1,5,0,6
01.05.2018,1,5,0,6
02.05.2018,1,5,0,6
03.05.2018,1,5,0,6
04.05.2018,1,6,0,7
05.05.2018,1,6,0,7
06.05.2018,1,6,0,7
07.05.2018,1,6,0,7
08.05.2018,2,6,0,8
09.05.2018,3,5,0,8
10.05.2018,2,6,0,8
11.05.2018,2,7,0,9
12.05.2018,2,7,0,9
13.05.2018,2,7,0,9
14.05.2018,2,7,0,9
15.05.2018,2,7,0,9
16.05.2018,2,7,0,9
17.05.2018,1,8,0,9
18.05.2018,1,8,0,9
19.05.2018,1,8,0,9
20.05.2018,1,8,0,9
21.05.2018,1,7,0,8
22.05.2018,1,7,0,8
23.05.2018,2,6,0,8
24.05.2018,2,7,0,9
25.05.2018,2,7,0,9
26.05.2018,2,7,0,9
27.05.2018,2,7,0,9
28.05.2018,2,7,0,9
29.05.2018,2,7,0,9
30.05.2018,2,7,0,9
31.05.2018,2,8,0,10
01.06.2018,2,8,0,10
02.06.2018,2,8,0,10
03.06.2018,2,8,2,12
04.06.2018,2,10,1,13
05.06.2018,3,9,1,13
06.06.2018,4,8,1,13
07.06.2018,4,8,1,13
08.06.2018,4,8,1,13
09.06.2018,4,8,1,13
