kusama,,,,
Date, Full Time, Part Time, One Time, Total
10.04.2015,0,0,1,1
11.04.2015,0,0,1,1
12.04.2015,0,0,1,1
13.04.2015,0,0,1,1
14.04.2015,0,0,1,1
15.04.2015,0,0,1,1
16.04.2015,0,0,1,1
17.04.2015,0,0,1,1
18.04.2015,0,0,1,1
19.04.2015,0,0,1,1
20.04.2015,0,0,1,1
21.04.2015,0,0,1,1
22.04.2015,0,0,1,1
23.04.2015,0,0,1,1
24.04.2015,0,0,1,1
25.04.2015,0,0,1,1
26.04.2015,0,0,1,1
27.04.2015,0,0,2,2
28.04.2015,0,0,2,2
29.04.2015,0,0,2,2
30.04.2015,0,0,2,2
01.05.2015,0,0,2,2
02.05.2015,0,0,2,2
03.05.2015,0,0,2,2
04.05.2015,0,0,3,3
05.05.2015,0,0,3,3
06.05.2015,0,0,3,3
07.05.2015,0,0,3,3
08.05.2015,0,0,2,2
09.05.2015,0,0,2,2
10.05.2015,0,0,2,2
11.05.2015,0,0,2,2
12.05.2015,0,0,2,2
13.05.2015,0,0,2,2
14.05.2015,0,0,2,2
15.05.2015,0,0,2,2
16.05.2015,0,0,2,2
17.05.2015,0,0,2,2
18.05.2015,0,0,2,2
19.05.2015,0,0,2,2
20.05.2015,0,0,2,2
21.05.2015,0,0,2,2
22.05.2015,0,0,2,2
23.05.2015,0,0,2,2
24.05.2015,0,0,2,2
25.05.2015,0,0,1,1
26.05.2015,0,0,1,1
27.05.2015,0,0,1,1
28.05.2015,0,0,1,1
29.05.2015,0,0,1,1
30.05.2015,0,0,1,1
31.05.2015,0,0,1,1
14.06.2015,0,1,1,2
15.06.2015,0,2,0,2
16.06.2015,0,2,0,2
17.06.2015,0,2,0,2
18.06.2015,0,2,0,2
19.06.2015,0,2,0,2
20.06.2015,0,2,0,2
21.06.2015,0,2,0,2
22.06.2015,0,2,0,2
23.06.2015,0,2,0,2
24.06.2015,0,2,0,2
25.06.2015,0,2,0,2
26.06.2015,0,2,0,2
27.06.2015,0,2,0,2
28.06.2015,0,2,0,2
29.06.2015,0,2,0,2
30.06.2015,0,2,0,2
01.07.2015,0,2,0,2
02.07.2015,0,2,0,2
03.07.2015,0,2,0,2
04.07.2015,0,2,0,2
05.07.2015,0,2,0,2
06.07.2015,0,2,1,3
07.07.2015,0,2,1,3
08.07.2015,0,2,1,3
09.07.2015,0,2,1,3
10.07.2015,0,2,1,3
11.07.2015,0,2,1,3
12.07.2015,0,1,1,2
13.07.2015,0,1,1,2
14.07.2015,0,1,1,2
15.07.2015,0,1,1,2
16.07.2015,0,1,1,2
17.07.2015,0,1,1,2
18.07.2015,0,1,1,2
19.07.2015,0,1,1,2
20.07.2015,0,1,1,2
21.07.2015,0,1,1,2
22.07.2015,0,1,1,2
23.07.2015,0,1,1,2
24.07.2015,0,1,1,2
25.07.2015,0,1,1,2
26.07.2015,0,1,1,2
27.07.2015,0,1,1,2
28.07.2015,0,1,1,2
29.07.2015,0,1,1,2
30.07.2015,0,1,1,2
31.07.2015,0,1,1,2
01.08.2015,0,1,1,2
02.08.2015,0,1,1,2
04.08.2015,0,0,1,1
05.08.2015,0,0,1,1
06.08.2015,0,0,1,1
07.08.2015,0,0,1,1
08.08.2015,0,0,1,1
09.08.2015,0,0,1,1
10.08.2015,0,0,1,1
11.08.2015,0,0,1,1
12.08.2015,0,1,2,3
13.08.2015,0,1,2,3
14.08.2015,0,1,2,3
15.08.2015,0,1,2,3
16.08.2015,0,1,2,3
17.08.2015,0,1,2,3
18.08.2015,0,1,2,3
19.08.2015,0,1,2,3
20.08.2015,0,1,2,3
21.08.2015,0,1,2,3
22.08.2015,0,1,2,3
23.08.2015,0,1,2,3
24.08.2015,0,1,2,3
25.08.2015,0,1,2,3
26.08.2015,0,1,2,3
27.08.2015,0,1,2,3
28.08.2015,0,1,2,3
29.08.2015,0,1,2,3
30.08.2015,0,1,2,3
31.08.2015,0,1,2,3
01.09.2015,0,1,1,2
02.09.2015,0,1,1,2
03.09.2015,0,1,1,2
04.09.2015,0,1,1,2
05.09.2015,0,1,1,2
06.09.2015,0,1,1,2
07.09.2015,0,1,1,2
08.09.2015,0,1,1,2
09.09.2015,0,1,0,1
10.09.2015,0,1,0,1
11.09.2015,0,1,0,1
12.09.2015,0,1,0,1
13.09.2015,0,1,0,1
21.11.2015,0,0,1,1
22.11.2015,0,1,0,1
23.11.2015,0,1,0,1
24.11.2015,0,1,1,2
25.11.2015,0,2,0,2
26.11.2015,0,2,1,3
27.11.2015,0,3,0,3
28.11.2015,0,3,0,3
29.11.2015,0,3,0,3
30.11.2015,0,3,0,3
01.12.2015,0,3,1,4
02.12.2015,0,3,1,4
03.12.2015,0,3,1,4
04.12.2015,0,3,1,4
05.12.2015,0,3,1,4
06.12.2015,0,3,1,4
07.12.2015,0,3,1,4
08.12.2015,0,3,1,4
09.12.2015,0,3,1,4
10.12.2015,0,3,1,4
11.12.2015,0,3,1,4
12.12.2015,0,3,1,4
13.12.2015,0,3,1,4
14.12.2015,0,3,1,4
15.12.2015,0,3,1,4
16.12.2015,0,3,1,4
17.12.2015,0,3,1,4
18.12.2015,0,3,1,4
19.12.2015,0,3,1,4
20.12.2015,0,3,1,4
21.12.2015,0,3,1,4
22.12.2015,0,3,1,4
23.12.2015,0,3,1,4
24.12.2015,0,3,1,4
25.12.2015,0,3,1,4
26.12.2015,0,3,1,4
27.12.2015,0,3,1,4
28.12.2015,0,3,1,4
29.12.2015,0,3,0,3
30.12.2015,0,3,0,3
31.12.2015,0,3,0,3
01.01.2016,0,3,0,3
02.01.2016,0,3,0,3
03.01.2016,0,3,0,3
04.01.2016,0,3,0,3
05.01.2016,0,3,0,3
06.01.2016,0,3,0,3
07.01.2016,0,3,0,3
08.01.2016,0,3,0,3
09.01.2016,0,3,0,3
10.01.2016,0,3,0,3
11.01.2016,0,2,1,3
12.01.2016,0,2,1,3
13.01.2016,0,2,1,3
14.01.2016,0,2,1,3
15.01.2016,0,3,1,4
16.01.2016,0,3,1,4
17.01.2016,0,3,1,4
18.01.2016,0,3,1,4
19.01.2016,1,2,1,4
20.01.2016,1,2,1,4
21.01.2016,1,2,1,4
22.01.2016,0,3,1,4
23.01.2016,0,3,1,4
24.01.2016,0,3,1,4
25.01.2016,0,3,1,4
26.01.2016,0,3,1,4
27.01.2016,0,3,1,4
28.01.2016,0,3,1,4
29.01.2016,0,2,1,3
30.01.2016,0,2,1,3
31.01.2016,0,2,1,3
01.02.2016,0,2,1,3
02.02.2016,0,2,1,3
03.02.2016,0,2,1,3
04.02.2016,0,2,1,3
05.02.2016,0,2,1,3
06.02.2016,0,2,1,3
07.02.2016,0,2,1,3
08.02.2016,0,2,0,2
09.02.2016,0,2,0,2
10.02.2016,0,2,0,2
11.02.2016,0,2,0,2
12.02.2016,0,2,0,2
13.02.2016,0,2,0,2
14.02.2016,0,2,0,2
15.02.2016,0,2,0,2
16.02.2016,0,1,0,1
17.02.2016,0,1,0,1
18.02.2016,0,1,0,1
19.02.2016,0,1,0,1
20.02.2016,0,1,0,1
21.02.2016,0,1,0,1
22.02.2016,0,1,0,1
24.02.2016,0,1,0,1
25.02.2016,0,1,0,1
26.02.2016,0,2,0,2
27.02.2016,0,2,0,2
28.02.2016,0,2,0,2
29.02.2016,0,2,0,2
01.03.2016,0,2,0,2
02.03.2016,0,2,0,2
03.03.2016,0,2,0,2
04.03.2016,0,2,0,2
05.03.2016,0,2,0,2
06.03.2016,0,2,0,2
07.03.2016,0,2,0,2
08.03.2016,0,2,0,2
09.03.2016,0,2,0,2
10.03.2016,0,2,0,2
11.03.2016,0,2,0,2
12.03.2016,0,2,0,2
13.03.2016,0,2,0,2
