lido,,,,
Date, Full Time, Part Time, One Time, Total
16.07.2020,0,0,1,1
17.07.2020,0,1,2,3
18.07.2020,0,1,2,3
19.07.2020,0,1,2,3
20.07.2020,0,1,2,3
21.07.2020,0,1,2,3
22.07.2020,0,2,3,5
23.07.2020,0,4,1,5
24.07.2020,0,4,1,5
25.07.2020,0,4,2,6
26.07.2020,0,4,2,6
27.07.2020,0,5,1,6
28.07.2020,0,5,2,7
29.07.2020,0,6,2,8
30.07.2020,0,6,2,8
31.07.2020,0,6,2,8
01.08.2020,0,6,2,8
02.08.2020,0,6,2,8
03.08.2020,0,6,2,8
04.08.2020,0,6,2,8
05.08.2020,0,7,1,8
06.08.2020,0,7,1,8
07.08.2020,0,7,2,9
08.08.2020,0,7,2,9
09.08.2020,0,7,2,9
10.08.2020,0,7,2,9
11.08.2020,0,7,2,9
12.08.2020,0,7,2,9
13.08.2020,0,7,2,9
14.08.2020,1,6,2,9
15.08.2020,1,6,2,9
16.08.2020,1,6,2,9
17.08.2020,1,6,2,9
18.08.2020,1,6,2,9
19.08.2020,1,6,2,9
20.08.2020,2,5,2,9
21.08.2020,1,6,2,9
22.08.2020,1,6,1,8
23.08.2020,1,6,1,8
24.08.2020,1,5,1,7
25.08.2020,1,5,1,7
26.08.2020,2,4,1,7
27.08.2020,3,3,1,7
28.08.2020,3,3,1,7
29.08.2020,3,3,1,7
30.08.2020,3,3,1,7
31.08.2020,3,3,1,7
01.09.2020,3,3,1,7
02.09.2020,3,3,1,7
03.09.2020,3,3,1,7
04.09.2020,3,3,0,6
05.09.2020,3,3,0,6
06.09.2020,3,3,0,6
07.09.2020,3,2,0,5
08.09.2020,2,3,1,6
09.09.2020,2,4,0,6
10.09.2020,4,2,0,6
11.09.2020,4,2,1,7
12.09.2020,4,2,1,7
13.09.2020,4,2,1,7
14.09.2020,4,2,2,8
15.09.2020,3,4,3,10
16.09.2020,3,4,4,11
17.09.2020,3,5,3,11
18.09.2020,2,6,3,11
19.09.2020,2,6,3,11
20.09.2020,2,6,3,11
21.09.2020,3,6,3,12
22.09.2020,2,7,3,12
23.09.2020,4,6,3,13
24.09.2020,4,7,2,13
25.09.2020,3,9,2,14
26.09.2020,3,9,2,14
27.09.2020,3,9,2,14
28.09.2020,2,10,1,13
29.09.2020,2,10,2,14
30.09.2020,2,11,2,15
01.10.2020,3,11,2,16
02.10.2020,3,12,1,16
03.10.2020,3,12,1,16
04.10.2020,3,12,1,16
05.10.2020,3,12,1,16
06.10.2020,3,12,2,17
07.10.2020,3,12,3,18
08.10.2020,4,11,3,18
09.10.2020,4,12,2,18
10.10.2020,4,12,2,18
11.10.2020,4,12,2,18
12.10.2020,4,12,2,18
13.10.2020,4,12,2,18
14.10.2020,4,12,2,18
15.10.2020,5,11,2,18
16.10.2020,4,12,2,18
17.10.2020,4,12,2,18
18.10.2020,4,12,2,18
19.10.2020,5,11,2,18
20.10.2020,6,10,2,18
21.10.2020,7,9,2,18
22.10.2020,7,9,2,18
23.10.2020,7,9,2,18
24.10.2020,7,9,2,18
25.10.2020,7,9,2,18
26.10.2020,8,8,2,18
27.10.2020,8,8,2,18
28.10.2020,7,8,1,16
29.10.2020,7,8,1,16
30.10.2020,8,7,1,16
31.10.2020,8,7,1,16
01.11.2020,8,7,1,16
02.11.2020,7,8,1,16
03.11.2020,7,8,0,15
04.11.2020,6,8,0,14
05.11.2020,8,6,0,14
06.11.2020,9,5,0,14
07.11.2020,9,5,0,14
08.11.2020,9,4,0,13
09.11.2020,8,4,0,12
10.11.2020,7,5,0,12
11.11.2020,7,5,0,12
12.11.2020,7,5,0,12
13.11.2020,7,5,0,12
14.11.2020,7,5,0,12
15.11.2020,7,5,0,12
16.11.2020,8,4,0,12
17.11.2020,9,3,0,12
18.11.2020,9,3,0,12
19.11.2020,9,3,1,13
20.11.2020,9,5,0,14
21.11.2020,9,5,0,14
22.11.2020,9,5,0,14
23.11.2020,9,5,0,14
24.11.2020,9,5,5,19
25.11.2020,8,6,7,21
26.11.2020,10,4,8,22
27.11.2020,10,6,6,22
28.11.2020,10,6,6,22
29.11.2020,10,6,6,22
30.11.2020,8,8,6,22
01.12.2020,8,9,6,23
02.12.2020,8,10,5,23
03.12.2020,8,10,5,23
04.12.2020,8,12,6,26
05.12.2020,8,12,7,27
06.12.2020,9,11,8,28
07.12.2020,9,12,10,31
08.12.2020,9,12,13,34
09.12.2020,9,19,7,35
10.12.2020,9,19,7,35
11.12.2020,9,19,7,35
12.12.2020,9,19,7,35
13.12.2020,10,20,6,36
14.12.2020,10,20,6,36
15.12.2020,11,19,6,36
16.12.2020,11,19,8,38
17.12.2020,11,19,8,38
18.12.2020,11,19,9,39
19.12.2020,12,18,9,39
20.12.2020,12,18,9,39
21.12.2020,12,18,9,39
22.12.2020,11,20,7,38
23.12.2020,12,19,6,37
24.12.2020,12,19,6,37
25.12.2020,12,19,6,37
26.12.2020,12,19,6,37
27.12.2020,11,20,6,37
28.12.2020,11,21,5,37
29.12.2020,11,21,5,37
30.12.2020,11,21,5,37
31.12.2020,10,22,5,37
01.01.2021,9,22,5,36
02.01.2021,9,21,5,35
03.01.2021,9,21,4,34
04.01.2021,10,20,4,34
05.01.2021,10,20,3,33
06.01.2021,10,20,4,34
07.01.2021,10,21,4,35
08.01.2021,10,21,4,35
09.01.2021,10,21,4,35
10.01.2021,10,11,4,25
11.01.2021,10,11,4,25
12.01.2021,10,11,4,25
13.01.2021,10,10,2,22
14.01.2021,11,9,2,22
15.01.2021,11,8,2,21
16.01.2021,11,6,2,19
17.01.2021,10,6,2,18
18.01.2021,8,7,1,16
19.01.2021,8,6,1,15
20.01.2021,7,7,1,15
21.01.2021,7,7,1,15
22.01.2021,7,7,1,15
23.01.2021,7,7,1,15
24.01.2021,7,7,1,15
25.01.2021,7,7,1,15
26.01.2021,7,7,2,16
27.01.2021,6,7,2,15
28.01.2021,6,7,2,15
29.01.2021,5,8,2,15
30.01.2021,5,8,2,15
31.01.2021,5,9,1,15
01.02.2021,6,8,1,15
02.02.2021,6,7,1,14
03.02.2021,6,7,1,14
04.02.2021,6,6,1,13
05.02.2021,8,4,1,13
06.02.2021,7,4,1,12
07.02.2021,7,4,0,11
08.02.2021,7,4,0,11
09.02.2021,5,4,0,9
10.02.2021,6,4,0,10
11.02.2021,7,4,0,11
12.02.2021,7,4,0,11
13.02.2021,7,4,0,11
14.02.2021,7,4,0,11
