livepeer,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,1,1,0,2
02.01.2015,1,1,0,2
03.01.2015,1,1,0,2
04.01.2015,0,2,0,2
05.01.2015,0,2,0,2
06.01.2015,1,1,0,2
07.01.2015,0,2,0,2
08.01.2015,0,2,0,2
09.01.2015,0,2,0,2
10.01.2015,0,2,0,2
11.01.2015,0,2,0,2
12.01.2015,0,2,0,2
13.01.2015,1,1,0,2
14.01.2015,1,1,0,2
15.01.2015,1,1,0,2
16.01.2015,1,1,0,2
17.01.2015,1,1,0,2
18.01.2015,1,1,0,2
19.01.2015,1,1,0,2
20.01.2015,1,1,0,2
21.01.2015,1,1,0,2
22.01.2015,1,1,0,2
23.01.2015,1,1,0,2
24.01.2015,1,0,0,1
25.01.2015,1,0,0,1
26.01.2015,1,0,0,1
27.01.2015,1,0,0,1
28.01.2015,1,0,0,1
29.01.2015,1,0,0,1
30.01.2015,1,0,0,1
31.01.2015,1,0,0,1
01.02.2015,0,1,0,1
02.02.2015,0,1,0,1
03.02.2015,1,0,0,1
04.02.2015,0,1,0,1
05.02.2015,0,1,0,1
06.02.2015,0,1,0,1
07.02.2015,0,1,0,1
08.02.2015,0,1,1,2
09.02.2015,0,1,1,2
10.02.2015,0,1,1,2
11.02.2015,0,1,1,2
12.02.2015,0,1,1,2
13.02.2015,0,1,1,2
14.02.2015,0,1,1,2
15.02.2015,0,1,1,2
16.02.2015,0,0,1,1
17.02.2015,0,0,1,1
18.02.2015,0,0,1,1
19.02.2015,0,0,1,1
20.02.2015,0,0,1,1
21.02.2015,0,1,0,1
22.02.2015,0,1,0,1
23.02.2015,0,1,0,1
24.02.2015,0,1,0,1
25.02.2015,0,1,0,1
26.02.2015,0,1,0,1
27.02.2015,0,1,0,1
28.02.2015,0,1,0,1
01.03.2015,0,1,0,1
02.03.2015,0,1,0,1
03.03.2015,0,1,0,1
04.03.2015,0,1,0,1
05.03.2015,0,1,0,1
06.03.2015,0,1,0,1
07.03.2015,0,1,0,1
08.03.2015,0,1,0,1
09.03.2015,0,1,0,1
10.03.2015,0,1,0,1
11.03.2015,0,1,0,1
12.03.2015,0,1,0,1
13.03.2015,0,1,0,1
14.03.2015,0,2,0,2
15.03.2015,0,2,0,2
16.03.2015,0,2,0,2
17.03.2015,0,2,0,2
18.03.2015,0,2,0,2
19.03.2015,0,2,0,2
20.03.2015,0,2,0,2
21.03.2015,0,1,0,1
22.03.2015,0,1,0,1
23.03.2015,0,1,0,1
24.03.2015,0,1,0,1
25.03.2015,0,1,0,1
26.03.2015,0,1,0,1
27.03.2015,0,1,0,1
28.03.2015,0,1,0,1
29.03.2015,0,1,0,1
30.03.2015,0,1,0,1
31.03.2015,0,1,0,1
01.04.2015,0,1,0,1
02.04.2015,0,1,0,1
03.04.2015,0,1,0,1
04.04.2015,0,1,0,1
05.04.2015,0,1,0,1
06.04.2015,0,1,0,1
07.04.2015,0,1,0,1
08.04.2015,0,1,0,1
09.04.2015,0,1,0,1
10.04.2015,0,1,0,1
11.04.2015,0,1,0,1
12.04.2015,0,1,0,1
13.04.2015,0,1,1,2
14.04.2015,0,1,1,2
15.04.2015,0,1,1,2
16.04.2015,0,1,1,2
17.04.2015,0,1,1,2
18.04.2015,0,1,1,2
19.04.2015,0,1,1,2
20.04.2015,0,1,1,2
21.04.2015,0,1,1,2
22.04.2015,0,1,1,2
23.04.2015,0,1,1,2
24.04.2015,0,1,1,2
25.04.2015,0,1,2,3
26.04.2015,0,2,1,3
27.04.2015,0,2,1,3
28.04.2015,0,2,1,3
29.04.2015,0,2,1,3
30.04.2015,0,2,1,3
01.05.2015,0,2,1,3
02.05.2015,0,2,1,3
03.05.2015,1,1,1,3
04.05.2015,1,1,1,3
05.05.2015,1,1,1,3
06.05.2015,1,1,1,3
07.05.2015,1,1,1,3
08.05.2015,0,2,1,3
09.05.2015,0,2,1,3
10.05.2015,0,2,1,3
11.05.2015,0,2,0,2
12.05.2015,0,2,1,3
13.05.2015,0,2,1,3
14.05.2015,0,2,1,3
15.05.2015,0,2,1,3
16.05.2015,1,1,1,3
17.05.2015,1,1,1,3
18.05.2015,1,1,1,3
19.05.2015,1,1,1,3
20.05.2015,1,1,1,3
21.05.2015,1,1,1,3
22.05.2015,1,1,1,3
23.05.2015,1,1,1,3
24.05.2015,2,0,1,3
25.05.2015,0,2,1,3
26.05.2015,0,2,1,3
27.05.2015,0,2,1,3
28.05.2015,1,1,2,4
29.05.2015,0,2,2,4
30.05.2015,1,1,2,4
31.05.2015,2,0,2,4
01.06.2015,2,0,2,4
02.06.2015,2,0,2,4
03.06.2015,2,0,2,4
04.06.2015,2,0,2,4
05.06.2015,1,1,2,4
06.06.2015,2,0,2,4
07.06.2015,2,0,2,4
08.06.2015,2,0,2,4
09.06.2015,2,0,1,3
10.06.2015,2,0,1,3
11.06.2015,2,0,1,3
12.06.2015,2,0,1,3
13.06.2015,2,0,1,3
14.06.2015,2,0,1,3
15.06.2015,2,0,1,3
16.06.2015,2,0,1,3
17.06.2015,2,0,1,3
18.06.2015,2,0,1,3
