maker,,,,
Date, Full Time, Part Time, One Time, Total
26.07.2015,0,0,2,2
27.07.2015,0,2,0,2
28.07.2015,0,2,0,2
29.07.2015,0,2,0,2
30.07.2015,0,2,0,2
31.07.2015,0,2,0,2
01.08.2015,0,2,0,2
02.08.2015,0,2,0,2
03.08.2015,0,2,0,2
04.08.2015,0,2,0,2
05.08.2015,0,2,0,2
06.08.2015,0,2,0,2
07.08.2015,0,2,0,2
08.08.2015,0,2,0,2
09.08.2015,0,2,0,2
10.08.2015,0,2,0,2
11.08.2015,0,2,0,2
12.08.2015,0,2,0,2
13.08.2015,0,2,0,2
14.08.2015,0,2,0,2
15.08.2015,0,2,0,2
16.08.2015,0,2,0,2
17.08.2015,0,2,0,2
18.08.2015,0,2,0,2
19.08.2015,0,2,0,2
20.08.2015,0,2,0,2
21.08.2015,0,2,0,2
22.08.2015,0,2,0,2
23.08.2015,0,2,0,2
24.08.2015,0,2,0,2
25.08.2015,0,2,0,2
26.08.2015,0,2,0,2
01.09.2015,0,0,1,1
02.09.2015,0,0,1,1
03.09.2015,0,1,0,1
04.09.2015,0,1,0,1
05.09.2015,0,1,0,1
06.09.2015,0,1,0,1
07.09.2015,0,1,0,1
08.09.2015,0,1,0,1
09.09.2015,0,1,0,1
10.09.2015,0,1,0,1
11.09.2015,0,1,0,1
12.09.2015,0,1,0,1
13.09.2015,0,1,0,1
14.09.2015,0,1,0,1
15.09.2015,0,1,1,2
16.09.2015,0,1,1,2
17.09.2015,0,1,1,2
18.09.2015,0,1,1,2
19.09.2015,0,1,1,2
20.09.2015,0,1,1,2
21.09.2015,0,1,1,2
22.09.2015,0,1,1,2
23.09.2015,0,1,1,2
24.09.2015,0,1,1,2
25.09.2015,0,1,1,2
26.09.2015,0,1,1,2
27.09.2015,0,1,1,2
28.09.2015,0,1,1,2
29.09.2015,0,1,1,2
30.09.2015,0,1,1,2
01.10.2015,0,1,1,2
02.10.2015,0,1,1,2
03.10.2015,0,1,1,2
04.10.2015,0,1,1,2
05.10.2015,0,1,1,2
06.10.2015,0,1,1,2
07.10.2015,0,1,1,2
08.10.2015,0,1,1,2
09.10.2015,0,1,1,2
10.10.2015,0,1,1,2
11.10.2015,0,1,1,2
12.10.2015,0,1,1,2
13.10.2015,0,1,0,1
14.10.2015,0,1,0,1
15.10.2015,0,1,0,1
16.10.2015,0,1,0,1
17.10.2015,0,1,0,1
18.10.2015,0,1,0,1
19.10.2015,0,1,0,1
20.10.2015,0,1,0,1
21.10.2015,0,1,0,1
22.10.2015,0,1,0,1
23.10.2015,0,1,0,1
24.10.2015,0,1,0,1
25.10.2015,0,1,0,1
26.10.2015,0,1,0,1
27.10.2015,0,1,0,1
28.10.2015,0,1,0,1
29.10.2015,0,1,0,1
30.10.2015,0,1,0,1
31.10.2015,0,1,0,1
01.11.2015,0,1,0,1
02.11.2015,0,1,1,2
03.11.2015,0,2,1,3
04.11.2015,0,2,1,3
05.11.2015,0,3,0,3
06.11.2015,0,3,0,3
07.11.2015,0,3,0,3
08.11.2015,0,3,0,3
09.11.2015,0,3,0,3
10.11.2015,0,3,0,3
11.11.2015,0,3,0,3
12.11.2015,0,3,0,3
13.11.2015,0,3,0,3
14.11.2015,0,3,0,3
15.11.2015,0,3,0,3
16.11.2015,0,3,0,3
17.11.2015,0,3,0,3
18.11.2015,0,3,0,3
19.11.2015,0,3,0,3
20.11.2015,0,3,0,3
21.11.2015,0,3,0,3
22.11.2015,0,3,0,3
23.11.2015,0,3,0,3
24.11.2015,0,3,1,4
25.11.2015,0,3,1,4
26.11.2015,0,3,1,4
27.11.2015,0,3,1,4
28.11.2015,0,3,1,4
29.11.2015,0,3,1,4
30.11.2015,0,4,0,4
01.12.2015,0,3,0,3
02.12.2015,0,3,0,3
03.12.2015,0,3,0,3
04.12.2015,0,3,0,3
05.12.2015,0,3,1,4
06.12.2015,0,3,1,4
07.12.2015,0,3,1,4
