mask-network,,,,
Date, Full Time, Part Time, One Time, Total
03.01.2019,0,0,1,1
04.01.2019,0,1,0,1
05.01.2019,0,1,0,1
06.01.2019,0,1,0,1
07.01.2019,0,1,0,1
08.01.2019,0,1,0,1
09.01.2019,0,1,0,1
10.01.2019,0,1,0,1
11.01.2019,0,1,0,1
12.01.2019,0,1,0,1
13.01.2019,0,1,0,1
14.01.2019,0,1,0,1
15.01.2019,0,1,0,1
16.01.2019,0,1,0,1
17.01.2019,0,1,0,1
18.01.2019,0,1,2,3
19.01.2019,0,1,2,3
20.01.2019,0,1,2,3
21.01.2019,0,1,2,3
22.01.2019,0,2,1,3
23.01.2019,0,2,1,3
24.01.2019,0,2,1,3
25.01.2019,0,2,1,3
26.01.2019,0,2,1,3
27.01.2019,0,2,1,3
28.01.2019,0,2,1,3
29.01.2019,0,2,2,4
30.01.2019,0,2,2,4
31.01.2019,0,2,2,4
01.02.2019,0,2,2,4
02.02.2019,0,2,2,4
03.02.2019,0,2,2,4
04.02.2019,0,2,2,4
05.02.2019,0,2,2,4
06.02.2019,0,2,2,4
07.02.2019,0,2,2,4
08.02.2019,0,2,2,4
09.02.2019,0,2,2,4
10.02.2019,0,2,2,4
11.02.2019,0,2,2,4
12.02.2019,0,2,2,4
13.02.2019,0,2,2,4
14.02.2019,0,2,2,4
15.02.2019,0,2,1,3
16.02.2019,0,2,1,3
17.02.2019,0,2,1,3
18.02.2019,0,2,1,3
19.02.2019,0,2,1,3
20.02.2019,0,3,1,4
21.02.2019,0,3,1,4
22.02.2019,0,3,1,4
23.02.2019,0,3,1,4
24.02.2019,0,3,1,4
25.02.2019,0,3,1,4
26.02.2019,0,3,0,3
27.02.2019,0,3,1,4
28.02.2019,0,3,1,4
01.03.2019,0,3,1,4
02.03.2019,0,3,1,4
03.03.2019,0,3,1,4
04.03.2019,0,4,0,4
05.03.2019,0,4,0,4
06.03.2019,0,4,0,4
07.03.2019,0,4,0,4
08.03.2019,0,4,0,4
09.03.2019,0,4,0,4
10.03.2019,0,4,0,4
11.03.2019,0,4,0,4
12.03.2019,0,4,0,4
13.03.2019,0,4,1,5
14.03.2019,0,5,0,5
15.03.2019,0,5,0,5
16.03.2019,0,5,0,5
17.03.2019,0,5,1,6
18.03.2019,0,5,1,6
19.03.2019,0,5,1,6
20.03.2019,0,5,2,7
21.03.2019,0,5,2,7
22.03.2019,0,5,2,7
23.03.2019,0,6,1,7
24.03.2019,0,6,1,7
25.03.2019,0,6,1,7
26.03.2019,0,6,1,7
27.03.2019,0,6,2,8
28.03.2019,0,6,2,8
29.03.2019,0,7,1,8
30.03.2019,0,7,1,8
31.03.2019,0,8,0,8
01.04.2019,1,7,0,8
02.04.2019,1,7,0,8
03.04.2019,1,7,0,8
04.04.2019,1,7,1,9
05.04.2019,1,7,1,9
06.04.2019,1,7,1,9
07.04.2019,1,7,1,9
08.04.2019,1,7,1,9
09.04.2019,1,7,1,9
10.04.2019,1,8,1,10
11.04.2019,1,8,1,10
12.04.2019,1,8,1,10
13.04.2019,1,8,1,10
14.04.2019,1,8,1,10
15.04.2019,1,8,1,10
16.04.2019,1,8,1,10
17.04.2019,1,8,1,10
18.04.2019,1,8,1,10
19.04.2019,1,8,1,10
20.04.2019,1,8,1,10
21.04.2019,1,8,1,10
22.04.2019,1,8,1,10
23.04.2019,1,8,1,10
24.04.2019,1,8,1,10
25.04.2019,1,8,1,10
26.04.2019,2,7,1,10
27.04.2019,2,7,1,10
28.04.2019,2,6,1,9
29.04.2019,1,7,1,9
30.04.2019,1,8,1,10
01.05.2019,1,8,1,10
02.05.2019,1,8,0,9
03.05.2019,1,8,0,9
04.05.2019,1,8,0,9
05.05.2019,2,7,0,9
06.05.2019,2,7,0,9
07.05.2019,1,8,0,9
08.05.2019,1,8,0,9
09.05.2019,1,8,0,9
10.05.2019,1,8,0,9
11.05.2019,1,8,0,9
12.05.2019,1,8,0,9
13.05.2019,1,8,0,9
14.05.2019,1,8,0,9
15.05.2019,1,7,0,8
