mina,,,,
Date, Full Time, Part Time, One Time, Total
24.09.2015,0,0,1,1
25.09.2015,0,0,1,1
26.09.2015,0,0,1,1
27.09.2015,0,0,1,1
28.09.2015,0,0,1,1
29.09.2015,0,0,1,1
30.09.2015,0,0,1,1
01.10.2015,0,0,1,1
02.10.2015,0,0,1,1
03.10.2015,0,0,1,1
04.10.2015,0,0,1,1
05.10.2015,0,0,1,1
06.10.2015,0,0,1,1
07.10.2015,0,0,1,1
08.10.2015,0,0,1,1
09.10.2015,0,0,1,1
10.10.2015,0,0,1,1
11.10.2015,0,0,1,1
12.10.2015,0,0,1,1
13.10.2015,0,0,1,1
14.10.2015,0,0,1,1
15.10.2015,0,0,1,1
16.10.2015,0,0,1,1
17.10.2015,0,0,1,1
18.10.2015,0,0,1,1
19.10.2015,0,0,1,1
20.10.2015,0,0,1,1
21.10.2015,0,0,1,1
12.01.2016,0,0,1,1
13.01.2016,0,0,1,1
14.01.2016,0,0,1,1
15.01.2016,0,0,1,1
16.01.2016,0,0,1,1
17.01.2016,0,0,1,1
18.01.2016,0,0,1,1
19.01.2016,0,0,1,1
20.01.2016,0,0,1,1
21.01.2016,0,0,1,1
22.01.2016,0,0,1,1
23.01.2016,0,0,1,1
24.01.2016,0,0,1,1
25.01.2016,0,0,1,1
26.01.2016,0,0,1,1
27.01.2016,0,0,1,1
28.01.2016,0,0,1,1
29.01.2016,0,0,1,1
30.01.2016,0,0,1,1
31.01.2016,0,0,1,1
01.02.2016,0,0,1,1
02.02.2016,0,0,1,1
03.02.2016,0,0,1,1
04.02.2016,0,0,1,1
05.02.2016,0,0,1,1
06.02.2016,0,0,1,1
07.02.2016,0,0,1,1
08.02.2016,0,0,1,1
17.02.2016,0,1,0,1
18.02.2016,0,1,0,1
19.02.2016,0,1,0,1
20.02.2016,0,1,0,1
21.02.2016,0,1,0,1
22.02.2016,0,1,0,1
23.02.2016,0,1,0,1
24.02.2016,0,1,0,1
25.02.2016,0,1,0,1
26.02.2016,0,1,0,1
27.02.2016,0,1,0,1
28.02.2016,0,1,0,1
29.02.2016,0,1,0,1
01.03.2016,0,1,0,1
02.03.2016,0,1,0,1
03.03.2016,0,1,0,1
04.03.2016,0,1,0,1
05.03.2016,0,1,0,1
06.03.2016,0,1,0,1
07.03.2016,0,1,0,1
08.03.2016,0,1,0,1
09.03.2016,0,1,1,2
10.03.2016,0,1,1,2
11.03.2016,0,1,1,2
12.03.2016,0,1,1,2
13.03.2016,0,1,1,2
14.03.2016,0,1,1,2
15.03.2016,0,1,1,2
16.03.2016,0,0,1,1
17.03.2016,0,0,1,1
18.03.2016,0,0,1,1
19.03.2016,0,0,1,1
20.03.2016,0,0,1,1
21.03.2016,0,0,1,1
22.03.2016,0,0,1,1
23.03.2016,0,0,1,1
24.03.2016,0,0,1,1
25.03.2016,0,0,1,1
26.03.2016,0,0,1,1
27.03.2016,0,0,1,1
28.03.2016,0,0,1,1
29.03.2016,0,0,1,1
30.03.2016,0,0,1,1
31.03.2016,0,0,1,1
01.04.2016,0,0,1,1
02.04.2016,0,0,1,1
03.04.2016,0,0,1,1
04.04.2016,0,0,1,1
05.04.2016,0,0,1,1
26.04.2016,0,1,0,1
27.04.2016,0,1,0,1
28.04.2016,0,1,0,1
29.04.2016,0,1,0,1
30.04.2016,0,1,0,1
01.05.2016,0,1,0,1
02.05.2016,0,1,0,1
03.05.2016,0,1,0,1
04.05.2016,0,1,0,1
05.05.2016,0,1,0,1
06.05.2016,0,1,0,1
07.05.2016,0,1,0,1
08.05.2016,0,1,0,1
