monero,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,3,3,0,6
02.01.2015,2,4,0,6
03.01.2015,2,4,0,6
04.01.2015,2,4,0,6
05.01.2015,2,4,1,7
06.01.2015,2,4,1,7
07.01.2015,2,4,1,7
08.01.2015,2,4,1,7
09.01.2015,2,4,1,7
10.01.2015,2,4,1,7
11.01.2015,2,4,1,7
12.01.2015,2,4,1,7
13.01.2015,2,4,1,7
14.01.2015,2,4,1,7
15.01.2015,2,4,1,7
16.01.2015,2,4,1,7
17.01.2015,2,4,1,7
18.01.2015,2,4,1,7
19.01.2015,2,4,1,7
20.01.2015,1,5,1,7
21.01.2015,2,4,1,7
22.01.2015,2,4,1,7
23.01.2015,2,4,1,7
24.01.2015,2,4,1,7
25.01.2015,2,4,1,7
26.01.2015,2,4,1,7
27.01.2015,2,4,1,7
28.01.2015,1,5,1,7
29.01.2015,2,3,1,6
30.01.2015,2,3,1,6
31.01.2015,2,3,1,6
01.02.2015,2,3,1,6
02.02.2015,2,3,0,5
03.02.2015,2,3,0,5
04.02.2015,2,3,0,5
05.02.2015,2,3,0,5
06.02.2015,2,3,0,5
07.02.2015,2,3,0,5
08.02.2015,2,2,0,4
09.02.2015,2,2,0,4
10.02.2015,2,3,0,5
11.02.2015,1,4,0,5
12.02.2015,1,5,0,6
13.02.2015,1,5,0,6
14.02.2015,1,5,0,6
15.02.2015,1,5,0,6
16.02.2015,1,5,0,6
17.02.2015,1,5,0,6
18.02.2015,3,3,0,6
19.02.2015,3,3,0,6
20.02.2015,3,3,0,6
21.02.2015,3,3,0,6
22.02.2015,4,2,0,6
23.02.2015,3,3,0,6
24.02.2015,3,3,0,6
25.02.2015,2,4,0,6
26.02.2015,3,3,0,6
27.02.2015,3,3,0,6
28.02.2015,3,3,0,6
01.03.2015,4,2,0,6
02.03.2015,4,2,0,6
03.03.2015,4,2,0,6
04.03.2015,4,2,0,6
05.03.2015,4,2,1,7
06.03.2015,4,3,0,7
07.03.2015,4,3,0,7
08.03.2015,4,3,0,7
09.03.2015,4,3,0,7
10.03.2015,3,4,0,7
11.03.2015,2,5,0,7
12.03.2015,2,5,0,7
13.03.2015,2,5,0,7
14.03.2015,2,5,0,7
15.03.2015,2,5,1,8
16.03.2015,2,5,1,8
17.03.2015,4,3,1,8
18.03.2015,4,3,1,8
19.03.2015,4,3,1,8
20.03.2015,4,3,1,8
21.03.2015,4,3,1,8
22.03.2015,4,3,1,8
23.03.2015,3,4,1,8
24.03.2015,3,3,1,7
25.03.2015,3,3,1,7
26.03.2015,3,3,2,8
27.03.2015,3,3,2,8
28.03.2015,3,3,2,8
29.03.2015,4,2,2,8
30.03.2015,4,2,2,8
31.03.2015,4,2,2,8
01.04.2015,4,3,2,9
02.04.2015,4,3,2,9
03.04.2015,4,3,2,9
04.04.2015,4,3,2,9
05.04.2015,4,3,2,9
06.04.2015,4,3,2,9
07.04.2015,4,3,2,9
08.04.2015,4,3,2,9
09.04.2015,4,3,2,9
10.04.2015,4,3,2,9
11.04.2015,4,3,3,10
12.04.2015,4,3,2,9
13.04.2015,4,3,2,9
14.04.2015,4,3,2,9
15.04.2015,4,3,2,9
16.04.2015,4,3,2,9
17.04.2015,4,3,2,9
18.04.2015,4,3,2,9
19.04.2015,4,2,2,8
20.04.2015,4,3,2,9
21.04.2015,4,3,2,9
22.04.2015,4,3,2,9
23.04.2015,4,4,2,10
24.04.2015,4,4,2,10
25.04.2015,4,4,2,10
26.04.2015,4,4,2,10
27.04.2015,4,4,2,10
28.04.2015,4,4,2,10
29.04.2015,4,4,2,10
30.04.2015,4,4,2,10
01.05.2015,4,4,2,10
02.05.2015,4,4,4,12
03.05.2015,4,4,4,12
04.05.2015,4,4,4,12
05.05.2015,4,5,3,12
06.05.2015,4,5,3,12
07.05.2015,4,5,3,12
08.05.2015,4,4,3,11
09.05.2015,4,4,2,10
10.05.2015,4,4,2,10
11.05.2015,4,4,1,9
12.05.2015,4,4,1,9
13.05.2015,4,4,1,9
14.05.2015,4,4,1,9
15.05.2015,4,4,1,9
16.05.2015,4,4,1,9
17.05.2015,4,4,2,10
18.05.2015,4,4,2,10
19.05.2015,4,4,2,10
20.05.2015,4,4,3,11
21.05.2015,4,4,3,11
22.05.2015,4,4,3,11
23.05.2015,4,4,3,11
24.05.2015,4,4,3,11
25.05.2015,4,4,3,11
26.05.2015,4,4,3,11
27.05.2015,4,5,2,11
28.05.2015,4,5,2,11
29.05.2015,4,5,2,11
30.05.2015,4,5,1,10
31.05.2015,4,5,1,10
01.06.2015,4,5,2,11
02.06.2015,4,4,2,10
03.06.2015,4,3,2,9
04.06.2015,4,3,2,9
05.06.2015,4,3,2,9
06.06.2015,4,3,2,9
07.06.2015,4,3,2,9
08.06.2015,4,3,2,9
09.06.2015,3,4,2,9
10.06.2015,4,2,2,8
11.06.2015,4,2,2,8
12.06.2015,3,3,3,9
13.06.2015,3,4,2,9
14.06.2015,3,4,2,9
15.06.2015,2,5,2,9
16.06.2015,2,5,2,9
17.06.2015,2,5,1,8
18.06.2015,2,5,1,8
19.06.2015,2,5,2,9
20.06.2015,2,5,3,10
21.06.2015,2,5,3,10
22.06.2015,2,5,3,10
23.06.2015,2,5,4,11
24.06.2015,3,4,4,11
25.06.2015,3,4,4,11
26.06.2015,3,4,4,11
27.06.2015,3,3,4,10
28.06.2015,3,3,4,10
29.06.2015,3,3,3,9
30.06.2015,3,3,3,9
01.07.2015,2,4,3,9
02.07.2015,2,4,3,9
03.07.2015,2,4,3,9
04.07.2015,2,3,3,8
05.07.2015,2,3,4,9
06.07.2015,2,3,4,9
07.07.2015,2,3,4,9
08.07.2015,2,3,4,9
09.07.2015,2,3,4,9
10.07.2015,2,6,4,12
11.07.2015,2,6,4,12
12.07.2015,3,5,4,12
13.07.2015,3,5,4,12
14.07.2015,3,5,4,12
15.07.2015,3,5,4,12
16.07.2015,3,5,4,12
17.07.2015,3,5,3,11
18.07.2015,3,5,3,11
19.07.2015,3,5,3,11
20.07.2015,3,5,3,11
21.07.2015,3,5,2,10
22.07.2015,3,5,2,10
23.07.2015,3,5,2,10
24.07.2015,3,5,3,11
25.07.2015,3,5,3,11
