moonbeam,,,,
Date, Full Time, Part Time, One Time, Total
23.08.2016,0,0,1,1
24.08.2016,0,0,1,1
25.08.2016,0,0,1,1
26.08.2016,0,0,1,1
27.08.2016,0,0,1,1
28.08.2016,0,0,1,1
29.08.2016,0,0,1,1
30.08.2016,0,0,1,1
31.08.2016,0,0,1,1
01.09.2016,0,0,1,1
02.09.2016,0,0,1,1
03.09.2016,0,0,1,1
04.09.2016,0,0,1,1
05.09.2016,0,0,1,1
06.09.2016,0,0,1,1
07.09.2016,0,0,1,1
08.09.2016,0,0,1,1
09.09.2016,0,0,1,1
10.09.2016,0,0,1,1
11.09.2016,0,0,1,1
12.09.2016,0,0,1,1
13.09.2016,0,0,1,1
14.09.2016,0,0,1,1
15.09.2016,0,0,1,1
16.09.2016,0,0,1,1
17.09.2016,0,0,1,1
18.09.2016,0,0,1,1
19.09.2016,0,0,1,1
27.12.2016,0,0,1,1
28.12.2016,0,0,1,1
29.12.2016,0,0,1,1
30.12.2016,0,0,1,1
31.12.2016,0,0,1,1
01.01.2017,0,0,1,1
02.01.2017,0,0,1,1
03.01.2017,0,0,1,1
04.01.2017,0,0,1,1
05.01.2017,0,0,1,1
06.01.2017,0,0,1,1
07.01.2017,0,0,1,1
08.01.2017,0,0,1,1
09.01.2017,0,0,1,1
10.01.2017,0,0,1,1
11.01.2017,0,0,1,1
12.01.2017,0,0,1,1
13.01.2017,0,0,1,1
14.01.2017,0,0,1,1
15.01.2017,0,0,1,1
16.01.2017,0,0,1,1
17.01.2017,0,0,1,1
18.01.2017,0,0,1,1
19.01.2017,0,0,1,1
20.01.2017,0,0,1,1
21.01.2017,0,0,2,2
22.01.2017,0,0,2,2
23.01.2017,0,1,1,2
24.01.2017,0,1,0,1
25.01.2017,0,1,1,2
26.01.2017,0,1,1,2
27.01.2017,0,1,1,2
28.01.2017,0,1,1,2
29.01.2017,0,1,1,2
30.01.2017,0,1,1,2
31.01.2017,0,1,1,2
01.02.2017,0,1,1,2
02.02.2017,0,1,1,2
03.02.2017,0,1,1,2
04.02.2017,0,1,1,2
05.02.2017,0,1,1,2
06.02.2017,0,2,0,2
07.02.2017,0,2,0,2
08.02.2017,0,2,0,2
09.02.2017,0,2,0,2
10.02.2017,0,2,0,2
11.02.2017,0,2,0,2
12.02.2017,0,2,0,2
13.02.2017,0,2,0,2
14.02.2017,0,2,0,2
15.02.2017,0,2,0,2
16.02.2017,0,2,0,2
17.02.2017,0,2,0,2
18.02.2017,0,2,0,2
19.02.2017,0,2,0,2
20.02.2017,0,2,0,2
21.02.2017,0,2,0,2
22.02.2017,0,2,0,2
23.02.2017,0,2,0,2
24.02.2017,0,2,0,2
25.02.2017,0,2,0,2
26.02.2017,0,2,0,2
27.02.2017,0,2,0,2
28.02.2017,0,2,0,2
01.03.2017,0,2,0,2
02.03.2017,0,2,0,2
03.03.2017,0,2,0,2
04.03.2017,0,2,0,2
05.03.2017,0,2,0,2
06.03.2017,0,2,0,2
07.03.2017,0,2,0,2
08.03.2017,0,2,0,2
09.03.2017,0,2,0,2
10.03.2017,0,2,0,2
11.03.2017,0,2,0,2
12.03.2017,0,2,0,2
13.03.2017,1,1,0,2
14.03.2017,1,1,0,2
15.03.2017,1,1,0,2
16.03.2017,1,1,0,2
17.03.2017,1,1,0,2
18.03.2017,0,2,0,2
19.03.2017,0,2,0,2
20.03.2017,0,2,0,2
21.03.2017,0,2,0,2
22.03.2017,0,2,0,2
23.03.2017,0,2,0,2
24.03.2017,0,2,0,2
25.03.2017,0,2,0,2
26.03.2017,0,2,0,2
27.03.2017,0,2,0,2
28.03.2017,0,2,0,2
29.03.2017,0,2,0,2
30.03.2017,0,2,0,2
31.03.2017,0,2,0,2
01.04.2017,0,2,0,2
02.04.2017,0,2,0,2
03.04.2017,0,2,0,2
04.04.2017,0,2,0,2
05.04.2017,0,2,0,2
06.04.2017,0,2,0,2
07.04.2017,0,2,0,2
08.04.2017,0,2,0,2
09.04.2017,0,2,0,2
10.04.2017,1,1,0,2
11.04.2017,1,1,0,2
12.04.2017,1,1,0,2
13.04.2017,1,1,0,2
14.04.2017,1,1,1,3
15.04.2017,0,2,1,3
16.04.2017,0,2,1,3
17.04.2017,0,2,1,3
18.04.2017,0,2,1,3
19.04.2017,0,2,1,3
20.04.2017,0,2,1,3
21.04.2017,0,2,1,3
22.04.2017,0,2,1,3
23.04.2017,0,2,1,3
24.04.2017,0,2,1,3
25.04.2017,0,2,1,3
26.04.2017,0,2,1,3
27.04.2017,0,2,1,3
28.04.2017,0,2,1,3
29.04.2017,0,2,1,3
30.04.2017,0,2,1,3
01.05.2017,0,2,1,3
02.05.2017,0,2,1,3
03.05.2017,0,2,1,3
04.05.2017,0,2,1,3
05.05.2017,0,2,1,3
06.05.2017,0,2,1,3
07.05.2017,0,2,1,3
08.05.2017,0,2,1,3
09.05.2017,0,2,1,3
10.05.2017,0,2,1,3
11.05.2017,0,2,1,3
12.05.2017,0,2,0,2
13.05.2017,0,2,0,2
14.05.2017,0,2,0,2
15.05.2017,0,2,0,2
16.05.2017,0,2,0,2
17.05.2017,0,2,0,2
18.05.2017,0,2,2,4
19.05.2017,0,3,1,4
20.05.2017,0,3,1,4
21.05.2017,0,3,1,4
22.05.2017,0,4,0,4
23.05.2017,0,4,0,4
24.05.2017,0,4,0,4
25.05.2017,0,3,0,3
26.05.2017,0,2,0,2
27.05.2017,0,2,0,2
28.05.2017,0,2,0,2
29.05.2017,0,2,0,2
30.05.2017,0,2,0,2
31.05.2017,0,2,0,2
01.06.2017,0,2,0,2
02.06.2017,0,3,0,3
03.06.2017,0,3,0,3
04.06.2017,0,3,0,3
05.06.2017,0,3,0,3
06.06.2017,0,3,0,3
07.06.2017,0,3,0,3
08.06.2017,0,3,0,3
09.06.2017,0,3,0,3
10.06.2017,0,3,0,3
11.06.2017,0,3,0,3
12.06.2017,0,3,0,3
13.06.2017,0,3,0,3
14.06.2017,0,3,0,3
15.06.2017,0,3,0,3
16.06.2017,0,3,0,3
17.06.2017,0,3,0,3
18.06.2017,0,3,0,3
19.06.2017,0,3,1,4
20.06.2017,0,3,1,4
21.06.2017,0,3,1,4
22.06.2017,0,3,1,4
23.06.2017,0,3,1,4
24.06.2017,0,3,1,4
25.06.2017,0,3,1,4
26.06.2017,0,3,1,4
27.06.2017,0,3,1,4
28.06.2017,0,3,1,4
29.06.2017,0,3,1,4
30.06.2017,0,3,1,4
01.07.2017,0,3,1,4
02.07.2017,0,3,1,4
03.07.2017,0,3,1,4
04.07.2017,0,3,1,4
05.07.2017,0,3,1,4
06.07.2017,0,3,1,4
