near,,,,
Date, Full Time, Part Time, One Time, Total
21.12.2015,0,0,2,2
22.12.2015,0,2,0,2
23.12.2015,0,2,1,3
24.12.2015,0,2,2,4
25.12.2015,0,2,2,4
26.12.2015,0,2,2,4
27.12.2015,0,2,2,4
28.12.2015,0,2,2,4
29.12.2015,0,2,2,4
30.12.2015,0,2,3,5
31.12.2015,0,2,3,5
01.01.2016,0,3,2,5
02.01.2016,0,3,2,5
03.01.2016,0,3,2,5
04.01.2016,0,3,2,5
05.01.2016,0,3,2,5
06.01.2016,0,3,2,5
07.01.2016,0,3,2,5
08.01.2016,0,3,2,5
09.01.2016,0,3,2,5
10.01.2016,0,3,2,5
11.01.2016,0,3,2,5
12.01.2016,0,3,2,5
13.01.2016,0,3,2,5
14.01.2016,0,3,2,5
15.01.2016,0,3,2,5
16.01.2016,0,3,2,5
17.01.2016,0,3,2,5
18.01.2016,0,3,2,5
19.01.2016,0,2,2,4
20.01.2016,0,2,1,3
21.01.2016,0,2,0,2
22.01.2016,0,1,0,1
23.01.2016,0,1,0,1
24.01.2016,0,1,0,1
25.01.2016,0,1,0,1
26.01.2016,0,1,0,1
27.01.2016,0,1,0,1
28.01.2016,0,1,0,1
29.01.2016,0,1,0,1
30.01.2016,0,1,0,1
31.01.2016,0,1,0,1
01.02.2016,0,1,0,1
02.02.2016,1,0,0,1
03.02.2016,1,0,0,1
04.02.2016,1,0,0,1
05.02.2016,1,0,0,1
06.02.2016,1,0,0,1
07.02.2016,1,0,0,1
08.02.2016,1,0,0,1
09.02.2016,1,0,0,1
10.02.2016,1,0,0,1
11.02.2016,1,0,0,1
12.02.2016,1,0,0,1
13.02.2016,1,0,0,1
14.02.2016,0,1,0,1
15.02.2016,0,1,0,1
16.02.2016,1,0,0,1
17.02.2016,1,0,0,1
18.02.2016,1,0,0,1
19.02.2016,1,0,0,1
20.02.2016,1,0,0,1
21.02.2016,1,0,0,1
22.02.2016,0,1,0,1
23.02.2016,0,1,0,1
24.02.2016,0,1,0,1
25.02.2016,0,1,0,1
26.02.2016,0,1,0,1
27.02.2016,0,1,0,1
28.02.2016,0,1,0,1
29.02.2016,0,1,0,1
01.03.2016,1,0,0,1
02.03.2016,1,0,0,1
03.03.2016,1,0,0,1
04.03.2016,1,0,0,1
05.03.2016,1,0,0,1
06.03.2016,1,1,1,3
07.03.2016,1,2,1,4
08.03.2016,1,3,0,4
09.03.2016,1,3,0,4
10.03.2016,1,3,0,4
11.03.2016,1,3,0,4
12.03.2016,1,3,0,4
13.03.2016,0,4,0,4
14.03.2016,0,4,0,4
15.03.2016,1,3,0,4
16.03.2016,0,3,0,3
17.03.2016,0,3,0,3
18.03.2016,0,2,1,3
19.03.2016,0,2,1,3
20.03.2016,0,2,1,3
21.03.2016,0,2,1,3
22.03.2016,0,2,1,3
23.03.2016,0,2,1,3
24.03.2016,0,2,1,3
25.03.2016,0,2,1,3
26.03.2016,0,2,1,3
27.03.2016,0,2,1,3
28.03.2016,0,2,1,3
29.03.2016,0,2,1,3
30.03.2016,0,2,1,3
31.03.2016,0,2,1,3
01.04.2016,0,2,1,3
02.04.2016,0,2,1,3
03.04.2016,0,2,0,2
04.04.2016,0,2,0,2
05.04.2016,0,2,0,2
06.04.2016,0,2,0,2
07.04.2016,0,1,0,1
08.04.2016,0,1,0,1
15.05.2016,0,2,0,2
16.05.2016,0,2,0,2
17.05.2016,0,2,0,2
18.05.2016,0,2,0,2
