nexus-mutual,,,,
Date, Full Time, Part Time, One Time, Total
17.04.2018,0,0,1,1
18.04.2018,0,0,1,1
19.04.2018,0,0,1,1
20.04.2018,0,0,1,1
21.04.2018,0,0,1,1
22.04.2018,0,0,1,1
23.04.2018,0,0,1,1
24.04.2018,0,0,2,2
25.04.2018,0,1,1,2
26.04.2018,0,1,1,2
27.04.2018,0,1,1,2
28.04.2018,0,1,1,2
29.04.2018,0,1,1,2
30.04.2018,0,1,1,2
01.05.2018,0,1,1,2
02.05.2018,0,1,1,2
03.05.2018,0,2,0,2
04.05.2018,0,2,0,2
05.05.2018,0,2,0,2
06.05.2018,0,2,0,2
07.05.2018,0,2,0,2
08.05.2018,0,2,0,2
09.05.2018,0,2,0,2
10.05.2018,0,2,0,2
11.05.2018,0,2,0,2
12.05.2018,0,2,0,2
13.05.2018,0,2,0,2
14.05.2018,0,2,0,2
15.05.2018,0,2,0,2
16.05.2018,0,2,0,2
17.05.2018,0,2,0,2
18.05.2018,0,2,0,2
19.05.2018,0,2,0,2
20.05.2018,0,2,0,2
21.05.2018,0,2,0,2
22.05.2018,0,2,0,2
23.05.2018,0,2,0,2
24.05.2018,0,2,0,2
25.05.2018,0,2,0,2
26.05.2018,0,2,0,2
27.05.2018,0,2,0,2
28.05.2018,0,2,0,2
29.05.2018,0,2,0,2
30.05.2018,0,2,0,2
31.05.2018,0,2,0,2
01.06.2018,0,2,0,2
02.06.2018,0,2,0,2
03.06.2018,0,2,0,2
04.06.2018,0,1,0,1
05.06.2018,0,1,0,1
06.06.2018,0,1,0,1
07.06.2018,0,1,0,1
08.06.2018,0,1,0,1
09.06.2018,0,1,0,1
10.06.2018,0,1,0,1
11.06.2018,0,1,0,1
12.06.2018,0,1,0,1
13.06.2018,0,1,0,1
14.06.2018,0,1,0,1
23.06.2018,0,1,0,1
24.06.2018,0,1,0,1
25.06.2018,0,1,0,1
26.06.2018,0,1,0,1
27.06.2018,0,1,0,1
28.06.2018,0,1,0,1
29.06.2018,0,1,0,1
30.06.2018,0,1,0,1
01.07.2018,0,1,0,1
02.07.2018,0,1,0,1
03.07.2018,0,1,0,1
04.07.2018,0,1,0,1
05.07.2018,0,1,0,1
06.07.2018,0,1,0,1
07.07.2018,0,1,0,1
08.07.2018,0,1,0,1
09.07.2018,0,1,0,1
10.07.2018,0,1,0,1
11.07.2018,0,1,0,1
12.07.2018,0,1,0,1
13.07.2018,0,1,0,1
14.07.2018,0,1,0,1
15.07.2018,0,1,0,1
16.07.2018,0,1,0,1
17.07.2018,0,1,0,1
18.07.2018,0,1,0,1
19.07.2018,0,1,0,1
20.07.2018,0,1,0,1
02.08.2018,0,1,0,1
03.08.2018,0,1,0,1
04.08.2018,0,1,0,1
05.08.2018,0,1,0,1
06.08.2018,0,1,0,1
07.08.2018,0,1,0,1
08.08.2018,0,1,0,1
09.08.2018,0,1,0,1
10.08.2018,0,1,0,1
11.08.2018,0,1,0,1
12.08.2018,0,1,0,1
13.08.2018,0,1,0,1
14.08.2018,0,1,0,1
15.08.2018,0,1,0,1
16.08.2018,0,1,0,1
17.08.2018,0,1,1,2
18.08.2018,0,1,1,2
19.08.2018,0,1,1,2
20.08.2018,0,1,1,2
21.08.2018,0,1,1,2
22.08.2018,0,1,1,2
23.08.2018,0,1,1,2
24.08.2018,0,2,0,2
25.08.2018,0,2,0,2
26.08.2018,0,2,0,2
27.08.2018,0,2,0,2
28.08.2018,0,2,0,2
29.08.2018,0,2,0,2
30.08.2018,0,1,0,1
31.08.2018,0,1,0,1
01.09.2018,0,1,0,1
02.09.2018,0,1,0,1
03.09.2018,0,1,0,1
04.09.2018,0,1,0,1
05.09.2018,0,1,0,1
06.09.2018,0,2,0,2
07.09.2018,0,2,0,2
08.09.2018,0,2,0,2
09.09.2018,0,2,0,2
10.09.2018,0,2,0,2
11.09.2018,0,2,0,2
12.09.2018,0,2,0,2
13.09.2018,0,2,0,2
14.09.2018,0,2,0,2
15.09.2018,0,2,0,2
16.09.2018,0,2,0,2
17.09.2018,0,2,0,2
18.09.2018,0,2,0,2
19.09.2018,0,2,0,2
20.09.2018,0,2,0,2
21.09.2018,0,2,1,3
22.09.2018,0,2,1,3
