nucypher,,,,
Date, Full Time, Part Time, One Time, Total
14.03.2015,0,0,1,1
15.03.2015,0,0,1,1
16.03.2015,0,1,0,1
17.03.2015,0,1,0,1
18.03.2015,0,1,0,1
19.03.2015,0,1,0,1
20.03.2015,0,1,0,1
21.03.2015,0,1,0,1
22.03.2015,0,1,0,1
23.03.2015,0,1,0,1
24.03.2015,0,1,0,1
25.03.2015,0,1,0,1
26.03.2015,0,1,0,1
27.03.2015,0,1,0,1
28.03.2015,0,1,0,1
29.03.2015,0,1,0,1
30.03.2015,0,1,0,1
31.03.2015,0,1,0,1
01.04.2015,0,1,0,1
02.04.2015,0,1,0,1
03.04.2015,0,1,0,1
04.04.2015,0,1,0,1
05.04.2015,0,1,0,1
06.04.2015,0,1,0,1
07.04.2015,0,1,0,1
08.04.2015,0,1,0,1
09.04.2015,0,1,0,1
10.04.2015,0,1,0,1
11.04.2015,0,1,0,1
12.04.2015,0,1,0,1
13.04.2015,1,0,0,1
14.04.2015,1,0,0,1
15.04.2015,1,0,0,1
16.04.2015,1,0,0,1
17.04.2015,1,0,0,1
18.04.2015,1,0,0,1
19.04.2015,1,0,0,1
20.04.2015,1,0,0,1
21.04.2015,1,0,0,1
22.04.2015,1,0,0,1
23.04.2015,1,0,0,1
24.04.2015,1,0,0,1
25.04.2015,1,0,0,1
26.04.2015,1,0,0,1
27.04.2015,1,0,0,1
28.04.2015,1,0,0,1
29.04.2015,1,0,0,1
30.04.2015,1,0,0,1
01.05.2015,1,0,0,1
02.05.2015,1,0,0,1
03.05.2015,1,0,0,1
04.05.2015,1,0,0,1
05.05.2015,1,0,0,1
06.05.2015,1,0,0,1
07.05.2015,1,0,0,1
08.05.2015,1,0,0,1
09.05.2015,1,0,0,1
10.05.2015,1,0,0,1
11.05.2015,1,0,0,1
12.05.2015,1,0,0,1
13.05.2015,1,0,0,1
14.05.2015,1,0,0,1
15.05.2015,1,0,0,1
16.05.2015,1,0,0,1
17.05.2015,1,0,1,2
18.05.2015,1,1,0,2
19.05.2015,1,1,0,2
20.05.2015,1,1,0,2
21.05.2015,1,1,0,2
22.05.2015,1,1,0,2
23.05.2015,1,1,0,2
24.05.2015,1,1,0,2
25.05.2015,1,1,0,2
26.05.2015,1,1,0,2
27.05.2015,1,1,0,2
28.05.2015,1,1,0,2
29.05.2015,1,1,0,2
30.05.2015,1,1,0,2
31.05.2015,1,1,0,2
01.06.2015,1,1,0,2
02.06.2015,1,1,0,2
03.06.2015,1,1,0,2
04.06.2015,1,1,0,2
05.06.2015,1,1,0,2
06.06.2015,1,1,0,2
07.06.2015,1,1,0,2
08.06.2015,1,1,0,2
09.06.2015,1,1,0,2
10.06.2015,1,1,0,2
11.06.2015,1,1,0,2
12.06.2015,1,1,0,2
13.06.2015,1,1,0,2
14.06.2015,1,1,0,2
15.06.2015,0,1,0,1
16.06.2015,0,1,0,1
17.06.2015,0,1,0,1
18.06.2015,1,1,0,2
19.06.2015,1,1,0,2
20.06.2015,1,1,0,2
21.06.2015,1,1,0,2
22.06.2015,1,1,0,2
23.06.2015,1,1,0,2
24.06.2015,1,1,0,2
25.06.2015,1,1,0,2
26.06.2015,1,1,0,2
27.06.2015,1,1,0,2
28.06.2015,1,1,0,2
29.06.2015,1,1,0,2
30.06.2015,1,1,0,2
01.07.2015,1,1,0,2
02.07.2015,1,1,0,2
03.07.2015,1,1,0,2
04.07.2015,1,1,0,2
05.07.2015,1,1,0,2
06.07.2015,1,1,0,2
07.07.2015,1,1,0,2
08.07.2015,1,1,0,2
09.07.2015,1,1,0,2
10.07.2015,1,1,0,2
11.07.2015,1,1,0,2
12.07.2015,1,1,0,2
13.07.2015,1,1,0,2
14.07.2015,1,1,0,2
15.07.2015,1,1,0,2
16.07.2015,1,1,0,2
17.07.2015,1,1,0,2
18.07.2015,1,1,0,2
19.07.2015,1,1,0,2
20.07.2015,1,1,0,2
21.07.2015,1,1,0,2
22.07.2015,1,1,0,2
23.07.2015,1,1,0,2
24.07.2015,1,1,0,2
25.07.2015,1,1,0,2
26.07.2015,1,1,0,2
27.07.2015,0,2,0,2
28.07.2015,0,2,0,2
29.07.2015,0,2,0,2
30.07.2015,0,2,0,2
31.07.2015,0,2,0,2
