okex-chain,,,,
Date, Full Time, Part Time, One Time, Total
20.05.2019,0,0,3,3
21.05.2019,0,1,2,3
22.05.2019,0,1,2,3
23.05.2019,0,1,2,3
24.05.2019,0,1,2,3
25.05.2019,0,1,2,3
26.05.2019,0,1,2,3
27.05.2019,0,1,2,3
28.05.2019,0,1,2,3
29.05.2019,0,1,2,3
30.05.2019,0,1,2,3
31.05.2019,0,1,2,3
01.06.2019,0,1,2,3
02.06.2019,0,1,2,3
03.06.2019,0,1,2,3
04.06.2019,0,1,2,3
05.06.2019,0,1,2,3
06.06.2019,0,1,2,3
07.06.2019,0,1,2,3
08.06.2019,0,1,2,3
09.06.2019,0,1,2,3
10.06.2019,0,1,2,3
11.06.2019,0,1,2,3
12.06.2019,0,2,1,3
13.06.2019,0,2,1,3
14.06.2019,0,2,1,3
15.06.2019,0,2,1,3
16.06.2019,0,2,1,3
17.06.2019,0,2,0,2
18.06.2019,0,2,0,2
19.06.2019,0,2,0,2
20.06.2019,0,2,0,2
21.06.2019,0,2,0,2
22.06.2019,0,2,0,2
23.06.2019,0,2,0,2
24.06.2019,0,2,0,2
25.06.2019,0,2,0,2
26.06.2019,0,2,0,2
27.06.2019,0,2,0,2
28.06.2019,0,2,0,2
29.06.2019,1,1,0,2
30.06.2019,1,1,0,2
01.07.2019,1,1,0,2
02.07.2019,1,1,0,2
03.07.2019,0,2,0,2
04.07.2019,0,2,2,4
05.07.2019,0,3,1,4
06.07.2019,0,3,1,4
07.07.2019,0,3,1,4
08.07.2019,0,3,2,5
09.07.2019,0,3,2,5
10.07.2019,0,3,1,4
11.07.2019,1,2,1,4
12.07.2019,1,2,1,4
13.07.2019,1,2,1,4
14.07.2019,1,2,1,4
15.07.2019,1,2,1,4
16.07.2019,0,3,1,4
17.07.2019,0,3,1,4
18.07.2019,0,3,1,4
19.07.2019,0,3,1,4
20.07.2019,0,3,1,4
21.07.2019,0,3,1,4
22.07.2019,0,3,1,4
23.07.2019,0,3,1,4
24.07.2019,0,3,1,4
25.07.2019,0,3,1,4
26.07.2019,0,3,1,4
27.07.2019,0,2,1,3
28.07.2019,0,2,1,3
29.07.2019,0,2,1,3
30.07.2019,0,2,1,3
31.07.2019,0,2,1,3
01.08.2019,0,2,0,2
02.08.2019,0,2,0,2
03.08.2019,0,2,0,2
04.08.2019,0,2,0,2
05.08.2019,0,2,0,2
06.08.2019,0,2,0,2
07.08.2019,0,2,0,2
08.08.2019,0,2,0,2
09.08.2019,0,2,0,2
10.08.2019,0,2,0,2
11.08.2019,0,2,0,2
12.08.2019,0,2,0,2
13.08.2019,0,2,0,2
14.08.2019,0,2,0,2
15.08.2019,0,2,0,2
16.08.2019,0,3,0,3
17.08.2019,0,3,0,3
18.08.2019,0,3,0,3
19.08.2019,0,3,0,3
20.08.2019,0,3,1,4
21.08.2019,0,3,1,4
22.08.2019,0,3,1,4
23.08.2019,0,3,1,4
24.08.2019,0,3,1,4
25.08.2019,0,3,1,4
26.08.2019,1,2,1,4
27.08.2019,1,2,1,4
28.08.2019,1,2,1,4
29.08.2019,1,2,1,4
30.08.2019,1,2,1,4
31.08.2019,1,2,1,4
01.09.2019,1,2,1,4
02.09.2019,1,2,1,4
03.09.2019,1,2,1,4
04.09.2019,1,2,1,4
05.09.2019,1,2,1,4
06.09.2019,1,2,1,4
07.09.2019,1,2,1,4
08.09.2019,1,2,1,4
09.09.2019,1,2,1,4
10.09.2019,1,2,1,4
11.09.2019,1,2,1,4
12.09.2019,1,2,1,4
13.09.2019,1,2,1,4
14.09.2019,1,2,1,4
15.09.2019,1,2,1,4
16.09.2019,1,2,1,4
17.09.2019,0,2,0,2
18.09.2019,0,2,0,2
19.09.2019,0,1,0,1
20.09.2019,0,1,0,1
21.09.2019,0,1,0,1
22.09.2019,0,1,0,1
23.09.2019,1,0,0,1
24.09.2019,1,0,0,1
25.09.2019,1,0,0,1
26.09.2019,1,0,0,1
27.09.2019,1,0,0,1
28.09.2019,1,0,0,1
29.09.2019,1,0,0,1
30.09.2019,1,0,0,1
01.10.2019,1,0,0,1
02.10.2019,1,0,0,1
03.10.2019,1,0,0,1
15.11.2019,0,0,1,1
16.11.2019,0,0,1,1
17.11.2019,0,0,1,1
18.11.2019,0,0,1,1
19.11.2019,0,0,1,1
20.11.2019,0,0,1,1
21.11.2019,0,1,0,1
22.11.2019,0,1,0,1
23.11.2019,0,1,0,1
24.11.2019,0,1,0,1
25.11.2019,0,1,0,1
26.11.2019,0,1,0,1
27.11.2019,0,1,0,1
28.11.2019,0,1,0,1
29.11.2019,0,1,0,1
30.11.2019,0,1,0,1
01.12.2019,0,1,0,1
02.12.2019,0,1,0,1
03.12.2019,0,1,0,1
04.12.2019,0,1,0,1
05.12.2019,0,1,0,1
06.12.2019,0,1,1,2
07.12.2019,0,1,1,2
08.12.2019,0,1,1,2
09.12.2019,0,1,2,3
10.12.2019,0,2,2,4
11.12.2019,0,2,2,4
12.12.2019,0,2,2,4
13.12.2019,0,2,2,4
14.12.2019,0,2,2,4
15.12.2019,0,2,2,4
16.12.2019,0,2,2,4
17.12.2019,0,2,2,4
18.12.2019,0,2,2,4
19.12.2019,0,2,2,4
20.12.2019,0,2,2,4
21.12.2019,0,2,2,4
22.12.2019,0,2,2,4
23.12.2019,0,2,2,4
24.12.2019,0,2,2,4
25.12.2019,0,2,2,4
26.12.2019,0,2,2,4
27.12.2019,0,2,2,4
28.12.2019,0,2,2,4
29.12.2019,0,2,2,4
30.12.2019,0,2,2,4
31.12.2019,0,2,2,4
01.01.2020,0,2,2,4
02.01.2020,0,1,2,3
03.01.2020,0,1,1,2
04.01.2020,0,1,1,2
05.01.2020,0,1,1,2
06.01.2020,0,1,1,2
07.01.2020,0,1,1,2
08.01.2020,0,2,0,2
09.01.2020,0,2,1,3
10.01.2020,0,3,1,4
11.01.2020,0,3,1,4
12.01.2020,0,3,1,4
13.01.2020,0,3,1,4
14.01.2020,0,3,1,4
15.01.2020,0,3,2,5
16.01.2020,0,3,2,5
17.01.2020,0,3,2,5
18.01.2020,0,2,2,4
19.01.2020,0,2,2,4
20.01.2020,0,2,2,4
21.01.2020,0,2,2,4
22.01.2020,0,2,2,4
23.01.2020,0,2,2,4
24.01.2020,0,3,1,4
25.01.2020,0,3,1,4
26.01.2020,0,3,1,4
27.01.2020,0,3,1,4
28.01.2020,0,3,1,4
29.01.2020,0,3,1,4
30.01.2020,0,3,1,4
31.01.2020,0,3,1,4
01.02.2020,0,3,1,4
02.02.2020,0,3,1,4
03.02.2020,0,3,1,4
04.02.2020,0,3,1,4
05.02.2020,0,3,1,4
06.02.2020,0,2,0,2
07.02.2020,0,1,0,1
