optimism,,,,
Date, Full Time, Part Time, One Time, Total
29.10.2015,0,0,1,1
30.10.2015,0,0,1,1
31.10.2015,0,0,1,1
01.11.2015,0,0,1,1
02.11.2015,0,0,1,1
03.11.2015,0,0,1,1
04.11.2015,0,0,1,1
05.11.2015,0,0,1,1
06.11.2015,0,0,1,1
07.11.2015,0,0,1,1
08.11.2015,0,0,1,1
09.11.2015,0,0,1,1
10.11.2015,0,0,1,1
11.11.2015,0,0,1,1
12.11.2015,0,0,1,1
13.11.2015,0,0,1,1
14.11.2015,0,0,1,1
15.11.2015,0,0,1,1
16.11.2015,0,0,1,1
17.11.2015,0,0,1,1
18.11.2015,0,0,1,1
19.11.2015,0,0,1,1
20.11.2015,0,0,1,1
21.11.2015,0,0,1,1
22.11.2015,0,0,1,1
23.11.2015,0,0,1,1
24.11.2015,0,0,1,1
25.11.2015,0,0,1,1
13.01.2016,0,0,1,1
14.01.2016,0,0,1,1
15.01.2016,0,0,1,1
16.01.2016,0,0,1,1
17.01.2016,0,0,1,1
18.01.2016,0,0,1,1
19.01.2016,0,0,1,1
20.01.2016,0,0,1,1
21.01.2016,0,0,1,1
22.01.2016,0,0,1,1
23.01.2016,0,0,1,1
24.01.2016,0,0,1,1
25.01.2016,0,0,1,1
26.01.2016,0,0,1,1
27.01.2016,0,0,1,1
28.01.2016,0,0,1,1
29.01.2016,0,0,1,1
30.01.2016,0,0,1,1
31.01.2016,0,0,1,1
01.02.2016,0,0,1,1
02.02.2016,0,0,1,1
03.02.2016,0,0,1,1
04.02.2016,0,0,1,1
05.02.2016,0,0,1,1
06.02.2016,0,0,1,1
07.02.2016,0,0,1,1
08.02.2016,0,0,1,1
09.02.2016,0,0,1,1
23.06.2016,0,0,1,1
24.06.2016,0,0,1,1
25.06.2016,0,0,1,1
26.06.2016,0,0,1,1
27.06.2016,0,0,1,1
28.06.2016,0,0,1,1
29.06.2016,0,0,1,1
30.06.2016,0,0,1,1
01.07.2016,0,0,1,1
02.07.2016,0,0,1,1
03.07.2016,0,0,1,1
04.07.2016,0,0,1,1
05.07.2016,0,0,1,1
06.07.2016,0,0,1,1
07.07.2016,0,0,1,1
08.07.2016,0,0,1,1
09.07.2016,0,0,1,1
10.07.2016,0,0,1,1
11.07.2016,0,0,1,1
12.07.2016,0,0,1,1
13.07.2016,0,0,1,1
14.07.2016,0,0,1,1
15.07.2016,0,0,1,1
16.07.2016,0,0,1,1
17.07.2016,0,0,1,1
18.07.2016,0,0,2,2
19.07.2016,0,0,2,2
20.07.2016,0,0,2,2
