osmosis,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,2,2,0,4
02.01.2015,2,2,0,4
03.01.2015,2,2,0,4
04.01.2015,2,2,0,4
05.01.2015,2,2,0,4
06.01.2015,2,2,0,4
07.01.2015,2,2,0,4
08.01.2015,2,2,0,4
09.01.2015,2,2,0,4
10.01.2015,2,2,0,4
11.01.2015,2,2,1,5
12.01.2015,2,2,1,5
13.01.2015,2,2,1,5
14.01.2015,2,2,1,5
15.01.2015,2,2,1,5
16.01.2015,2,2,1,5
17.01.2015,2,1,1,4
18.01.2015,2,1,1,4
19.01.2015,1,2,1,4
20.01.2015,1,2,1,4
21.01.2015,1,2,2,5
22.01.2015,1,2,2,5
23.01.2015,2,1,2,5
24.01.2015,2,2,1,5
25.01.2015,2,2,1,5
26.01.2015,2,2,1,5
27.01.2015,2,2,1,5
28.01.2015,2,2,1,5
29.01.2015,2,1,1,4
30.01.2015,2,1,2,5
31.01.2015,2,1,2,5
01.02.2015,2,2,1,5
02.02.2015,2,2,1,5
03.02.2015,2,2,1,5
04.02.2015,2,2,1,5
05.02.2015,2,2,1,5
06.02.2015,2,2,1,5
07.02.2015,2,2,1,5
08.02.2015,2,2,1,5
09.02.2015,2,2,1,5
10.02.2015,2,2,1,5
11.02.2015,2,2,2,6
12.02.2015,1,3,2,6
13.02.2015,1,2,2,5
14.02.2015,1,2,2,5
15.02.2015,1,2,2,5
16.02.2015,1,2,2,5
17.02.2015,1,3,1,5
18.02.2015,1,3,0,4
19.02.2015,1,3,0,4
20.02.2015,1,3,0,4
21.02.2015,2,2,0,4
22.02.2015,2,2,0,4
23.02.2015,2,2,0,4
24.02.2015,2,2,0,4
25.02.2015,2,3,0,5
26.02.2015,2,3,0,5
27.02.2015,2,3,0,5
28.02.2015,2,3,0,5
01.03.2015,2,2,0,4
02.03.2015,2,2,0,4
03.03.2015,2,2,0,4
04.03.2015,1,3,0,4
05.03.2015,1,3,0,4
06.03.2015,1,3,0,4
07.03.2015,1,3,0,4
08.03.2015,1,3,0,4
09.03.2015,1,3,0,4
10.03.2015,3,1,0,4
11.03.2015,3,1,0,4
12.03.2015,2,2,0,4
13.03.2015,2,2,0,4
14.03.2015,2,2,0,4
15.03.2015,2,2,0,4
16.03.2015,1,3,0,4
17.03.2015,1,2,0,3
18.03.2015,1,2,0,3
19.03.2015,1,2,1,4
20.03.2015,1,3,0,4
21.03.2015,1,3,0,4
22.03.2015,1,3,0,4
23.03.2015,1,3,0,4
24.03.2015,1,3,0,4
25.03.2015,1,3,0,4
26.03.2015,2,2,0,4
27.03.2015,2,2,0,4
28.03.2015,2,2,1,5
29.03.2015,2,3,0,5
30.03.2015,2,3,0,5
31.03.2015,2,3,0,5
01.04.2015,2,3,0,5
02.04.2015,2,3,0,5
03.04.2015,2,3,0,5
04.04.2015,2,3,0,5
05.04.2015,1,4,0,5
06.04.2015,1,4,0,5
07.04.2015,2,3,0,5
08.04.2015,2,3,1,6
09.04.2015,2,3,2,7
10.04.2015,2,4,1,7
11.04.2015,2,4,1,7
12.04.2015,2,4,1,7
13.04.2015,2,4,1,7
14.04.2015,2,4,1,7
15.04.2015,2,3,1,6
