pancakeswap,,,,
Date, Full Time, Part Time, One Time, Total
14.09.2020,0,0,1,1
15.09.2020,0,0,1,1
16.09.2020,0,1,2,3
17.09.2020,0,2,1,3
18.09.2020,0,2,2,4
19.09.2020,0,3,1,4
20.09.2020,0,3,1,4
21.09.2020,0,4,1,5
22.09.2020,0,4,1,5
23.09.2020,0,5,1,6
24.09.2020,0,5,3,8
25.09.2020,0,5,4,9
26.09.2020,0,5,4,9
27.09.2020,0,5,5,10
28.09.2020,0,6,6,12
29.09.2020,0,7,6,13
30.09.2020,0,7,6,13
01.10.2020,0,8,5,13
02.10.2020,0,10,3,13
03.10.2020,0,10,4,14
04.10.2020,0,10,4,14
05.10.2020,0,10,6,16
06.10.2020,0,10,6,16
07.10.2020,0,10,6,16
08.10.2020,0,10,9,19
09.10.2020,0,10,10,20
10.10.2020,0,11,9,20
11.10.2020,0,11,9,20
12.10.2020,0,11,9,20
13.10.2020,0,11,9,20
14.10.2020,1,10,12,23
15.10.2020,1,10,15,26
16.10.2020,1,13,12,26
17.10.2020,1,13,12,26
18.10.2020,1,13,12,26
19.10.2020,2,12,13,27
20.10.2020,2,12,13,27
21.10.2020,2,12,12,26
22.10.2020,2,12,12,26
23.10.2020,2,12,11,25
24.10.2020,2,12,11,25
25.10.2020,2,12,10,24
26.10.2020,2,12,10,24
27.10.2020,2,12,10,24
28.10.2020,2,12,11,25
29.10.2020,2,13,10,25
30.10.2020,2,12,11,25
31.10.2020,2,11,10,23
01.11.2020,2,11,10,23
02.11.2020,2,11,9,22
03.11.2020,2,12,8,22
04.11.2020,2,12,9,23
05.11.2020,2,14,6,22
06.11.2020,2,13,6,21
07.11.2020,2,12,6,20
08.11.2020,2,12,6,20
09.11.2020,2,12,6,20
10.11.2020,2,12,6,20
11.11.2020,2,11,4,17
12.11.2020,2,11,4,17
13.11.2020,4,8,3,15
14.11.2020,4,8,3,15
15.11.2020,4,8,3,15
16.11.2020,4,8,2,14
17.11.2020,4,9,1,14
18.11.2020,4,10,1,15
19.11.2020,4,9,1,14
20.11.2020,4,8,1,13
21.11.2020,5,7,1,13
22.11.2020,5,7,1,13
23.11.2020,5,7,1,13
24.11.2020,5,7,1,13
25.11.2020,5,7,1,13
26.11.2020,5,7,2,14
27.11.2020,5,6,1,12
28.11.2020,5,6,1,12
29.11.2020,5,6,1,12
30.11.2020,5,7,1,13
01.12.2020,6,5,2,13
02.12.2020,6,5,2,13
03.12.2020,6,5,2,13
04.12.2020,6,6,2,14
05.12.2020,6,6,2,14
06.12.2020,6,6,2,14
07.12.2020,6,6,2,14
08.12.2020,6,7,2,15
09.12.2020,6,7,2,15
10.12.2020,6,7,2,15
11.12.2020,6,7,2,15
12.12.2020,6,7,2,15
13.12.2020,6,7,2,15
14.12.2020,6,7,2,15
15.12.2020,6,7,2,15
16.12.2020,5,8,3,16
17.12.2020,5,9,2,16
18.12.2020,5,9,2,16
19.12.2020,6,8,2,16
20.12.2020,6,9,1,16
21.12.2020,6,9,1,16
22.12.2020,6,10,1,17
23.12.2020,6,10,1,17
24.12.2020,6,10,1,17
25.12.2020,7,9,1,17
26.12.2020,7,8,2,17
27.12.2020,6,10,2,18
28.12.2020,6,10,2,18
29.12.2020,7,9,2,18
30.12.2020,7,9,2,18
31.12.2020,7,7,4,18
01.01.2021,7,7,3,17
02.01.2021,7,7,3,17
03.01.2021,7,7,3,17
04.01.2021,7,7,3,17
05.01.2021,7,7,4,18
06.01.2021,7,7,4,18
07.01.2021,7,7,4,18
08.01.2021,7,5,5,17
09.01.2021,7,5,5,17
10.01.2021,7,5,5,17
11.01.2021,7,4,5,16
12.01.2021,7,4,7,18
13.01.2021,7,5,5,17
14.01.2021,7,5,6,18
15.01.2021,6,6,6,18
16.01.2021,6,6,6,18
17.01.2021,6,6,7,19
18.01.2021,6,9,4,19
19.01.2021,6,9,3,18
20.01.2021,8,7,3,18
21.01.2021,7,8,3,18
22.01.2021,8,7,3,18
