polkadot,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,1,1,0,2
02.01.2015,1,1,0,2
03.01.2015,1,1,0,2
04.01.2015,1,1,0,2
05.01.2015,1,1,0,2
06.01.2015,1,1,1,3
07.01.2015,0,2,1,3
08.01.2015,1,1,1,3
09.01.2015,1,1,1,3
10.01.2015,1,1,1,3
11.01.2015,1,1,2,4
12.01.2015,1,1,2,4
13.01.2015,1,1,2,4
14.01.2015,1,1,2,4
15.01.2015,1,1,2,4
16.01.2015,1,1,2,4
17.01.2015,1,1,2,4
18.01.2015,1,1,2,4
19.01.2015,1,1,2,4
20.01.2015,1,1,2,4
21.01.2015,1,1,2,4
22.01.2015,1,1,2,4
23.01.2015,1,1,2,4
24.01.2015,1,1,2,4
25.01.2015,1,1,2,4
26.01.2015,1,1,2,4
27.01.2015,1,1,2,4
28.01.2015,1,1,2,4
29.01.2015,1,1,2,4
30.01.2015,1,1,2,4
31.01.2015,1,1,2,4
01.02.2015,1,1,2,4
02.02.2015,1,1,2,4
03.02.2015,1,1,1,3
04.02.2015,1,1,1,3
05.02.2015,1,1,2,4
06.02.2015,1,2,1,4
07.02.2015,1,2,1,4
08.02.2015,1,2,0,3
09.02.2015,1,2,0,3
10.02.2015,1,2,0,3
11.02.2015,1,2,0,3
12.02.2015,1,1,0,2
13.02.2015,1,1,0,2
14.02.2015,1,2,0,3
15.02.2015,1,2,0,3
16.02.2015,1,2,0,3
17.02.2015,1,2,0,3
18.02.2015,1,2,0,3
19.02.2015,1,2,0,3
20.02.2015,1,2,0,3
21.02.2015,1,2,0,3
22.02.2015,1,2,0,3
23.02.2015,1,2,0,3
24.02.2015,1,2,0,3
25.02.2015,1,2,0,3
26.02.2015,1,2,0,3
27.02.2015,1,2,0,3
28.02.2015,1,2,0,3
01.03.2015,1,2,0,3
02.03.2015,1,2,0,3
03.03.2015,1,2,0,3
04.03.2015,1,2,1,4
05.03.2015,1,2,1,4
06.03.2015,1,1,1,3
07.03.2015,1,1,1,3
08.03.2015,1,1,1,3
09.03.2015,1,1,1,3
10.03.2015,1,1,1,3
11.03.2015,1,1,1,3
12.03.2015,1,1,1,3
13.03.2015,1,1,1,3
14.03.2015,1,1,1,3
15.03.2015,1,1,1,3
16.03.2015,1,1,1,3
17.03.2015,1,1,1,3
18.03.2015,1,1,1,3
19.03.2015,1,1,1,3
20.03.2015,1,1,1,3
21.03.2015,1,1,1,3
22.03.2015,1,1,1,3
23.03.2015,1,1,1,3
24.03.2015,1,1,1,3
25.03.2015,1,1,1,3
26.03.2015,1,1,1,3
27.03.2015,1,1,1,3
28.03.2015,1,1,1,3
29.03.2015,1,1,1,3
30.03.2015,1,1,1,3
31.03.2015,1,1,1,3
01.04.2015,1,1,0,2
02.04.2015,1,1,0,2
03.04.2015,1,1,0,2
04.04.2015,1,1,0,2
05.04.2015,1,1,0,2
06.04.2015,1,1,0,2
07.04.2015,1,1,0,2
08.04.2015,1,1,0,2
09.04.2015,1,1,0,2
10.04.2015,1,1,1,3
11.04.2015,1,1,1,3
12.04.2015,1,1,1,3
13.04.2015,1,1,2,4
14.04.2015,1,1,3,5
15.04.2015,1,0,3,4
16.04.2015,1,0,3,4
17.04.2015,1,0,3,4
18.04.2015,1,0,3,4
19.04.2015,1,0,3,4
20.04.2015,1,0,3,4
21.04.2015,1,0,3,4
22.04.2015,1,0,3,4
23.04.2015,1,0,3,4
24.04.2015,1,0,4,5
25.04.2015,1,0,4,5
26.04.2015,1,0,4,5
27.04.2015,1,0,5,6
28.04.2015,1,0,5,6
29.04.2015,1,0,5,6
30.04.2015,1,0,5,6
01.05.2015,1,0,5,6
02.05.2015,1,0,5,6
03.05.2015,1,0,5,6
04.05.2015,1,0,6,7
05.05.2015,1,0,6,7
06.05.2015,1,0,6,7
07.05.2015,1,0,6,7
08.05.2015,1,0,5,6
09.05.2015,1,0,5,6
10.05.2015,1,0,6,7
11.05.2015,1,0,5,6
12.05.2015,1,0,4,5
13.05.2015,1,0,4,5
14.05.2015,1,0,4,5
15.05.2015,1,0,5,6
16.05.2015,1,0,5,6
17.05.2015,1,1,4,6
18.05.2015,1,1,4,6
19.05.2015,1,2,5,8
20.05.2015,1,2,5,8
21.05.2015,1,2,5,8
22.05.2015,1,2,6,9
23.05.2015,1,2,6,9
24.05.2015,1,2,6,9
25.05.2015,1,2,5,8
26.05.2015,1,2,5,8
27.05.2015,1,2,5,8
28.05.2015,1,2,5,8
29.05.2015,1,2,5,8
30.05.2015,1,2,5,8
31.05.2015,1,2,5,8
01.06.2015,1,2,4,7
02.06.2015,1,2,4,7
03.06.2015,1,2,4,7
04.06.2015,1,2,4,7
05.06.2015,1,2,4,7
06.06.2015,1,2,4,7
07.06.2015,1,2,4,7
08.06.2015,1,2,5,8
09.06.2015,1,2,5,8
10.06.2015,1,2,5,8
11.06.2015,1,2,5,8
12.06.2015,1,2,4,7
13.06.2015,1,2,4,7
14.06.2015,1,2,5,8
15.06.2015,1,3,4,8
16.06.2015,1,3,3,7
17.06.2015,1,3,3,7
18.06.2015,1,3,3,7
