polygon,,,,
Date, Full Time, Part Time, One Time, Total
14.01.2015,0,0,1,1
15.01.2015,0,0,1,1
16.01.2015,0,0,1,1
17.01.2015,0,0,1,1
18.01.2015,0,0,1,1
19.01.2015,0,0,1,1
20.01.2015,0,1,0,1
21.01.2015,0,1,0,1
22.01.2015,0,1,0,1
23.01.2015,0,1,0,1
24.01.2015,0,1,0,1
25.01.2015,0,1,0,1
26.01.2015,0,1,0,1
27.01.2015,0,1,0,1
28.01.2015,0,1,0,1
29.01.2015,0,1,0,1
30.01.2015,0,1,0,1
31.01.2015,0,1,0,1
01.02.2015,0,1,0,1
02.02.2015,0,1,0,1
03.02.2015,0,1,0,1
04.02.2015,0,1,0,1
05.02.2015,0,1,0,1
06.02.2015,0,1,0,1
07.02.2015,0,1,0,1
08.02.2015,0,1,0,1
09.02.2015,0,1,0,1
10.02.2015,0,1,0,1
11.02.2015,0,1,0,1
12.02.2015,0,1,0,1
13.02.2015,0,1,0,1
14.02.2015,0,1,0,1
15.02.2015,0,1,0,1
16.02.2015,0,1,0,1
04.03.2015,0,1,1,2
05.03.2015,0,1,1,2
06.03.2015,0,1,1,2
07.03.2015,0,1,1,2
08.03.2015,0,1,1,2
09.03.2015,0,1,1,2
10.03.2015,0,1,2,3
11.03.2015,0,2,1,3
12.03.2015,0,2,1,3
13.03.2015,0,2,2,4
14.03.2015,0,3,1,4
15.03.2015,0,3,1,4
16.03.2015,0,3,1,4
17.03.2015,0,3,1,4
18.03.2015,0,3,2,5
19.03.2015,0,3,2,5
20.03.2015,0,3,2,5
21.03.2015,0,3,4,7
22.03.2015,0,5,2,7
23.03.2015,0,5,2,7
24.03.2015,0,5,2,7
25.03.2015,0,5,2,7
26.03.2015,0,5,2,7
27.03.2015,1,4,2,7
28.03.2015,1,4,2,7
29.03.2015,1,4,2,7
30.03.2015,1,4,2,7
31.03.2015,1,4,2,7
01.04.2015,1,4,1,6
02.04.2015,1,4,1,6
03.04.2015,1,4,1,6
04.04.2015,1,4,1,6
05.04.2015,1,4,1,6
06.04.2015,1,4,1,6
07.04.2015,1,4,1,6
08.04.2015,0,5,1,6
09.04.2015,0,5,1,6
10.04.2015,1,4,1,6
11.04.2015,1,4,1,6
12.04.2015,1,4,1,6
13.04.2015,1,4,1,6
14.04.2015,2,3,1,6
15.04.2015,2,3,0,5
16.04.2015,1,4,0,5
17.04.2015,1,4,0,5
18.04.2015,1,4,0,5
19.04.2015,1,4,0,5
20.04.2015,1,4,0,5
21.04.2015,1,4,0,5
22.04.2015,1,3,0,4
23.04.2015,1,3,0,4
24.04.2015,1,3,0,4
25.04.2015,1,3,0,4
26.04.2015,1,3,0,4
27.04.2015,1,3,0,4
28.04.2015,1,3,0,4
29.04.2015,1,3,0,4
30.04.2015,1,3,0,4
01.05.2015,1,3,0,4
02.05.2015,1,3,0,4
03.05.2015,1,3,0,4
04.05.2015,1,3,0,4
05.05.2015,1,3,0,4
06.05.2015,1,3,0,4
07.05.2015,1,2,0,3
08.05.2015,1,2,0,3
09.05.2015,1,2,0,3
10.05.2015,1,2,0,3
11.05.2015,1,2,0,3
12.05.2015,2,1,0,3
13.05.2015,0,1,0,1
12.06.2015,0,0,1,1
13.06.2015,0,1,0,1
14.06.2015,0,1,0,1
15.06.2015,0,1,0,1
16.06.2015,0,1,0,1
17.06.2015,0,1,0,1
18.06.2015,0,1,0,1
19.06.2015,0,1,0,1
20.06.2015,0,1,0,1
21.06.2015,0,1,0,1
22.06.2015,0,1,0,1
23.06.2015,0,1,0,1
24.06.2015,0,1,0,1
25.06.2015,0,1,0,1
26.06.2015,0,1,0,1
27.06.2015,0,1,0,1
28.06.2015,0,1,0,1
29.06.2015,0,1,0,1
30.06.2015,0,1,0,1
01.07.2015,0,1,0,1
02.07.2015,0,1,0,1
03.07.2015,0,1,0,1
04.07.2015,0,1,0,1
05.07.2015,0,1,0,1
06.07.2015,0,1,0,1
07.07.2015,0,1,0,1
08.07.2015,0,1,0,1
09.07.2015,0,1,0,1
10.07.2015,0,1,0,1
11.07.2015,0,1,0,1
12.07.2015,0,1,0,1
13.07.2015,0,1,0,1
14.07.2015,0,1,0,1
15.07.2015,0,1,0,1
16.07.2015,0,1,0,1
17.07.2015,0,1,0,1
18.07.2015,0,1,1,2
19.07.2015,0,1,1,2
20.07.2015,0,1,1,2
21.07.2015,0,1,1,2
22.07.2015,0,1,1,2
23.07.2015,0,0,1,1
24.07.2015,0,0,1,1
25.07.2015,0,0,1,1
26.07.2015,0,0,1,1
27.07.2015,0,0,1,1
28.07.2015,0,0,1,1
29.07.2015,0,0,1,1
30.07.2015,0,0,1,1
31.07.2015,0,0,1,1
01.08.2015,0,0,1,1
02.08.2015,0,0,1,1
03.08.2015,0,0,1,1
04.08.2015,0,0,1,1
05.08.2015,0,0,1,1
06.08.2015,0,0,1,1
07.08.2015,0,0,2,2
08.08.2015,0,1,1,2
09.08.2015,0,1,1,2
10.08.2015,0,1,1,2
11.08.2015,0,1,1,2
12.08.2015,0,1,1,2
13.08.2015,0,1,1,2
14.08.2015,0,1,1,2
15.08.2015,0,1,0,1
16.08.2015,0,1,0,1
17.08.2015,0,1,0,1
18.08.2015,0,1,0,1
19.08.2015,0,1,0,1
20.08.2015,0,1,0,1
21.08.2015,0,1,0,1
22.08.2015,0,1,0,1
23.08.2015,0,1,0,1
24.08.2015,0,1,0,1
25.08.2015,0,1,0,1
26.08.2015,0,1,0,1
27.08.2015,0,1,0,1
28.08.2015,0,1,0,1
29.08.2015,0,1,0,1
30.08.2015,0,1,0,1
31.08.2015,0,1,0,1
01.09.2015,0,1,0,1
02.09.2015,0,1,0,1
03.09.2015,0,1,0,1
