radix-dlt,,,,
Date, Full Time, Part Time, One Time, Total
21.11.2015,0,0,1,1
22.11.2015,0,1,0,1
23.11.2015,0,1,0,1
24.11.2015,0,1,0,1
25.11.2015,0,1,0,1
26.11.2015,0,1,0,1
27.11.2015,0,1,0,1
28.11.2015,0,1,0,1
29.11.2015,0,1,0,1
30.11.2015,0,1,0,1
01.12.2015,0,1,0,1
02.12.2015,0,1,0,1
03.12.2015,0,1,0,1
04.12.2015,0,1,0,1
05.12.2015,0,1,0,1
06.12.2015,0,1,0,1
07.12.2015,0,1,0,1
08.12.2015,0,1,0,1
09.12.2015,0,1,0,1
10.12.2015,0,1,0,1
11.12.2015,0,1,0,1
12.12.2015,0,1,0,1
13.12.2015,0,1,0,1
14.12.2015,0,1,0,1
15.12.2015,0,1,0,1
16.12.2015,0,1,0,1
17.12.2015,0,1,0,1
18.12.2015,0,1,0,1
19.12.2015,0,1,0,1
20.12.2015,0,1,0,1
21.12.2015,0,1,0,1
22.12.2015,0,1,0,1
16.01.2016,0,1,0,1
17.01.2016,0,1,0,1
18.01.2016,0,1,0,1
19.01.2016,0,1,0,1
20.01.2016,0,1,0,1
21.01.2016,0,1,0,1
22.01.2016,0,1,0,1
23.01.2016,0,1,0,1
24.01.2016,0,1,0,1
25.01.2016,0,1,0,1
26.01.2016,0,1,0,1
27.01.2016,0,1,0,1
28.01.2016,0,1,0,1
29.01.2016,0,1,0,1
30.01.2016,0,1,0,1
31.01.2016,0,1,0,1
01.02.2016,0,1,0,1
02.02.2016,0,1,0,1
03.02.2016,0,1,0,1
04.02.2016,0,1,0,1
05.02.2016,0,1,0,1
06.02.2016,0,1,0,1
07.02.2016,0,1,0,1
08.02.2016,0,1,0,1
09.02.2016,0,1,0,1
10.02.2016,0,1,0,1
11.02.2016,0,1,0,1
12.02.2016,0,1,0,1
15.03.2016,0,1,0,1
16.03.2016,0,1,0,1
17.03.2016,0,1,0,1
18.03.2016,0,1,0,1
